source_headword	PT-BR	example_PT-BR
stranger	o estranho	Um estranho pediu informações.
strength	a força	Sua força ajudou a equipe.
string	o barbante	Amarre a caixa com barbante.
strongly	fortemente	Eu discordo fortemente dessa ideia.
studio	o estúdio	O artista trabalha em um pequeno estúdio.
stuff	as coisas	Coloque suas coisas na prateleira.
substance	a substância	A polícia encontrou uma substância estranha.
successfully	com sucesso	Eles terminaram o projeto com sucesso.
sudden	repentino	Um barulho repentino nos acordou.
suffer	sofrer	Muitas plantas sofrem em clima seco.
suitable	adequado	Esta jaqueta é adequada para a escola.
summarize	resumir	Você pode resumir o artigo?
summary	o resumo	Escreva um breve resumo hoje à noite.
supply	o abastecimento	A cidade precisa de um abastecimento de água limpa.
supporter	o torcedor	Cada torcedor comemorou ruidosamente.
surely	certamente	Certamente podemos resolver isso.
surface	a superfície	A superfície parecia fria e lisa.
survive	sobreviver	Estes animais sobrevivem a invernos rigorosos.
switch	desligar	Desligue a luz da cozinha.
symptom	o sintoma	Uma tosse pode ser um sintoma.
tail	o rabo	O cachorro tem um rabo comprido.
talent	o talento	Ela tem talento para a música.
talented	talentoso	Ele é um jovem ator talentoso.
tape	a fita adesiva	Use fita adesiva para fechar a caixa.
tax	o imposto	Todos devem pagar este imposto.
technical	técnico	Tivemos um problema técnico.
technique	a técnica	Esta técnica economiza tempo.
tend	tender	As crianças tendem a aprender rápido.
tent	a barraca	Nós dormimos em uma pequena barraca.
theirs	deles	As bicicletas azuis são deles.
theme	o tema	A festa tinha um tema de praia.
theory	a teoria	A teoria dele explica o problema.
therefore	portanto	Choveu, portanto ficamos dentro de casa.
though	embora	Embora cansada, ela continuou trabalhando.
throat	a garganta	Minha garganta está doendo esta manhã.
throughout	durante todo	As pessoas dançaram durante toda a noite.
tight	apertado	Estes sapatos parecem muito apertados.
till	até	Espere aqui até eu voltar.
tin	a lata	Abra uma lata de feijão.
tiny	minúsculo	Um pássaro minúsculo pousou por perto.
toe	o dedo do pé	Machuquei meu dedo do pé ontem.
tongue	a língua	Ela queimou a língua no chá.
total	total	O custo total foi baixo.
totally	totalmente	Eu entendo totalmente sua preocupação.
trade	o comércio	O comércio internacional cria empregos.
translate	traduzir	Por favor, traduza esta frase.
translation	a tradução	A tradução soa natural.
treat	tratar	Trate a todos com respeito.
treatment	o tratamento	O paciente precisa de tratamento hoje.
trend	a tendência	Esta tendência está crescendo mundialmente.
trick	o truque	Aquele truque de cartas me surpreendeu.
truth	a verdade	Por favor, diga a verdade.
tube	o tubo	Aperte o tubo suavemente.
typically	normalmente	Os alunos normalmente chegam antes das nove.
tyre	o pneu	O carro precisa de um pneu novo.
ugly	feio	A cor daquela parede parece feia.
unable	incapaz	Ele foi incapaz de responder.
uncomfortable	desconfortável	Esta cadeira é desconfortável.
underwear	a roupa íntima	Leve roupa íntima limpa para a viagem.
unemployed	desempregado	Ela ficou desempregada por dois meses.
unemployment	o desemprego	O desemprego aumentou durante o inverno.
unfair	injusto	A decisão pareceu injusta.
union	o sindicato	O sindicato pediu um trabalho mais seguro.
unless	a menos que	Não saia a menos que eu chame.
unlike	ao contrário de	Ao contrário de Tom, Ana adora o inverno.
unlikely	improvável	A neve é improvável esta semana.
unnecessary	desnecessário	Bolsas extras são desnecessárias.
unpleasant	desagradável	O quarto tinha um cheiro desagradável.
update	atualizar	Eu preciso atualizar meu telefone.
upon	sobre	Era uma vez um rei.
upset	chateado	Ela se sentiu chateada após a ligação.
used1	usado	Esta sala é usada para reuniões.
used2	acostumado	Eu estou acostumado a acordar cedo.
valuable	valioso	Este relógio é valioso.
value	o valor	A casa perdeu valor no ano passado.
various	vários	Nós provamos vários pratos locais.
version	a versão	Esta versão funciona melhor.
victim	a vítima	A vítima ligou para a polícia.
viewer	o espectador	Um espectador fez uma pergunta.
violent	violento	O filme era muito violento.
volunteer	o voluntário	Eu sou voluntário na biblioteca.
vote	votar	Lembre-se de votar amanhã.
warn	avisar	Eu tentei avisá-lo.
warning	o aviso	O aviso apareceu na tela.
waste	desperdiçar	Não desperdice água limpa.
weapon	a arma	A faca se tornou uma arma.
weigh	pesar	Pese a farinha cuidadosamente.
western	ocidental	Eles assistiram a um filme de faroeste.
whatever	o que quer que	Escolha o que você quiser.
whenever	sempre que	Ligue sempre que precisar de ajuda.
whether	se	Eu não sei se ela concorda.
wing	a asa	O pássaro machucou uma asa.
within	dentro de	Por favor, responda dentro de dois dias.
wonder	perguntar-se	Eu me pergunto o que aconteceu.
wool	a lã	Este casaco é feito de lã.
worldwide	mundialmente	A música se tornou popular mundialmente.
worth	que vale a pena	Vale a pena ler este livro.
written	escrito	Por favor, envie instruções escritas.
yard	o quintal	As crianças brincaram no quintal.
youth	a juventude	Os clubes de jovens apoiam os adolescentes locais.
