source_headword	BG	example_BG
incur	предизвиквам	Закъсненията могат да доведат до допълнителни разходи.
indicator	индикатор	Безработицата е един икономически индикатор.
indictment	обвинителен акт	Обвинителният акт изброяваше три обвинения.
indigenous	местен	Местните растения растат добре тук.
induce	предизвиквам	Лекарството може да предизвика сън.
indulge	угаждам си	Тя не си угажда със скъпи навици.
inequality	неравенство	Неравенството в доходите остава основен проблем.
infamous	печално известен	Затворът стана печално известен по целия свят.
infant	пеленаче	Пеленачето спеше в кошарата.
infect	заразявам	Вирусът може да зарази здравите клетки.
inflict	причинявам	Не причинявайте болка на животните.
influential	влиятелен	Тя е влиятелен правен учен.
inherent	присъщ	Дизайнът крие присъщи рискове.
inhibit	потискам	Страхът може да възпрепятства честната дискусия.
initiate	инициирам	Мениджърът ще инициира прегледа.
inject	инжектирам	Медицинската сестра ще инжектира ваксината.
injection	инжекция	Инжекцията намали болката.
injustice	несправедливост	Решението разкри явна несправедливост.
inmate	затворник	Затворникът поиска правен съвет.
insertion	вмъкване	Формулярът се нуждае от едно вмъкване на текст.
insider	вътрешен човек	Вътрешен човек изнесе доклада.
inspect	инспектирам	Длъжностни лица инспектират моста ежегодно.
inspection	инспекция	Инспекцията откри сериозни щети.
inspiration	вдъхновение	Речта ѝ ми даде вдъхновение.
instinct	инстинкт	Първият му инстинкт беше да помогне.
institutional	институционален	Институционалните правила оформиха решението.
instruct	инструктирам	Ръководството ще инструктира новия персонал.
instrumental	важен	Нейният съвет беше важен в преговорите.
insufficient	недостатъчен	Доказателствата бяха недостатъчни за обвинения.
insult	обида	Неговата обида прекрати разговора.
intact	непокътнат	Древната стена остана непокътната.
intake	прием	Приемът на захар трябва да остане умерено.
integral	неделим	Доверието е неделима част от екипа.
integrated	интегриран	Училището предлага интегрирана подкрепа.
integration	интеграция	Интеграцията подобри цялата система.
integrity	честност	Съдията показа голяма честност.
intensify	засилвам се	Бурята може да се засили през нощта.
intensity	интензивност	Интензивността на тренировките се увеличи.
intensive	интензивен	Те завършиха интензивно езиково обучение.
intent	намерение	Намерението му беше трудно за доказване.
interactive	интерактивен	Музеят има интерактивни дисплеи.
interface	интерфейс	Интерфейсът е лесен за навигиране.
interfere	намесвам се	Не се намесвайте в разследването.
interference	смущение	Смущението в сигнала прекъсна разговора.
interim	временен	Временният доклад пристига утре.
interior	вътрешен	Вътрешните стени се нуждаят от боядисване.
intermediate	междинен	Тя се присъедини към средното ниво на класа.
intervene	намесвам се	Полицията трябваше да се намеси бързо.
intervention	намеса	Ранната намеса помогна на пациента.
intimate	интимен	Те проведоха интимна семейна церемония.
intriguing	интригуващ	Данните разкриха интригуващ модел.
investigator	следовател	Следователят разпита всеки свидетел.
invisible	невидим	Газът е невидим и опасен.
invoke	позовавам се	Адвокатът се опита да се позове на прецедент.
involvement	участие	Неговото участие остана неясно.
ironic	ироничен	Ироничният коментар разсмя всички.
ironically	иронично	Иронично, маршрутът отне повече време.
irony	ирония	Иронията беше очевидна за всички.
irrelevant	ирелевантен	Тази подробност е ирелевантна тук.
isolation	изолация	Изолацията може да навреди на психичното здраве.
judicial	съдебен	Съдебното преразглеждане започва в понеделник.
junction	кръстовище	Завийте наляво на кръстовището.
jurisdiction	юрисдикция	Съдът има ограничена юрисдикция.
just	справедлив	Съдията взе справедливо решение.
justification	обосновка	Нуждаем се от ясна обосновка за харченето.
kidnap	отвличам	Престъпниците се опитаха да отвлекат дипломата.
kidney	бъбрек	Бъбречната ѝ функция се подобри.
kingdom	кралство	Кралството се разшири под неговото управление.
lad	младеж	Младото момче носеше чантите.
landlord	хазяин	Хазяинът поправи отоплението.
landmark	забележителност	Кулата стана градска забележителност.
lap	скут	Детето седна в скута ѝ.
large-scale	мащабен	Градът планира мащабни ремонти.
laser	лазер	Лазерът измери разстоянието.
latter	последен	Втората опция изглежда по-безопасна.
lawn	морава	Децата играеха на моравата.
lawsuit	съдебно дело	Компанията уреди съдебното дело.
layout	оформление	Оформлението на страницата изглежда по-ясно.
leak	теч	Теч от тръба наводни кухнята.
leap	скок	Продажбите направиха внезапен скок.
legacy	наследство	Нейното наследство оформи университета.
legendary	легендарен	Легендарният певец се завърна на сцената.
legislation	законодателство	Новото законодателство защитава наемателите.
legislative	законодателен	Законодателният комитет се събра днес.
legislature	законодателен орган	Законодателният орган одобри бюджета.
legitimate	легитимен	Те повдигнаха основателни опасения.
lengthy	продължителен	Продължителният дебат забави гласуването.
lesbian	лесбийски	Лесбийската активистка говори на форума.
lesser	по-малък	Изберете по-малкия риск.
lethal	смъртоносен	Химикалът може да бъде смъртоносен.
liable	отговорен	Шофьорите са отговорни за щетите.
liberal	либерален	Той подкрепя либералните социални политики.
liberation	освобождение	Освобождението промени бъдещето на страната.
liberty	свобода	Законът защитава личната свобода.
license	лицензирам	Държавата може да лицензира нови клиники.
lifelong	доживотен	Тя създаде приятели за цял живот там.
likelihood	вероятност	Вероятността за дъжд се увеличи.
limb	крайник	Раненият крайник зарасна бавно.
linear	линеен	Графиката показва линеен тренд.
line-up	състав	Съставът на фестивала включва местни групи.
linger	задържам се	Миризмата може да се задържи с часове.
listing	обява	Обявата за апартамента изглеждаше точна.
literacy	грамотност	Програмите за грамотност на възрастни се разшириха.
liver	черен дроб	Черният дроб филтрира вредните вещества.
