source_headword	SI	example_SI
abandon	අතහරිනවා	ඔවුන් ඊයේ සැලසුම අතහැර දැමුවා.
absolute	පරම	අපට මෙහි පරම අවංකකම අවශ්‍යයි.
acceptable	පිළිගත හැකි	ඔහුගේ පිළිතුර පිළිගත හැකි විය.
accompany	සමඟ යනවා	ඇගේ සහෝදරයා ඇය සමඟ නිවසට ගියේය.
accurate	නිවැරදි	වාර්තාව නිවැරදි බව පෙනේ.
accuse	චෝදනා කරනවා	ඔවුන් ඔහුට බොරු කීමේ චෝදනාව එල්ල කළා.
acknowledge	පිළිගන්නවා	කරුණාකර වැරැද්ද පිළිගන්න.
acquire	ලබා ගන්නවා	ඇය ඉක්මනින් නව කුසලතා ලබා ගත්තාය.
actual	සැබෑ	සැබෑ පිරිවැය අඩු විය.
adapt	හැඩගැසෙනවා	අපි වෙනසට හැඩගැසුණෙමු.
additional	අතිරේක	අද අතිරේක උපකාර ලැබුණි.
administration	පරිපාලනය	පරිපාලනය විසින් ප්‍රතිපත්තිය වෙනස් කරන ලදී.
adopt	අනුගමනය කරනවා	ඔවුන් නව ක්‍රමයක් අනුගමනය කළා.
advance	ප්‍රගතිය	අපි කුඩා ප්‍රගතියක් ලබා ගත්තෙමු.
affair	සිද්ධිය	මෙම සිද්ධිය මහජන විශ්වාසයට හානි කළේය.
afterwards	ඉන්පසුව	ඉන්පසුව, සැමට සන්සුන් බවක් දැනිණි.
agency	ආයතනය	ආයතනය විසින් පරිවර්තකයන් තිදෙනෙකු බඳවා ගන්නා ලදී.
agenda	න්‍යාය පත්‍රය	ආරක්ෂාව න්‍යාය පත්‍රයේ ඇත.
aggressive	ආක්‍රමණශීලී	ඔහුගේ කටහඬ ආක්‍රමණශීලී බවක් පෙනුණි.
aid	ආධාර	වෛද්‍යාධාර ඉක්මනින් ලැබුණි.
aircraft	ගුවන් යානය	ගුවන් යානය ආරක්ෂිතව ගොඩබස්වන ලදී.
alter	වෙනස් කරනවා	ගිවිසුම වෙනස් නොකරන්න.
anger	කෝපය	ඔහුගේ කෝපය සැම දෙනාම පුදුමයට පත් කළේය.
angle	කෝණය	වෙනත් කැමරා කෝණයක් උත්සාහ කරන්න.
anniversary	සංවත්සරය	ඔවුන්ගේ සංවත්සරය හෙටයි.
annual	වාර්ෂික	වාර්ෂික රැස්වීම සඳුදා ආරම්භ වේ.
anxious	කනස්සල්ලෙන්	සැත්කමට පෙර ඇයට කනස්සල්ලක් දැනිණි.
apparent	පැහැදිලි	ඔහුගේ කලකිරීම පැහැදිලි විය.
apparently	පෙනෙන විදිහට	පෙනෙන විදිහට කෝච්චිය ප්‍රමාදයි.
appeal	අභියාචනය	මෙම තීරණයට අභියාචනයක් ඉදිරිපත් විය හැක.
approach	ප්‍රවේශය	ඇගේ ප්‍රවේශය ගැටලුව විසඳුවා.
appropriate	සුදුසු	සුදුසු ප්‍රතිචාරයක් තෝරා ගන්න.
approval	අනුමැතිය	ව්‍යාපෘතියට අනුමැතිය අවශ්‍යයි.
approve	අනුමත කරනවා	මණ්ඩලය අයවැය අනුමත කළේය.
arise	මතු වෙනවා	පසුව ගැටලු මතු විය හැකිය.
armed	සන්නද්ධ	සන්නද්ධ මුරකරුවන් පිටතින් සිටියහ.
arms	ආයුධ	ඔවුන් තම ආයුධ බිම තැබුවා.
artificial	කෘතිම	මල් කෘතිම බව පෙනෙන්නට තිබුණි.
artistic	කලාත්මක	ඇයට කලාත්මක දක්ෂතාවක් ඇත.
ashamed	ලැජ්ජාවට පත්	පසුව ඔහුට ලැජ්ජාවක් දැනිණි.
