source_headword	NO	example_NO
toss	kaste	Hun kastet nøklene på bordet.
total	utgjøre	Reparasjonene utgjorde mer enn forventet.
toxic	giftig	Den giftige røyken tvang alle ut.
trademark	et varemerke	Logoen ble selskapets varemerke.
trail	en sti	Stien førte gjennom skogen.
trailer	en trailer	Traileren viste slutten på filmen.
transaction	en transaksjon	Transaksjonen dukket opp på kontoutskriften min.
transcript	en karakterutskrift	Studenten ba om en offisiell karakterutskrift.
transformation	en transformasjon	Byen gjennomgikk en stor transformasjon.
transit	en transport	Pakken ble skadet under transport.
transmission	en overføring	Overføringen av data var sikker.
transparency	en åpenhet	Rapporten krevde mer åpenhet.
transparent	transparent	Prosessen bør være transparent for alle.
trauma	et traume	Ulykken etterlot et dypt traume.
treaty	en traktat	Landene signerte en fredstraktat.
tremendous	enorm	Laget gjorde enorme fremskritt.
tribal	stamme-	Museet stilte ut stammekunst.
tribunal	et tribunal	Tribunalet hørte beviser hele uken.
tribute	en hyllest	Konserten var en hyllest til henne.
trio	en trio	Trioen opptrådte på festivalen.
triumph	en triumf	Seieren var en personlig triumf.
trophy	et trofé	Kapteinen løftet trofeet stolt.
troubled	kriserammet	Det kriserammede selskapet trengte ny ledelse.
trustee	en forvalter	Forvalteren administrerer stipendfondet.
tuition	en studieavgift	Studieavgiften hennes økte i år.
turnout	et oppmøte	Valgdeltakelsen var høyere enn forventet.
turnover	en gjennomtrekk	Gjennomtrekken av ansatte falt etter endringene.
twist	vri	Hun vred av lokket.
undergraduate	en bachelorstudent	Bachelorstudenten ble med i et forskningsprosjekt.
underlying	underliggende	Rapporten forklarte de underliggende årsakene.
undermine	undergrave	Skandalen undergravde den offentlige tilliten.
undoubtedly	utvilsomt	Hun er utvilsomt den beste kandidaten.
unify	forene	Planen har som mål å forene teamene.
unprecedented	enestående	Stormen forårsaket enestående skader.
unveil	avduke	Selskapet vil avduke designet i morgen.
upcoming	kommende	Det kommende valget trakk til seg offentlig oppmerksomhet.
upgrade	oppgradere	Vi oppgraderte programvaren i går kveld.
uphold	opprettholde	Vi opprettholder den opprinnelige beslutningen.
utility	kommunale avgifter	Leiligheten inkluderer alle kostnader til strøm og vann.
utilize	utnytte	Teamet utnyttet de tilgjengelige dataene.
utterly	fullstendig	Forklaringen var fullstendig forvirrende.
vacuum	et vakuum	Vakuumet i ledelsen skapte spenning.
vague	vag	Svaret hans var vagt og svakt.
validity	en gyldighet	Studien stilte spørsmål ved testens gyldighet.
vanish	forsvinne	Filen forsvant fra mappen.
variable	en variabel	Pris er en viktig variabel.
varied	variert	Kurset tilbyr varierte oppgaver.
vein	en blodåre	Sykepleieren fant raskt en blodåre.
venture	et foretak	Det nye foretaket tiltrakk seg investorer.
verbal	muntlig	De kom til en muntlig avtale.
verdict	en dom	Juryen avsa sin kjennelse.
verify	bekrefte	Vennligst bekreft e-postadressen din.
verse	et vers	Hun siterte et vers fra diktet.
versus	kontra	Debatten handlet om personvern kontra sikkerhet.
vessel	et fartøy	Fartøyet fraktet korn over havet.
veteran	en veteran	Veteranen lærte opp de nye ansatte.
viable	levedyktig	Forslaget er økonomisk gjennomførbart.
vibrant	pulserende	Byen har et pulserende kunstmiljø.
vice	en last	Grådighet var hans største last.
vicious	ondskapsfull	Det brutale angrepet sjokkerte byen.
villager	en landsbyboer	En landsbyboer guidet oss til elven.
violate	bryte	Selskapet kan bryte sikkerhetsreglene.
violation	et brudd	Inspektøren rapporterte et alvorlig brudd.
virtue	en dyd	Tålmodighet er en viktig dyd.
vocal	frittalende	Hun var frittalende om beslutningen.
vow	sverge	Han sverget på å fullføre arbeidet.
vulnerability	en sårbarhet	Revisjonen avslørte en sikkerhetssårbarhet.
vulnerable	sårbar	Barn er sårbare under ekstrem varme.
ward	en avdeling	Pasienten flyttet til en annen avdeling.
warehouse	et lager	Lageret oppbevarer reservedeler.
warfare	en krigføring	Moderne krigføring er avhengig av teknologi.
warrant	en ransakingsordre	Politiet viste frem en ransakingsordre.
warrior	en kriger	Krigeren beskyttet landsbyen.
weaken	svekke	Skaden svekket grepet hans.
weave	flette	Hun lærte å flette kurver.
weed	et ugress	Et ugress vokste mellom steinene.
well	en brønn	Landsbybrønnen gikk tørr.
well-being	et velvære	Søvn er avgjørende for ens velbefinnende.
whatsoever	overhodet	Han viste ingen interesse overhodet.
whereby	hvorved	Loven skapte et system hvorved familier kunne anke.
whilst	mens	Hun jobbet mens han hvilte.
whip	piske	Vinden kan piske flaggene.
wholly	helt	Beslutningen var helt uventet.
widen	utvide	Byen planlegger å utvide veien.
widow	en enke	Enken bor i nærheten av skolen.
width	en bredde	Mål dørens bredde.
willingness	en villighet	Hennes villighet til å hjelpe imponerte alle.
wipe	tørke	Tørk av skjermen med en klut.
wit	et vidd	Hans vidd gjorde talen livlig.
withdrawal	en tilbaketrekning	Tilbaketrekkingen av midler forsinket prosjektet.
workout	en treningsøkt	Treningsøkten varte i førti minutter.
worship	en gudstjeneste	Folk samlet seg til gudstjeneste ved daggry.
worthwhile	verdt bryet	Turen var verdt bryet.
worthy	verdig	Veldedigheten er verdig støtte.
yell	rope	Ikke rop til de ansatte.
yield	en avling	Gårdens avling forbedret seg denne sesongen.
youngster	en ungdom	Ungdommen stilte mange spørsmål.
