source_headword	ML	example_ML
toss	എറിയുക	അവൾ താക്കോലുകൾ മേശപ്പുറത്തേക്ക് എറിഞ്ഞു.
total	ആകെ ആകുക	അറ്റകുറ്റപ്പണികളുടെ തുക പ്രതീക്ഷിച്ചതിലും കൂടുതലായി.
toxic	വിഷമയമായ	വിഷപ്പുക എല്ലാവരെയും പുറത്തിറങ്ങാൻ നിർബന്ധിതരാക്കി.
trademark	വ്യാപാരമുദ്ര	ലോഗോ കമ്പനിയുടെ വ്യാപാരമുദ്രയായി മാറി.
trail	നടപ്പാത	നടപ്പാത കാട്ടിലൂടെ നയിച്ചു.
trailer	ട്രെയിലർ	ട്രെയിലർ സിനിമയുടെ അവസാനം കാണിച്ചു.
transaction	ഇടപാട്	എന്റെ ബാങ്ക് സ്റ്റേറ്റ്‌മെന്റിൽ ഇടപാട് കാണിച്ചു.
transcript	ട്രാൻസ്ക്രിപ്റ്റ്	വിദ്യാർത്ഥി ഒരു ഔദ്യോഗിക ട്രാൻസ്ക്രിപ്റ്റ് ആവശ്യപ്പെട്ടു.
transformation	പരിവർത്തനം	നഗരം വലിയൊരു പരിവർത്തനം കണ്ടു.
transit	ഗതാഗതം	യാത്രാമധ്യേ പാക്കേജിന് കേടുപാടുകൾ സംഭവിച്ചു.
transmission	പ്രേഷണം	ഡാറ്റാ പ്രേഷണം സുരക്ഷിതമായിരുന്നു.
transparency	സുതാര്യത	റിപ്പോർട്ട് കൂടുതൽ സുതാര്യത ആവശ്യപ്പെട്ടു.
transparent	സുതാര്യമായ	പ്രക്രിയ എല്ലാവർക്കും സുതാര്യമായിരിക്കണം.
trauma	ആഘാതം	അപകടം വലിയ ആഘാതം സൃഷ്ടിച്ചു.
treaty	ഉടമ്പടി	രാജ്യങ്ങൾ സമാധാന ഉടമ്പടിയിൽ ഒപ്പുവച്ചു.
tremendous	ഭീമമായ	ടീം വലിയ പുരോഗതി നേടി.
tribal	ഗോത്രവർഗ്ഗ	മ്യൂസിയത്തിൽ ഗോത്രവർഗ്ഗ കലകൾ പ്രദർശിപ്പിച്ചു.
tribunal	ട്രൈബ്യൂണൽ	ട്രൈബ്യൂണൽ ആഴ്ച മുഴുവൻ തെളിവുകൾ കേട്ടു.
tribute	ആദരവ്	കച്ചേരി അവൾക്കുള്ള ഒരു ആദരവായിരുന്നു.
trio	മൂവർസംഘം	മൂവർസംഘം ഉത്സവത്തിൽ പരിപാടി അവതരിപ്പിച്ചു.
triumph	വിജയം	ആ ജയം ഒരു വ്യക്തിപരമായ വിജയമായിരുന്നു.
trophy	ട്രോഫി	ക്യാപ്റ്റൻ അഭിമാനത്തോടെ ട്രോഫി ഉയർത്തി.
troubled	പ്രശ്നബാധിതമായ	പ്രശ്നബാധിതമായ കമ്പനിക്ക് പുതിയ നേതൃത്വം ആവശ്യമായിരുന്നു.
trustee	ട്രസ്റ്റി	ട്രസ്റ്റി സ്കോളർഷിപ്പ് ഫണ്ട് കൈകാര്യം ചെയ്യുന്നു.
tuition	ട്യൂഷൻ ഫീസ്	ഈ വർഷം അവളുടെ ട്യൂഷൻ ഫീസ് വർദ്ധിച്ചു.
turnout	പങ്കാളിത്തം	വോട്ടർമാരുടെ പങ്കാളിത്തം പ്രതീക്ഷിച്ചതിലും കൂടുതലായിരുന്നു.
