source_headword	SI	example_SI
strengthen	ශක්තිමත් කරනවා	නව ප්‍රතිපත්තිය මගින් මාර්ගගත ආරක්ෂාව ශක්තිමත් කරනු ඇත.
strictly	තදින්ම	ප්‍රවේශපත්‍ර එක් අයෙකුට දෙකකට තදින්ම සීමා කර ඇත.
striking	ආකර්ෂණීය	සිතුවමේ ආකර්ෂණීය වර්ණ ඇත.
stroke	පහර	ඇය කඩදාසිය හරහා එක් පහරක් තීන්ත ගෑවාය.
stunning	විස්මිත	කඳුකර දර්ශනය විස්මිත විය.
subsequent	පසුව එන	පසුව එන රැස්වීම මගින් අයවැය තහවුරු කරන ලදී.
subsequently	ඉන්පසුව	පාර වැසී ගියේය; ඉන්පසුව, රථවාහන සෙමින් ගමන් කළේය.
suburb	තදාසන්න ප්‍රදේශය	ඔවුන් නිස්කලංක තදාසන්න ප්‍රදේශයක ජීවත් වේ.
suffering	දුක් වේදනා	ඖෂධය ඔහුගේ දුක් වේදනා අඩු කළේය.
sufficient	ප්‍රමාණවත්	කණ්ඩායමට ප්‍රමාණවත් කාලයක් තිබේ.
sufficiently	ප්‍රමාණවත් ලෙස	කාමරය ප්‍රමාණවත් ලෙස උණුසුම් වේ.
super	සුපිරි	නව ටැබ්ලටය සුපිරි වේගවත්ය.
surgeon	ශල්‍ය වෛද්‍යවරයා	ශල්‍ය වෛද්‍යවරයා හානි වූ දණහිස අලුත්වැඩියා කළේය.
survival	පැවැත්ම	පැවැත්ම සඳහා පිරිසිදු ජලය අත්‍යවශ්‍ය වේ.
survivor	දිවි ගලවා ගත් තැනැත්තා	දිවි ගලවා ගත් තැනැත්තා ගංවතුර විස්තර කළේය.
suspend	අත්හිටුවනවා	පාසල විසින් සංචාරය අත්හිටුවනු ලැබිය හැකිය.
sustainable	තිරසාර	ගොවිපල තිරසාර ක්‍රම භාවිතා කරයි.
swallow	ගිලිනවා	ජලය සමඟ පෙත්ත ගිලින්න.
sympathetic	අනුකම්පා සහගත	කළමනාකරු ඇගේ ගැටලුව පිළිබඳව අනුකම්පා සහගත විය.
tackle	විසඳනවා	අපි නිවාස ගැටලුව විසඳිය යුතුයි.
tag	ටැගය	බෑගයේ මිල ටැගයක් තිබුණි.
tap	කරාමය	ඇය කරාමය වැසුවාය.
technological	තාක්ෂණික	තාක්ෂණික වෙනස සෑම සේවා ස්ථානයකටම බලපායි.
teens	යෞවනයන්	බොහෝ යෞවනයන් දිනපතා සමාජ මාධ්‍ය භාවිතා කරයි.
temple	පන්සල	පන්සල ගඟ අසල පිහිටා තිබුණි.
temporarily	තාවකාලිකව	කාර්යාලය තාවකාලිකව වසා ඇත.
tendency	නැඹුරුව	ඔහුට ප්‍රමාද වී පැමිණීමේ නැඹුරුවක් ඇත.
tension	ආතතිය	සාකච්ඡාව අතරතුර ආතතිය වැඩි විය.
terms	කොන්දේසි	කොන්ත්‍රාත් කොන්දේසි පැහැදිලි විය.
terribly	දැඩි ලෙස	දරුවා දැඩි ලෙස කලබල වී සිටියේය.
terrify	බිය ගන්වනවා	විශාල ශබ්ද බල්ලා බිය ගන්වයි.
territory	භූමිය	සිතියම නව භූමිය පෙන්වයි.
terror	භීතිය	ප්‍රහාරයෙන් පසු භීතිය පැතිර ගියේය.
terrorism	ත්‍රස්තවාදය	ත්‍රස්තවාදය මහජන ආරක්ෂාවට තර්ජනයක් වේ.
terrorist	ත්‍රස්තවාදියා	පොලිසිය ඊයේ ත්‍රස්තවාදියා අත්අඩංගුවට ගත්තේය.
testing	පරීක්ෂා කිරීම	නිෂ්පාදන පරීක්ෂා කිරීම සඳුදා ආරම්භ වේ.
textbook	පෙළපොත	ඇයට ඇගේ ජීව විද්‍යා පෙළපොත අමතක විය.
theft	සොරකම	ප්‍රදේශයේ සොරකම වැඩි විය.
therapist	චිකිත්සකයා	චිකිත්සකයා ඔහුට කාංසාව පාලනය කිරීමට උපකාර කළේය.
thesis	නිබන්ධනය	ඇගේ නිබන්ධනය මාර්ගගත ඉගෙනීම පරීක්ෂා කරයි.
thorough	පරිපූර්ණ	පරිපූර්ණ සමාලෝචනයකදී දෝෂ කිසිවක් හමු නොවීය.
thoroughly	හොඳින්	තුවාලය හොඳින් පිරිසිදු කරන්න.
thumb	මහපට ඇඟිල්ල	ඔහු අනුමැතිය සංඥා කිරීමට ඔහුගේ මහපට ඇඟිල්ල එසවීය.
timing	කාලය	ඇමතුමේ කාලය පරිපූර්ණ විය.
tissue	ටිෂූ	ඇය ටිෂූ එකකින් වීදුරුව පිසදැමුවාය.
ton	ටොන්	ට්‍රක් රථය වැලි ටොන් එකක් රැගෙන ගියේය.
tonne	ටොන්	නැව්ගත කිරීම ටොන් එකක් බර විය.
tournament	තරඟාවලිය	ටෙනිස් තරඟාවලිය හෙට ආරම්භ වේ.
trace	ලුහුබැඳීම	විද්‍යාඥයින්ට වෛරසයේ ප්‍රභවය ලුහුබැඳිය හැකිය.
trading	වෙළඳාම	කොටස් වෙළඳාම මධ්‍යහ්නයේදී නතර විය.
tragedy	ඛේදවාචකය	අනතුර දරුණු ඛේදවාචකයක් විය.
tragic	ඛේදජනක	අනතුරට ඛේදජනක ප්‍රතිවිපාක තිබුණි.
trait	ලක්ෂණය	ඉවසීම ප්‍රයෝජනවත් ලක්ෂණයකි.
transmit	සම්ප්‍රේෂණය කරනවා	මදුරුවන්ට රෝග සම්ප්‍රේෂණය කළ හැකිය.
transportation	ප්‍රවාහනය	පොදු ප්‍රවාහනය අද ජනාකීර්ණයි.
trap	උගුල	පෙට්ටියට කෘමීන් ආරක්ෂිතව උගුලට හසු කර ගත හැකිය.
treasure	නිධානය	පරණ පෙට්ටියේ නිධානයක් තිබුණි.
tribe	ගෝත්‍රය	ගෝත්‍රය එහි සම්ප්‍රදායන් ආරක්ෂා කළේය.
trigger	අවුලුවනවා	දුම මගින් එලාම් එක අවුලුවාලිය හැක.
trillion	ට්‍රිලියන	ණය ඩොලර් ට්‍රිලියනයකට ළඟා විය.
troop	හමුදා කණ්ඩායම	හමුදා කණ්ඩායම දේශසීමාව දෙසට ගමන් කළේය.
tsunami	සුනාමිය	සුනාමිය වෙරළබඩ නිවාස විනාශ කළේය.
ultimate	අවසාන	අවසාන ඉලක්කය සාමයයි.
unacceptable	පිළිගත නොහැකි	ප්‍රමාදය මගීන්ට පිළිගත නොහැකි විය.
uncertainty	අවිනිශ්චිතභාවය	අවිනිශ්චිතභාවය ආයෝජකයින් නොසන්සුන් කළේය.
undergo	භාජනය වෙනවා	රෝගියා හෙට ශල්‍යකර්මයකට භාජනය වනු ඇත.
undertake	භාර ගන්නවා	කණ්ඩායම සමීක්ෂණයක් භාර ගනු ඇත.
unfold	දිග හැරෙනවා	නාට්‍යය සෙමින් දිග හැරෙන්නට පටන් ගත්තේය.
unfortunate	අවාසනාවන්ත	දෝෂය අවාසනාවන්ත වූ නමුත් නිවැරදි කළ හැකි විය.
