simplified	TH	example_TH
哎	อ้าว; นี่	อ้าว คุณมาได้อย่างไร
唉	เฮ้อ; อืม	เฮ้อ ฉันมาสายอีกแล้ว
爱护	ดูแลรักษา; ทะนุถนอม	พวกเราควรดูแลรักษาสิ่งแวดล้อม
爱惜	เห็นคุณค่า; ถนอม	กรุณาเห็นคุณค่าของเวลาของตัวเอง
爱心	ความเมตตา; น้ำใจ	เธอเป็นคนมีน้ำใจมาก
安慰	ปลอบใจ	เพื่อนปลอบใจฉัน
安装	ติดตั้ง	คนงานกำลังติดตั้งเครื่องปรับอากาศ
岸	ฝั่ง; ริมฝั่ง	เรือค่อย ๆ เข้าใกล้ฝั่ง
暗	มืด	ในห้องมืดมาก
熬夜	นอนดึก; อดนอน	การนอนดึกไม่ดีต่อร่างกาย
把握	ความมั่นใจ; จับไว้	ฉันไม่มั่นใจว่าจะทำเรื่องนี้ได้ดี
摆	จัดวาง	กรุณาจัดเก้าอี้ให้เป็นระเบียบ
办理	จัดการ; ดำเนินการ	ฉันจะไปธนาคารเพื่อจัดการธุระ
傍晚	ตอนเย็น; พลบค่ำ	ตอนเย็นพวกเราจะไปเดินเล่น
包裹	พัสดุ; ห่อ	ฉันได้รับพัสดุหนึ่งชิ้น
包含	รวมถึง; ประกอบด้วย	ราคานี้รวมอาหารเช้า
包括	รวมถึง	ค่าใช้จ่ายรวมอาหารกลางวัน
薄	บาง	หนังสือเล่มนี้บางมาก
保持	รักษาไว้	กรุณารักษาความเงียบ
保存	บันทึก; เก็บรักษา	กรุณาบันทึกไฟล์นี้
保留	จองไว้; เก็บไว้	กรุณาจองที่นั่งให้ฉันหนึ่งที่
保险	ประกัน; ปลอดภัย	ฉันซื้อประกันการเดินทางแล้ว
宝贝	ของล้ำค่า; ที่รัก	นี่คือของล้ำค่าของฉัน
宝贵	มีค่า; ล้ำค่า	เวลามีค่ามาก
报到	รายงานตัว; ลงทะเบียน	นักศึกษาใหม่มารายงานตัวที่โรงเรียนวันนี้
报道	รายงานข่าว	ข่าวรายงานเรื่องนี้แล้ว
报告	รายงาน	เขากำลังนำเสนอรายงาน
报社	สำนักพิมพ์หนังสือพิมพ์	เธอทำงานที่สำนักพิมพ์หนังสือพิมพ์
抱怨	บ่น; ร้องเรียน	เขาบ่นเสมอว่างานมากเกินไป
悲观	มองโลกในแง่ร้าย	อย่ามองโลกในแง่ร้ายเกินไป
背	หลัง; หันหลัง	เขานั่งหันหลังให้ประตู
背景	ภูมิหลัง; พื้นหลัง	กรุณาแนะนำภูมิหลังของคุณสั้น ๆ
被子	ผ้าห่ม	ผ้าห่มอุ่นมาก
本科	ปริญญาตรี; ระดับปริญญาตรี	เขาเป็นนักศึกษาปริญญาตรี
本领	ทักษะ; ความสามารถ	เขาได้เรียนรู้ทักษะใหม่
本质	แก่นแท้; ลักษณะพื้นฐาน	แก่นแท้ของปัญหานั้นง่ายมาก
彼此	ซึ่งกันและกัน	พวกเราควรเคารพซึ่งกันและกัน
比例	สัดส่วน	สัดส่วนผู้ชายกับผู้หญิงใกล้เคียงกัน
必然	อย่างหลีกเลี่ยงไม่ได้; แน่นอน	ความพยายามย่อมมีผลลัพธ์
必要	จำเป็น	ไม่จำเป็นต้องกังวล
毕竟	ถึงอย่างไร; อย่างไรก็ตาม	ถึงอย่างไรเขาก็ยังเป็นเด็ก
避免	หลีกเลี่ยง	กรุณาหลีกเลี่ยงการมาสาย
编辑	แก้ไข; บรรณาธิการ	เขารับผิดชอบแก้ไขบทความนี้
鞭炮	ประทัด	ช่วงเทศกาลตรุษจีนมีคนจุดประทัด
便	ก็; สะดวก	เขากินข้าวเสร็จก็ไปเข้าเรียน
辩论	โต้วาที; ถกเถียง	พวกเขากำลังถกเถียงปัญหานี้
标点	เครื่องหมายวรรคตอน	กรุณาใส่ใจเครื่องหมายวรรคตอน
标志	สัญลักษณ์; เครื่องหมาย	ไฟแดงเป็นสัญลักษณ์ให้หยุด
表达	แสดงออก; ถ่ายทอด	เขาแสดงความเห็นของตัวเอง
表面	พื้นผิว; ภายนอก	พื้นผิวโต๊ะสะอาดมาก
表明	แสดงให้เห็น; ระบุชัดเจน	ผลลัพธ์แสดงให้เห็นว่าเขาถูก
表情	สีหน้า	สีหน้าของเธอจริงจังมาก
表现	ผลงาน; แสดงออก	วันนี้เขาทำผลงานได้ดีมาก
冰激凌	ไอศกรีม	เด็ก ๆ ชอบกินไอศกรีม
病毒	ไวรัส	ไวรัสชนิดนี้แพร่กระจายเร็วมาก
播放	เปิด; ออกอากาศ	กรุณาเปิดเพลงนี้
玻璃	แก้ว; กระจก	แก้วน้ำแตกแล้ว
博物馆	พิพิธภัณฑ์	สุดสัปดาห์นี้พวกเราจะไปพิพิธภัณฑ์
脖子	คอ	คอของฉันเจ็บนิดหน่อย
不断	ไม่หยุด; อย่างต่อเนื่อง	ราคาสูงขึ้นอย่างต่อเนื่อง
不见得	ไม่จำเป็นต้อง; ไม่แน่ว่า	เรื่องนี้ไม่จำเป็นต้องเป็นเรื่องเลวร้าย
不耐烦	รำคาญ; หมดความอดทน	หลังจากรอนาน เขาก็เริ่มหมดความอดทน
不要紧	ไม่เป็นไร; ไม่สำคัญ	ไม่เป็นไร เรื่องนี้ไม่สำคัญ
补充	เสริม; เพิ่มเติม	ฉันอยากเสริมความคิดเห็นสักนิด
不安	ไม่สบายใจ; กังวล	เมื่อได้ยินข่าวนี้ เธอรู้สึกไม่สบายใจ
不得了	ร้ายแรงมาก; เหลือเกิน	เรื่องนี้ร้ายแรงจริง ๆ
不然	ไม่อย่างนั้น	รีบไปเถอะ ไม่อย่างนั้นจะสาย
不如	สู้ไม่ได้; ดีกว่า	แทนที่จะนั่งรถ เดินไปดีกว่า
不足	ไม่พอ; ขาดแคลน	ที่นี่มีน้ำไม่พอ
布	ผ้า	ผ้าผืนนี้นุ่มมาก
步骤	ขั้นตอน	กรุณาดำเนินการตามขั้นตอน
部门	แผนก	ฉันทำงานในแผนกขาย
财产	ทรัพย์สิน	บ้านหลังนี้เป็นทรัพย์สินของเขา
彩虹	รุ้งกินน้ำ	หลังฝนตกมีรุ้งกินน้ำปรากฏขึ้น
踩	เหยียบ	อย่าเหยียบสนามหญ้า
采访	สัมภาษณ์	นักข่าวกำลังสัมภาษณ์แพทย์
采取	ใช้; ดำเนิน	พวกเราใช้วิธีใหม่
参考	อ้างอิง; ดูประกอบ	กรุณาดูหนังสือเล่มนี้ประกอบ
参与	เข้าร่วม	เขาเข้าร่วมกิจกรรมอย่างกระตือรือร้น
惭愧	ละอายใจ	ฉันรู้สึกละอายใจกับความผิดของตัวเอง
操场	สนามกีฬา; สนามโรงเรียน	นักเรียนกำลังวิ่งอยู่ในสนาม
操心	เป็นห่วง; กังวล	อย่าเป็นห่วงฉันเลย
册	เล่ม	ฉันซื้อหนังสือมาหนึ่งเล่ม
测验	แบบทดสอบ; ทดสอบ	พรุ่งนี้มีแบบทดสอบเล็ก ๆ
曾经	เคย	ฉันเคยอยู่ที่ปักกิ่ง
叉子	ส้อม	ฉันใช้ส้อมกินสลัด
差距	ช่องว่าง; ความแตกต่าง	เมืองกับชนบทมีช่องว่างกัน
插	เสียบ; ปัก	กรุณาปักดอกไม้ไว้ในแจกัน
拆	รื้อ; แกะ	คนงานกำลังรื้อบ้านเก่า
产品	สินค้า; ผลิตภัณฑ์	สินค้านี้มีคุณภาพดีมาก
产生	เกิดขึ้น; ก่อให้เกิด	ปัญหานี้ก่อให้เกิดผลกระทบใหม่
