simplified	IT	example_IT
哎	ehi; ah	Ehi, come mai sei venuto?
唉	ah; sigh	Ah, sono di nuovo in ritardo.
爱护	prendersi cura di; proteggere	Dobbiamo prenderci cura dell'ambiente.
爱惜	apprezzare; usare con cura	Per favore, dai valore al tuo tempo.
爱心	la compassione; il buon cuore	Lei ha un grande cuore.
安慰	consolare	Il mio amico mi ha consolato.
安装	installare	L'operaio sta installando il condizionatore.
岸	la riva; la sponda	La barca si avvicina lentamente alla riva.
暗	buio; scuro	La stanza è molto buia.
熬夜	stare svegli fino a tardi	Stare svegli fino a tardi fa male alla salute.
把握	la sicurezza; la certezza	Non sono sicuro di riuscire a fare bene questa cosa.
摆	disporre; sistemare	Per favore, sistema bene le sedie.
办理	sbrigare; gestire	Vado in banca a sbrigare alcune pratiche.
傍晚	la sera; verso sera	Verso sera andremo a fare una passeggiata.
包裹	il pacco	Ho ricevuto un pacco.
包含	contenere; includere	Il prezzo include la colazione.
包括	includere; comprendere	La quota include il pranzo.
薄	sottile	Questo libro è molto sottile.
保持	mantenere	Per favore, mantenete il silenzio.
保存	salvare; conservare	Per favore, salva questo file.
保留	conservare; riservare	Per favore, riservami un posto.
保险	l'assicurazione	Ho comprato un'assicurazione di viaggio.
宝贝	il tesoro	Questo è il mio tesoro.
宝贵	prezioso	Il tempo è prezioso.
报到	registrarsi; presentarsi	I nuovi studenti vengono oggi a scuola per registrarsi.
报道	il servizio; riferire	La notizia ha riferito questo fatto.
报告	la relazione; fare una relazione	Lui sta facendo una relazione.
报社	la redazione del giornale	Lei lavora nella redazione di un giornale.
抱怨	lamentarsi	Lui si lamenta sempre che c'è troppo lavoro.
悲观	pessimista	Non essere troppo pessimista.
背	la schiena	Lui è seduto con la schiena rivolta alla porta.
背景	il contesto; il background	Per favore, presenta brevemente il tuo background.
被子	la coperta	La coperta è molto calda.
本科	la laurea triennale; universitario	Lui è uno studente universitario.
本领	l'abilità; la capacità	Ha imparato una nuova abilità.
本质	l'essenza; la natura	L'essenza del problema è molto semplice.
彼此	l'un l'altro	Dovremmo rispettarci l'un l'altro.
比例	la proporzione; il rapporto	La proporzione tra uomini e donne è più o meno la stessa.
必然	inevitabile; certamente	L'impegno porta inevitabilmente risultati.
必要	necessario	Non c'è bisogno di preoccuparsi.
毕竟	dopotutto	Dopotutto, è ancora un bambino.
避免	evitare	Per favore, evita di arrivare in ritardo.
编辑	modificare; il redattore	Lui è responsabile della modifica di questo articolo.
鞭炮	i petardi	Durante la Festa di Primavera alcune persone fanno scoppiare petardi.
便	allora; quindi	Dopo aver mangiato, è andato a lezione.
辩论	discutere; dibattere	Stanno discutendo di questo problema.
标点	la punteggiatura	Per favore, presta attenzione alla punteggiatura.
标志	il segno; il simbolo	Il semaforo rosso è un segnale di stop.
表达	esprimere	Ha espresso la propria opinione.
表面	la superficie	La superficie del tavolo è molto pulita.
表明	mostrare; indicare	Il risultato mostra che lui ha ragione.
表情	l'espressione	Il suo viso ha un'espressione molto seria.
表现	il rendimento; comportarsi	Oggi si è comportato molto bene.
冰激凌	il gelato	Ai bambini piace mangiare il gelato.
病毒	il virus	Questo tipo di virus si diffonde molto rapidamente.
播放	riprodurre; trasmettere	Per favore, riproduci questa canzone.
玻璃	il vetro	Il bicchiere di vetro si è rotto.
博物馆	il museo	Andremo al museo nel fine settimana.
脖子	il collo	Mi fa un po' male il collo.
不断	continuamente; senza sosta	I prezzi continuano a salire.
不见得	non necessariamente	Non è necessariamente una cosa negativa.
不耐烦	impaziente	Dopo aver aspettato a lungo, è diventato un po' impaziente.
不要紧	non importa; non è grave	Va bene, non è grave.
补充	aggiungere; integrare	Vorrei aggiungere un'opinione.
不安	inquieto; a disagio	Dopo aver sentito questa notizia, si è sentita inquieta.
不得了	grave; terribile	Questa cosa è davvero grave.
不然	altrimenti	Vai in fretta, altrimenti farai tardi.
不如	è meglio; non quanto	Piuttosto che prendere un mezzo, è meglio camminare.
不足	insufficiente; mancanza	Qui l'acqua non è sufficiente.
布	il tessuto; la stoffa	Questo pezzo di stoffa è molto morbido.
步骤	il passaggio; la fase	Per favore, segui i passaggi.
部门	il dipartimento; il reparto	Lavoro nel reparto vendite.
财产	la proprietà; i beni	Questa casa è di sua proprietà.
彩虹	l'arcobaleno	Dopo la pioggia è apparso un arcobaleno.
踩	calpestare	Non calpestare il prato.
采访	intervistare	Il giornalista sta intervistando il medico.
采取	adottare; prendere	Abbiamo adottato un nuovo metodo.
参考	consultare; fare riferimento a	Per favore, consulta questo libro.
参与	partecipare	Lui partecipa attivamente alle attività.
惭愧	vergognarsi; sentirsi in colpa	Mi vergogno del mio errore.
操场	il campo sportivo; il cortile	Gli studenti corrono sul campo sportivo.
操心	preoccuparsi	Non preoccuparti per me.
册	il volume; il fascicolo	Ho comprato un volume di un libro.
测验	il test	Domani c'è un piccolo test.
曾经	una volta; in passato	Una volta ho vissuto a Pechino.
叉子	la forchetta	Mangio l'insalata con una forchetta.
差距	il divario	C'è un divario tra città e campagna.
插	inserire; mettere	Per favore, metti i fiori nel vaso.
拆	demolire; smontare	Gli operai stanno demolendo la vecchia casa.
产品	il prodotto	Questo prodotto è di ottima qualità.
产生	produrre; generare	Questo problema ha prodotto un nuovo effetto.
常识	il buon senso; la conoscenza generale	Questo è buon senso di base.
长途	a lunga distanza	Un viaggio a lunga distanza è faticoso.
抄	copiare	Per favore, non copiare i compiti degli altri.
超级	super; iper-	Questo è un supermercato.
朝	la dinastia	La dinastia Tang è molto famosa.
潮湿	umido	L'estate nel sud è molto umida.
吵	rumoroso	Fuori è molto rumoroso.
吵架	litigare	Hanno litigato di nuovo.
炒	saltare in padella; friggere	La mamma sta saltando le verdure in padella.
车库	il garage	L'auto è parcheggiata in garage.
车厢	la carrozza	Questa carrozza del treno è molto tranquilla.
彻底	completo; completamente	Ha capito completamente.
沉默	il silenzio; tacere	È rimasto in silenzio tutto il tempo.
趁	approfittare di; finché	Andiamo finché non fa ancora buio.
称	pesare	Per favore, pesa questo pacco.
称呼	chiamare; rivolgersi a	Non so come rivolgermi a lui.
称赞	lodare	L'insegnante ha lodato i suoi progressi.
