source_headword	KO	example_KO
stranger	낯선 사람	낯선 사람이 길을 물었습니다.
strength	힘	그녀의 힘이 팀에 도움이 되었습니다.
string	끈	끈으로 상자를 묶으세요.
strongly	강력히	저는 그 생각에 강력히 반대합니다.
studio	작업실	그 예술가는 작은 작업실에서 일합니다.
stuff	물건	선반에 물건을 올려놓으세요.
substance	물질	경찰은 이상한 물질을 발견했습니다.
successfully	성공적으로	그들은 프로젝트를 성공적으로 마쳤습니다.
sudden	갑작스러운	갑작스러운 소음이 우리를 깨웠습니다.
suffer	고통받다	많은 식물이 건조한 날씨에 고통받습니다.
suitable	적합한	이 재킷은 학교에 가기에 적합합니다.
summarize	요약하다	그 기사를 요약해 주시겠어요?
summary	요약	오늘 밤에 짧은 요약을 작성하세요.
supply	공급	그 마을은 깨끗한 물 공급이 필요합니다.
supporter	지지자	모든 지지자가 큰 소리로 환호했습니다.
surely	분명히	우리는 분명히 이것을 해결할 수 있습니다.
surface	표면	표면은 차갑고 매끄럽게 느껴졌습니다.
survive	살아남다	이 동물들은 추운 겨울을 살아남습니다.
switch	전환하다	부엌 불을 끄세요.
symptom	증상	기침은 증상일 수 있습니다.
tail	꼬리	그 개는 긴 꼬리를 가지고 있습니다.
talent	재능	그녀는 음악에 재능이 있습니다.
talented	재능 있는	그는 재능 있는 젊은 배우입니다.
tape	테이프	상자를 닫을 때 테이프를 사용하세요.
tax	세금	모든 사람은 이 세금을 내야 합니다.
technical	기술적인	우리는 기술적인 문제가 있었습니다.
technique	기법	이 기법은 시간을 절약해 줍니다.
tend	~하는 경향이 있다	아이들은 빨리 배우는 경향이 있습니다.
tent	텐트	우리는 작은 텐트에서 잤습니다.
theirs	그들의 것	파란색 자전거는 그들의 것입니다.
theme	주제	그 파티는 해변 테마였습니다.
theory	이론	그의 이론은 그 문제를 설명합니다.
therefore	그러므로	비가 왔고, 그러므로 우리는 안에 머물렀습니다.
though	비록 ~일지라도	피곤했지만 그녀는 계속 일했습니다.
throat	목구멍	오늘 아침에는 목이 아픕니다.
throughout	~내내	사람들은 저녁 내내 춤을 추었습니다.
tight	꽉 조이는	이 신발은 너무 꽉 조입니다.
till	~할 때까지	내가 돌아올 때까지 여기서 기다리세요.
tin	통조림 캔	콩 통조림을 따세요.
tiny	아주 작은	아주 작은 새가 근처에 내려앉았습니다.
toe	발가락	나는 어제 발가락을 다쳤습니다.
tongue	혀	그녀는 차에 혀를 데었습니다.
total	총	총비용은 낮았습니다.
totally	완전히	저는 당신의 우려를 완전히 이해합니다.
trade	무역	국제 무역은 일자리를 창출합니다.
translate	번역하다	이 문장을 번역해 주세요.
translation	번역	그 번역은 자연스럽게 들립니다.
treat	대하다	모든 사람을 존중하는 마음으로 대하세요.
treatment	치료	그 환자는 오늘 치료가 필요합니다.
trend	추세	이 추세는 전 세계적으로 증가하고 있습니다.
trick	속임수	그 카드 마술은 나를 놀라게 했습니다.
truth	진실	진실을 말해 주세요.
tube	튜브	튜브를 부드럽게 짜세요.
typically	일반적으로	학생들은 일반적으로 9시 전에 도착합니다.
tyre	타이어	그 차는 새 타이어가 필요합니다.
ugly	못생긴	저 벽 색깔은 흉해 보입니다.
unable	할 수 없는	그는 대답할 수 없었습니다.
uncomfortable	불편한	이 의자는 불편합니다.
underwear	속옷	여행을 위해 깨끗한 속옷을 챙기세요.
unemployed	실직한	그녀는 두 달 동안 실직 상태였습니다.
unemployment	실업	겨울 동안 실업률이 상승했습니다.
unfair	불공평한	그 결정은 불공평해 보였습니다.
union	조합	조합은 더 안전한 작업 환경을 요구했습니다.
unless	~하지 않는 한	내가 전화하지 않는 한 떠나지 마세요.
unlike	~와 달리	톰과 달리 아나는 겨울을 좋아합니다.
unlikely	가망 없는	이번 주에는 눈이 올 것 같지 않습니다.
unnecessary	불필요한	추가 가방은 불필요합니다.
unpleasant	불쾌한	그 방에서 불쾌한 냄새가 났습니다.
update	업데이트하다	나는 내 전화를 업데이트해야 합니다.
upon	~위에	옛날 옛적에 왕이 있었습니다.
upset	속상한	그녀는 통화 후에 속상해했습니다.
