source_headword	SR	example_SR
hunt	tražiti	Oni traže pečurke u jesen.
hurricane	uragan	Uragan je oštetio mnoge domove.
hurry	žurba	Danas nema žurbe.
identity	identitet	Njen identitet je ostao tajan.
ignore	ignorisati	Ne ignoriši ovo upozorenje.
illegal	nezakonit	Ovde je nezakonito parkirati.
imaginary	izmišljen	Priča ima izmišljeno ostrvo.
immediate	hitan	Potreban nam je hitan odgovor.
immigrant	imigrant	Imigrant je brzo naučio engleski.
impact	uticaj	Vest je imala snažan uticaj.
import	uvoziti	Zemlja će uvoziti više pirinča.
importance	važnost	Razumela je važnost sna.
impression	utisak	Njegov prvi utisak bio je pozitivan.
impressive	impresivan	Muzej ima impresivan ulaz.
improvement	poboljšanje	Ovog meseca bilo je jasno poboljšanje.
incredibly	neverovatno	Test je bio neverovatno težak.
indeed	zaista	Zaista je bio čudan dan.
indicate	pokazati	Znak će pokazati izlaz.
indirect	posredan	Dala je posredan odgovor.
indoor	unutrašnji	Hotel ima unutrašnji bazen.
indoors	u zatvorenom	Ostali smo u zatvorenom tokom oluje.
influence	uticaj	Njegov nastavnik je imao snažan uticaj.
ingredient	sastojak	Brašno je glavni sastojak.
injure	povrediti	Nemoj da povrediš leđa.
injured	povređen	Povređeni igrač je napustio teren.
innocent	nevin	Dete je izgledalo potpuno nevino.
intelligence	inteligencija	Pokazala je veliku inteligenciju na času.
intend	nameravati	Nameravam da studiram u inostranstvu.
intention	namera	Njegova namera je bila da pomogne.
invest	ulagati	Oni ulažu novac u obrazovanje.
investigate	istražiti	Policija će istražiti nesreću.
involved	uključen	Nekoliko učenika je bilo uključeno.
iron	gvožđe	Kapija je napravljena od gvožđa.
issue	problem	Ovo je ozbiljan problem.
IT	informacione tehnologije	Ona radi u informacionim tehnologijama.
journal	dnevnik	On piše u dnevnik.
judge	sudija	Sudija je pažljivo slušao.
keen	željan	Ona je željna učenja.
keyboard	tastatura	Moja tastatura je prestala da radi.
kick	šutnuti	Šutni loptu nežno.
killing	ubistvo	Ubistvo je šokiralo selo.
kind (caring)	ljubazan	To je bio ljubazan gest.
kiss	poljubac	Dala je bebi poljubac.
label	etiketa	Pročitaj etiketu pre upotrebe.
laboratory	laboratorija	Laboratorija je danas zatvorena.
lack	nedostatak	Nedostatak sna šteti pamćenju.
latest	najnoviji	Da li si pročitao najnoviji izveštaj?
lay	staviti	Stavi knjigu na sto.
layer	sloj	Dodaj još jedan sloj boje.
leading	vodeći	Ona je vodeća naučnica.
leaf	list	List je pao na moj kaput.
leather	koža	Njegova torba je napravljena od kože.
legal	pravni	Potreban nam je pravni savet.
leisure	slobodno vreme	Čitanje je moja omiljena aktivnost u slobodno vreme.
length	dužina	Izmeri dužinu sobe.
lie2 (tell a lie)	lagati	Nemoj da lažeš roditelje.
limit	ograničenje	Ograničenje brzine je pedeset.
lip	usna	Ugrizla se za usnu.
liquid	tečnost	Voda je bistra tečnost.
literature	književnost	Studira francusku književnost.
live2	uživo	Bend je sinoć svirao uživo.
living	živ	Žive biljke trebaju svetlost.
locate	pronaći	Možeš li da pronađeš fajl?
located	smešten	Kancelarija je smeštena u centru.
location	lokacija	Ovo je dobra lokacija.
lonely	usamljen	Osećao se usamljeno posle selidbe.
loss	gubitak	Gubitak je svima bio težak.
luxury	luksuz	Hotel nudi pravi luksuz.
mad	ljut	Bila je ljuta zbog kašnjenja.
magic	magija	Predstava je bila puna magije.
mainly	uglavnom	Grupu uglavnom čine studenti.
mall	tržni centar	Sreli smo se u tržnom centru.
management	upravljanje	Dobro upravljanje štedi vreme.
marketing	marketing	Marketing pomaže prodaji proizvoda.
marriage	brak	Njihov brak je trajao trideset godina.
meanwhile	u međuvremenu	U međuvremenu sam spremio večeru.
measure	izmeriti	Pažljivo izmeri sto.
medium	srednji	Naručio sam srednju picu.
mental	mentalni	Stres utiče na mentalno zdravlje.
mess	nered	Počisti ovaj nered.
mild	blag	Supa ima blag ukus.
mine (hole in the ground)	rudnik	Rudnik je zatvoren prošle godine.
mix	pomešati	Pomešaj jaja s mlekom.
mixture	mešavina	Mešavina je postala gusta.
mood	raspoloženje	Muzika joj je promenila raspoloženje.
mud	blato	Njegove cipele su bile prekrivene blatom.
murder	ubistvo	Ubistvo se dogodilo noću.
muscle	mišić	Vežbanje razvija mišiće.
mystery	misterija	Stara kuća je misterija.
nail	nokat	Slomio sam nokat.
narrative	pripovest	Roman ima jasnu pripovest.
nation	nacija	Cela nacija je slavila.
native	maternji	Španski je njen maternji jezik.
naturally	prirodno	Deca prirodno uče kroz igru.
necessarily	nužno	Skupa hrana nije nužno bolja.
needle	igla	Igla je veoma oštra.
neighbourhood	komšiluk	Žive u mirnom komšiluku.
net	mreža	Ribar je popravio svoju mrežu.
nor	niti	Nije se niti nasmešio niti progovorio.
northern	severni	Posetili su severnu obalu.
nuclear	nuklearni	Rasprava je bila o nuklearnoj energiji.
obvious	očigledan	Odgovor je bio očigledan.
obviously	očigledno	Očigledno nam treba više vremena.
occasion	prilika	Ovo je posebna prilika.
occur	dogoditi se	Nesreće mogu da se dogode bilo gde.
odd	čudan	To je bilo čudno pitanje.
official	zvanični	Zvanični rezultat je stigao danas.
old-fashioned	staromodan	Njen telefon izgleda staromodno.
operation	operacija	Operacija je trajala dva sata.
organized	organizovan	Njen sto je veoma organizovan.
organizer	organizator	Organizator je dočekao goste.
originally	prvobitno	Prvobitno je došla iz Kanade.
ought modal	trebalo bi	Trebalo bi da se odmoriš.
ours	naš	Ovaj sto je naš.
outdoor	spoljašnji	Kupili smo spoljašnji nameštaj.
outdoors	napolju	Deca bi trebalo da se igraju napolju.
package	paket	Paket je stigao jutros.
painful	bolan	Posekotina je bila bolna.
pale	bled	Njegovo lice je izgledalo bledo.
pan	tiganj	Prvo zagrej tiganj.
participate	učestvovati	Svako može da učestvuje.
particularly	posebno	Posebno mi se sviđa ova pesma.
passion	strast	Muzika je njena strast.
path	staza	Prati stazu kroz park.
payment	plaćanje	Plaćanje dospeva sutra.
peaceful	miran	Vrt je miran.
percentage	procenat	Mali procenat se složio.
perfectly	savršeno	Plan je savršeno funkcionisao.
performance	izvedba	Njena izvedba je bila odlična.
personally	lično	Lično više volim čaj.
persuade	nagovoriti	Možeš li da ga nagovoriš da se pridruži?
photographer	fotograf	Fotograf je napravio mnogo fotografija.
photography	fotografija	Fotografija je njegov omiljeni hobi.
pin	čioda	Stavi čiodu na mapu.
pipe	cev	Cev prenosi vodu.
planning	planiranje	Planiranje zahteva vreme.
pleasant	prijatan	Imali smo prijatno veče.
pleasure	zadovoljstvo	Bilo mi je zadovoljstvo upoznati te.
plenty	dovoljno	Imamo dovoljno vremena.
plot	radnja	Radnju je bilo lako pratiti.
plus1	plus	Dva plus tri je pet.
poem	pesma	Napisala je kratku pesmu.
poet	pesnik	Pesnik je čitao naglas.
poetry	poezija	On voli modernu poeziju.
poison	otrov	Drži otrov dalje od dece.
poisonous	otrovan	Neke pečurke su otrovne.
policy	politika	Kompanija je promenila politiku.
political	politički	Govor je bio politički.
politician	političar	Političar je odgovarao na pitanja.
politics	politika	Politika može biti komplikovana.
port	luka	Brod je uplovio u luku.
portrait	portret	Portret visi u hodniku.
possibly	moguće	Moguće je da će stići kasno.
pot	saksija	Biljci treba veća saksija.
pour	sipati	Polako sipaj mleko.
poverty	siromaštvo	Mnoge porodice žive u siromaštvu.
powder	prah	Dodaj prah u vodu.
powerful	snažan	Motor je snažan.
practical	praktičan	Ovo je praktično rešenje.
pray	moliti se	Oni se mole svako jutro.
prayer	molitva	Tiho je izgovorila molitvu.
prediction	predviđanje	Njegovo predviđanje je bilo tačno.
prepared	spreman	Spreman sam za ispit.
presentation	prezentacija	Njena prezentacija je bila jasna.
press	pritisnuti	Pritisni dugme jednom.
pressure	pritisak	Pritisak može uticati na tvoje zdravlje.
pretend	pretvarati se	Nemoj da se pretvaraš da spavaš.
previous	prethodni	Prethodna lekcija je bila lakša.
previously	prethodno	Prethodno smo živeli u Rimu.
priest	sveštenik	Sveštenik je govorio tiho.
