source_headword	HU	example_HU
absolutely	teljesen	Teljesen egyetértek veled.
academic	akadémiai	Az akadémiai év szeptemberben kezdődik.
access	hozzáférés	A diákoknak hozzáférés kell a könyvtárhoz.
accommodation	szállás	Szállást foglaltunk az állomás közelében.
account	számla	Új bankszámlát nyitott.
achievement	eredmény	A tanfolyam befejezése nagy eredmény volt.
ad	reklám	A reklám egy új telefont mutatott.
addition	kiegészítés	A medence hasznos kiegészítés.
admire	csodálni	Csodálom a nyugodt hozzáállását.
admit	beismerni	Beismerte a hibáját.
advanced	haladó	Ez egy haladó angol tanfolyam.
advise	tanácsolni	Az orvosok rendszeres mozgást tanácsolnak.
afford	megengedhet magának	Nem engedhetünk meg magunknak taxit.
aged	éves	A tanfolyam tízéves gyerekeknek szól.
agent	ügynök	Az utazási ügynök módosította a jegyeinket.
agreement	megállapodás	Ma megállapodást kötöttek.
ahead	előttünk	Az előttünk lévő út szabad.
aim	törekedni	Arra törekszünk, hogy hamarosan végezzünk.
alarm	ébresztő	Az ébresztő hatkor csörgött.
album	album	Ennek az albumnak tíz dala van.
alcohol	alkohol	A szálloda nem szolgál fel alkoholt.
alcoholic	alkoholos	Ez az ital nem alkoholos.
amazed	lenyűgözött	Lenyűgözte az eredmény.
ambition	ambíció	Az ambíciója az, hogy pilóta legyen.
ambitious	ambiciózus	Ambiciózus terve van.
analyse	elemezni	Elemeznünk kell az eredményeket.
analysis	elemzés	Az elemzése világos és alapos volt.
announce	bejelenteni	Holnap bejelentik a győztest.
announcement	bejelentés	A bejelentés mindenkit meglepett.
annoy	bosszantani	A hangos zene bosszanthatja a szomszédokat.
annoyed	bosszús	A késés után bosszúsnak tűnt.
annoying	bosszantó	Ez a hang igazán bosszantó.
apart	egymástól	A házak két méterre vannak egymástól.
apologize	bocsánatot kérni	Bocsánatot kérek a késésért.
application	jelentkezés	Töltsd ki a jelentkezést online.
appointment	időpont	Holnap időpontom van a fogorvosnál.
appreciate	értékelni	Értékelem a segítségedet.
approximately	körülbelül	A séta körülbelül húsz percig tart.
arrest	letartóztatni	A rendőrség letartóztatta a sofőrt.
arrival	érkezés	Az érkezésünk később volt a vártnál.
assignment	feladat	A feladatot pénteken kell leadni.
assist	segíteni	Az ápolók segítenek az orvosnak.
atmosphere	légkör	A kávézónak nyugodt légköre van.
attach	csatolni	Csatold a fájlt az e-mailedhez.
attitude	hozzáállás	A hozzáállása megváltozott a találkozó után.
attract	vonzani	Az élénk virágok vonzzák a méheket.
attraction	látnivaló	A vár népszerű látnivaló.
authority	hatóság	A helyi hatóság megjavította az utat.
aware	tudatában van	Tudatában van a kockázatnak.
backwards	hátrafelé	Óvatosan hátrafelé lépett.
bake	sütni	Minden vasárnap kenyeret sütök.
balance	egyensúly	A jó cipő segít megtartani az egyensúlyt.
ban	betiltani	A város betiltja az autókat.
bank (river)	part	A folyó partján ültünk.
base	bázis	A csapat visszatért a bázisra.
basic	alapvető	Mindenkinek szüksége van alapvető számítógépes készségekre.
basis	alap	A bizalom a barátság alapja.
battery	akkumulátor	A telefonom akkumulátora gyenge.
battle	csata	A csata egész éjjel tartott.
beauty	szépség	Megcsodáltuk a hegyek szépségét.
bee	méh	Egy méh leszállt a virágra.
belief	hit	A hite bátorságot adott neki.
bell	csengő	Az iskolai csengő hangosan szólt.
bend	behajlítani	Emeléskor hajlítsd be a térdedet.
bite	megharapni	A kutya megharaphat idegeneket.
block	elzárni	A kidőlt fa elzárta az utat.
bomb	bomba	A bomba több épületet megrongált.
border	határ	Éjjel lépték át a határt.
bother	zavarni	Kérlek, ne zavard a húgodat.
branch	ág	Egy ág eltört a viharban.
brand	márka	Ez a márka népszerű a diákok körében.
brave	bátor	A bátor férfi megmentette a gyereket.
breath	lélegzet	Vegyél egy mély lélegzetet.
breathe	lélegezni	Nem tudok lélegezni ebben a füstben.
breathing	légzés	A légzése lassú volt.
bride	menyasszony	A menyasszony fehér ruhát viselt.
bubble	buborék	Egy buborék lebegett a pohár felett.
bury	eltemetni	A dobozt eltemették a homokba.
calm	nyugodt	Maradj nyugodt a vizsga alatt.
campaign	kampány	A kampány pénzt gyűjtött az iskoláknak.
campus	kampusz	A diákok a kampusz közelében laknak.
candidate	jelölt	Minden jelölt három kérdésre válaszolt.
cap	sapka	Baseballsapkát viselt.
captain	kapitány	A kapitány beszélt a csapathoz.
careless	gondatlan	Egy gondatlan hiba időnkbe került.
category	kategória	Válaszd ki a megfelelő kategóriát.
ceiling	mennyezet	A mennyezetet fehérre festették.
celebration	ünneplés	Az ünneplés egész este tartott.
central	központi	A szálloda központi helyen van.
ceremony	szertartás	A szertartás délben kezdődött.
chain	lánc	Ezüst láncot viselt.
challenge	kihívás	Ez a projekt igazi kihívás.
champion	bajnok	A bajnok megköszönte az edzőnek.
channel	csatorna	Kérlek, válts csatornát.
chapter	fejezet	Olvasd el ma este a következő fejezetet.
charge	díj	Gyerekeknek nincs díj.
cheat	csalni	Ne csalj a teszten.
cheerful	vidám	Ma reggel vidámnak hangzott.
chemical	vegyi	A vegyi szag erős volt.
chest	mellkas	Futás után fájt a mellkasa.
childhood	gyermekkor	Emlékszem a gyermekkori otthonomra.
claim	állítani	Azt állítják, hogy a termék biztonságos.
clause	tagmondat	Ez a tagmondat megváltoztatja a jelentést.
click	kattintani	Kattints a kék gombra.
client	ügyfél	Az ügyfél több részletet kért.
cloth	rongy	Töröld le az asztalt ezzel a ronggyal.
clue	nyom	A nyom segített megoldani.
coal	szén	A régi vonat szenet használt.
coin	érme	Egy érmét talált a padlón.
collection	gyűjtemény	A bélyeggyűjteménye nagy.
coloured	színes	Színes sálat viselt.
combine	összekeverni	Keverd össze a lisztet és a vizet.
commercial	kereskedelmi	A reklámszünet öt percig tartott.
commit	elköteleződni	El kell köteleződnünk a terv mellett.
communication	kommunikáció	A jó kommunikáció megelőzi a hibákat.
comparison	összehasonlítás	Ez az összehasonlítás hasznos.
competitive	versengő	A piac nagyon versengő.
competitor	versenytárs	A fő versenytársunk csökkentette az árakat.
complaint	panasz	Panaszt tett a zaj miatt.
complex	összetett	Az utasítások túl összetettek.
concentrate	koncentrálni	Nem tudok koncentrálni, amikor zene szól.
conclude	lezárni	Most lezárjuk a találkozót.
conclusion	következtetés	A következtetése ésszerűnek tűnt.
confident	magabiztos	Magabiztosnak érezte magát az interjú előtt.
confirm	megerősíteni	Kérlek, erősítsd meg az e-mail-címedet.
confuse	összezavarni	Ez a két név összezavar.
confused	zavart	Zavartnak éreztem magam a térkép alapján.
connection	kapcsolat	Az internetkapcsolat lassú.
consequence	következmény	Az alváshiánynak következményei vannak.
consist	áll valamiből	Az étel három fogásból áll.
consume	fogyasztani	A nagy autók több üzemanyagot fogyasztanak.
consumer	fogyasztó	A fogyasztó világos információt akar.
contact	kapcsolatba lépni	Ebéd után lépj kapcsolatba velem.
container	tároló	Tedd a levest egy tárolóba.
content1	tartalom	A tanfolyam tartalma hasznos.
continuous	folyamatos	A gép folyamatos zajt adott.
contrast	ellentét	Az ellentét köztük világos.
convenient	kényelmes	Az állomás nagyon kényelmes.
convince	meggyőzni	Meggyőzte, hogy próbálja meg újra.
costume	jelmez	Kalózjelmezt viselt.
cottage	nyaraló	Egy kis nyaralót béreltek.
cotton	pamut	Ez az ing pamutból készült.
countryside	vidék	A vidéken sétáltunk.
court	bíróság	Az ügy bíróság elé került.
covered	borított	Az asztalt papírok borították.
cruel	kegyetlen	Kegyetlen volt nevetni.
cultural	kulturális	A múzeum kulturális eseményeket kínál.
currency	pénznem	A helyi pénznem az euró.
current	jelenlegi	A jelenlegi helyzet nehéz.
currently	jelenleg	Jelenleg külföldön tanul.
curtain	függöny	Húzd be a függönyt éjszakára.
custom	szokás	Ez a szokás nagyon régi.
damage	kár	A vihar komoly kárt okozott.
decade	évtized	Egy évtizedig éltek ott.
decorate	díszíteni	Együtt díszítjük a szobát.
define	meghatározni	Meg tudod határozni ezt a fogalmat?
definite	határozott	Határozott válaszra van szükségünk.
definition	meghatározás	Írd le a meghatározást a füzetbe.
deliver	kézbesíteni	Házhoz kézbesítik az ételt.
departure	indulás	Az indulás ideje megváltozott.
despite	ellenére	Az eső ellenére gyalog mentünk.
destination	úti cél	Párizs volt a végső úti céljuk.
determine	meghatározni	A tesztek meghatározzák a szintedet.
determined	elszánt	Elszánt volt a sikerre.
development	fejlődés	A város fejlődése gyors volt.
diagram	ábra	Rajzolj egy egyszerű ábrát.
diamond	gyémánt	A gyűrűben egy kis gyémánt volt.
difficulty	nehézség	Nehézsége volt kinyitni az ajtót.
directly	közvetlenül	Kérlek, beszélj közvetlenül velem.
dirt	kosz	A cipőjét kosz borította.
disadvantage	hátrány	A hosszú út hátrány.
disappointed	csalódott	Csalódott volt az eredmény miatt.
disappointing	csalódást keltő	A befejezés csalódást keltő volt.
discount	kedvezmény	A diákok itt kedvezményt kapnak.
dislike	nem kedvelni	Nem kedvelem a nagyon hangos zenét.
divide	felosztani	Oszd fel a tortát darabokra.
documentary	dokumentumfilm	Dokumentumfilmet néztünk az űrről.
donate	adományozni	Sokan régi ruhákat adományoznak.
doubt	kétség	Nincs kétségem efelől.
dressed	felöltözött	Feketébe volt öltözve.
drum	dob	A dob hangja betöltötte a szobát.
drunk	részeg	A sofőr részeg volt.
due	esedékes	A jelentés holnap esedékes.
dust	por	A régi könyveket por borította.
