source_headword	NO	example_NO
fridge	et kjøleskap	Melken står i kjøleskapet.
frog	en frosk	En frosk hoppet ned i dammen.
furniture	møbler	Disse møblene er gamle, men sterke.
further	videre; ytterligere	Vi trenger ytterligere informasjon.
gallery	et galleri	Galleriet er åpent i dag.
gap	et gap; et mellomrom	Det er et gap i veggen.
gas	bensin; gass	Bilen trenger bensin.
gate	en port	Lukk porten, takk.
general	generell	Dette er en generell regel.
gift	en gave	Hun kjøpte en gave.
goal	et mål	Målet vårt er enkelt.
god	Gud; en gud	Mange mennesker ber til Gud.
gold	gull; gyllen	Ringen er av gull.
golf	golf	Han spiller golf i dag.
government	en regjering	Regjeringen endret loven.
grass	gress	Gresset er vått.
greet	hilse på	Hils høflig på hver gjest.
ground	bakken; jorden	Sett deg på bakken.
guest	en gjest	Gjesten vår kom tidlig.
guide	en guide; en veiledning	Guiden viste oss museet.
gun	et skytevåpen	Politiet fant et skytevåpen.
guy	en fyr; en mann	Den fyren er broren min.
habit	en vane	Å lese hver dag er en god vane.
hall	en hall; en gang	Vent i gangen.
happily	lykkelig	De levde lykkelig sammen.
headache	hodepine	Jeg har hodepine.
heart	et hjerte	Hjertet hennes slår fort.
heat	varme; varme opp	Varm suppen sakte.
heavy	tung	Denne vesken er tung.
height	en høyde	Mål høyden på bordet.
helpful	hjelpsom; nyttig	Rådet ditt er veldig nyttig.
hero	en helt	Han er helten min.
hers	hennes	Den blå kåpen er hennes.
herself	seg selv	Hun laget middagen selv.
hide	skjule; gjemme seg	Skjul nøkkelen under boksen.
hill	en bakke; en ås	Vi gikk opp bakken.
himself	seg selv	Han reparerte det selv.
hit	slå; treffe	Ikke slå på døren.
hockey	hockey	Vi så på hockey i går kveld.
hold	holde	Hold hånden min.
hole	et hull	Det er et hull i sokken min.
huge	enorm	Rommet var enormt.
human	et menneske; menneskelig	Hvert menneske trenger vann.
hurt	gjøre vondt; skade	Kneet mitt gjør vondt.
ideal	ideell	Dette rommet er ideelt for studier.
identify	identifisere; kjenne igjen	Kan du kjenne igjen denne fuglen?
ill	syk	Hun føler seg syk i dag.
illness	en sykdom	Sykdommen varte i en uke.
image	et bilde	Bildet er tydelig.
immediately	umiddelbart	Kom hit umiddelbart.
impossible	umulig	Dette puslespillet virker umulig.
included	inkludert	Frokost er inkludert.
including	inkludert	Ti personer kom, inkludert meg.
increase	øke; en økning	Prisene øker om sommeren.
incredible	utrolig; fantastisk	Utsikten var utrolig.
independent	uavhengig; selvstendig	Søsteren min er selvstendig.
individual	et individ; individuell	Hvert individ har et nummer.
industry	en industri	Den lokale industrien vokser.
informal	uformell	Denne e-posten er uformell.
injury	en skade	Skaden er ikke alvorlig.
insect	et insekt	Et insekt landet på koppen.
inside	inni; inne	Vent inne i huset.
instead	i stedet	Drikk vann i stedet.
instruction	en instruksjon	Les hver instruksjon nøye.
instructor	en instruktør	Instruktøren forklarte øvelsen.
instrument	et instrument	Hun spiller et instrument.
intelligent	intelligent	Hun er en intelligent elev.
international	internasjonal	Dette er en internasjonal flyplass.
introduction	en innledning; en introduksjon	Innledningen var kort.
invent	finne opp	Barna kan finne opp et nytt spill.
invention	en oppfinnelse	Oppfinnelsen sparer tid.
invitation	en invitasjon	Jeg fikk en invitasjon.
invite	invitere	Inviter vennen din også.
involve	involvere; innebære	Jobben innebærer reising.
item	en ting; et element	Velg én ting.
itself	seg selv	Maskinen slo seg av selv.
jam	syltetøy	Smør syltetøy på brødet.
jazz	jazz	Jazz høres bra ut i kveld.
jewellery	smykker	Hun oppbevarer smykker i en eske.
joke	en vits	Fortell meg en vits.
journalist	en journalist	Journalisten stilte et spørsmål.
jump	hoppe	Hopp over linjen.
kid	et barn	Barnet ler.
kill	drepe	Ikke drep insektet.
king	en konge	Kongen bodde i et palass.
knee	et kne	Kneet mitt gjør vondt.
knife	en kniv	Bruk en skarp kniv.
knock	banke	Bank før du går inn.
knowledge	kunnskap	Kunnskap vokser med øvelse.
lab	et laboratorium; en lab	Laboratoriet er stengt.
lady	en dame; en kvinne	Damen smilte til oss.
lake	en innsjø	Innsjøen er rolig.
lamp	en lampe	Slå på lampen.
laptop	en bærbar datamaskin	Den bærbare datamaskinen min er ny.
last1 (taking time)	vare	Filmen varte i to timer.
laughter	latter	Vi hørte latter utenfor.
law	en lov	Loven endret seg i går.
lawyer	en advokat	Advokaten ringte meg.
lazy	lat	Ikke vær lat.
lead1	lede	En god leder leder ved eksempel.
leader	en leder	Hun er lagets leder.
learning	læring	Å lære tar tid.
least	minst	Velg det minst dyre.
lecture	en forelesning	Forelesningen starter klokken ti.
lemon	en sitron	Ha sitron i teen.
lend	låne ut	Kan du låne meg fem dollar?
less	mindre	Spis mindre sukker.
level	et nivå	Dette nivået er lett.
lifestyle	en livsstil	Han har en sunn livsstil.
lift	løfte; en heis	Løft boksen forsiktig.
light	tenne; slå på	Tenn lyset forsiktig.
light (not heavy)	lett	Denne vesken er lett.
likely	sannsynlig	Det regner sannsynligvis i morgen.
link	en lenke	Send meg lenken.
listener	en lytter	Vær en god lytter.
lock	låse; en lås	Lås døren.
lorry	en lastebil	Lastebilen fraktet esker.
lost	bortkommen; vill	Vi gikk oss vill.
loud	høy; høylytt	Musikken er høy.
loudly	høyt	Ikke snakk så høyt, takk.
lovely	nydelig; fin	For en fin hage!
low	lav	Stolen er lav.
luck	flaks; hell	Lykke til på prøven.
lucky	heldig	Du er heldig i dag.
mail	post; et brev	Jeg fikk post i morges.
major	stor; viktig	Dette er et stort problem.
male	mannlig; en hann	Hannfuglen er fargerik.
manage	håndtere; klare	Kan du klare denne oppgaven?
manager	en leder; en sjef	Sjefen er opptatt.
manner	en måte; oppførsel	Snakk på en høflig måte.
mark	merke; en karakter	Merk svaret ditt tydelig.
marry	gifte seg	De skal gifte seg i juni.
material	et materiale	Dette materialet føles mykt.
mathematics	matematikk	Matematikk er favorittfaget mitt.
maths	matematikk	Matematikk er vanskelig for meg.
matter	en sak; bety noe	Det spiller ingen rolle.
may modal	få lov; kan	Du kan gå nå.
media	medier	Mediene dekket historien.
medical	medisinsk	Hun trenger medisinsk hjelp.
medicine	medisin	Ta denne medisinen etter lunsj.
memory	et minne; hukommelse	Hukommelsen min er god.
mention	nevne	Ikke nevn navnet mitt.
metal	metall	Porten er laget av metall.
method	en metode	Denne metoden fungerer godt.
middle	midten	Stå i midten.
might modal	kanskje; kan	Det kan regne senere.
mind	et sinn; en mening	Jeg ombestemte meg.
mine (belongs to me)	min; mitt	Denne boken er min.
mirror	et speil	Se i speilet.
missing	savnet; borte	Nøklene mine er borte.
mobile	en mobiltelefon	Mobiltelefonen min ligger på bordet.
monkey	en ape	Apen klatret opp i treet.
moon	månen	Månen er lys.
mostly	for det meste	Klassen var for det meste stille.
motorcycle	en motorsykkel	Han kjører motorsykkel.
movement	en bevegelse	Jeg så en bevegelse i trærne.
musical	en musikal; musikalsk	Dette er en musikalsk film.
musician	en musiker	Musikeren spilte gitar.
myself	meg selv	Jeg laget dette selv.
narrow	smal	Veien er smal.
national	nasjonal	Dette er en nasjonal høytidsdag.
nature	natur	Jeg elsker naturen.
nearly	nesten	Vi er nesten framme.
necessary	nødvendig	Er dette nødvendig?
neck	en nakke; en hals	Nakken min gjør vondt.
neither	ingen av dem	Ingen av svarene er riktige.
nervous	nervøs	Hun føler seg nervøs.
network	et nettverk	Nettverket er nede.
noise	støy; en lyd	Jeg hørte en høy lyd.
noisy	bråkete	Gaten er bråkete.
none	ingen	Ingen av dem kom.
normal	normal	Dette er normalt.
normally	vanligvis	Jeg står vanligvis tidlig opp.
notice	legge merke til; en beskjed	La du merke til skiltet?
novel	en roman	Hun skrev en roman.
nowhere	ingen steder	Det var ingen steder å sitte.
nut	en nøtt	Nøtten er hard.
ocean	et hav	Havet er dypt.
offer	tilby; et tilbud	Jeg tok imot tilbudet.
officer	en politibetjent; en offiser	Politibetjenten sjekket billetten min.
oil	olje	Ha olje i pannen.
onto	på; opp på	Legg det på hyllen.
opportunity	en mulighet; en sjanse	Dette er en god mulighet.
option	et alternativ	Velg det beste alternativet.
ordinary	vanlig	Det var en vanlig dag.
organization	en organisasjon	Organisasjonen hjelper studenter.
organize	organisere; ordne	Ordne filene, takk.
original	opprinnelig; original	Behold originalkvitteringen.
ourselves	oss selv	Vi laget middagen selv.
oven	en ovn	Ovnen er varm.
owner	en eier	Eieren åpnet butikken.
pack	pakke; en pakke	Pakk vesken din nå.
pain	smerte	Jeg kjenner smerte i ryggen.
painter	en maler	Maleren fullførte veggen.
palace	et palass	Palasset er gammelt.
pants	bukser	Disse buksene er for lange.
parking	parkering	Parkering er vanskelig her.
particular	bestemt; spesiell	Jeg trenger en bestemt bok.
pass	gi; passere	Gi meg saltet.
passenger	en passasjer	Hver passasjer trenger en billett.
patient	en pasient; tålmodig	Vær tålmodig med barna.
pattern	et mønster	Dette mønsteret er enkelt.
peace	fred; ro	Vi ønsker alle fred.
penny	en liten mynt	Jeg fant en liten mynt.
per	per; for	Billetten koster ti dollar per person.
per cent	prosent	Fem prosent er lite.
perform	opptre; utføre	Bandet opptrer i kveld.
perhaps	kanskje	Kanskje hun er hjemme.
permission	tillatelse	Be om tillatelse først.
personality	en personlighet	Hun har en vennlig personlighet.
pet	et kjæledyr	Kjæledyret mitt er en katt.
petrol	bensin	Bilen trenger bensin.
physical	fysisk	Fysisk trening hjelper helsen.
physics	fysikk	Fysikk er vanskelig.
pick	velge; plukke	Velg ett kort.
pilot	en pilot	Piloten snakket tydelig.
planet	en planet	Jorden er en planet.
plastic	plast; plast-	Flasken er laget av plast.
plate	en tallerken	Legg maten på tallerkenen.
platform	en plattform; en perrong	Vent på perrong to.
pleased	glad; fornøyd	Jeg er glad for å møte deg.
pocket	en lomme	Billetten ligger i lommen min.
polite	høflig	Vær høflig mot alle.
pollution	forurensning	Forurensning skader havet.
pop	pop; popmusikk	Jeg liker popmusikk.
population	en befolkning	Befolkningen øker.
position	en posisjon	Endre posisjonen din.
possession	en eiendel	Denne ringen er min eiendel.
possibility	en mulighet	Det er en mulighet for regn.
poster	en plakat	Heng plakaten på veggen.
power	strøm; kraft	Datamaskinen trenger strøm.
predict	forutsi	Vi kan ikke forutsi været.
president	en president	Presidenten holdt en tale.
prevent	forhindre	Vask hendene for å forhindre sykdom.
print	skrive ut	Skriv ut dokumentet.
printer	en skriver	Skriveren er ødelagt.
prison	et fengsel	Han havnet i fengsel.
prize	en pris	Hun vant en pris.
process	en prosess	Prosessen tar tid.
produce	produsere	Gårder produserer mat.
professional	profesjonell; en fagperson	Hun er en profesjonell danser.
professor	en professor	Professoren svarte på spørsmålet.
profile	en profil	Oppdater profilen din.
