source_headword	SR	example_SR
prey	плен	Сове ноћу лове плен.
privatization	приватизација	Приватизација је променила железнички систем.
privilege	привилегија	Образовање не би требало да буде привилегија.
probe	истрага	Истрага је открила озбиљне грешке.
problematic	проблематичан	Споразум остаје проблематичан.
proceedings	поступак	Судски поступак почео је у понедељак.
proceeds	приход	Приход ће подржати локалне школе.
processing	обрада	Обрада слике захтева време.
processor	процесор	Процесор је отказао током тестирања.
proclaim	прогласити	Лидери прерано проглашавају победу.
productive	продуктиван	Састанак је био продуктиван.
productivity	продуктивност	Продуктивност се побољшала након обуке.
profitable	профитабилан	Продавница је ове године постала профитабилна.
profound	дубок	Говор је имао дубок ефекат.
projection	пројекција	Пројекција показује сталан раст.
prominent	истакнут	Постала је истакнута научница.
pronounced	изражен	Његов акценат је постао израженији.
propaganda	пропаганда	Кампања је користила пропаганду на интернету.
proposition	предлог	Предлог је ризичан подухват.
prosecute	кривично гонити	Званичници кривично гоне озбиљне случајеве преваре.
prosecution	тужилаштво	Тужилаштво је представило нове доказе.
prosecutor	тужилац	Тужилац је испитао сведока.
prospective	потенцијални	Потенцијални студенти обишли су кампус.
prosperity	просперитет	Трговина је донела просперитет региону.
protective	заштитни	Носила је заштитне рукавице.
protocol	протокол	Протокол захтева писмено одобрење.
province	покрајина	Покрајина је уложила у превоз.
provincial	покрајински	Покрајински званичници најавили су план.
provision	одредба	Уговор укључује безбедносну одредбу.
provoke	изазвати	Говор може изазвати оштре реакције.
psychiatric	психијатријски	Болница је отворила психијатријско одељење.
pulse	пулс	Медицинска сестра му је проверила пулс.
pump	пумпа	Пумпа потискује воду нагоре.
punch	ударац	У бесу је задао ударац.
query	упит	Пошаљите свој упит подршци.
quest	потрага	Њихова потрага за правдом се наставила.
quota	квота	Тим је испунио своју продајну квоту.
radar	радар	Олуја се појавила на радару.
radical	радикалан	Група је предложила радикалне реформе.
rage	бес	Његов бес је брзо нестао.
raid	рација	Полиција је спровела рацију у зору.
rally	скуп	Присталице су се придружиле скупу у центру града.
ranking	ранг	Универзитет је побољшао свој ранг.
rape	силовање	Случајеви силовања захтевају пажљиву истрагу.
ratio	однос	Разред има низак однос наставника и ученика.
rational	рационалан	Њена одлука је била рационална.
ray	зрак	Ушао је зрак сунца.
readily	спремно	Спремно је прихватио понуду.
realization	спознаја	Та спознаја јој је променила планове.
realm	област	Ово питање припада другој области.
rear	задњи	Данас користите задњи улаз.
reasoning	закључивање	Његово закључивање је било јасно.
reassure	умирити	Лекар је покушао да је умири.
rebel	побуњеник	Вођа побуњеника је избегао хапшење.
rebellion	побуна	Побуна је завршена након преговора.
recipient	прималац	Прималац је потписао образац.
reconstruction	реконструкција	Реконструкција је почела након поплаве.
recount1	препричати	Она може јасно да преприча догађаје.
referendum	референдум	Референдум је поделио земљу.
reflection	размишљање	Есеј је захтевао дубље размишљање.
reform	реформа	Реформа је побољшала јавне услуге.
refuge	уточиште	Породица је потражила уточиште у иностранству.
refusal	одбијање	Њено одбијање је изненадило одбор.
regain	повратити	Напорно је радио да поврати поверење.
regardless	без обзира на то	Наставили су без обзира на критике.
regime	режим	Режим је ограничио слободу говора.
regulator	регулатор	Регулатор је казнио компанију.
regulatory	регулаторни	Регулаторно одобрење је трајало месецима.
rehabilitation	рехабилитација	Рехабилитација му је помогла да поново хода.
reign	владавина	Краљева владавина је трајала деценијама.
rejection	одбијање	Одбијање јој је нарушило самопоуздање.
relevance	релевантност	Подаци имају ограничену релевантност.
reliability	поузданост	Поузданост је важна у системима за хитне случајеве.
reluctant	невољан	Био је невољан да говори.
remainder	остатак	Остатак је отишао у хуманитарне сврхе.
remains	остаци	Остаци су пажљиво испитани.
remedy	правни лек	Закон предвиђа правни лек.
reminder	подсетник	И-мејл је био користан подсетник.
removal	уклањање	Уклањање препрека је помогло трговини.
render	учинити	Грешка је уговор учинила неважећim.
renew	обновити	Ускоро обновите пасош.
renowned	познат	Позната је по свом истраживању.
rental	најам	Најам укључује осигурање.
replacement	замена	Заменски део је стигао данас.
reportedly	наводно	Министар је наводно јуче поднео оставку.
representation	заступљеност	Праведна заступљеност остаје важна.
reproduce	размножавати се	Ове биљке се брзо размножавају.
reproduction	репродукција	Дигитална репродукција је побољшала приступ.
republic	република	Република је одржала изборе.
resemble	личити	Два дизајна веома личе један на други.
reside	боравити	Они бораве близу границе.
residence	резиденција	Његова званична резиденција је под стражом.
residential	стамбени	Подручје је углавном стамбено.
residue	остатак	Средство за чишћење је оставило лепљив остатак.
resignation	оставка	Њена оставка је шокирала управни одбор.
resistance	отпор	Отпор према променама је био снажан.
respective	дотични	Вратили су се у своје канцеларије.
respectively	односно	Резултати су били 80, односно 90.
restoration	обнова	Обнова зграде је трајала годинама.
restraint	уздржаност	Полиција је показала уздржаност.
resume	наставити	Настава се наставља следеће недеље.
retreat	повлачење	Војска је започела повлачење.
retrieve	преузети	Преузела је датотеку.
revelation	откриће	Откриће му је нарушило углед.
revenge	освета	Желео је освету за увреду.
reverse	поништити	Суд је поништио одлуку.
revival	препород	Град је доживео економски препород.
revive	оживети	Фестивал је помогао да се оживе локалне традиције.
revolutionary	револуционаран	Изум је био револуционаран.
rhetoric	реторика	Његова реторика је звучала агресивно.
rifle	пушка	Пушка је била безбедно складиштена.
riot	неред	Неред је трајао неколико сати.
rip	поцепати	Пажљиво поцепајте папир.
ritual	ритуал	Ритуал означава жетву.
robust	робустан	Систем је робустан.
rock	уздрмати	Експлозија је уздрмала село.
rod	шипка	Завеса виси на шипки.
rotate	окретати	Полако окрећите ручку.
rotation	ротација	Плодоред штити тло.
ruling	пресуда	Суд је донео пресуду.
rumour	гласина	Гласина се брзо проширила.
sack	отпустити	Управа би могла да отпусти тренера.
