source_headword	ET	example_ET
toss	viskama	Ta viskas võtmed lauale.
total	kokku ulatuma	Remonditööd ulatuvad oodatust suurema summani.
toxic	mürgine	Mürgine suits sundis kõiki õue minema.
trademark	kaubamärk	Logost sai ettevõtte kaubamärk.
trail	rada	Rada viis läbi metsa.
trailer	treiler	Treiler näitas filmi lõppu.
transaction	tehing	Tehing ilmus minu pangakonto väljavõttele.
transcript	väljavõte	Üliõpilane küsis ametlikku väljavõtet.
transformation	muutus	Linnas toimus suur muutus.
transit	transiit	Pakk sai transiidi käigus kahjustada.
transmission	edastus	Andmete edastus oli turvaline.
transparency	läbipaistvus	Aruandes nõuti suuremat läbipaistvust.
transparent	läbipaistev	Protsess peaks olema kõigile läbipaistev.
trauma	trauma	Õnnetus jättis sügava trauma.
treaty	leping	Riigid allkirjastasid rahulepingu.
tremendous	tohutu	Meeskond tegi tohutuid edusamme.
tribal	hõimu-	Muuseumis oli näitusel hõimukunst.
tribunal	tribunal	Tribunal kuulas tõendeid kogu nädala.
tribute	austusavaldus	Kontsert oli austusavaldus talle.
trio	trio	Trio esines festivalil.
triumph	triumf	Võit oli isiklik triumf.
trophy	karikas	Kapten tõstis karika uhkusega.
troubled	raskustes	Raskustes ettevõte vajas uut juhtkonda.
trustee	usaldusisik	Usaldusisik haldab stipendiumifondi.
tuition	õppemaks	Tema õppemaks tõusis sel aastal.
turnout	osalus	Valimisosalus oli oodatust suurem.
turnover	voolavus	Töötajate voolavus vähenes pärast muudatusi.
twist	keerama	Ta keeras kaane lahti.
undergraduate	bakalaureusetudeng	Bakalaureusetudeng liitus uurimisprojektiga.
underlying	alus-	Aruanne selgitas aluspõhjuseid.
undermine	õõnestama	Skandaal õõnestas avalikkuse usaldust.
undoubtedly	kahtlemata	Ta on kahtlemata parim kandidaat.
unify	ühendama	Plaani eesmärk on meeskonnad ühendada.
unprecedented	enneolematu	Torm põhjustas enneolematut kahju.
unveil	avalikustama	Ettevõte avalikustab kujunduse homme.
upcoming	eelseisev	Eelseisvad valimised tõmbasid avalikkuse tähelepanu.
upgrade	uuendama	Me uuendasime tarkvara eile õhtul.
uphold	jõusse jätma	Me jätame algse otsuse jõusse.
utility	kommunaalteenus	Korter sisaldab kõiki kommunaalkulusid.
utilize	kasutama	Meeskond kasutas kättesaadavaid andmeid.
utterly	äärmiselt	Selgitus oli äärmiselt segadusse ajav.
vacuum	vaakum	Vaakum juhtimises tekitas pingeid.
vague	ebamäärane	Tema vastus oli ebamäärane ja nõrk.
validity	kehtivus	Uuring seadis testi kehtivuse kahtluse alla.
vanish	kaduma	Fail kadus kaustast.
variable	muutuja	Hind on üks oluline muutuja.
varied	mitmekesine	Kursus pakub mitmekesiseid ülesandeid.
vein	veen	Õde leidis veeni kiiresti.
venture	ettevõtmine	Uus ettevõtmine meelitas investoreid.
verbal	suuline	Nad jõudsid suulisele kokkuleppele.
verdict	kohtuotsus	Vandekohus langetas oma otsuse.
verify	kinnitama	Palun kinnitage oma e-posti aadress.
verse	salm	Ta tsiteeris luuletusest ühte salmi.
versus	versus	Arutelu teema oli privaatsus versus turvalisus.
vessel	laev	Laev vedas vilja üle mere.
veteran	veteran	Veteran koolitas uusi töötajaid.
viable	elujõuline	Ettepanek on rahaliselt elujõuline.
vibrant	elav	Linnal on elav kunstielu.
vice	pahe	Ahnus oli tema suurim pahe.
vicious	jõhker	Jõhker rünnak šokeeris linna.
villager	külaelanik	Külaelanik juhatas meid jõe äärde.
violate	rikkuma	Ettevõte võib ohutusreegleid rikkuda.
violation	rikkumine	Inspektor teatas tõsisest rikkumisest.
virtue	voorus	Kannatlikkus on oluline voorus.
vocal	häälekas	Ta oli otsuse suhtes häälekas.
vow	tõotama	Ta tõotas töö lõpetada.
vulnerability	haavatavus	Audit paljastas turvaaugu.
vulnerable	haavatav	Lapsed on äärmise kuumuse ajal haavatavad.
ward	palat	Patsient viidi teise palatisse.
warehouse	ladu	Laos hoitakse varuosi.
warfare	sõjapidamine	Kaasaegne sõjapidamine tugineb tehnoloogiale.
warrant	order	Politsei näitas läbiotsimisorderit.
warrior	sõdalane	Sõdalane kaitses küla.
weaken	nõrgenema	Vigastus nõrgendas tema haaret.
weave	punuma	Ta õppis korve punuma.
weed	umbrohi	Kivide vahel kasvas umbrohi.
well	kaev	Küla kaev kuivas.
well-being	heaolu	Uni on heaolu jaoks hädavajalik.
whatsoever	üldsegi	Ta ei näidanud üldsegi mingit huvi.
whereby	mille kohaselt	Seadus lõi süsteemi, mille kohaselt pered saaksid edasi kaevata.
whilst	samal ajal kui	Ta töötas, samal ajal kui mees puhkas.
whip	piitsutama	Tuul võib lippe piitsutada.
wholly	täielikult	Otsus oli täielikult ootamatu.
widen	laiendama	Linn plaanib teed laiendada.
widow	lesk	Lesk elab kooli lähedal.
width	laius	Mõõda ukse laius.
willingness	valmisolek	Tema valmisolek aidata avaldas kõigile muljet.
wipe	pühkima	Pühi ekraani lapiga.
wit	vaimukus	Tema vaimukus tegi kõne elavaks.
withdrawal	tagasivõtmine	Rahastamise tagasivõtmine lükkas projekti edasi.
workout	treening	Treening kestis nelikümmend minutit.
worship	jumalateenistus	Inimesed kogunesid koidikul jumalateenistusele.
worthwhile	väärtuslik	Reis oli seda väärt.
worthy	vääriline	See heategevus on toetust väärt.
yell	karjuma	Ära karju töötajate peale.
yield	saak	Talu saak paranes sel hooajal.
youngster	nooruk	Nooruk esitas palju küsimusi.
