source_headword	FI	example_FI
institute	instituutti	Instituutti avasi uuden tutkimusohjelman.
institution	instituutio	Instituutio muutti valintasääntöjään.
insurance	vakuutus	Hänen vakuutuksensa korvasi sairaalakulut.
intended	tarkoitettu	Viesti saavutti tarkoitetun yleisönsä.
intense	kiivas	Keskustelusta tuli nopeasti kiivas.
internal	sisäinen	Yritys aloitti sisäisen tutkinnan.
interpret	tulkita	Tulkitse tuloksia huolellisesti.
interrupt	keskeyttää	Älä keskeytä puhujaa nyt.
investigation	tutkinta	Tutkinta paljasti vakavia virheitä.
investment	investointi	Investointi loi monia paikallisia työpaikkoja.
joy	ilo	Heidän menestyksensä toi suurta iloa.
judgement	arvostelukyky	Hänen arvostelykykynsä parani kokemuksen myötä.
junior	nuorempi	Hän liittyi tiimiin nuorempana analyytikkona.
justice	oikeus	Perhe vaati oikeutta oikeudenkäynnin jälkeen.
justify	perustella	Sinun täytyy perustella tuo päätös selkeästi.
labour	työvoima	Projekti vaatii ammattitaitoista työvoimaa.
landscape	maisema	Maisema muuttui myrskyn jälkeen.
largely	suurelta osin	Suunnitelma oli suurelta osin onnistunut.
launch	lanseerata	He lanseeraavat tuotteen huomenna.
leadership	johtajuus	Vahva johtajuus auttoi tiimiä toipumaan.
league	liiga	Seuramme liittyi alueliigaan.
lean	nojata	Älä nojaa märkää seinää vasten.
licence	lisenssi	Lisenssi vanhenee ensi kuussa.
limited	rajallinen	Meillä on tänään rajallisesti aikaa.
lively	vilkas	Kokouksesta tuli vilkas lounaan jälkeen.
load	kuorma	Kuorma-auto kuljetti painavaa kuormaa.
loan	laina	Pankki hyväksyi lainan.
logical	looginen	Hänen perustelunsa oli selkeä ja looginen.
long-term	pitkäaikainen	Tämä on pitkäaikainen ratkaisu.
loose	löysä	Kahva tuntuu löysältä.
lord	herra	Herra omisti useita kyliä.
lower	laskea	He laskevat hintoja talven aikana.
lung	keuhko	Tupakointi voi vahingoittaa keuhkoa.
maintain	ylläpitää	Ylläpidämme säännöllistä yhteyttä.
majority	enemmistö	Enemmistö tuki ehdotusta.
mass	massa	Pilvimassa peitti taivaan.
massive	massiivinen	Maanjäristys aiheutti massiivista tuhoa.
master	mestari	Hänestä tuli neuvottelujen mestari.
matching	yhteensopiva	Hänellä oli yhteensopivat kengät ja vyö.
maximum	maksimi	Huone saavutti maksimikapasiteetin.
means	keino	Sähköposti on pääasiallinen yhteydenpitokeinomme.
measurement	mittaus	Mittaus oli hieman väärin.
melt	sulaa	Lumi sulaa puoleenpäivään mennessä.
military	sotilaallinen	Sotilastukikohta suljettiin viime vuonna.
mineral	mineraali	Rauta on tärkeä mineraali.
minimum	minimi	Minimikaikä on kahdeksantoista.
minister	ministeri	Ministeri vastasi vaikeisiin kysymyksiin.
minor	vähäinen	Onnettomuus aiheutti vähäisiä vahinkoja.
minority	vähemmistö	Vähemmistö vastusti uutta sääntöä.
mission	tehtävä	Heidän tehtävänsä päättyi turvallisesti.
mixed	ristiriitainen	Uutinen sai ristiriitaisen vastaanoton.
modify	muokata	Voimme muokata suunnitelmaa myöhemmin.
monitor	seurata	Sairaanhoitaja seuraa hänen vointiaan.
moral	moraalinen	Tarinassa on moraalinen opetus.
motor	moottori	Moottori pysähtyi varoittamatta.
mount	asentaa	He asentavat kamerat sisäänkäynnin lähelle.
multiple	usea	Useat tekijät aiheuttivat viivästyksen.
multiply	kertoa	Kerro luku kymmenellä.
mysterious	salaperäinen	Ulkona näkyi salaperäinen valo.
neat	siisti	Hänen työpöytänsä on aina siisti.
nerve	hermo	Vamma vaurioitti hermoa.
nevertheless	silti	Tehtävä oli vaikea, mutta silti saimme sen valmiiksi.
nightmare	painajainen	Matkasta tuli painajainen.
notion	käsitys	Hylkää käsitys siitä, että muutos on mahdoton.
numerous	lukuisa	Lukuisat tutkimukset tukevat tätä ajatusta.
obey	totella	Kuljettajien on toteltava liikennemerkkejä.
objective	tavoite	Tavoitteemme on vähentää jätettä.
obligation	velvollisuus	Vanhemmilla on velvollisuus suojella lapsiaan.
observation	havainto	Hänen havaintonsa muutti keskustelua.
observe	tarkkailla	Tutkijat tarkkailevat lintuja joka kevät.
obtain	hankkia	Sinun on hankittava kirjallinen lupa.
occasionally	silloin tällöin	Hän työskentelee silloin tällöin kotoa käsin.
offence	loukkaus	Kommentti aiheutti vakavan loukkauksen.
offend	loukata	Tarkoitukseni ei ollut loukata ketään.
offensive	loukkaava	Juliste sisälsi loukkaavaa kieltä.
opening	avoin työpaikka	Avoin työpaikka houkutteli monia hakijoita.
operate	toimia	Kone voi toimia automaattisesti.
opponent	vastustaja	Hänen vastustajansa kritisoi politiikkaa.
oppose	vastustaa	Monet asukkaat vastustavat suunnitelmaa.
opposed	vastakkainen	Ryhmillä oli vastakkaisia näkemyksiä.
opposition	vastustus	Ehdotus kohtasi voimakasta vastustusta.
organ	elin	Sydän on elintärkeä elin.
origin	alkuperä	Tulipalon alkuperä on tuntematon.
otherwise	muuten	Lähde heti, muuten myöhästyt.
outcome	lopputulos	Lopputulos yllätti kaikki.
outer	ulompi	Ulkoseinä vaatii korjausta.
outline	hahmotella	Hahmottele pääargumenttisi.
overall	kokonaisvaltainen	Kokonaistulos oli positiivinen.
owe	olla velkaa	Olen sinulle anteeksipyynnön velkaa.
pace	tahti	Kävele tasaista tahtia.
panel	paneeli	Paneeli keskusteli ilmastopolitiikasta.
parliament	parlamentti	Parlamentti hyväksyi uuden lain.
participant	osallistuja	Jokainen osallistuja allekirjoitti lomakkeen.
partly	osittain	Viivästys oli osittain meidän syytämme.
passage	tekstikappale	Lue tekstikappale ennen vastaamista.
pension1	eläke	Hänen eläkkeensä elättää hänet eläkkeelle jäämisen jälkeen.
permanent	pysyvä	He tarvitsevat pysyvän ratkaisun.
permit	sallia	Säännöt sallivat lyhyet vierailut.
perspective	näkökulma	Yritä nähdä hänen näkökulmansa.
phase	vaihe	Projekti siirtyi viimeiseen vaiheeseensa.
phenomenon	ilmiö	Ilmiö esiintyy monissa kulttuureissa.
philosophy	filosofia	Hänen filosofiansa arvostaa käytännön toimintaa.
pile	pino	Työpöytää peitti paperipino.
pitch	kenttä	Joukkue valmisteli kentän huolellisesti.
plain	selkeä	Ohjeet olivat selkeät ja suorat.
pointed	terävä	Hän teki terävän huomautuksen.
popularity	suosio	Laulaja saavutti suosiota verkossa.
pose	aiheuttaa	Kysymys voi aiheuttaa ongelman.
possess	omata	Harvat opiskelijat omaavat sen taidon.
potential	potentiaali	Idealla on todellista potentiaalia.
praise	kehu	Opettaja antoi rehellistä kiitosta.
pregnant	raskaana	Hän on kuudennella kuulla raskaana.
preparation	valmistautuminen	Hyvä valmistautuminen vähentää stressiä.
presence	läsnäolo	Hänen läsnäolonsa muutti tunnelman.
preserve	säilyttää	Meidän täytyy säilyttää tämä historiallinen rakennus.
prime	pääasiallinen	Pääasiallinen syy oli huono suunnittelu.
principle	periaate	Päätös noudatti selkeää periaatetta.
priority	prioriteetti	Turvallisuus on ensimmäinen prioriteettimme.
privacy	yksityisyys	Asiakkaat odottavat yksityisyyttä verkossa.
procedure	toimenpide	Toimenpide kestää kolmekymmentä minuuttia.
proof	todiste	Tarvitsemme todisteita ennen kuin toimimme.
proposal	ehdotus	Ehdotus vaatii lisätietoja.
propose	ehdottaa	Ehdotan toisenlaista ratkaisua.
prospect	mahdollisuus	Epäonnistumisen mahdollisuus huolestutti heitä.
protection	suoja	Kypärä antaa perussuojan.
psychologist	psykologi	Psykologi selitti testitulokset.
psychology	psykologia	Hän opiskelee psykologiaa yliopistossa.
publication	julkaisu	Julkaisu herätti yleisön huomion.
pupil	oppilas	Jokainen oppilas sai uuden oppikirjan.
purchase	ostaa	He ostavat tarvikkeita joka kuukausi.
pure	puhdas	Vesi oli puhdasta ja kylmää.
pursue	pyrkiä	Hän pyrkii lääkärin uraan.
rank	arvo	Hänellä on korkea arvo.
rapid	nopea	Maa koki nopeaa kasvua.
rapidly	nopeasti	Hinnat nousivat nopeasti tänä vuonna.
raw	raaka	Kokki valmisti raakoja vihanneksia.
realistic	realistinen	Aseta realistinen määräaika.
reasonable	kohtuullinen	Se vaikuttaa kohtuulliselta pyynnöltä.
recall	muistaa	Muistan hänen tarkat sanansa.
recover	toipua	Hän toipuu hoidon jälkeen.
reduction	vähennys	Vähennys säästi rahaa.
regard	pitää minään	Monet pitävät häntä rehellisenä.
regional	alueellinen	Aluetoimisto suljettiin tänään.
