source_headword	PL	example_PL
incur	ponieść / zaciągnąć	Opóźnienia mogą pociągnąć za sobą dodatkowe koszty.
indicator	wskaźnik	Bezrobocie jest jednym ze wskaźników ekonomicznych.
indictment	akt oskarżenia	Akt oskarżenia zawierał trzy zarzuty.
indigenous	rdzenny	Rdzenne rośliny rosną tu dobrze.
induce	wywoływać	Lek ten może wywoływać senność.
indulge	ulegać / pozwalać sobie na	Ona nie pozwala sobie na drogie nawyki.
inequality	nierówność	Nierówność dochodów pozostaje głównym problemem.
infamous	niesławny	Więzienie stało się niesławne na całym świecie.
infant	niemowlę	Niemowlę spało w łóżeczku.
infect	zakażać / zarażać	Wirus może zakażać zdrowe komórki.
inflict	zadawać / wymierzać	Nie zadawaj bólu zwierzętom.
influential	wpływowy	Jest wpływowym naukowcem w dziedzinie prawa.
inherent	nieodłączny	Projekt ten wiąże się z nieodłącznym ryzykiem.
inhibit	hamować / powstrzymywać	Strach może hamować szczerą dyskusję.
initiate	inicjować / rozpoczynać	Menedżer rozpocznie przegląd.
inject	wstrzykiwać	Pielęgniarka wstrzyknie szczepionkę.
injection	zastrzyk	Zastrzyk zmniejszył ból.
injustice	niesprawiedliwość	Orzeczenie obnażyło wyraźną niesprawiedliwość.
inmate	więzień	Więzień poprosił o poradę prawną.
insertion	wstawienie	Formularz wymaga jednego wstawienia tekstu.
insider	osoba mająca poufne informacje / informator	Osoba z wewnątrz ujawniła raport.
inspect	kontrolować / badać	Urzędnicy co roku kontrolują most.
inspection	inspekcja / kontrola	Inspekcja wykryła poważne uszkodzenia.
inspiration	inspiracja	Jej przemówienie dało mi inspirację.
instinct	instynkt	Jego pierwszym instynktem była pomoc.
institutional	instytucjonalny	Zasady instytucjonalne ukształtowały tę decyzję.
instruct	poinstruować	Podręcznik poinstruuje nowy personel.
instrumental	bardzo ważny / pomocny	Jej rady były bardzo pomocne w negocjacjach.
insufficient	niewystarczający	Dowody były niewystarczające do wniesienia oskarżenia.
insult	zniewaga	Jego zniewaga zakończyła rozmowę.
intact	nienaruszony	Starożytny mur pozostał nienaruszony.
intake	spożycie	Spożycie cukru powinno pozostać umiarkowane.
integral	integralny / nieodłączny	Zaufanie jest integralną częścią zespołu.
integrated	zintegrowany	Szkoła oferuje zintegrowane wsparcie.
integration	integracja	Integracja poprawiła cały system.
integrity	prawość / integralność	Sędzia wykazał się wielką prawością.
intensify	nasilać się	Burza może nasilić się w nocy.
