source_headword	TL	example_TL
ability	kakayahan; abilidad	Malinaw ang kakayahan niyang lumangoy.
able	kaya; may kakayahan	Kaya niyang pumunta ngayon.
abroad	sa ibang bansa	Gusto niyang mag-aral sa ibang bansa.
accept	tanggapin	Tanggapin mo ang maliit na regalong ito.
accident	aksidente	Nangyari ang aksidente malapit sa paaralan.
according to	ayon sa	Ayon sa ulat, uulan.
achieve	makamit; maabot	Maaabot mo ang layunin mo.
act	umarte; kilos	Maaari siyang umarte sa dula.
active	aktibo	Aktibo siya araw-araw.
actually	talaga; sa totoo lang	Sa totoo lang, kailangan ko pa ng oras.
advantage	bentahe; kalamangan	May bentahe ang planong ito.
adventure	pakikipagsapalaran; abentura	Isang pakikipagsapalaran ang biyahe nila.
advertise	mag-anunsiyo	Inaanunsiyo nila ang bagong trabaho.
advertisement	anunsiyo; patalastas	Nakakita ako ng patalastas.
advertising	pag-aanunsiyo; advertising	Nakakatulong ang pag-aanunsiyo sa pagbenta ng pagkain.
affect	makaapekto	Maaaring makaapekto ang tulog sa kalusugan mo.
against	laban sa; nakadikit sa	Huwag sumandal sa pader.
ah	ah	Ah, naiintindihan ko na.
airline	airline; kompanya ng eroplano	Abala ang airline.
alive	buhay	Buhay ang maliit na isda.
all right	maayos; sige	Maayos na ang lahat ngayon.
allow	payagan	Pinapayagan nila ang aso rito.
almost	halos	Halos handa na kami.
alone	mag-isa	Namumuhay siyang mag-isa.
along	sa kahabaan ng	Maglakad sa kahabaan ng kalsadang ito.
already	na; dati na	Alam ko na ang sagot.
alternative	alternatibo	Alternatibo ang tren na ito.
although	bagama't; kahit na	Kahit gabi na, puwede pa tayong manatili.
among	sa gitna ng; kabilang sa	Nakatayo siya sa gitna ng mga puno.
amount	halaga; dami	Napakaunti ng halaga.
ancient	sinauna; napakatanda	Sikat ang sinaunang pader na ito.
ankle	bukong-bukong	Masakit ang bukong-bukong ko ngayon.
anybody	kahit sino	May makakasagot ba nito?
any more	higit pa; na	Hindi ko na kailangan ng higit pa.
anyway	gayon pa man; basta	Gayon pa man, maaari na tayong magsimula.
anywhere	kahit saan	Umupo ka kahit saan mo gusto.
app	app; aplikasyon	Kapaki-pakinabang ang app na ito.
appear	lumitaw; magpakita	Lilitaw dito ang pangalan niya.
appearance	hitsura; anyo	Iba ang hitsura niya.
apply	mag-apply; ilapat	Mag-apply ka sa trabaho ngayon.
architect	arkitekto	May plano ang arkitekto.
architecture	arkitektura	Gusto ko ang modernong arkitektura.
argue	makipagtalo	Huwag kang makipagtalo sa kapatid mo.
argument	pagtatalo; argumento	Maikli ang pagtatalo.
army	hukbo; army	Malaki ang hukbo.
arrange	ayusin; mag-ayos	Pakiayos ang pulong.
arrangement	ayos; kasunduan	Maayos ang kasunduang ito.
asleep	tulog	Tulog ang sanggol.
assistant	katulong; assistant	Tinulungan ako ng katulong.
athlete	atleta	Mabilis tumakbo ang atleta.
attack	atake; umatake	Maaaring umatake ang aso.
attend	dumalo	Dadalo ako sa klase ngayon.
attention	pansin	Pakibigay ang pansin ngayon.
attractive	kaakit-akit	Kaakit-akit ang hardin.
audience	tagapakinig; manonood	Tahimik ang mga manonood.
author	may-akda	Isinulat ng may-akda ang librong ito.
available	magagamit; naroon	May pagkain na ngayon.
average	karaniwan; average	Maganda ang average na marka.
avoid	iwasan	Iwasan ang abalang kalsada.
award	gantimpala	Nanalo siya ng gantimpala.
awful	kakila-kilabot; napakasama	Kakila-kilabot ang panahon.
background	likuran; background	May madilim na background ang larawan.
