simplified	HU	example_HU
挨	tűrni	Egész éjjel tűrte, és végül megvárta a hajnalt.
癌症	rák	A rák korai felismerése nagyon fontos.
暧昧	kétértelmű	A válasza nagyon kétértelmű volt.
爱不释手	alig tud letenni valamit	Annyira szerette a könyvet, hogy alig tudta letenni.
爱戴	szeretni és tisztelni	Ezt a tanárt mélyen szeretik és tisztelik a diákok.
安宁	nyugodt	Az éjszakák itt nagyon nyugodtak.
安详	derűs	Az idős ember arckifejezése nagyon derűs volt.
安置	elhelyezni	A kormány elhelyezte a katasztrófa által érintett embereket.
按摩	masszázs	Időpontot foglaltam masszázsra.
暗示	célozni valamire	Azt sugallta, hogy hagyjam abba a kérdezősködést.
案件	ügy	A rendőrség vizsgálja ezt az ügyet.
案例	eset	Ez az eset nagyon jellemző.
昂贵	drága	Ez a berendezés nagyon drága.
凹凸	egyenetlen	Az útfelület egyenetlen.
熬	átvészelni	Három nehéz napot vészelt át, mire befejezte a jelentést.
奥秘	rejtély	A tudós fel akarja tárni ezt a rejtélyt.
巴不得	alig várni	Alig várom, hogy azonnal elinduljunk.
巴结	hízelegni	Nem hajlandó hízelegni a vezetőknek.
扒	kapaszkodni	A gyerek az ajtóba kapaszkodott, és kifelé nézett.
疤	heg	A karján van egy heg.
拔苗助长	túlzott sietséggel ártani	Ha így kényszerítik a gyereket tanulásra, az csak árt.
把关	ellenőrizni	Ezt a szerződést ügyvédnek kell ellenőriznie.
把手	kilincs	Elromlott az ajtókilincs.
罢工	sztrájk	A munkások úgy döntöttek, hogy holnap sztrájkolnak.
霸道	erőszakos	Erőszakos hangnemben beszél.
掰	kettétörni	Kettétörte a kenyeret.
摆脱	megszabadulni	Végül megszabadult a rossz szokástól.
拜访	meglátogatni	A hétvégén meglátogatjuk a tanárt.
拜年	újévi jókívánságot tenni	A Tavaszünnep idején meglátogatjuk a nagyszüleinket újévi jókívánságokkal.
拜托	megkérni valakit	Ebben az ügyben rád számítok.
败坏	ártani valaminek	Az ilyen viselkedés árt a cég hírnevének.
斑	folt	A macskán van egy fekete folt.
颁布	kihirdetni	Az új szabályokat jövő héten hirdetik ki.
颁发	átadni	Az iskola okleveleket adott át a kiváló diákoknak.
版本	verzió	Ennek a szoftvernek új verziója van.
伴侣	társ	A kutyát társának tekinti.
伴随	együtt járni	A siker gyakran nyomással jár együtt.
半途而废	félúton feladni	Kutatás közben nem szabad félúton feladni.
扮演	eljátszani	Egy orvost játszik a filmben.
榜样	példakép	A szülők példaképek a gyerekek számára.
绑架	emberrablás	A rendőrség megakadályozott egy emberrablási ügyet.
磅	font	Ez a doboz húsz fontot nyom.
包庇	fedezni	Senki sem fedezhet bűncselekményt.
包袱	teher	Miután letette a terhét, sokkal könnyebbnek érezte magát.
包围	körülvenni	Az újságírók körülvették a színészt.
包装	csomagolás	Ennek az ajándéknak nagyon szép a csomagolása.
保管	megőrizni	Ezeket az iratokat én őrzöm.
保密	titokban tartani	A megbeszélés tartalmát titokban kell tartani.
保姆	dajka	Dajkát fogadtak.
保守	konzervatív	A gondolkodása viszonylag konzervatív.
保卫	megvédeni	A katonák védik a határt.
保养	karbantartani	Ezt az autót rendszeresen karban kell tartani.
保障	biztosítani	A törvény biztosítja a polgárok jogait.
保重	vigyázni magára	Kérlek, vigyázz magadra, amíg távol vagy.
饱和	telítettség	Ez a piac már közel van a telítettséghez.
饱经沧桑	sok viszontagságot megélt	Ez az idős ember sok viszontagságot és változást élt meg.
报酬	díjazás	Méltányos díjazást kapott.
报仇	bosszút állni	Nem akar bosszút állni, csak újrakezdeni.
报答	meghálálni	Tetteimmel fogom meghálálni a segítségedet.
报复	bosszú	A bosszú csak elmélyíti a konfliktust.
报警	értesíteni a rendőrséget	Ha tüzet észlelsz, azonnal értesíteni kell a rendőrséget.
报销	elszámolni	Az útiköltséget el lehet számolni.
抱负	törekvés	Gyerekkora óta nagy törekvései vannak.
暴力	erőszak	Mindenféle erőszakot ellenzünk.
暴露	napvilágra kerülni	Ez a probléma fokozatosan napvilágra került.
曝光	nyilvánosságra kerülés	Miután ez a fotó nyilvánosságra került, figyelmet keltett.
爆发	kitörni	A vulkán hirtelen kitört.
爆炸	robbanás	Robbanás történt a laboratóriumban.
卑鄙	aljas	Ez az aljas módszer feldühíti az embereket.
悲哀	szomorú	A hír hallatán nagyon szomorú lett.
悲惨	tragikus	Az a történelem tragikus időszaka volt.
北极	Északi-sark	A tudósok kutatást végeznek az Északi-sarkvidéken.
备份	biztonsági mentés	Kérlek, előbb készíts biztonsági mentést a fontos fájlokról.
备忘录	feljegyzés	A lényeges pontokat felírta a feljegyzésbe.
背叛	elárulni	Nem tudta elfogadni a barátja árulását.
背诵	kívülről felmondani	A diákok kívülről mondják fel a szöveget.
被动	passzív	Nem lehetünk túl passzívak a tárgyaláson.
被告	alperes	Az alperes minden vádat tagadott.
贝壳	kagyló	A gyerek kagylókat szedett a tengerparton.
奔波	rohangálni	Munka miatt mindenfelé rohangál.
奔驰	száguldani	Az autó az autópályán száguldott.
本能	ösztön	A gyerekek védelme szülői ösztön.
本钱	tőke	Az üzlethez tőke kell.
本人	személyesen	Én személyesen hajlandó vagyok felelősséget vállalni.
本身	önmagában	Magával a tervvel nincs probléma.
本事	képesség	Nagyon jó képességei vannak.
笨拙	ügyetlen	A mozdulatai kissé ügyetlenek.
崩溃	összeomlani	A rendszer hirtelen összeomlott.
甭	nem kell	Emiatt nem kell aggódnod.
蹦	ugrálni	A kiskutya a füvön ugrált.
迸发	kitörni	Taps tört ki a tömegből.
逼迫	kényszeríteni	Kényszerítették, hogy aláírja a szerződést.
鼻涕	orrfolyás	A gyerek megfázott, és folyik az orra.
比方	például	Például először kipróbálhatjuk egy hónapig.
比喻	metafora	Ez a metafora nagyon szemléletes.
比重	arány	A szolgáltatóipar aránya egyre magasabb.
鄙视	lenézni	Ne nézd le mások erőfeszítéseit.
弊病	probléma	Ennek a rendszernek jó néhány problémája van.
弊端	hátrány	Az új terv megoldotta a régi rendszer hátrányait.
臂	kar	Megsérült a jobb karja.
闭塞	elzárt	Ebben a hegyi faluban régen nagyon elzárt volt a közlekedés.
编织	kötni	A nagymama pulóvert köt.
边疆	határvidék	Sok katona őrzi az ország határvidékét.
边界	határ	A két ország újrarajzolta a határt.
边境	határvidék	A határvidéken megerősítették a biztonsági ellenőrzéseket.
边缘	szél	A csésze az asztal szélén van.
鞭策	ösztönözni	A tanár szavai mindig ösztönöztek engem.
扁	lapos	Ez a doboz széles és lapos.
贬低	lekicsinyelni	Ne kicsinyeld le könnyelműen mások erőfeszítéseit.
贬义	pejoratív jelentés	Ennek a szónak itt pejoratív jelentése van.
便利	kényelmes	A metró kényelmesebbé teszi az utazást.
便条	cédula	Egy cédulát hagyott az asztalon.
便于	megkönnyíti	Ez a kialakítás megkönnyíti az idősek használatát.
变故	váratlan baj	A családban hirtelen váratlan baj történt.
变迁	változás	A város változásai mélyen megérintették.
变质	megromlani	A tej megromlik, ha túl sokáig kint hagyják.
辨认	azonosítani	A rendőrség megkérte, hogy azonosítsa a képen látható személyt.
辩护	védeni	Az ügyvéd védte a vádlottat.
辩解	mentegetőzni	Megpróbálta mentegetni a hibáját.
辩证	dialektikusan	Dialektikusan kell vizsgálnunk ezt a problémát.
辫子	fonat	A kislánynak két fonata van.
遍布	elterjedt	Ez a növény az egész országban elterjedt.
标本	preparátum	Állatpreparátumokat állítanak ki a múzeumban.
