simplified	FR	example_FR	DE	example_DE	IT	example_IT	PT	example_PT	PT-BR	example_PT-BR
爱	aimer; aimer bien	J'aime ma maman.	lieben; mögen	Ich liebe meine Mama.	amare; piacere	Amo la mamma.	amar; gostar	Eu amo a minha mãe.	amar; gostar	Eu amo minha mãe.
八	huit	J'ai huit livres.	acht	Ich habe acht Bücher.	otto	Ho otto libri.	oito	Tenho oito livros.	oito	Tenho oito livros.
爸爸	papa; le père	Papa est à la maison.	Papa; der Vater	Papa ist zu Hause.	papà; il padre	Papà è a casa.	o pai; papá	O pai está em casa.	papai; o pai	Papai está em casa.
杯子	la tasse; le verre	Cette tasse est grande.	die Tasse; das Glas	Diese Tasse ist groß.	la tazza; il bicchiere	Questa tazza è grande.	a chávena; o copo	Esta chávena é grande.	a xícara; o copo	Esta xícara é grande.
北京	Pékin	Je travaille à Pékin.	Peking	Ich arbeite in Peking.	Pechino	Lavoro a Pechino.	Pequim	Trabalho em Pequim.	Pequim	Trabalho em Pequim.
本	le classificateur pour livres; le volume	J'ai un livre.	das Zähleinheitswort für Bücher; der Band	Ich habe ein Buch.	il classificatore per libri; il volume	Ho un libro.	o classificador para livros; o volume	Tenho um livro.	o classificador para livros; o volume	Tenho um livro.
不	ne pas; non	Je ne mange pas de riz.	nicht; nein	Ich esse keinen Reis.	non	Non mangio riso.	não	Não como arroz.	não	Não como arroz.
不客气	de rien; je vous en prie	Merci. De rien.	bitte; gern geschehen	Danke. Gern geschehen.	prego; di niente	Grazie. Prego.	de nada; não tem de quê	Obrigado. De nada.	de nada; não tem de quê	Obrigado. De nada.
菜	le plat; le légume; la cuisine	Ce plat est bon.	das Gericht; das Gemüse; die Küche	Dieses Gericht ist lecker.	il piatto; la verdura; la cucina	Questo piatto è buono.	o prato; o legume; a culinária	Este prato é bom.	o prato; a verdura; a culinária	Este prato é bom.
茶	le thé	Je bois du thé.	der Tee	Ich trinke Tee.	il tè	Bevo tè.	o chá	Bebo chá.	o chá	Bebo chá.
吃	manger	Je mange une pomme.	essen	Ich esse einen Apfel.	mangiare	Mangio una mela.	comer	Como uma maçã.	comer	Como uma maçã.
出租车	le taxi	Je prends un taxi pour aller à l'école.	das Taxi	Ich nehme ein Taxi zur Schule.	il taxi	Prendo un taxi per andare a scuola.	o táxi	Vou de táxi para a escola.	o táxi	Pego um táxi para a escola.
打电话	téléphoner; passer un appel	Je passe un appel téléphonique.	telefonieren; anrufen	Ich telefoniere.	telefonare; fare una telefonata	Faccio una telefonata.	fazer uma chamada telefónica	Faço uma chamada telefónica.	fazer uma ligação	Faço uma ligação.
大	grand; gros	Cette école est grande.	groß	Diese Schule ist groß.	grande	Questa scuola è grande.	grande	Esta escola é grande.	grande	Esta escola é grande.
的	de; la particule possessive	C'est mon livre.	von; die Possessivpartikel	Das ist mein Buch.	di; la particella possessiva	Questo è il mio libro.	de; a partícula possessiva	Este é o meu livro.	de; a partícula possessiva	Este é o meu livro.
点	l'heure; le point; un peu	Il est huit heures maintenant.	die Uhrzeit; der Punkt; ein bisschen	Es ist jetzt acht Uhr.	l'ora; il punto; un po'	Adesso sono le otto.	a hora; o ponto; um pouco	Agora são oito horas.	a hora; o ponto; um pouco	Agora são oito horas.
电脑	l'ordinateur	Mon ordinateur est sur la table.	der Computer	Mein Computer steht auf dem Tisch.	il computer	Il mio computer è sul tavolo.	o computador	O meu computador está na mesa.	o computador	Meu computador está na mesa.
电视	la télévision; la télé	Je regarde la télévision.	das Fernsehen; der Fernseher	Ich sehe fern.	la televisione; la TV	Guardo la televisione.	a televisão; a TV	Vejo televisão.	a televisão; a TV	Assisto à TV.
电影	le film	J'aime les films.	der Film	Ich mag Filme.	il film	Mi piacciono i film.	o filme	Gosto de filmes.	o filme	Gosto de filmes.
东西	la chose; les affaires	C'est quoi, cette chose ?	das Ding; die Sache	Was ist das für ein Ding?	la cosa	Che cos'è questa cosa?	a coisa	Que coisa é esta?	a coisa	Que coisa é essa?
都	tous; tout	Nous sommes tous étudiants.	alle; beide	Wir sind alle Schüler.	tutti; entrambi	Siamo tutti studenti.	todos; ambos	Somos todos estudantes.	todos; ambos	Somos todos estudantes.
读	lire; étudier	Je lis un livre.	lesen; studieren	Ich lese ein Buch.	leggere; studiare	Leggo un libro.	ler; estudar	Leio um livro.	ler; estudar	Leio um livro.
对不起	pardon; désolé	Désolé, je ne te connais pas.	Entschuldigung; tut mir leid	Entschuldigung, ich kenne dich nicht.	scusa; mi dispiace	Scusa, non ti conosco.	desculpa; lamento	Desculpa, não te conheço.	desculpe; sinto muito	Desculpe, não conheço você.
多	beaucoup; nombreux; plus	J'ai beaucoup d'amis.	viel; viele; mehr	Ich habe viele Freunde.	molto; molti; più	Ho molti amici.	muito; muitos; mais	Tenho muitos amigos.	muito; muitos; mais	Tenho muitos amigos.
多少	combien	Combien coûte cette tasse ?	wie viel; wie viele	Wie viel kostet diese Tasse?	quanto; quanti	Quanto costa questa tazza?	quanto; quantos	Quanto custa esta chávena?	quanto; quantos	Quanto custa esta xícara?
儿子	le fils	Mon fils est étudiant.	der Sohn	Mein Sohn ist Schüler.	il figlio	Mio figlio è uno studente.	o filho	O meu filho é estudante.	o filho	Meu filho é estudante.
二	deux	Il fait froid en février.	zwei	Der Februar ist kalt.	due	Febbraio è freddo.	dois	Fevereiro é frio.	dois	Fevereiro é frio.
饭馆	le restaurant	Le restaurant est devant l'école.	das Restaurant	Das Restaurant ist vor der Schule.	il ristorante	Il ristorante è davanti alla scuola.	o restaurante	O restaurante fica em frente à escola.	o restaurante	O restaurante fica em frente à escola.
飞机	l'avion	Je prends l'avion pour Pékin.	das Flugzeug	Ich fliege mit dem Flugzeug nach Peking.	l'aereo	Prendo l'aereo per Pechino.	o avião	Vou de avião para Pequim.	o avião	Vou de avião para Pequim.
分钟	la minute	J'étudie pendant cinq minutes.	die Minute	Ich lerne fünf Minuten lang.	il minuto	Studio per cinque minuti.	o minuto	Estudo durante cinco minutos.	o minuto	Estudo por cinco minutos.
高兴	content; heureux	Je suis très content aujourd'hui.	froh; glücklich	Ich bin heute sehr froh.	contento; felice	Oggi sono molto contento.	contente; feliz	Hoje estou muito contente.	contente; feliz	Hoje estou muito feliz.
个	le classificateur général	J'ai un ami.	das allgemeine Zähleinheitswort	Ich habe einen Freund.	il classificatore generale	Ho un amico.	o classificador geral	Tenho um amigo.	o classificador geral	Tenho um amigo.
工作	travailler; le travail	Je travaille à Pékin.	arbeiten; die Arbeit	Ich arbeite in Peking.	lavorare; il lavoro	Lavoro a Pechino.	trabalhar; o trabalho	Trabalho em Pequim.	trabalhar; o trabalho	Trabalho em Pequim.
狗	le chien	J'aime les chiens.	der Hund	Ich mag Hunde.	il cane	Mi piacciono i cani.	o cão; o cachorro	Gosto de cães.	o cachorro; o cão	Gosto de cachorros.
汉语	le chinois; la langue chinoise	J'étudie le chinois.	das Chinesisch; die chinesische Sprache	Ich lerne Chinesisch.	il cinese; la lingua cinese	Studio cinese.	o chinês; a língua chinesa	Estudo chinês.	o chinês; a língua chinesa	Estudo chinês.
好	bon; bien	Il fait beau aujourd'hui.	gut	Das Wetter ist heute gut.	buono; bene	Oggi il tempo è bello.	bom; bem	O tempo está bom hoje.	bom; bem	O tempo está bom hoje.
喝	boire	Je bois de l'eau.	trinken	Ich trinke Wasser.	bere	Bevo acqua.	beber	Bebo água.	beber	Bebo água.
和	et; avec	Je vais à l'école avec un ami.	und; mit	Ich gehe mit einem Freund zur Schule.	e; con	Vado a scuola con un amico.	e; com	Vou para a escola com um amigo.	e; com	Vou para a escola com um amigo.
很	très	Elle est très jolie.	sehr	Sie ist sehr hübsch.	molto	Lei è molto bella.	muito	Ela é muito bonita.	muito	Ela é muito bonita.
后面	derrière; arrière	L'école est derrière le restaurant.	hinten; hinter	Die Schule ist hinter dem Restaurant.	dietro; parte posteriore	La scuola è dietro il ristorante.	atrás; parte de trás	A escola fica atrás do restaurante.	atrás; parte de trás	A escola fica atrás do restaurante.
回	retourner; rentrer	Je rentre à la maison.	zurückkehren; zurückgehen	Ich gehe zurück nach Hause.	tornare	Ritorno a casa.	voltar	Volto para casa.	voltar	Volto para casa.
会	savoir; pouvoir	Je sais parler chinois.	können; wissen wie	Ich kann Chinesisch sprechen.	sapere; potere	So parlare cinese.	saber; poder	Sei falar chinês.	saber; poder	Sei falar chinês.
火车站	la gare	La gare est grande.	der Bahnhof	Der Bahnhof ist groß.	la stazione ferroviaria	La stazione ferroviaria è grande.	a estação de comboios	A estação de comboios é grande.	a estação de trem	A estação de trem é grande.
几	combien; plusieurs	Combien d'amis as-tu ?	wie viele; einige	Wie viele Freunde hast du?	quanti; alcuni	Quanti amici hai?	quantos; alguns	Quantos amigos tens?	quantos; alguns	Quantos amigos você tem?
家	la maison; la famille	Ma maison est à Pékin.	das Zuhause; die Familie	Mein Zuhause ist in Peking.	la casa; la famiglia	La mia casa è a Pechino.	a casa; a família	A minha casa é em Pequim.	a casa; a família	Minha casa fica em Pequim.
叫	s'appeler; appeler	Comment t'appelles-tu ?	heißen; rufen	Wie heißt du?	chiamarsi; chiamare	Come ti chiami?	chamar-se; chamar	Como te chamas?	chamar-se; chamar	Como você se chama?
今天	aujourd'hui	Il fait chaud aujourd'hui.	heute	Heute ist es heiß.	oggi	Oggi fa caldo.	hoje	Hoje está calor.	hoje	Hoje está calor.
九	neuf	Il est neuf heures maintenant.	neun	Es ist jetzt neun Uhr.	nove	Adesso sono le nove.	nove	Agora são nove horas.	nove	Agora são nove horas.
开	ouvrir; allumer	J'allume l'ordinateur.	öffnen; einschalten	Ich schalte den Computer ein.	aprire; accendere	Accendo il computer.	abrir; ligar	Ligo o computador.	abrir; ligar	Ligo o computador.
看	regarder; lire	Je lis un livre.	sehen; anschauen; lesen	Ich lese ein Buch.	guardare; leggere	Leggo un libro.	ver; olhar; ler	Leio um livro.	ver; olhar; ler	Leio um livro.
