source_headword	TH	example_TH
crawl	คลาน	เด็กทารกเริ่มคลานไปบนพรม.
creator	ผู้สร้าง	ผู้สร้างขอบคุณทุกคนสำหรับการสนับสนุน.
credibility	ความน่าเชื่อถือ	พยานสูญเสียความน่าเชื่อถือระหว่างการซักถาม.
credible	น่าเชื่อถือ	รายงานเสนอหลักฐานที่น่าเชื่อถือ.
creep	คืบคลาน	หมอกเริ่มคืบคลานไปตามหุบเขา.
critique	บทวิจารณ์	ศาสตราจารย์ได้ให้บทวิจารณ์อย่างละเอียด.
crown	มงกุฎ	ราชินีสวมมงกุฎเงิน.
crude	หยาบ	ภาพวาดนั้นหยาบแต่ชัดเจน.
crush	บดขยี้	หินหนักสามารถบดขยี้ท่อได้.
crystal	คริสตัล	คริสตัลสะท้อนแสงยามเช้า.
cult	ลัทธิ	ลัทธินั้นแยกสมาชิกออกไป.
cultivate	เพาะปลูก	เกษตรกรเพาะปลูกข้าวในภูมิภาคนี้.
curiosity	ความอยากรู้อยากเห็น	ความอยากรู้อยากเห็นนำเธอเข้าสู่วงการวิทยาศาสตร์.
custody	สิทธิการดูแล	เด็กยังคงอยู่ในสิทธิการดูแลของพ่อ.
cutting	ข่าวตัด	หนังสือพิมพ์ตีพิมพ์ข่าวตัดเกี่ยวกับเขา.
cynical	เยาะเย้ย	คำพูดเยาะเย้ยของเขาทำให้ทีมรู้สึกแย่.
dam	เขื่อน	เขื่อนกั้นน้ำในแม่น้ำไว้.
damaging	ซึ่งสร้างความเสียหาย	บทความที่สร้างความเสียหายทำให้แคมเปญได้รับผลกระทบ.
dawn	รุ่งอรุณ	พวกเราออกจากหมู่บ้านตอนรุ่งอรุณ.
debris	ซากปรักหักพัง	ซากปรักหักพังจากพายุขวางถนนไว้.
debut	การเปิดตัว	การเปิดตัวของเธอดึงดูดความสนใจไปทั่วประเทศ.
decision-making	การตัดสินใจ	การตัดสินใจที่ดีต้องการข้อมูลที่ชัดเจน.
decisive	เด็ดขาด	การกระทำที่เด็ดขาดของเธอช่วยป้องกันความเสียหายเพิ่มเติม.
declaration	คำประกาศ	รัฐมนตรีอ่านคำประกาศอย่างเป็นทางการ.
dedicated	อุทิศตน	พยาบาลที่อุทิศตนทำงานตลอดทั้งคืน.
dedication	ความทุ่มเท	ความทุ่มเทของเขาสร้างแรงบันดาลใจให้ผู้เล่นรุ่นเยาว์.
deed	การกระทำ	การกระทำที่กล้าหาญนั้นช่วยชีวิตได้สองคน.
