source_headword	IT	example_IT
rock (music)	il rock	Amo la musica rock.
role	il ruolo	Il suo ruolo è importante.
roof	il tetto	Il tetto ha bisogno di riparazioni.
round	rotondo	Il tavolo è rotondo.
route	il percorso	Questo percorso è più breve.
rubbish	la spazzatura	Metti fuori la spazzatura.
rude	maleducato	Quel commento era maleducato.
runner	il corridore	Il corridore sembra stanco.
running	la corsa	Correre mi mantiene sano.
sadly	purtroppo	Purtroppo abbiamo perso il treno.
safe	sicuro	Questa strada sembra sicura.
sail	navigare	Navighiamo sabato.
sailing	la vela	La vela è popolare qui.
salary	lo stipendio	Il suo stipendio ora è più alto.
sale	i saldi	I saldi iniziano domani.
sauce	la salsa	Aggiungi salsa al riso.
save	salvare	Salva il tuo lavoro adesso.
scared	spaventato	Il bambino ha paura.
scary	spaventoso	Questa storia è spaventosa.
scene	la scena	La scena finale era divertente.
schedule	l'orario	Controlla l'orario oggi.
score	il punteggio	Qual è il punteggio?
screen	lo schermo	Pulisci lo schermo con cura.
search	cercare	Cerca foto sul web.
season	la stagione	L'estate è una stagione intensa.
seat	il posto	Prendi questo posto, per favore.
second1 (next after the first)	secondo	Secondo, lavati le mani.
secondly	in secondo luogo	In secondo luogo, controlla la risposta.
secret	segreto	Tieni questo segreto al sicuro.
secretary	il segretario/la segretaria	La segretaria ha chiamato oggi.
seem	sembrare	Sembri stanco.
sense	il senso	Questo piano ha senso.
separate	separato	Tieni i fogli separati.
series	la serie	Questa serie è popolare.
serious	serio	Questo problema è serio.
serve	servire	Servono il pranzo a mezzogiorno.
service	il servizio	Il servizio è stato veloce.
several	diversi	Diversi studenti sono arrivati presto.
shake	scuotere	Scuoti prima la bottiglia.
shall modal	dovremmo	Dovremmo iniziare adesso?
shape	la forma	Disegna una forma quadrata.
sheet	il lenzuolo	Metti il lenzuolo sul letto.
ship	la nave	La nave è partita oggi.
shoulder	la spalla	Mi fa male la spalla.
shout	gridare	Non gridare in classe.
shut	chiudere	Chiudi la finestra, per favore.
side	il lato	Siediti da questo lato.
sign	il cartello	Leggi attentamente il cartello.
silver	l'argento	L'argento è un metallo brillante.
simple	semplice	Questo esercizio è semplice.
since	da	Aspetto da mezzogiorno.
singing	il canto	Cantare mi aiuta a rilassarmi.
single	singolo	Ho comprato un biglietto singolo.
sir	signore	Signore, la sua borsa è pronta.
site	il sito	Questo sito è sicuro.
size	la taglia	Di che taglia hai bisogno?
ski	sciare	Sciamo in inverno.
skiing	lo sci	Sciare è divertente in inverno.
skin	la pelle	La sua pelle sembra secca.
sky	il cielo	Il cielo è limpido.
slowly	lentamente	Cammina lentamente sul ghiaccio.
smartphone	lo smartphone	Il mio smartphone è nuovo.
smell	sentire odore	La zuppa ha un buon odore.
smile	sorridere	Sorridi per la macchina fotografica.
smoke	il fumo	Il fumo ha riempito la stanza.
smoking	il fumo	Fumare non è permesso.
soap	il sapone	Usa sapone e acqua.
soccer	il calcio	Il calcio è popolare qui.
social	sociale	Questo è un evento sociale.
society	la società	La società cambia nel tempo.
sock	il calzino	Manca un calzino.
soft	morbido	Questa coperta è morbida.
soldier	il soldato	Il soldato è tornato a casa.
solution	la soluzione	Abbiamo trovato una soluzione.
solve	risolvere	Risolvi questo puzzle.
somewhere	da qualche parte	Mettilo da qualche parte al sicuro.
sort	il tipo	Che tipo vuoi?
source	la fonte	Controlla prima la fonte.
speaker	l'altoparlante	L'altoparlante era forte.
specific	specifico	Ho bisogno di una risposta specifica.
speech	il discorso	Il suo discorso era breve.
speed	la velocità	Riduci qui la velocità.
spider	il ragno	C'è un ragno sul muro.
spoon	il cucchiaio	Usa un cucchiaio per la zuppa.
square	quadrato	Disegna una scatola quadrata.
stage	il palco	La band è sul palco.
stair	il gradino	Il gradino è rotto.
stamp	il francobollo	Metti un francobollo sulla lettera.
state	dichiarare	Dichiara chiaramente il tuo nome.
steal	rubare	Non rubare soldi.
step	il passo	Fai un passo avanti.
stomach	lo stomaco	Mi fa male lo stomaco.
stone	la pietra	La pietra è pesante.
store	il negozio	Il negozio chiude presto.
