source_headword	NO	example_NO
abandon	forlate	De forlot planen i går.
absolute	absolutt	Vi trenger absolutt ærlighet her.
acceptable	akseptabel	Svaret hans var akseptabelt.
accompany	følge	Broren hennes fulgte henne hjem.
accurate	nøyaktig	Rapporten virker nøyaktig.
accuse	anklage	De anklaget ham for å lyve.
acknowledge	innrømme	Innrøm feilen, vær så snill.
acquire	tilegne seg	Hun tilegnet seg raskt nye ferdigheter.
actual	faktisk	Den faktiske kostnaden var lavere.
adapt	tilpasse seg	Vi tilpasset oss endringen.
additional	ytterligere	Ytterligere hjelp kom i dag.
administration	en administrasjon	Administrasjonen endret politikken.
adopt	vedta	De vedtok en ny metode.
advance	et fremskritt	Vi gjorde et lite fremskritt.
affair	en sak	Saken skadet offentlig tillit.
afterwards	etterpå	Etterpå følte alle seg roligere.
agency	et byrå	Byrået ansatte tre oversettere.
agenda	en dagsorden	Sikkerhet står på dagsordenen.
aggressive	aggressiv	Tonen hans hørtes aggressiv ut.
aid	hjelp	Medisinsk hjelp kom raskt.
aircraft	et fly	Flyet landet trygt.
alter	endre	Ikke endre avtalen.
anger	sinne	Sinnet hans overrasket alle.
angle	en vinkel	Prøv en annen kameravinkel.
anniversary	en årsdag	Årsdagen deres er i morgen.
annual	årlig	Det årlige møtet begynner mandag.
anxious	engstelig	Hun følte seg engstelig før operasjonen.
apparent	tydelig	Skuffelsen hans var tydelig.
apparently	tydeligvis	Tydeligvis er toget forsinket.
appeal	en anke	Avgjørelsen kan føre til en anke.
approach	en tilnærming	Hennes tilnærming løste problemet.
appropriate	passende	Velg et passende svar.
approval	en godkjenning	Prosjektet trenger godkjenning.
approve	godkjenne	Styret godkjente budsjettet.
arise	oppstå	Problemer kan oppstå senere.
armed	bevæpnet	Bevæpnede vakter sto utenfor.
arms	våpen	De la ned våpnene.
artificial	kunstig	Blomstene så kunstige ut.
artistic	kunstnerisk	Han har kunstnerisk talent.
ashamed	skamfull	Senere følte han seg skamfull.
aspect	et aspekt	Vurder hvert aspekt nøye.
assess	vurdere	Vi må vurdere skaden.
assessment	en vurdering	Vurderingen tok to timer.
associate	forbinde	Folk forbinder røyk med fare.
associated	forbundet	Stress er forbundet med sykdom.
association	en forening	Foreningen støtter unge kunstnere.
assume	anta	Jeg antar at du er enig.
attempt	et forsøk	Hans første forsøk mislyktes.
bacteria	bakterier	Bakterier kan spre seg raskt.
barrier	en barriere	Språket var en barriere.
basically	i bunn og grunn	I bunn og grunn trenger vi mer tid.
bear (deal with)	tåle	Jeg tåler ikke den støyen.
beg	trygle	Han tryglet om hjelp.
being	en skapning	Hver skapning trenger vann.
bent	bøyd	Metallstangen var bøyd.
bet	vedde	Jeg vedder på at han vet det.
beyond	bortenfor	Landsbyen ligger bortenfor elven.
bitter	bitter	Medisinen smakte bittert.
blame	klandre	Ikke klandre sjåføren.
blind	blind	Han ble blind som ung.
bond	et bånd	Tillit skaper et sterkt bånd.
breast	et bryst	Hun kjente smerte i brystet.
brief	kort	Hold svaret kort.
broad	bred	Elven er bred her.
broadcast	sende	Talen ble sendt direkte.
budget	et budsjett	Budsjettet er veldig stramt.
bullet	en kule	Kulen traff veggen.
bunch	en bunt	Hun bar en bunt nøkler.
bush	en busk	Fuglen gjemte seg i busken.
cable	en kabel	Kabelen er skadet.
calculate	beregne	Beregn den totale kostnaden.
cancel	avlyse	De avlyste møtet.
cancer	kreft	Kreftbehandling kan være vanskelig.
capable	dyktig	Hun er dyktig nok.
capacity	en kapasitet	Salen nådde sin kapasitet.
capture	fange	Bildet fanget stemningen.
cast	en rollebesetning	Rollebesetningen er klar.
cell	en celle	Hver celle inneholder data.
chairman	en styreleder	Styrelederen åpnet møtet.
characteristic	et kjennetegn	Tålmodighet er et viktig kjennetegn.
chief	hoved-	Hovedårsaken var sikkerhet.
circumstance	en omstendighet	Hver omstendighet teller.
cite	sitere	Studenten siterte tre kilder.
citizen	en borger	Hver borger kan stemme.
civil	sivil	Saken gjaldt sivile rettigheter.
classic	klassisk	Det er et klassisk eksempel.
closely	nært	De jobbet nært sammen.
collapse	kollapse	Det gamle taket kollapset.
combination	en kombinasjon	Denne kombinasjonen fungerer godt.
comfort	komfort	Stolen gir lite komfort.
command	en ordre	Soldatene fulgte ordren.
commission	en kommisjon	Kommisjonen undersøkte klagen.
commitment	et engasjement	Hennes engasjement forble sterkt.
committee	en komité	Komiteen stemmer i morgen.
commonly	vanligvis	Dette ordet brukes vanligvis.
complicated	komplisert	Reglene er kompliserte.
component	en komponent	Hver komponent ble testet.
concentration	konsentrasjon	Full konsentrasjon er nødvendig.
concept	et konsept	Konseptet er enkelt.
concern	en bekymring	Det er bekymring for sikkerheten.
concerned	bekymret	Vi er bekymret for kostnadene.
conduct	gjennomføre	De gjennomfører lokal forskning.
confidence	tillit	Tilliten hennes vokste raskt.
conflict	en konflikt	Konflikten varte i flere år.
confusing	forvirrende	Forklaringen var forvirrende.
conscious	bevisst	Han var bevisst etter fallet.
conservative	konservativ	Forslaget var ganske konservativt.
consideration	hensyn	Ta hensyn til dette.
consistent	konsekvent	Arbeidet hennes er konsekvent godt.
constant	stadig	Det var stadig støy.
constantly	stadig	Telefonen ringte stadig.
construct	bygge	De bygde en ny bro.
construction	en bygging	Byggingen starter i juni.
contemporary	samtids-	Museet viser samtidskunst.
contest	en konkurranse	Hun vant konkurransen.
contract	en kontrakt	Kontrakten slutter fredag.
contribute	bidra	Alle kan bidra til fondet.
contribution	et bidrag	Hans bidrag var viktig.
convert	gjøre om	De gjorde bygningen om til leiligheter.
convinced	overbevist	Jeg er overbevist om at hun har rett.
core	en kjerne	Tillit er kjernen i problemet.
corporate	bedrifts-	Selskapet endret bedriftsstrategien.
council	et råd	Rådet godkjente planen.
county	et fylke	Fylket fikk nye grenser.
courage	mot	Hun viste stort mot.
crash	en kollisjon	Kollisjonen blokkerte veien.
creation	skaping	Skaping av jobber tar tid.
creature	en skapning	Skapningen beveget seg sakte.
crew	et mannskap	Mannskapet forble rolig.
crisis	en krise	Krisen varte i måneder.
criterion	et kriterium	Pris er ikke det eneste kriteriet.
critic	en kritiker	Kritikeren roste filmen.
critical	kritisk	Situasjonen er kritisk.
criticism	kritikk	Han tok kritikken rolig.
criticize	kritisere	Ikke kritiser henne for raskt.
crop	en avling	Avlingen trengte mer regn.
crucial	avgjørende	Tid er avgjørende her.
cure	en kur	Det finnes ingen kur ennå.
curve	en kurve	Veien har en skarp kurve.
curved	buet	Broen har en buet form.
debate	en debatt	Debatten begynte sent.
debt	en gjeld	Han betalte tilbake gjelden sin.
decent	anstendig	Hun fant et anstendig hotell.
declare	erklære	Regjeringen erklærte unntakstilstand.
decline	en nedgang	Nedgangen var uventet.
decoration	en dekorasjon	Dekorasjonen hang over døren.
decrease	minke	Kostnadene minket sakte.
deeply	dypt	Han følte seg dypt såret.
defeat	et nederlag	Nederlaget var vanskelig å akseptere.
defence	et forsvar	Forsvaret var godt forberedt.
defend	forsvare	Hun forsvarte beslutningen sin.
delay	en forsinkelse	Forsinkelsen varte en time.
deliberate	bevisst	Det var et bevisst valg.
deliberately	med vilje	Han ignorerte advarselen med vilje.
delight	glede	Nyheten ga stor glede.
delighted	glad	Hun var glad for resultatet.
delivery	en levering	Leveringen kommer i morgen.
demand	en etterspørsel	Etterspørselen etter rom økte.
demonstrate	vise	Tallene viser problemet.
deny	nekte	Han nektet for anklagen.
depressed	deprimert	Hun følte seg deprimert.
depressing	deprimerende	Nyheten var deprimerende.
depth	en dybde	Mål dybden på vannet.
deserve	fortjene	De fortjener et ærlig svar.
desire	et ønske	Ønsket hans om frihet besto.
desperate	desperat	Hun gjorde et desperat forsøk.
detailed	detaljert	Vi fikk en detaljert rapport.
detect	oppdage	Testen kan oppdage feil.
dig	grave	De gravde et dypt hull.
disc	en plate	Den gamle platen virket ikke.
discipline	disiplin	Disiplin hjelper i trening.
dishonest	uærlig	Svaret hørtes uærlig ut.
dismiss	avvise	Dommeren avviste klagen.
display	vise	Skjermen viser resultatene.
distribute	dele ut	De delte ut mat i landsbyen.
distribution	en fordeling	Fordelingen var ikke rettferdig.
district	et distrikt	Distriktet fikk en ny skole.
