simplified	TR	example_TR
挨	katlanmak; dayanmak; güçlükle geçirmek	Bütün gece dayandı ve sonunda şafağı bekledi.
癌症	kanser	Kanserin erken tespit edilmesi çok önemlidir.
暧昧	belirsiz; muğlak; çift anlamlı	Cevabı çok belirsizdi.
爱不释手	elinden bırakamayacak kadar sevmek	Kitabı o kadar sevdi ki neredeyse elinden bırakamadı.
爱戴	sevmek ve saygı duymak	Bu öğretmen öğrenciler tarafından derinden sevilir ve sayılır.
安宁	huzurlu; sakin	Buranın geceleri çok huzurludur.
安详	sakin ve huzurlu; dingin	Yaşlı adamın ifadesi çok dingindi.
安置	yerleştirmek; düzenlemek; iskana yardımcı olmak	Hükümet afetten etkilenen insanları yerleştirdi.
按摩	masaj	Bir masaj randevusu aldım.
暗示	ima etmek; işaret etmek; ima	Kadın, soru sormayı bırakmam gerektiğini ima etti.
案件	dava; adli olay	Polis bu davayı araştırıyor.
案例	vaka; örnek olay	Bu vaka çok temsil edicidir.
昂贵	pahalı; masraflı	Bu ekipman çok pahalı.
凹凸	engebeli; düz olmayan	Bu yol yüzeyi engebelidir.
熬	uzun süre kaynatmak; dayanmak; katlanmak	Raporu bitirmeden önce üç zor güne katlandı.
奥秘	gizem; derin sır	Bilim insanı bu gizemi ortaya çıkarmak istiyor.
巴不得	can atmak; sabırsızlanmak	Hemen yola çıkmak için sabırsızlanıyorum.
巴结	yağcılık yapmak; yaranmaya çalışmak	O, yöneticilere yaranmaya çalışmak istemiyor.
扒	tutunmak; yapışmak; kazıp çıkarmak	Çocuk kapıya tutunup dışarı baktı.
疤	yara izi	Kolunda bir yara izi var.
拔苗助长	aşırı aceleyle işi bozmak	Çocuğu böyle zorla çalıştırmak yalnızca acelecilikle işi bozar.
把关	kontrol etmek; denetlemek; geçidi tutmak	Bu sözleşmeyi bir avukatın kontrol etmesi gerekiyor.
把手	kulp; sap; tutacak	Kapının kulpu kırılmış.
罢工	grev; greve gitmek	İşçiler yarın greve gitmeye karar verdi.
霸道	baskıcı; zorba; buyurgan	O çok baskıcı bir şekilde konuşuyor.
掰	iki elle koparmak; kırmak	Kadın ekmeği iki parçaya böldü.
摆脱	kurtulmak; sıyrılmak	Sonunda kötü alışkanlığından kurtuldu.
拜访	ziyaret etmek	Bu hafta sonu öğretmeni ziyaret edeceğiz.
拜年	Yeni Yıl ziyareti yapmak; bayram tebriği sunmak	Bahar Bayramı'nda büyükannemizi ve büyükbabamızı ziyaret edip bayram tebriği sunarız.
拜托	rica etmek; emanet etmek; lütfen	Bu konuda sana güveniyorum.
败坏	bozmak; mahvetmek; zedelemek	Bu tür davranış şirketin itibarını zedeler.
斑	leke; benek; şerit	Kedinin üzerinde siyah bir leke var.
颁布	yayımlamak; ilan etmek; yürürlüğe koymak	Yeni kurallar gelecek hafta yayımlanacak.
颁发	vermek; takdim etmek; yayımlamak	Okul başarılı öğrencilere sertifika verdi.
版本	sürüm; baskı; versiyon	Bu yazılımın yeni bir sürümü var.
伴侣	eş; hayat arkadaşı; yoldaş	Köpeğe yoldaşı gibi davranıyor.
伴随	eşlik etmek; birlikte ortaya çıkmak	Başarıya çoğu zaman baskı eşlik eder.
半途而废	yarı yolda bırakmak; işi tamamlamadan vazgeçmek	Araştırma yaparken yarı yolda bırakamazsın.
扮演	rol oynamak; canlandırmak	Filmde bir doktoru canlandırıyor.
榜样	örnek; rol model	Anne babalar çocuklar için rol modeldir.
绑架	kaçırmak; rehin almak	Polis bir kaçırma olayını önledi.
磅	pound; tartı	Bu kutu yirmi pound ağırlığında.
包庇	suçluyu korumak; örtbas etmek	Hiç kimse bir suçu örtbas edemez.
包袱	bohça; yük	Yükünü bıraktıktan sonra çok daha rahatladı.
包围	kuşatmak; çevrelemek	Muhabirler oyuncuyu çevreledi.
包装	ambalaj; paket	Bu hediyenin ambalajı çok güzel.
保管	saklamak; muhafaza etmek; garanti etmek	Bu belgeler bende saklanıyor.
保密	gizli tutmak; sır saklamak	Toplantının içeriği gizli tutulmalıdır.
保姆	bakıcı; dadı; ev yardımcısı	Bir bakıcı tuttular.
保守	muhafazakar; korumak; saklamak	Onun fikirleri nispeten muhafazakardır.
保卫	savunmak; korumak	Askerler sınırı savunur.
保养	bakım yapmak; sağlığına dikkat etmek	Bu arabanın düzenli bakıma ihtiyacı var.
保障	güvence altına almak; korumak; garanti etmek	Yasa vatandaşların haklarını korur.
保重	kendine iyi bakmak	Uzaktayken lütfen kendine iyi bak.
饱和	doygunluk	Bu pazar artık doygunluğa yaklaştı.
饱经沧桑	çok değişim ve zorluk yaşamış	Bu yaşlı insan birçok zorluk ve değişim yaşamış.
报酬	ücret; karşılık; ödül	Makul bir ücret aldı.
报仇	intikam almak	O intikam istemiyor, yalnızca yeniden başlamak istiyor.
报答	karşılığını vermek; iyiliği ödemek	Yardımının karşılığını davranışlarımla vereceğim.
报复	intikam; misilleme yapmak	İntikam yalnızca çatışmayı derinleştirir.
报警	polise bildirmek; alarm vermek	Yangın fark edince hemen polisi aramalısın.
报销	masrafı geri almak; masraf beyan etmek	Yol masrafları geri ödenebilir.
抱负	ideal; hırs; büyük hedef	Çocukluğundan beri büyük hedefleri vardı.
暴力	şiddet; zor kullanma	Her türlü şiddete karşıyız.
暴露	açığa çıkarmak; ortaya çıkmak	Bu sorun yavaş yavaş ortaya çıktı.
曝光	ifşa olmak; açığa çıkarmak; pozlama	Bu fotoğraf ortaya çıkınca dikkat çekti.
爆发	patlak vermek; patlamak; püskürmek	Volkan aniden püskürdü.
爆炸	patlama; patlamak	Laboratuvarda bir patlama meydana geldi.
卑鄙	alçakça; aşağılık	Bu alçakça yöntem insanları öfkelendiriyor.
悲哀	kederli; üzüntülü	Haberi duyunca çok üzüldü.
悲惨	acı; trajik	Bu, tarihin trajik bir dönemiydi.
北极	Kuzey Kutbu; Arktik	Bilim insanları Arktik'te araştırma yapıyor.
备份	yedek; yedekleme	Lütfen önce önemli dosyaları yedekle.
备忘录	not; muhtıra	Kadın önemli noktaları nota yazdı.
背叛	ihanet etmek	Arkadaşının ihanetini kabul edemedi.
背诵	ezberden okumak; ezberlemek	Öğrenciler metni ezberden okuyor.
被动	pasif	Müzakerede fazla pasif olamayız.
被告	davalı; sanık	Sanık bütün suçlamaları reddetti.
贝壳	deniz kabuğu	Çocuk deniz kenarında kabuk topladı.
奔波	koşturmak; sürekli gidip gelmek	İş için her yere koşturuyor.
奔驰	hızla gitmek; süratle ilerlemek	Araba otoyolda hızla ilerledi.
本能	içgüdü	Çocukları korumak anne babanın içgüdüsüdür.
本钱	sermaye; kaynak	İş yapmak sermaye gerektirir.
本人	şahsen kendisi; ben	Ben şahsen sorumluluk almaya hazırım.
本身	kendisi; kendi başına	Planın kendisinde bir sorun yok.
本事	yetenek; beceri	O çok beceriklidir.
笨拙	sakar; hantal; beceriksiz	Hareketleri biraz sakar.
崩溃	çökmek; dağılmak	Sistem aniden çöktü.
甭	gerek yok	Bu konuda endişelenmene gerek yok.
蹦	zıplamak; hoplamak	Yavru köpek çimenlerin üzerinde zıplıyordu.
迸发	fışkırmak; aniden patlamak	Kalabalıktan bir anda alkış koptu.
逼迫	zorlamak; mecbur bırakmak	Onu sözleşmeyi imzalamaya zorladılar.
鼻涕	burun akıntısı	Çocuk üşütmüş ve sürekli burnu akıyor.
比方	örnek; mesela	Örneğin bunu önce bir ay deneyebiliriz.
比喻	benzetme; mecaz	Bu benzetme çok canlı.
比重	oran; özgül ağırlık	Hizmet sektörünün oranı giderek artıyor.
鄙视	küçümsemek; hor görmek	Başkalarının çabasını küçümseme.
弊病	sorun; kusur; sakınca	Bu sistemin epey sorunu var.
弊端	eksiklik; sakınca; kötü uygulama	Yeni plan eski sistemin sakıncalarını çözdü.
臂	kol	Sağ kolu yaralandı.
闭塞	kapalı; ulaşılması zor; dışa kapalı	Bu dağ köyünde ulaşım eskiden çok kapalıydı.
编织	örmek; dokumak	Büyükanne kazak örüyor.
边疆	sınır bölgesi; hudut	Birçok asker ülkenin sınır bölgesini korur.
边界	sınır; hudut	İki ülke sınırı yeniden çizdi.
边境	sınır; sınır bölgesi	Sınır bölgelerinde güvenlik kontrolleri artırıldı.
边缘	kenar; uç	Bardak masanın kenarına kondu.
鞭策	teşvik etmek; kamçılamak	Öğretmenin sözleri beni hep teşvik etti.
扁	yassı; düz	Bu kutu geniş ve yassı.
贬低	küçümsemek; değerini düşürmek	Başkalarının çabasını gelişigüzel küçümseme.
贬义	olumsuz anlam; küçültücü anlam	Bu kelimenin burada olumsuz bir anlamı var.
便利	elverişli; kolaylık sağlayan	Metro ulaşımı daha elverişli hale getiriyor.
便条	kısa not	Masanın üzerine kısa bir not bıraktı.
便于	kolay olmak; elverişli olmak	Bu tasarım yaşlıların kullanması için elverişlidir.
变故	beklenmedik olay; talihsizlik	Ailede aniden beklenmedik bir talihsizlik yaşandı.
变迁	değişim; dönüşüm	Şehrin değişimi onu derinden duygulandırdı.
变质	bozulmak; niteliği değişmek	Süt fazla beklerse bozulur.
辨认	tanımak; teşhis etmek	Polis ondan fotoğraftaki kişiyi teşhis etmesini istedi.
辩护	savunmak; lehine konuşmak	Avukat sanığı savundu.
辩解	açıklama yapmak; kendini savunmak	Hatasını açıklamaya çalıştı.
辩证	diyalektik; diyalektik biçimde incelemek	Bu soruna diyalektik biçimde bakmalıyız.
辫子	örgü; saç örgüsü	Küçük kızın iki saç örgüsü var.
遍布	her yere yayılmak; ülke çapında bulunmak	Bu bitki ülkenin her yerinde bulunur.
标本	örnek; numune; preparat	Müzede hayvan örnekleri sergileniyor.
标记	işaret; sembol	Lütfen önemli paragrafların yanına işaret koyun.
标题	başlık; manşet	Bu makalenin başlığı çok çekici.
表决	oylama yapmak; oylama	Temsilciler öneriyi oylayacak.
表态	tavrını açıklamak; pozisyon bildirmek	O henüz kamuoyuna tavrını açıklamadı.
表彰	takdir etmek; ödüllendirmek	Şirket başarılı çalışanları takdir etti.
憋	bastırmak; tutmak; boğulmak	Gülmesini bastırdı ve hiçbir şey söylemedi.
别墅	villa	Banliyöde bir villa satın aldılar.
别致	özgün; sıra dışı	Bu kafenin dekorasyonu çok özgün.
别扭	tuhaf; rahatsız; eğreti	Bu cümle kulağa biraz tuhaf geliyor.
濒临	eşiğinde olmak; çok yaklaşmak	Bu hayvan yok olma eşiğinde.
冰雹	dolu	Dün öğleden sonra şiddetli dolu yağdı.
丙	üçüncü; C harfi; propil	C grubunun maçı öğleden sonra başlar.
并非	aslında değil; kesinlikle değil	İşler senin düşündüğün gibi değil.
并列	yan yana; aynı sırada olmak	Bu iki proje birinciliği paylaşıyor.
剥削	sömürmek; sömürü	Eski toplumda ciddi sömürü vardı.
拨	çevirmek; itip ayırmak; tahsis etmek	Lütfen bu telefon numarasını çevir.
播种	tohum ekmek	Çiftçiler ilkbaharda tohum ekmeye başlar.
波浪	dalga	Denizde büyük dalgalar yükseldi.
波涛	kabaran dalgalar; dalga köpüğü	Tekne kabaran dalgaların arasından ilerledi.
伯母	yenge; baba ağabeyinin eşi	Bu hafta sonu yengemi ziyaret edeceğim.
博大精深	geniş kapsamlı ve derin	Çin kültürü geniş kapsamlı ve derindir.
博览会	fuar; sergi	Uluslararası fuar birçok şirketi çekti.
搏斗	boğuşmak; mücadele etmek	Polis suçluyla boğuştu.
薄弱	zayıf; güçsüz	Onun gramer temeli nispeten zayıf.
不顾	aldırmadan; rağmen	Tehlikeye aldırmadan içeri koştu.
不愧	layık olmak; gerçekten hak etmek	O gerçekten deneyimli bir uzman denmeye layık.
不料	beklenmedik şekilde; umulmadık biçimde	Beklenmedik şekilde toplantı aniden iptal edildi.
不像话	akıl almaz; uygunsuz; kabul edilemez	Misafirlere böyle davranman kabul edilemez.
不屑一顾	küçümseyerek umursamamak	Bu söylentileri küçümseyerek umursamadı.
哺乳	emzirmek; emzirme	Anne bebeği emziriyor.
捕捉	yakalamak; ele geçirmek	Fotoğrafçı harika bir anı yakaladı.
补偿	telafi etmek; tazmin etmek	Şirket zararını telafi edecek.
补救	telafi etmek; çare bulmak	Bunu telafi etmek için hâlâ zamanımız var.
补贴	sübvansiyon; ödenek; desteklemek	Hükümet düşük gelirli ailelere destek veriyor.
不得已	mecbur kalmak; başka çaresi olmamak	Başka çaresi olmadığı için memleketinden ayrıldı.
不妨	zararı yok; iyi olur	Önce onun açıklamasını dinlesen iyi olur.
不敢当	bu övgüyü hak etmiyorum; estağfurullah	Böyle bir övgüyü gerçekten hak etmiyorum.
不禁	kendini tutamamak	Haberi duyunca gülmeden edemedi.
不堪	dayanılmaz; kaldıramaz	Buradaki gürültü dayanılmaz.
不可思议	akıl almaz; inanılmaz	Bu sonuç gerçekten inanılmaz.
不免	kaçınılmaz olarak	İlk kez sahneye çıkınca kaçınılmaz olarak biraz heyecanlandı.
不时	ara sıra; sık sık	Ara sıra başını kaldırıp saate baktı.
不惜	esirgememek; çekinmemek	Birini kurtarmak için risk almaktan çekinmedi.
不相上下	başa baş; birbirine denk	İki takım birbirine denk.
不言而喻	söylemeye gerek yok; apaçık	Dürüstlüğün önemi apaçıktır.
不由得	elinde olmadan; kendini tutamayarak	Eski fotoğrafı görünce çocukluğunu düşünmeden edemedi.
不择手段	amacına ulaşmak için her yolu kullanmak	Para kazanmak için her yolu kullanıyor.
不止	birden fazla; durmaksızın	Toplantıya yüzden fazla kişi katıldı.
布告	ilan; duyuru	Okul kapısına bir duyuru asıldı.
布局	düzen; yerleşim; kompozisyon	Bu dairenin yerleşimi çok mantıklı.
布置	düzenlemek; yerleştirmek; ödev vermek	Öğretmen yeni ödev verdi.
步伐	adım; tempo; yürüyüş	Ekip düzenli adımlarla ilerledi.
部署	konuşlandırmak; planlamak; düzenleme	Şirket yeni bir satış planı uygulamaya koyuyor.
部位	bölge; yer	Doktor yaralı bölgeyi inceledi.
才干	yetenek; yeterlilik	Kadın yönetimde çok yetenekli.
裁缝	terzi	Bu terzi çok beceriklidir.
裁判	hakem; karar vermek	Hakem maçın durdurulduğunu açıkladı.
裁员	personel azaltmak; işten çıkarmak	Şirket zarar nedeniyle personel azaltmaya karar verdi.
财富	servet; zenginlik	Bilgi de bir tür servettir.
财务	mali işler; finans	Finans bölümü hesapları kontrol ediyor.
财政	kamu maliyesi; mali	Mali gelir bu yıl bir miktar arttı.
彩票	piyango bileti	Ara sıra piyango bileti alır.
采购	satın almak; tedarik etmek	Şirket ekipman satın almak için birini gönderdi.
采集	toplamak; numune almak	Araştırmacılar ormanda numune topladı.
采纳	kabul etmek; benimsemek	Yönetici önerimizi kabul etti.
参谋	danışmanlık yapmak; kurmay subay	O sık sık müdüre danışmanlık yapar.
参照	başvurmak; referans almak	Lütfen formu bu biçime göre doldurun.
残疾	engelli; sakat	Bu istasyon engelli yolculara yardım sağlar.
残酷	zalim; acımasız	Savaş çok acımasızdır.
残留	kalıntı; geride kalmak	Bardakta hâlâ kahve kokusu kalmış.
残忍	zalim; acımasız	Hayvanlara eziyet etmek zalimce bir davranıştır.
灿烂	parlak; göz kamaştırıcı	Kadın parlak bir gülümseme gösterdi.
仓促	acele; telaşla	Bu karar fazla aceleyle alındı.
仓库	depo; ambar	Mallar çoktan depoya teslim edildi.
舱	kabin; gemi veya uçak bölmesi	Yolcular kabine giriyor.
苍白	solgun	Yüzü çok solgun görünüyordu.
操劳	çok çalışmak; ilgilenip yorulmak	Annem bu aile için yıllarca çok çalıştı.
操练	talim yapmak; alıştırma yapmak	Askerler her sabah talim yapar.
操纵	kontrol etmek; yönlendirmek; manipüle etmek	Bu makine bilgisayar tarafından kontrol ediliyor.
操作	kullanmak; çalıştırmak; işletmek	Lütfen ekipmanı talimatlara göre kullanın.
嘈杂	gürültülü; patırtılı	İstasyonda çok gürültü var.
草案	taslak	Komite taslağı tartışıyor.
草率	özensiz; aceleci; dikkatsiz	Böyle önemli bir karar özensiz alınamaz.
侧面	yan; yan taraf; yön	Yandan bakınca bu bina daha yüksek görünüyor.
测量	ölçmek; ölçüm yapmak	Mühendis köprünün uzunluğunu ölçüyor.
策划	planlamak; tasarlamak	Büyük bir etkinlik planladılar.
策略	strateji; taktik	Bu strateji şirketin maliyetleri düşürmesine yardım etti.
层出不穷	ardı arkası kesilmemek; sürekli ortaya çıkmak	Yeni sorunlar ardı ardına ortaya çıkıyor.
