source_headword	AZ	example_AZ
incur	məruz qalmaq	Gecikmələr əlavə xərclərə məruz qoya bilər.
indicator	göstərici	İşsizlik iqtisadi göstəricilərdən biridir.
indictment	ittiham aktı	İttiham aktında üç ittiham sadalanırdı.
indigenous	yerli	Yerli bitkilər burada yaxşı böyüyür.
induce	səbəb olmaq	Dərman yuxuya səbəb ola bilər.
indulge	aludə olmaq	O, bahalı vərdişlərə aludə olmur.
inequality	bərabərsizlik	Gəlir bərabərsizliyi əsas problem olaraq qalır.
infamous	bədnam	Həbsxana bütün dünyada bədnam oldu.
infant	körpə	Körpə çarpayıda yatırdı.
infect	yoluxdurmaq	Virus sağlam hüceyrələri yoluxdura bilər.
inflict	yetirmək	Heyvanlara ağrı yetirməyin.
influential	nüfuzlu	O, nüfuzlu hüquqşünasdır.
inherent	xas	Dizaynın xas riskləri var.
inhibit	ləngitmək	Qorxu dürüst müzakirəni ləngidə bilər.
initiate	başlamaq	Menecer yoxlamaya başlayacaq.
inject	vurmaq	Tibb bacısı peyvənd vuracaq.
injection	inyeksiya	İnyeksiya ağrını azaltdı.
injustice	ədalətsizlik	Qərar açıq bir ədalətsizliyi ortaya qoydu.
inmate	məhbus	Məhbus hüquqi məsləhət istədi.
insertion	daxiletmə	Formaya bir mətnin daxil edilməsi lazımdır.
insider	insayder	İnsayder hesabatı sızdırdı.
inspect	yoxlamaq	Məmurlar körpünü hər il yoxlayırlar.
inspection	təftiş	Təftiş ciddi ziyan aşkar etdi.
inspiration	ilham	Onun çıxışı mənə ilham verdi.
instinct	instinkt	Onun ilk instinkti kömək etmək idi.
institutional	institusional	İnstitusional qaydalar qərarı formalaşdırdı.
instruct	təlimatlandırmaq	Təlimat yeni işçiləri təlimatlandıracaq.
instrumental	mühüm rol oynayan	Onun məsləhəti danışıqlarda mühüm rol oynadı.
insufficient	kifayət etməyən	Dəlillər ittihamlar üçün kifayət etmirdi.
insult	təhqir	Onun təhqiri söhbəti bitirdi.
intact	bütöv	Qədim divar bütöv qaldı.
intake	qəbul	Şəkər qəbulu orta səviyyədə qalmalıdır.
integral	ayrılmaz	İnam komandanın ayrılmaz hissəsidir.
integrated	inteqrasiya edilmiş	Məktəb inteqrasiya edilmiş dəstək təklif edir.
integration	inteqrasiya	İnteqrasiya bütün sistemi təkmilləşdirdi.
integrity	dürüstlük	Hakim böyük dürüstlük nümayiş etdirdi.
intensify	şiddətlənmək	Fırtına gecə şiddətlənə bilər.
intensity	intensivlik	Təlimin intensivliyi artdı.
intensive	intensiv	Onlar intensiv dil təlimini tamamladılar.
intent	niyyət	Onun niyyətini sübut etmək çətin idi.
interactive	interaktiv	Muzeydə interaktiv displeylər var.
interface	interfeys	İnterfeysi idarə etmək asandır.
interfere	müdaxilə etmək	İstintaqa müdaxilə etməyin.
interference	maneə	Siqnal maneəsi zəngi kəsdi.
interim	müvəqqəti	Müvəqqəti hesabat sabah gəlir.
interior	daxili	Daxili divarların boyaya ehtiyacı var.
intermediate	orta	O, orta sinfə qatıldı.
intervene	müdaxilə etmək	Polis tez müdaxilə etməli oldu.
intervention	müdaxilə	Erkən müdaxilə xəstəyə kömək etdi.
intimate	səmimi	Onlar səmimi ailə mərasimi keçirdilər.
intriguing	maraqlı	Məlumatlar maraqlı bir naxış aşkar etdi.
investigator	müstəntiq	Müstəntiq hər şahidlə dindirdi.
invisible	görünməz	Qaz görünməz və təhlükəlidir.
invoke	istinad etmək	Vəkil presedentə istinad etməyə çalışdı.
involvement	iştirak	Onun iştirakı qeyri-müəyyən qaldı.
ironic	ironik	İronik şərh hər kəsi güldürdü.
ironically	ironik olaraq	İronik olaraq, marşrut daha çox vaxt apardı.
irony	ironiya	İroniya hər kəsə aydın idi.
irrelevant	aidiyyəti olmayan	Bu təfərrüat burada aidiyyəti deyil.
isolation	təcrid	Təcrid psixi sağlamlığa zərər verə bilər.
judicial	məhkəmə	Məhkəmə baxışı bazar ertəsi başlayır.
junction	yolayrıcı	Yolayrıcında sola dönün.
jurisdiction	yurisdiksiya	Məhkəmənin məhdud yurisdiksiyası var.
just	ədalətli	Hakim ədalətli qərar qəbul etdi.
justification	əsaslandırma	Xərclər üçün aydın əsaslandırmaya ehtiyacımız var.
kidnap	qaçırmaq	Cinayətkarlar diplomatı qaçırmağa çalışdılar.
kidney	böyrək	Onun böyrək funksiyası yaxşılaşdı.
kingdom	krallıq	Krallıq onun hakimiyyəti altında genişləndi.
lad	oğlan	Gənc oğlan çantaları daşıdı.
landlord	ev sahibi	Ev sahibi istilik sistemini təmir etdi.
landmark	görməli yer	Qüllə şəhərin görməli yerinə çevrildi.
lap	qucaq	Uşaq onun qucağında oturdu.
large-scale	irimiqyaslı	Şəhər irimiqyaslı təmir işləri planlaşdırdı.
laser	lazer	Lazer məsafəni ölçdü.
latter	sonuncu	Sonuncu seçim daha təhlükəsiz görünür.
lawn	qazon	Uşaqlar qazonda oynayırdılar.
lawsuit	iddia	Şirkət məhkəmə işini həll etdi.
layout	tərtibat	Səhifənin tərtibatı daha aydın görünür.
leak	sızıntı	Boru sızıntısı mətbəxi su basmasına səbəb oldu.
leap	sıçrayış	Satışlar qəfil sıçrayış etdi.
legacy	irs	Onun irsi universiteti formalaşdı.
legendary	əfsanəvi	Əfsanəvi müğənni səhnəyə qayıtdı.
legislation	qanunvericilik	Yeni qanunvericilik kirayəçiləri qoruyur.
legislative	qanunverici	Qanunverici komitə bu gün toplandı.
legislature	qanunverici orqan	Qanunverici orqan büdcəni təsdiqlədi.
legitimate	qanuni	Onlar qanuni narahatlıqları dilə gətirdilər.
lengthy	uzun-uzadı	Uzun-uzadı debat səsverməni gecikdirdi.
lesbian	lezbiyan	Lezbiyan fəal forumda çıxış etdi.
lesser	daha az	Daha az riski seçin.
lethal	ölümcül	Kimyəvi maddə ölümcül ola bilər.
liable	məsuliyyət daşıyan	Sürücülər zərərlərə görə məsuliyyət daşıyırlar.
liberal	liberal	O, liberal sosial siyasətləri dəstəkləyir.
liberation	qurtuluş	Qurtuluş ölkənin gələcəyini dəyişdi.
liberty	azadlıq	Qanun şəxsi azadlığı qoruyur.
license	lisenziya vermək	Dövlət yeni klinikalara lisenziya verə bilər.
lifelong	ömürlük	O, orada ömürlük dostlar qazandı.
likelihood	ehtimal	Yağış ehtimalı artdı.
limb	əza	Yaralı əza yavaş-yavaş sağaldı.
linear	xətti	Qrafik xətti trendi göstərir.
line-up	proqram	Festival proqramına yerli qruplar daxildir.
linger	qalmaq	İy saatlarla qala bilər.
listing	elan	Mənzil elanı dəqiq görünürdü.
literacy	savadlılıq	Yetkinlərin savadlılıq proqramları genişləndi.
liver	qaraciyər	Qaraciyər zərərli maddələri süzür.
lobby	foye	Günortadan sonra foye izdihamlı idi.
log	jurnal	Sistem gündəlik jurnal saxlayır.
logic	məntiq	Onun arqumentinin məntiqi boşa çıxdı.
long-standing	çoxdankı	Onlar çoxdankı mübahisəni həll etdilər.
long-time	çoxdankı	O, çoxdankı könüllüdür.
loom	yaxınlaşmaq	Qaranlıq buludlar vadinin üzərinə çökür.
loop	dövrə	Cığır dövrə yaradır.
loyalty	sadiqlik	Onun sadiqliyi komandanı təsirləndirdi.
machinery	avadanlıq	Zavod yeni avadanlıq quraşdırdı.
magical	sehirli	Bağça gecələr sehirli görünürdü.
magistrate	hakim	Hakim işə baxdı.
magnetic	maqnit	Maqnit sahəsi kompasa təsir etdi.
magnitude	miqyas	Zərərin miqyası aydın idi.
mainland	materik	Bərə adaları materiklə birləşdirir.
mainstream	əsas cərəyan	Bu fikir əsas siyasətə daxil oldu.
maintenance	texniki baxış	Müntəzəm texniki baxış qəzaların qarşısını alır.
mandate	mandat	Prezident güclü mandat tələb etdi.
mandatory	məcburi	Təcrübəçilər üçün iştirak məcburidir.
manifest	özünü göstərmək	Simptomlar həftələr sonra özünü göstərə bilər.
manipulate	manipulyasiya etmək	Sorğunun nəticələrini manipulyasiya etməyin.
manipulation	manipulyasiya	Məlumatların manipulyasiyası aşkar edildi.
manuscript	əlyazma	Nəşriyyat onun əlyazmasını qəbul etdi.
march	yürüş etmək	Etirazçılar şəhər mərkəzinə doğru yürüş edəcəklər.
marginal	cüzi	Dəyişikliyin cüzi faydası oldu.
marine	dəniz	Dəniz həyatının təmiz suya ehtiyacı var.
marketplace	bazar	Onlayn bazar sürətlə genişləndi.
mask	maska	İşçilər maska taxmalıdırlar.
massacre	qətliam	Qətliam bütün bölgəni sarsıtdı.
mathematical	riyazi	Riyazi model tələbi proqnozlaşdırdı.
mature	yetkin	Böyük ağaclar kölgə verir.
maximize	maksimallaşdırmaq	Yeniləmə batareyanın ömrünü maksimallaşdıracaq.
meaningful	mənalı	Onların mənalı söhbəti oldu.
meantime	bu vaxt ərzində	Bu vaxt ərzində çöldə gözləyin.
medieval	orta əsrlər	Qalanın orta əsr divarları var.
meditation	meditasiya	Gündəlik meditasiya onun beynini sakitləşdirir.
melody	melodiya	Melodiya ağlımda qaldı.
memo	memorandum	Memorandum siyasəti izah etdi.
memoir	memuar	Onun memuarı uşaqlıq sürgününü təsvir edir.
memorial	abidə	Abidə yerli əsgərləri şərəfləndirir.
mentor	mentor	Onun mentoru təklifi nəzərdən keçirdi.
merchant	tacir	Tacir ipək və ədviyyat satırdı.
mercy	mərhəmət	Hakim mərhəmət göstərdi.
mere	sadəcə	Sadəcə bir baxış səhvi ortaya çıxardı.
merely	sadəcə	O, sadəcə təlimatları təkrarladı.
merge	birləşmək	İki şirkət birləşəcək.
merger	birləşmə	Birləşmə daha böyük bir bank yaratdı.
merit	dəyər	Təklifin açıq dəyəri var.
methodology	metodologiya	Tədqiqat öz metodologiyasını izah edir.
midst	orta	Onlar xaosun ortasında işləyirdilər.
migration	miqrasiya	Mövsümi miqrasiya yerli işlərə təsir göstərir.
militant	silahlı	Silahlı qrup danışıqları rədd etdi.
militia	milis	Milis yolu idarə edirdi.
mill	dəyirman	Köhnə dəyirman muzey oldu.
minimal	minimal	Plan minimal səy tələb edir.
minimize	minimuma endirmək	Biz lazımsız riski minimuma endirməliyik.
