source_headword	KO	example_KO
ability	능력;재능	그녀의 수영 능력은 분명해요.
able	할 수 있는;가능한	그는 오늘 올 수 있어요.
abroad	해외에;해외로	그녀는 해외에서 공부하고 싶어 해요.
accept	받아들이다;받다	이 작은 선물을 받아 주세요.
accident	사고	사고는 학교 근처에서 일어났어요.
according to	~에 따르면;~에 따라	보고서에 따르면 비가 올 거예요.
achieve	달성하다;이루다	당신은 목표를 이룰 수 있어요.
act	행동하다;연기하다;행위	그는 연극에서 연기할 수 있어요.
active	활동적인	그녀는 매일 활동적이에요.
actually	사실은;실제로	사실은 시간이 더 필요해요.
advantage	장점;이점	이 계획에는 장점이 있어요.
adventure	모험	그들의 여행은 모험이었어요.
advertise	광고하다;홍보하다	그들은 새 일자리를 광고해요.
advertisement	광고	나는 광고를 보았어요.
advertising	광고;광고업	광고는 음식을 파는 데 도움이 돼요.
affect	영향을 주다	잠은 건강에 영향을 줄 수 있어요.
against	~에 반대하여;~에 기대어	벽에 기대지 마세요.
ah	아;아하	아, 이제 이해했어요.
airline	항공사	그 항공사는 매우 바빠요.
alive	살아 있는	작은 물고기는 살아 있어요.
all right	괜찮은;괜찮아	이제 모든 것이 괜찮아요.
allow	허락하다;허용하다	여기서는 개를 허용해요.
almost	거의	우리는 거의 준비됐어요.
alone	혼자;홀로	그녀는 혼자 살아요.
along	~을 따라	이 길을 따라 걸으세요.
already	이미;벌써	나는 이미 답을 알아요.
alternative	대안;대체의	이 기차는 대안이에요.
although	~이지만;비록 ~일지라도	늦었지만 우리는 머물 수 있어요.
among	~사이에;~중에	그는 나무들 사이에 서 있었어요.
amount	양;금액	양이 너무 적어요.
ancient	고대의;아주 오래된	이 오래된 벽은 유명해요.
ankle	발목	오늘 발목이 아파요.
anybody	누구든;누군가	누구든 이 문제에 답할 수 있나요?
any more	더 이상	나는 더 이상 필요하지 않아요.
anyway	어쨌든;아무튼	어쨌든 우리는 지금 시작할 수 있어요.
anywhere	어디든;어디에나	좋아하는 곳 어디든 앉으세요.
app	앱	이 앱은 유용해요.
appear	나타나다;표시되다	그녀의 이름이 여기에 나타날 거예요.
appearance	외모;모습	그의 모습은 달라요.
apply	지원하다;신청하다;적용하다	오늘 그 일에 지원하세요.
architect	건축가	그 건축가에게는 계획이 있어요.
architecture	건축;건축학	나는 현대 건축을 좋아해요.
argue	다투다;논쟁하다	여동생과 다투지 마세요.
argument	말다툼;논쟁	그 말다툼은 짧았어요.
army	군대	그 군대는 커요.
arrange	준비하다;정리하다	회의를 준비해 주세요.
arrangement	준비;배치;합의	그 준비는 잘 진행돼요.
asleep	잠든	아기가 잠들어 있어요.
assistant	조수;보조자;어시스턴트	그 보조자가 나를 도와줬어요.
athlete	운동선수	그 운동선수는 빨리 달려요.
attack	공격하다;공격	그 개가 공격할 수도 있어요.
attend	참석하다;다니다	나는 오늘 수업에 참석해요.
attention	주의;관심	지금 주의해 주세요.
