source_headword	ZH	example_ZH
toss	扔	她把钥匙扔到了桌子上。
total	总计	维修费用总计超过了预期。
toxic	有毒的	有毒的烟雾迫使所有人到了外面。
trademark	商标	这个标志成了公司的商标。
trail	小径	这条小径穿过森林。
trailer	预告片	预告片展示了电影的结局。
transaction	交易	这笔交易出现在我的银行对账单上。
transcript	成绩单	这名学生要求提供正式的成绩单。
transformation	转型	这座城市经历了重大的转型。
transit	运输	包裹在运输途中受损。
transmission	传输	数据传输是安全的。
transparency	透明度	报告呼吁提高透明度。
transparent	透明的	这个过程对所有人应该是透明的。
trauma	创伤	这场事故留下了深深的创伤。
treaty	条约	这些国家签署了一项和平条约。
tremendous	极大的	团队取得了极大的进展。
tribal	部落的	博物馆展出了部落艺术。
tribunal	法庭	法庭听取了一整周的证据。
tribute	致敬	这场音乐会是对她的致敬。
trio	三重奏	这支三人乐队在节日上表演了。
triumph	胜利	这次胜利是个人的巨大成就。
trophy	奖杯	队长自豪地举起了奖杯。
troubled	陷入困境的	这家陷入困境的公司需要新的领导层。
trustee	受托人	受托人管理这项奖学金基金。
tuition	学费	她的学费今年上涨了。
turnout	投票率	投票率比预期的要高。
turnover	员工流失率	调整后，员工流失率下降了。
twist	拧	她把盖子拧开了。
undergraduate	本科生	这名本科生加入了一个研究项目。
underlying	根本的	报告解释了根本原因。
undermine	破坏	这桩丑闻破坏了公众的信任。
undoubtedly	毫无疑问地	她毫无疑问是最好的候选人。
unify	统一	该计划旨在统一这些团队。
unprecedented	史无前例的	这场风暴造成了史无前例的破坏。
unveil	公布	公司将于明天公布设计。
upcoming	即将到来的	即将到来的选举引起了公众的关注。
upgrade	升级	我们昨晚升级了软件。
uphold	维持	我们维持原判。
utility	公用事业	这间公寓包含所有公用事业费用。
utilize	利用	团队利用了可用的数据。
utterly	完全地	这个解释让人完全摸不着头脑。
vacuum	真空	领导层的真空造成了紧张局势。
vague	模糊的	他的回答模糊且没有说服力。
validity	有效性	这项研究质疑了测试的有效性。
vanish	消失	文件从文件夹中消失了。
variable	变量	价格是一个重要的变量。
varied	各种各样的	这门课程提供各种各样的作业。
vein	静脉	护士很快就找到了静脉。
venture	企业	这家新企业吸引了投资者。
verbal	口头的	他们达成了一项口头协议。
verdict	判决	陪审团下达了判决。
verify	验证	请验证您的电子邮件地址。
verse	诗句	她引用了那首诗的一节诗句。
versus	对	辩论的主题是隐私对安全。
vessel	船只	这艘船只在海上运送谷物。
veteran	老手	这位老手培训了新员工。
viable	可行的	这个提议在财务上是可行的。
vibrant	充满活力的	这座城市有着充满活力的艺术氛围。
vice	恶习	贪婪是他最大的恶习。
vicious	恶毒的	这起恶毒的袭击震惊了小镇。
villager	村民	一个村民把我们引到了河边。
violate	违反	这家公司可能会违反安全规定。
violation	违反	检查员报告了一起严重的违规行为。
virtue	美德	耐心是一种重要的美德。
vocal	直言不讳的	她对这个决定直言不讳。
vow	发誓	他发誓要完成这项工作。
vulnerability	漏洞	审计揭露了一个安全漏洞。
vulnerable	脆弱的	儿童在极端高温下很脆弱。
ward	病房	病人搬到了另一个病房。
warehouse	仓库	仓库里存放着备件。
warfare	战争	现代战争依赖技术。
warrant	搜查令	警察出示了搜查令。
warrior	勇士	这名勇士保护了村庄。
weaken	削弱	受伤削弱了他的握力。
weave	编织	她学会了编织篮子。
weed	杂草	石头缝里长出了一棵杂草。
well	水井	村里的水井干涸了。
well-being	幸福	睡眠对身心健康至关重要。
whatsoever	丝毫	他没有表现出丝毫的兴趣。
whereby	凭此	法律建立了一个机制，家庭可以凭此上诉。
whilst	同时	她工作时他在休息。
whip	抽打	风会猛烈地抽打旗帜。
wholly	完全地	这个决定完全出乎意料。
widen	加宽	这座城市计划拓宽道路。
widow	寡妇	那位寡妇住在学校附近。
width	宽度	测量一下门的宽度。
willingness	意愿	她乐于助人的意愿给所有人留下了深刻的印象。
wipe	擦	用布擦拭屏幕。
wit	风趣	他的风趣使演讲生动起来。
withdrawal	撤资	资金的撤出延迟了项目的进展。
workout	锻炼	这次锻炼持续了四十分钟。
worship	礼拜	人们在黎明时分聚集起来做礼拜。
worthwhile	值得的	这次旅行是值得的。
worthy	值得的	这家慈善机构值得支持。
yell	大喊	不要对着员工大吼大叫。
yield	产量	农场本季的产量提高了。
youngster	年轻人	这个年轻人问了许多问题。
