simplified	KO	example_KO
挨	견디다	그는 밤새 견디고 마침내 날이 밝기를 기다렸습니다.
癌症	암	암을 조기에 발견하는 것은 매우 중요합니다.
暧昧	모호한	그의 대답은 매우 모호했습니다.
爱不释手	손에서 놓지 못하다	그녀는 이 책을 너무 좋아해서 손에서 놓지 못했습니다.
爱戴	사랑하고 존경하다	이 선생님은 학생들에게 깊이 사랑받고 존경받습니다.
安宁	평온한	이곳의 밤은 매우 평온합니다.
安详	평안한	노인의 표정은 매우 평안했습니다.
安置	정착시키다	정부는 재해를 입은 사람들을 정착시켰습니다.
按摩	마사지	저는 마사지를 하나 예약했습니다.
暗示	암시하다	그녀는 더 묻지 말라고 나에게 암시했습니다.
案件	사건	경찰은 이 사건을 조사하고 있습니다.
案例	사례	이 사례는 매우 대표적입니다.
昂贵	비싼	이 장비는 매우 비쌉니다.
凹凸	울퉁불퉁한	이 도로 표면은 울퉁불퉁합니다.
熬	버티다	그는 사흘을 버텨서야 보고서를 완성했습니다.
奥秘	오묘한 비밀	과학자는 이 오묘한 비밀을 밝혀내고 싶어 합니다.
巴不得	간절히 바라다	저는 당장 출발하기를 간절히 바랍니다.
巴结	아첨하다	그는 상사에게 아첨하고 싶어 하지 않습니다.
扒	붙잡다	아이는 문을 붙잡고 밖을 내다보았습니다.
疤	흉터	그의 팔에는 흉터가 하나 있습니다.
拔苗助长	성급하게 일을 그르치다	이렇게 아이에게 공부를 강요하면 성급하게 일을 그르칠 뿐입니다.
把关	검토하다	이 계약서는 변호사의 검토가 필요합니다.
把手	손잡이	문의 손잡이가 고장 났습니다.
罢工	파업하다	노동자들은 내일 파업하기로 결정했습니다.
霸道	강압적인	그는 말하는 방식이 너무 강압적입니다.
掰	손으로 쪼개다	그녀는 빵을 두 조각으로 쪼갰습니다.
摆脱	벗어나다	그는 마침내 나쁜 습관에서 벗어났습니다.
拜访	방문하다	우리는 주말에 선생님을 방문할 것입니다.
拜年	새해 인사를 드리다	춘절 때 우리는 할아버지와 할머니께 새해 인사를 드리러 갑니다.
拜托	부탁하다	이 일은 당신에게 부탁하겠습니다.
败坏	해치다	이런 행동은 회사의 명성을 해칠 것입니다.
斑	반점	고양이 몸에 검은 반점이 하나 있습니다.
颁布	공포하다	새 규정은 다음 주에 공포됩니다.
颁发	수여하다	학교는 우수한 학생들에게 상장을 수여했습니다.
版本	버전	이 소프트웨어에는 새 버전이 있습니다.
伴侣	동반자	그녀는 개를 자신의 동반자로 여깁니다.
伴随	동반하다	성공은 흔히 압박을 동반합니다.
半途而废	중도에 포기하다	연구를 할 때는 중도에 포기해서는 안 됩니다.
扮演	역할을 맡다	그는 영화에서 의사 역할을 맡았습니다.
榜样	본보기	부모는 아이의 본보기입니다.
绑架	납치하다	경찰은 납치 사건 하나를 막았습니다.
磅	파운드	이 상자는 무게가 이십 파운드입니다.
包庇	비호하다	누구도 범죄를 비호해서는 안 됩니다.
包袱	부담	그는 부담을 내려놓고 훨씬 홀가분해졌습니다.
包围	포위하다	기자들이 배우를 둘러쌌습니다.
包装	포장	이 선물의 포장은 매우 예쁩니다.
保管	보관하다	이 문서들은 제가 보관합니다.
保密	비밀로 하다	회의 내용은 반드시 비밀로 해야 합니다.
保姆	보모	그들은 보모 한 명을 고용했습니다.
保守	보수적인	그의 생각은 비교적 보수적입니다.
保卫	보위하다	군인들이 국경을 보위합니다.
保养	정비하다	이 차는 정기적인 정비가 필요합니다.
保障	보장하다	법은 시민의 권리를 보장합니다.
保重	몸조심하다	밖에 있는 동안 부디 몸조심하세요.
饱和	포화	이 시장은 이미 포화에 가깝습니다.
饱经沧桑	산전수전을 겪다	이 노인은 산전수전을 겪었습니다.
报酬	보수	그는 합리적인 보수를 받았습니다.
报仇	복수하다	그는 복수하고 싶지 않고 다시 시작하고 싶을 뿐입니다.
报答	보답하다	저는 행동으로 당신의 도움에 보답하겠습니다.
报复	보복	보복은 갈등을 더 깊게 만들 뿐입니다.
报警	경찰에 신고하다	화재를 발견하면 즉시 경찰에 신고해야 합니다.
报销	상환받다	출장 비용은 상환받을 수 있습니다.
抱负	포부	그는 어릴 때부터 큰 포부를 가지고 있었습니다.
暴力	폭력	우리는 어떤 형태의 폭력도 반대합니다.
暴露	드러나다	이 문제가 점차 드러났습니다.
曝光	공개되다	이 사진이 공개된 뒤 관심을 끌었습니다.
爆发	폭발하다	화산이 갑자기 폭발했습니다.
爆炸	폭발	실험실에서 폭발이 발생했습니다.
卑鄙	비열한	이런 비열한 방식은 사람들을 분노하게 합니다.
悲哀	슬픈	그 소식을 듣고 그는 매우 슬펐습니다.
悲惨	비참한	그것은 비참한 역사의 한 시기였습니다.
北极	북극	과학자들은 북극에서 연구를 진행하고 있습니다.
备份	백업	먼저 중요한 파일을 백업하세요.
备忘录	메모	그녀는 메모에 핵심 내용을 적었습니다.
背叛	배신	그는 친구의 배신을 받아들일 수 없었습니다.
背诵	암송하다	학생들은 본문을 암송하고 있습니다.
被动	수동적인	협상에서 우리는 너무 수동적이어서는 안 됩니다.
被告	피고	피고는 모든 혐의를 부인했습니다.
贝壳	조개껍데기	아이는 바닷가에서 조개껍데기를 주웠습니다.
奔波	분주히 돌아다니다	그는 일을 위해 사방으로 분주히 돌아다닙니다.
奔驰	질주하다	자동차가 고속도로를 질주했습니다.
本能	본능	아이를 보호하는 것은 부모의 본능입니다.
本钱	밑천	장사를 하려면 밑천이 필요합니다.
本人	본인	본인은 책임을 질 의향이 있습니다.
本身	그 자체	이 계획 그 자체에는 문제가 없습니다.
本事	능력	그는 능력이 뛰어납니다.
笨拙	서투른	그의 동작은 조금 서툽니다.
崩溃	붕괴되다	시스템이 갑자기 붕괴되었습니다.
甭	필요 없다	이 일은 걱정할 필요 없습니다.
蹦	깡충깡충 뛰다	강아지가 잔디밭에서 깡충깡충 뛰어다녔습니다.
迸发	터져 나오다	박수가 군중 속에서 터져 나왔습니다.
逼迫	강요하다	그들은 그에게 계약서에 서명하라고 강요했습니다.
鼻涕	콧물	아이가 감기에 걸려 계속 콧물을 흘립니다.
比方	예	예를 들어, 우리는 먼저 한 달 동안 시험해 볼 수 있습니다.
比喻	비유	이 비유는 매우 생생합니다.
比重	비중	서비스업의 비중이 점점 높아지고 있습니다.
