source_headword	FI	example_FI
heal	parantua	Lepo auttaa kehoa parantumaan.
healthcare	terveydenhuolto	Terveydenhuollon kustannukset nousivat tänä vuonna.
helmet	kypärä	Käytä kypärää pyöräillessä.
hence	siksi	Siksi muutimme aikataulua.
herb	yrtti	Basilika on hyödyllinen yrtti.
hidden	piilotettu	Avain oli piilotettu maton alle.
highway	valtatie	Valtatie suljettiin lumen takia.
hilarious	hulvaton	Elokuva oli hulvaton.
hip	lonkka	Hän loukkasi lonkkansa harjoituksissa.
historian	historioitsija	Historioitsija tutki vanhoja kirjeitä.
homeless	koditon	Suoja auttaa kodittomia perheitä.
honesty	rehellisyys	Rehellisyys rakentaa luottamusta.
hook	koukku	Ripusta takki koukkuun.
hopefully	toivottavasti	Toivottavasti juna saapuu pian.
hunger	nälkä	Nälkä voi vaikuttaa keskittymiseen.
hypothesis	hypoteesi	Koe testasi hypoteesia.
icon	kuvake	Sovelluksen kuvake muuttui tänään.
ID	henkilötodistus	Näytä henkilötodistuksesi vastaanotossa.
identical	identtinen	Kaksosilla oli identtiset takit.
illusion	illuusio	Peili luo illuusion.
immigration	maahanmuutto	Maahanmuuttopolitiikka muuttui viime vuonna.
immune	immuuni	Rokotus voi tehdä ihmisistä immuuneja.
implement	toteuttaa	Koulu aikoo toteuttaa uuden käytännön.
implication	merkitys	Merkitys oli selvä.
incentive	kannustin	Bonus antoi työntekijöille kannustimen.
incorporate	sisällyttää	Sisällytä aterioihin enemmän vihanneksia.
incorrect	väärä	Vastaus oli väärä.
independence	itsenäisyys	Maa juhli itsenäisyyttä.
index	hakemisto	Tarkista aihe hakemistosta.
indication	merkki	Hymy oli merkki helpotuksesta.
inevitable	väistämätön	Pieni viivästys oli väistämätön.
inevitably	väistämättä	Hinnat nousivat väistämättä pulan jälkeen.
infer	päätellä	Voimme päätellä vastauksen asiayhteydestä.
inflation	inflaatio	Inflaatio nosti ruoan hintoja.
info	tieto	Sivusto listaa hyödyllistä tietoa.
infrastructure	infrastruktuuri	Myrsky vahingoitti paikallista infrastruktuuria.
inhabitant	asukas	Jokainen asukas sai puhdasta vettä.
inherit	periä	Hän perii perheen talon.
ink	muste	Tulostin tarvitsee mustaa mustetta.
innovation	innovaatio	Innovaatio vie alaa eteenpäin.
innovative	innovatiivinen	Yritys lanseerasi innovatiivisen tuotteen.
input	panos	Johtaja pyysi panosta.
insert	syöttää	Syötä kortti laitteeseen.
inspector	tarkastaja	Tarkastaja tarkasti rakennuksen.
installation	asennus	Asennus kesti kaksi tuntia.
instant	välitön	Sovellus lähetti välittömän vastauksen.
instantly	välittömästi	Näyttö käynnistyi välittömästi.
integrate	integroida	Ohjelmisto voi integroida uusia työkaluja.
intellectual	älyllinen	Väittely oli älyllinen mutta ystävällinen.
interact	olla vuorovaikutuksessa	Opiskelijat ovat vuorovaikutuksessa ryhmätyön aikana.
interaction	vuorovaikutus	Vuorovaikutus oli kohteliasta.
interpretation	tulkinta	Hänen tulkintansa runosta oli alkuperäinen.
interval	väliaika	Näytösten välillä oli lyhyt väliaika.
invade	hyökätä	Armeija yritti hyökätä saarelle.
invasion	hyökkäys	Hyökkäys vahingoitti monia kaupunkeja.
investor	sijoittaja	Sijoittaja rahoitti uuden startup-yrityksen.
isolate	eristää	Lääkärit eristävät potilaita, joilla on vakavia infektioita.
isolated	eristetty	Kylä oli lumen eristämä.
jail	vankila	Varas joutui vankilaan.
jet	suihkukone	Suihkukone laskeutui keskipäivällä.
joint	yhteinen	He ilmoittivat yhteisestä projektista.
journalism	journalismi	Journalismi vaatii tarkkoja faktoja.
jury	valamiehistö	Valamiehistö teki päätöksen.
kit	sarja	Korjaussarja sisältää ruuveja.
ladder	tikkaat	Tikkaat nojasivat seinään.
landing	laskeutuminen	Lentokone teki pehmeän laskeutumisen.
lane	kaista	Pysy oikealla kaistalla.
lately	viime aikoina	Olen nukkunut huonosti viime aikoina.
leaflet	esite	Esite selittää palvelun.
legend	legenda	Legenda kertoo piilotetusta kaupungista.
lens	linssi	Puhdista kameran linssi varovasti.
lifetime	elinikä	Hän säästi rahaa koko eliniän.
lighting	valaistus	Hyvä valaistus parantaa huonetta.
likewise	samoin	Hän hymyili; hän teki samoin.
limitation	rajoitus	Suunnitelmalla on yksi rajoitus.
literally	kirjaimellisesti	Hän kirjaimellisesti juoksi bussille.
literary	kirjallinen	Festivaali kunnioittaa kirjallista työtä.
litre	litra	Osta litra maitoa.
litter	roska	Älä pudota roskia.
logo	logo	Logo näkyy jokaisella sivulla.
lottery	arpajaiset	Hän voitti pienen arpajaisvoiton.
loyal	uskollinen	Koira oli uskollinen omistajalleen.
lyric	sanoitus	Sanoitus toisti pääidean.
magnificent	upea	Palatsi näytti upealta.
make-up	meikki	Hänellä oli yksinkertainen meikki.
making	tekeminen	Elokuvan tekeminen oli vaikeaa.
manufacture	valmistaa	Tehdas aikoo valmistaa puhelimia.
manufacturing	valmistus	Valmistustyöpaikat lisääntyivät paikallisesti.
marathon	maraton	Hän suoritti maratonin.
margin	marginaali	Kirjoita muistiinpanot marginaaliin.
marker	tussi	Käytä tussia etikettiin.
martial	kamppailu-	Hän opiskelee kamppailulajeja.
mate	kaveri	Vanha koulukaverini soitti eilen.
mayor	pormestari	Pormestari avasi kirjaston.
mechanic	mekaanikko	Mekaanikko korjasi linja-auton.
mechanical	mekaaninen	Kellossa on mekaaninen vika.
mechanism	mekanismi	Lukkomekanismi on yksinkertainen.
medal	mitali	Hän voitti kultamitalin.
medication	lääkitys	Ota lääkitys veden kanssa.
membership	jäsenyys	Kuntosalin jäsenyys maksaa vähemmän verkossa.
memorable	ikimuistoinen	Matka oli ikimuistoinen.
metaphor	metafora	Runo käyttää vahvaa metaforaa.
miner	kaivostyöläinen	Kaivostyöläinen työskenteli maan alla.
miserable	kurja	Sade teki piknikistä kurjan.
mode	tila	Vaihda kamera yötilaan.
modest	vaatimaton	He asuvat vaatimattomassa talossa.
monster	hirviö	Tarinassa on pelottava hirviö.
monthly	kuukausittain	Maksamme vuokran kuukausittain.
monument	muistomerkki	Muistomerkki seisoo joen lähellä.
moreover	lisäksi	Lisäksi suunnitelma säästää rahaa.
mortgage	asuntolaina	He hakivat asuntolainaa.
mosque	moskeija	Moskeija on torin lähellä.
motion	liike	Anturi havaitsee liikkeen.
motivate	motivoida	Kehu voi motivoida opiskelijoita.
motivation	motivaatio	Hänen motivaationsa pysyi vahvana.
moving	liikuttava	Puhe oli liikuttava.
myth	myytti	Myytti selittää vuoren nimen.
naked	alaston	Vauva oli alaston kylvyn jälkeen.
nasty	ilkeä	Haava näytti ilkeältä.
navigation	navigointi	Sovellus parantaa navigointia.
nearby	läheinen	Läheinen kahvila aukeaa varhain.
necessity	välttämättömyys	Puhdas vesi on välttämättömyys.
negotiate	neuvotella	He neuvottelevat sopimuksesta huomenna.
negotiation	neuvottelu	Neuvottelu kesti koko aamun.
neutral	neutraali	Tuomari pysyi neutraalina.
newly	hiljattain	Hiljattain maalattu ovi näytti kirkkaalta.
norm	normi	Etätyöstä tuli normi.
notebook	muistikirja	Kirjoita muistiinpanot muistikirjaasi.
novelist	romaanikirjailija	Romaanikirjailija signeerasi kirjansa.
