source_headword	SV	example_SV
absolutely	absolut	Jag håller absolut med dig.
academic	akademisk	Det akademiska året börjar i september.
access	tillgång	Studenter behöver tillgång till biblioteket.
accommodation	boende	Vi bokade boende nära stationen.
account	ett konto	Hon öppnade ett nytt bankkonto.
achievement	en prestation	Att avsluta kursen var en stor prestation.
ad	en annons	Annonsen visade en ny telefon.
addition	ett tillskott	Poolen är ett nyttigt tillskott.
admire	beundra	Jag beundrar hennes lugna attityd.
admit	erkänna	Han erkände sitt misstag.
advanced	avancerad	Det här är en avancerad engelsklektion.
advise	råda	Läkare råder till regelbunden motion.
afford	ha råd med	Vi har inte råd med en taxi.
aged	i åldern	Kursen är för barn i åldern tio år.
agent	en reseagent	Reseagenten ändrade våra biljetter.
agreement	en överenskommelse	De nådde en överenskommelse i dag.
ahead	framför	Vägen framför oss är fri.
aim	sikta	Vi siktar på att bli klara snart.
alarm	ett larm	Larmet ringde klockan sex.
album	ett album	Det här albumet har tio låtar.
alcohol	alkohol	Hotellet serverar inte alkohol.
alcoholic	alkoholhaltig	Den här drycken är inte alkoholhaltig.
amazed	förvånad	Hon blev förvånad över resultatet.
ambition	en ambition	Hans ambition är att bli pilot.
ambitious	ambitiös	Hon har en ambitiös plan.
analyse	analysera	Vi behöver analysera resultaten.
analysis	en analys	Hennes analys var tydlig och noggrann.
announce	meddela	De meddelar vinnaren i morgon.
announcement	ett meddelande	Meddelandet överraskade alla.
annoy	irritera	Hög musik kan irritera grannar.
annoyed	irriterad	Han såg irriterad ut efter förseningen.
annoying	irriterande	Det där ljudet är verkligen irriterande.
apart	isär	Husen ligger två meter isär.
apologize	be om ursäkt	Jag ber om ursäkt för att jag är sen.
application	en ansökan	Fyll i ansökan online.
appointment	en tid	Jag har en tandläkartid i morgon.
appreciate	uppskatta	Jag uppskattar din hjälp.
approximately	ungefär	Promenaden tar ungefär tjugo minuter.
arrest	gripa	Polisen grep föraren.
arrival	en ankomst	Vår ankomst var senare än väntat.
assignment	en uppgift	Uppgiften ska vara klar på fredag.
assist	assistera	Sjuksköterskor assisterar läkaren.
atmosphere	en stämning	Kaféet har en avslappnad stämning.
attach	bifoga	Bifoga filen till ditt mejl.
attitude	en attityd	Hennes attityd förändrades efter mötet.
attract	locka	Starka blommor lockar bin.
attraction	en attraktion	Slottet är en populär attraktion.
authority	en myndighet	Den lokala myndigheten lagade vägen.
aware	medveten	Hon är medveten om risken.
backwards	bakåt	Han gick försiktigt bakåt.
bake	baka	Jag bakar bröd varje söndag.
balance	balans	Bra skor hjälper din balans.
ban	förbjuda	Staden kommer att förbjuda bilar.
bank (river)	en flodbank	Vi satt på flodbanken.
base	en bas	Laget återvände till basen.
basic	grundläggande	Alla behöver grundläggande datorkunskaper.
basis	en grund	Förtroende är grunden för vänskap.
battery	ett batteri	Mitt telefonbatteri är lågt.
battle	en strid	Striden varade hela natten.
beauty	skönhet	Vi beundrade bergens skönhet.
bee	ett bi	Ett bi landade på blomman.
belief	en tro	Hans tro gav honom mod.
bell	en klocka	Skolklockan ringde högt.
bend	böja	Böj knäna när du lyfter.
bite	bita	Hunden kan bita främlingar.
block	blockera	Ett fallet träd blockerade vägen.
bomb	en bomb	Bomben skadade flera byggnader.
border	en gräns	De korsade gränsen på natten.
bother	störa	Stör inte din syster, snälla.
branch	en gren	En gren bröts i stormen.
brand	ett märke	Det här märket är populärt bland studenter.
brave	modig	Den modige mannen räddade barnet.
breath	ett andetag	Ta ett djupt andetag.
breathe	andas	Jag kan inte andas i den här röken.
breathing	andning	Hennes andning var långsam.
bride	en brud	Bruden bar en vit klänning.
bubble	en bubbla	En bubbla svävade över glaset.
bury	begrava	De begravde lådan i sand.
calm	lugn	Förbli lugn under provet.
campaign	en kampanj	Kampanjen samlade in pengar till skolor.
campus	ett campus	Studenter bor nära campus.
candidate	en kandidat	Varje kandidat svarade på tre frågor.
cap	en keps	Han bar en basebollkeps.
captain	en kapten	Kaptenen talade med laget.
careless	slarvig	Ett slarvigt misstag kostade oss tid.
category	en kategori	Välj rätt kategori.
ceiling	ett innertak	Innertaket målades vitt.
celebration	ett firande	Firandet varade hela kvällen.
central	central	Hotellet har ett centralt läge.
ceremony	en ceremoni	Ceremonin började vid middagstid.
chain	en kedja	Hon bar en silverkedja.
challenge	en utmaning	Det här projektet är en riktig utmaning.
champion	en mästare	Mästaren tackade sin tränare.
channel	en kanal	Byt kanal, snälla.
chapter	ett kapitel	Läs nästa kapitel i kväll.
charge	en avgift	Det finns ingen avgift för barn.
cheat	fuska	Fuska inte på provet.
cheerful	glad	Hon lät glad i morse.
chemical	kemisk	Den kemiska lukten var stark.
chest	ett bröst	Hans bröst gjorde ont efter löpningen.
childhood	en barndom	Jag minns mitt barndomshem.
claim	påstå	De påstår att produkten är säker.
clause	en klausul	Den här klausulen ändrar betydelsen.
click	klicka	Klicka på den blå knappen.
client	en klient	Klienten bad om fler detaljer.
cloth	en trasa	Torka bordet med den här trasan.
clue	en ledtråd	Ledtråden hjälpte oss lösa det.
coal	kol	Det gamla tåget använde kol.
coin	ett mynt	Han hittade ett mynt på golvet.
collection	en samling	Hennes frimärkssamling är stor.
coloured	färgad	Hon bar en färgad halsduk.
combine	kombinera	Kombinera mjölet och vattnet.
commercial	reklam	Reklampausen varade fem minuter.
commit	förbinda sig	Vi måste förbinda oss till planen.
communication	kommunikation	Bra kommunikation förhindrar misstag.
