source_headword	SK	example_SK
abandon	opustiť	Včera opustili plán.
absolute	absolútny	Potrebujeme absolútnu úprimnosť.
acceptable	prijateľný	Jeho odpoveď bola prijateľná.
accompany	sprevádzať	Jej brat ju sprevádzal domov.
accurate	presný	Správa je presná.
accuse	obviniť	Obvinili ho z klamstva.
acknowledge	uznať	Uznaj prosím chybu.
acquire	získať	Rýchlo získala nové zručnosti.
actual	skutočný	Skutočné náklady boli nižšie.
adapt	prispôsobiť sa	Prispôsobili sme sa zmene.
additional	ďalší	Ďalšia pomoc prišla dnes.
administration	správa	Správa zmenila pravidlá.
adopt	prijať	Prijali novú metódu.
advance	pokrok	Urobili sme malý pokrok.
affair	záležitosť	Táto záležitosť poškodila dôveru verejnosti.
afterwards	potom	Potom sa všetci upokojili.
agency	agentúra	Agentúra najala troch prekladateľov.
agenda	program	Bezpečnosť je v programe.
aggressive	agresívny	Jeho tón znel agresívne.
aid	pomoc	Lekárska pomoc prišla rýchlo.
aircraft	lietadlo	Lietadlo bezpečne pristálo.
alter	zmeniť	Nemeň zmluvu.
anger	hnev	Jeho hnev všetkých prekvapil.
angle	uhol	Skús iný uhol kamery.
anniversary	výročie	Ich výročie je zajtra.
annual	každoročný	Každoročné stretnutie sa začína v pondelok.
anxious	úzkostný	Pred operáciou bola úzkostná.
apparent	zjavný	Jeho sklamanie bolo zjavné.
apparently	zrejme	Zrejme má vlak meškanie.
appeal	odvolanie	Rozhodnutie môže viesť k odvolaniu.
approach	prístup	Jej prístup problém vyriešil.
appropriate	vhodný	Vyber vhodnú odpoveď.
approval	schválenie	Projekt potrebuje schválenie.
approve	schváliť	Rada schválila rozpočet.
arise	vzniknúť	Problémy môžu vzniknúť neskôr.
armed	ozbrojený	Ozbrojení strážcovia stáli vonku.
arms	zbrane	Zložili zbrane.
artificial	umelý	Kvety vyzerali umelo.
artistic	umelecký	Má umelecký talent.
ashamed	zahanbený	Neskôr sa cítil zahanbene.
aspect	aspekt	Zváž každý aspekt pozorne.
assess	posúdiť	Musíme posúdiť škody.
assessment	posúdenie	Posúdenie trvalo dve hodiny.
associate	spájať	Ľudia spájajú dym s nebezpečenstvom.
associated	spojený	Stres je spojený s chorobou.
association	združenie	Združenie podporuje mladých umelcov.
assume	predpokladať	Predpokladám, že súhlasíš.
attempt	pokus	Jeho prvý pokus zlyhal.
bacteria	baktérie	Baktérie sa môžu rýchlo šíriť.
barrier	bariéra	Jazyk bol bariérou.
basically	v podstate	V podstate potrebujeme viac času.
bear (deal with)	zniesť	Nemôžem zniesť ten hluk.
beg	prosiť	Prosil o pomoc.
being	bytosť	Každá bytosť potrebuje vodu.
bent	ohnutý	Kovová tyč bola ohnutá.
bet	staviť sa	Stavím sa, že to vie.
beyond	za	Dedina leží za riekou.
bitter	horký	Liek chutil horko.
blame	obviňovať	Neobviňuj vodiča.
blind	slepý	Oslepol v mladosti.
bond	puto	Dôvera vytvára silné puto.
breast	prs	Cítila bolesť v prsníku.
brief	krátky	Drž odpoveď krátku.
broad	široký	Rieka je tu široká.
broadcast	vysielať	Prejav vysielali naživo.
budget	rozpočet	Rozpočet je veľmi napätý.
bullet	guľka	Guľka zasiahla stenu.
bunch	zväzok	Niesla zväzok kľúčov.
bush	ker	Vták sa schoval v kríku.
cable	kábel	Kábel je poškodený.
calculate	vypočítať	Vypočítaj celkové náklady.
cancel	zrušiť	Zrušili schôdzku.
cancer	rakovina	Liečba rakoviny môže byť ťažká.
