hsk_key	source_word	simplified	ML	example_ML	KK	example_KK
503:爱人	爱人	爱人	ജീവിത പങ്കാളി; പ്രിയപ്പെട്ട വ്യക്തി	എന്റെ ജീവിത പങ്കാളി ഇന്ന് അധികസമയം ജോലി ചെയ്യുന്നു.	жұбай; сүйікті адам	Менің жұбайым бүгін артық уақыт жұмыс істеп жатыр.
508:班级	班级	班级	ക്ലാസ്; ക്ലാസ് കൂട്ടം	ഞങ്ങളുടെ ക്ലാസിൽ മുപ്പത് വിദ്യാർത്ഥികൾ ഉണ്ട്.	сынып; сынып тобы	Біздің сыныпта отыз оқушы бар.
509:搬家	搬家	搬家	വീട് മാറുക	ഈ വാരാന്ത്യത്തിൽ ഞങ്ങൾ വീട് മാറുന്നു.	үй көшу	Осы демалыс күндері біз үй көшеміз.
510:办	办	办	ചെയ്യുക; ക്രമീകരിക്കുക	ഇന്ന് ഉച്ചയ്ക്ക് ഞാൻ ബാങ്ക് കാർഡ് എടുക്കാൻ ബാങ്കിലേക്ക് പോകും.	істеу; рәсімдеу	Бүгін түстен кейін мен банк картасын рәсімдеу үшін банкке барамын.
513:半天	半天	半天	അര ദിവസം; ഏറെ നേരം	അവൻ വരുന്നതിനു മുൻപ് ഞാൻ ഏറെ നേരം കാത്തിരുന്നു.	жарты күн; ұзақ уақыт	Ол келгенше мен ұзақ уақыт күттім.
517:北	北	北	വടക്ക്	സ്കൂളിന്റെ വടക്കുവശത്ത് ഒരു പാർക്ക് ഉണ്ട്.	солтүстік	Мектептің солтүстігінде бір саябақ бар.
520:笔记	笔记	笔记	കുറിപ്പുകൾ	അവൻ ക്ലാസിൽ ശ്രദ്ധയായി കുറിപ്പുകൾ എഴുതുന്നു.	жазба; конспект	Ол сабақта мұқият конспект жазады.
526:变	变	变	മാറുക	കാലാവസ്ഥ തണുപ്പായി മാറി.	өзгеру	Ауа райы суып кетті.
528:变成	变成	变成	ആയി മാറുക	മഴ മഞ്ഞായി മാറി.	айналып кету	Жаңбыр қарға айналды.
531:别的	别的	别的	മറ്റൊരു; വേറെ	നിങ്ങൾക്ക് വേറെ ചോദ്യങ്ങളുണ്ടോ?	басқа	Сізде басқа сұрақтар бар ма?
