source_headword	SR	example_SR
fridge	frižider	Mleko je u frižideru.
frog	žaba	Žaba je skočila u jezero.
furniture	nameštaj	Ovaj nameštaj je star, ali čvrst.
further	dalji; dodatni	Trebaju nam dodatne informacije.
gallery	galerija	Galerija je danas otvorena.
gap	praznina; razmak	U zidu je praznina.
gas	benzin; gas	Automobilu treba benzin.
gate	kapija; vrata	Zatvori kapiju, molim te.
general	opšti	Ovo je opšte pravilo.
gift	poklon; dar	Kupila je poklon.
goal	cilj	Naš cilj je jednostavan.
god	Bog; bog	Mnogi ljudi se mole Bogu.
gold	zlato	Prsten je zlatan.
golf	golf	On danas igra golf.
government	vlada	Vlada je promenila zakon.
grass	trava	Trava je mokra.
greet	pozdraviti	Pozdravi svakog gosta pristojno.
ground	tlo; zemlja	Sedi na tlo.
guest	gost	Naš gost je stigao rano.
guide	vodič	Vodič nam je pokazao muzej.
gun	pištolj; oružje	Policija je pronašla pištolj.
guy	tip; čovek	Taj tip je moj brat.
habit	navika	Svakodnevno čitanje je dobra navika.
hall	hodnik; sala	Čekaj u hodniku.
happily	srećno	Živeli su srećno zajedno.
headache	glavobolja	Imam glavobolju.
heart	srce	Njeno srce brzo kuca.
heat	zagrejati; toplota	Zagrej supu polako.
heavy	težak	Ova torba je teška.
height	visina	Izmeri visinu stola.
helpful	koristan	Tvoj savet je bio koristan.
hero	heroj; junak	On je moj heroj.
hers	njen; njeno	Plavi kaput je njen.
herself	ona sama	Sama je spremila večeru.
hide	sakriti	Sakrij ključ ispod kutije.
hill	brdo	Popeli smo se na brdo.
himself	on sam	On je to sam popravio.
hit	udariti	Nemoj udariti vrata.
hockey	hokej	Sinoć smo gledali hokej.
hold	držati	Drži me za ruku.
hole	rupa	U mojoj čarapi je rupa.
huge	ogroman	Soba je ogromna.
human	čovek; ljudski	Svakom čoveku treba voda.
hurt	boleti; povrediti	Koleno me boli.
ideal	idealan	Ova soba je idealna za učenje.
identify	prepoznati	Možeš li da prepoznaš ovu pticu?
ill	bolestan	Ona se danas oseća bolesno.
illness	bolest	Bolest je trajala nedelju dana.
image	slika	Slika je jasna.
immediately	odmah	Dođi ovamo odmah.
impossible	nemoguć	Ova slagalica izgleda nemoguće.
included	uključen	Doručak je uključen.
including	uključujući	Došlo je deset ljudi, uključujući mene.
increase	povećati; porast	Cene se povećavaju leti.
incredible	neverovatan	Pogled je bio neverovatan.
independent	nezavisan	Moja sestra je nezavisna.
individual	pojedinac; pojedinačni	Svaki pojedinac ima broj.
industry	industrija	Lokalna industrija raste.
informal	neformalan	Ova e-pošta je neformalna.
injury	povreda	Njegova povreda nije ozbiljna.
insect	insekt	Insekt je sleteo na šolju.
inside	unutra	Čekaj unutra u kući.
instead	umesto toga	Pij vodu umesto toga.
instruction	uputstvo	Pažljivo pročitaj svako uputstvo.
instructor	instruktor	Instruktor je objasnio vežbu.
instrument	instrument	Ona svira instrument.
intelligent	inteligentan	On je inteligentan učenik.
international	međunarodni	Ovo je međunarodni aerodrom.
introduction	uvod	Uvod je bio kratak.
invent	izmisliti; izumeti	Deca mogu da smisle nove igre.
invention	izum	Izum je uštedeo vreme.
invitation	pozivnica	Primio sam pozivnicu.
invite	pozvati	Pozovi i svog prijatelja.
involve	uključivati	Posao će uključivati putovanja.
item	predmet; artikal	Izaberi jedan predmet.
itself	samo sebe	Mašina se sama isključuje.
jam	džem	Stavi džem na hleb.
jazz	džez	Džez večeras zvuči sjajno.
jewellery	nakit	Ona drži nakit u kutiji.
joke	šala	Ispričaj mi šalu.
journalist	novinar	Novinar je postavljao pitanja.
jump	skočiti	Skoči preko linije.
