source_headword	UZ	example_UZ
ability	qobiliyat	Uning suzish qobiliyati aniq.
able	qodir	U yordam berishga qodir.
abroad	chet elda	U chet elda o'qiydi.
accept	qabul qilmoq	Iltimos, taklifni qabul qiling.
accident	baxtsiz hodisa	Kecha kichik baxtsiz hodisa bo'ldi.
according to	ga ko'ra	Hisobotga ko'ra reja tayyor.
achieve	erishmoq	U maqsadiga erishadi.
act	harakat qilmoq; rol o'ynamoq	U tez harakat qildi.
active	faol	U juda faol.
actually	aslida	Aslida javob shu.
advantage	afzallik	Bu qoidaning afzalligi bor.
adventure	sarguzasht	Ular yangi sarguzasht boshladi.
advertise	reklama qilmoq	Ular yangi do'konni reklama qilmoqda.
advertisement	reklama	Bu reklama rangli.
advertising	reklama ishlari	Reklama ishlari qimmat.
affect	ta'sir qilmoq	Ob-havo sayohatga ta'sir qiladi.
against	qarshi	Ular qarorga qarshi turdi.
ah	ha	Ha, endi tushundim.
airline	aviakompaniya	Bu aviakompaniya arzon.
alive	tirik	O'simlik hali tirik.
all right	hammasi joyida	Hammasi joyida.
allow	ruxsat bermoq	Ular itga ichkariga kirishga ruxsat berdi.
almost	deyarli	Ish deyarli tugadi.
alone	yolg'iz	U uyda yolg'iz.
along	bo'ylab	U daryo bo'ylab yurdi.
already	allaqachon	Ovqat allaqachon tayyor.
alternative	muqobil yo'l	Boshqa muqobil yo'l bor.
although	garchi	Garchi yomg'ir yog'sa ham, biz bordik.
among	orasida	Bolalar daraxtlar orasida o'ynadi.
amount	miqdor	Suv miqdori kam.
ancient	qadimiy	Bu qadimiy ibodatxona.
ankle	to'piq	Uning to'pig'i og'riyapti.
anybody	kimdir	Bu yerda kimdir bormi?
any more	endi	Men endi kutmayman.
anyway	baribir	Baribir, boshlaylik.
anywhere	har qanday joyda	Siz har qanday joyda o'tirishingiz mumkin.
app	ilova	Bu ilova foydali.
appear	paydo bo'lmoq	Yulduz sahnada paydo bo'ldi.
appearance	tashqi ko'rinish	Uning tashqi ko'rinishi o'zgardi.
apply	ariza bermoq; qo'llamoq	Bu ishga ariza bering.
architect	me'mor	Me'mor yangi uy chizdi.
architecture	me'morchilik	Shaharning me'morchiligi chiroyli.
argue	bahslashmoq	Ular pul haqida bahslashdi.
argument	bahs	Bu bahs kuchli.
army	armiya	Armiya qishloqni himoya qildi.
arrange	tartibga solmoq	Stullarni tartibga soling.
arrangement	tartib	Bu tartib yaxshi.
asleep	uxlayotgan	Chaqaloq uxlayapti.
assistant	yordamchi	Yordamchi faylni olib keldi.
athlete	sportchi	Bu sportchi tez yuguradi.
attack	hujum; hujum qilmoq	Hujum kechasi boshlandi.
attend	qatnashmoq	U yig'ilishda qatnashadi.
attention	e'tibor	Iltimos, e'tibor bering.
attractive	jozibali	Rasm juda jozibali.
audience	tomoshabinlar	Tomoshabinlar qarsak chaldi.
author	muallif	Muallif kitobga imzo chekdi.
available	mavjud	Xona hozir mavjud.
average	o'rtacha	O'rtacha narx past.
avoid	chetlab o'tmoq	Tiqilinchni chetlab o'ting.
award	mukofot	U mukofot oldi.
awful	juda yomon	Ovqat juda yomon edi.
background	fon	Rasmning foni ko'k.
badly	yomon	U imtihonda yomon natija ko'rsatdi.
bar	bar; to'siq	Ular barda uchrashdi.
baseball	beysbol	Beysbol Amerikada mashhur.
based	asoslangan	Hikoya haqiqatga asoslangan.
basketball	basketbol	Ular basketbol o'ynaydi.
bean	loviya	Bu loviya yashil.
bear (animal)	ayiq	Ayiq o'rmonda yashaydi.
beat	urmoq; yutmoq	Ular raqib jamoani yutdi.
beef	mol go'shti	U mol go'shti yemaydi.
behave	o'zini tutmoq	Bolalar yaxshi o'zini tutadi.
behaviour	xulq	Uning xulqi do'stona.
belong	tegishli bo'lmoq	Bu kitob menga tegishli.
belt	kamar	U qora kamar taqdi.
benefit	foyda	Mashqning katta foydasi bor.
billion	milliard	Kompaniya milliard so'm turadi.
bin	axlat qutisi	Qog'ozni axlat qutisiga tashlang.
biology	biologiya	U biologiyani o'rganadi.
birth	tug'ilish	Chaqaloqning tug'ilishi quvonchli edi.
biscuit	pechenye	Bola pechenye yedi.
bit	ozgina	Menga ozgina vaqt kerak.
blank	bo'sh	Sahifa bo'sh.
blood	qon	Qon qizil.
blow	esmoq	Shamol kuchli esmoqda.
board	doska	O'qituvchi doskaga yozdi.
boil	qaynamoq	Suv qaynayapti.
bone	suyak	It suyak topdi.
borrow	qarzga olmoq	Men kitobni qarzga olaman.
boss	boshliq	Mening boshlig'im shu yerda.
bottom	pastki qism	Qutining pastki qismi nam.
bowl	kosa	Kosada sho'rva bor.
brain	miya	Miya tez ishlaydi.
bridge	ko'prik	Eski ko'prik uzun.
bright	yorqin	Xona yorqin.
brilliant	ajoyib	Bu ajoyib fikr.
broken	singan	Deraza singan.
brush	cho'tka	Cho'tka stol ustida.
burn	yonmoq; kuymoq	Olov qo'lini kuydirdi.
businessman	tadbirkor	Tadbirkor telefonda gaplashmoqda.
button	tugma	Qizil tugmani bosing.
camp	lager	Bolalar lagerda turadi.
camping	lagerda dam olish	Biz tog'da lagerda dam oldik.
can2	banka	Stol ustida bitta banka bor.
care	parvarish; e'tibor	Bolaga yaxshi parvarish kerak.
careful	ehtiyotkor	Ehtiyotkor haydovchi sekin yuradi.
carefully	ehtiyotkorlik bilan	U eshikni ehtiyotkorlik bilan ochdi.
carpet	gilam	Gilam polda yotibdi.
cartoon	multfilm	Bolalar multfilm ko'rmoqda.
case	holat; ish	Bu holat qiyin.
cash	naqd pul	Men naqd pul berdim.
castle	qasr	Eski qasr tepalikda.
catch	tutmoq	To'pni tuting.
cause	sabab; sabab bo'lmoq	Yomg'ir kechikishga sabab bo'ldi.
celebrate	nishonlamoq	Ular tug'ilgan kunni nishonladi.
celebrity	mashhur shaxs	Mashhur shaxs keldi.
certain	aniq; ishonchli	U javobiga ishonchli.
certainly	albatta	Albatta, men yordam beraman.
chance	imkoniyat	Bu yaxshi imkoniyat.
character	qahramon	Bu qahramon qiziqarli.
charity	xayriya tashkiloti	U xayriya tashkilotiga pul berdi.
chat	suhbat	Keling, qisqa suhbat qilaylik.
chef	oshpaz	Oshpaz sho'rva tayyorladi.
chemistry	kimyo	Menga kimyo yoqadi.
chip	chip	Bu chip kichik.
choice	tanlov	Sening tanloving to'g'ri.
church	cherkov	Eski cherkov ochiq.
cigarette	sigaret	Bu yerda sigaret chekmang.
circle	doira	Bolalar doirada o'tirdi.
classical	klassik	U klassik musiqa tinglaydi.
clear	aniq	Suv aniq.
clearly	aniq	Iltimos, aniq gapiring.
clever	aqlli	Bu bola aqlli.
climate	iqlim	Bu yerda iqlim issiq.
close2	yaqin	Do'kon uyga yaqin.
closed	yopiq	Eshik yopiq.
clothing	kiyim	Issiq kiyim kerak.
cloud	bulut	Osmonda qora bulut bor.
coach	murabbiy	Murabbiy jamoani o'rgatadi.
coast	qirg'oq	Ular qirg'oq bo'ylab yurdi.
code	kod	Bu kodni yozing.
colleague	hamkasb	Hamkasbim yordam berdi.
collect	to'plamoq	U markalarni to'playdi.
column	ustun	Bu ustun uzun.
comedy	komediya	Biz komediya ko'rdik.
comfortable	qulay	Stul qulay.
comment	izoh	U qisqa izoh yozdi.
communicate	muloqot qilmoq	Biz aniq muloqot qilishimiz kerak.
community	jamoa	Bu jamoa do'stona.
compete	musobaqalashmoq	Ular yugurishda musobaqalashadi.
competition	musobaqa	Musobaqa ertaga boshlanadi.
complain	shikoyat qilmoq	U shovqin haqida shikoyat qildi.
completely	butunlay	Xona butunlay bo'sh.
condition	holat	Mashinaning holati yaxshi.
conference	konferensiya	Konferensiya bugun boshlanadi.
connect	ulamoq	Kabelni kompyuterga ulang.
connected	ulangan	Telefon internetga ulangan.
consider	ko'rib chiqmoq	Bu fikrni ko'rib chiqing.
contain	o'z ichiga olmoq	Quti kitoblarni o'z ichiga oladi.
context	kontekst	Kontekstni tushuning.
continent	qit'a	Osiyo katta qit'a.
continue	davom etmoq	Iltimos, ishni davom ettiring.
control	nazorat; boshqarmoq	Haydovchi nazoratni qo'lga oldi.
cooker	plita	Plita oshxonada.
copy	nusxa	Iltimos, bitta nusxa oling.
corner	burchak	Do'kon burchakda.
correctly	to'g'ri	Ismni to'g'ri yozing.
count	sanamoq	Bolalar sonlarni sanaydi.
couple	juftlik; ikki	Juftlik bog'da yurdi.
cover	yopmoq	Kitobni yoping.
crazy	aqldan ozgan	Bu fikr aqldan ozgandek tuyuladi.
creative	ijodiy	U ijodiy yozuvchi.
credit	kredit	Do'kon kredit beradi.
crime	jinoyat	Politsiya jinoyatni tekshirmoqda.
criminal	jinoyatchi	Jinoyatchi qochdi.
cross	kesib o'tmoq	Yo'lni ehtiyotkorlik bilan kesib o'ting.
crowd	olomon	Olomon katta edi.
crowded	gavjum	Avtobus gavjum.
cry	yig'lamoq	Chaqaloq yig'layapti.
cupboard	shkaf	Stakan shkafda.
curly	jingalak	Uning sochi jingalak.
cycle	velosiped; davr	U velosiped minadi.
daily	har kuni	U har kuni mashq qiladi.
danger	xavf	Bu yerda xavf bor.
data	ma'lumot	Ma'lumot xavfsiz.
dead	o'lik	Baliq o'lik.
deal	kelishuv	Ular yaxshi kelishuv qildi.
death	o'lim	Uning o'limi kutilmagan edi.
decision	qaror	Qaror bugun chiqadi.
deep	chuqur	Hovuz chuqur.
definitely	albatta	Men albatta kelaman.
degree	daraja; diplom	U ilm-fan bo'yicha diplom oldi.
dentist	tish shifokori	Tish shifokori tishni tekshirdi.
department	bo'lim	Bu bo'lim katta.
depend	bog'liq bo'lmoq	Natija ob-havoga bog'liq.
desert	cho'l	Cho'l juda quruq.
designer	dizayner	Dizayner yangi kiyim chizdi.
destroy	vayron qilmoq	Olov uyni vayron qildi.
detective	detektiv	Detektiv dalil topdi.
develop	rivojlanmoq; ishlab chiqmoq	Shahar tez rivojlanmoqda.
device	qurilma	Bu qurilma kichik.
diary	kundalik	U kundalikka yozdi.
differently	boshqacha	U boshqacha o'ylaydi.
digital	raqamli	Raqamli rasm aniq.
direct	to'g'ridan-to'g'ri	To'g'ridan-to'g'ri avtobus bor.
direction	yo'nalish	Bu yo'nalishga ergashing.
director	direktor; rejissyor	Rejissyor filmni boshladi.
disagree	rozi bo'lmaslik	Men bu fikrga rozi emasman.
disappear	g'oyib bo'lmoq	Mushuk birdan g'oyib bo'ldi.
disaster	falokat	Toshqin katta falokat edi.
discover	kashf qilmoq	Ular yangi yo'l topdi.
discovery	kashfiyot	Bu kashfiyot muhim.
discussion	muhokama	Muhokama uzoq davom etdi.
disease	kasallik	Bu kasallik jiddiy.
distance	masofa	Maktab uzoq emas.
divorced	ajrashgan	U ajrashgan.
document	hujjat	Hujjatga imzo qo'ying.
double	ikki kishilik; ikki baravar	Menga ikki kishilik xona kerak.
download	yuklab olmoq	Faylni yuklab oling.
drama	drama	Drama kechqurun boshlanadi.
drawing	rasm	Bolaning rasmi chiroyli.
dream	orzu	Uning orzusi katta.
driving	haydash	Haydashni ehtiyotkorlik bilan qiling.
drop	tushirmoq; tomchi	Stakanni tushirmang.
drug	dori	Bu dorini ovqatdan keyin iching.
dry	quruq	Sochiq quruq.
earn	pul topmoq	U pul topadi.
earth	yer	Yer quyosh atrofida aylanadi.
easily	osonlik bilan	U buni osonlik bilan qildi.
education	ta'lim	Ta'lim muhim.
effect	ta'sir	Bu dorining tez ta'siri bor.
either	ikkisidan biri	Siz ikkala yo'ldan birini tanlashingiz mumkin.
electric	elektr	Elektr mashina jim.
electrical	elektrga oid	Elektrga oid muammo bor.
electricity	elektr toki	Elektr toki o'chdi.
electronic	elektron	Bu elektron qurilma.
employ	ishga olmoq	Kompaniya yangi odamni ishga oladi.
employee	xodim	Xodim vaqtida keldi.
employer	ish beruvchi	Ish beruvchi adolatli.
empty	bo'sh	Stakan bo'sh.
ending	tugash	Hikoyaning tugashi baxtli.
energy	energiya	Bolalarda ko'p energiya bor.
engine	dvigatel	Dvigatel shovqin qilmoqda.
engineer	muhandis	Muhandis ko'prik loyihaladi.
enormous	ulkan	Bu bino ulkan.
enter	kirmoq	Iltimos, ichkariga kiring.
environment	atrof-muhit	Atrof-muhitni himoya qilish kerak.
equipment	jihozlar	Jihozlar xonada.
error	xato	Bu xatoni tuzating.
especially	ayniqsa	Menga ayniqsa choy yoqadi.
essay	insho	U qisqa insho yozdi.
everyday	kundalik	Bu kundalik muammo.
everywhere	hamma joyda	Gullar hamma joyda.
evidence	dalil	Politsiya dalil topdi.
exact	aniq	Aniq narxni ayting.
exactly	aniq	U aniq vaqtida keldi.
excellent	a'lo	Ovqat a'lo.
except	dan tashqari	Hamma Ravshandan tashqari keldi.
exist	mavjud bo'lmoq	Bu qoida hali mavjud.
expect	kutmoq	Men yaxshi xabar kutyapman.
experience	tajriba	Bu ish yaxshi tajriba.
experiment	tajriba	Talabalar tajriba o'tkazdi.
expert	mutaxassis	Mutaxassis maslahat berdi.
explanation	tushuntirish	Uning tushuntirishi aniq.
express	ifoda etmoq	U quvonchini ifoda etdi.
expression	ifoda	Uning yuz ifodasi o'zgardi.
extreme	haddan tashqari	Bu yerda haddan tashqari sovuq.
extremely	juda	U juda charchagan.
factor	omil	Narx muhim omil.
factory	zavod	Zavod daryo bo'yida.
fail	muvaffaqiyatsiz bo'lmoq	U imtihondan o'ta olmadi.
fair	adolatli; yarmarka	Qaror adolatli.
fan	ventilyator; muxlis	Ventilyator aylanmoqda.
farming	dehqonchilik	Dehqonchilik bu yerda odatiy.
fashion	moda	Yangi moda mashhur.
fear	qo'rquv	U qorong'ulikdan qo'rqadi.
feature	xususiyat	Bu xususiyat foydali.
feed	ovqat bermoq	Iltimos, itga ovqat bering.
female	ayol; urg'ochi	Urg'ochi qush uyada.
fiction	badiiy adabiyot	U badiiy adabiyot o'qiydi.
field	dala; soha	Bolalar dalada o'ynaydi.
fight	jang; urishmoq	Ikki bola urishyapti.
figure	raqam; shakl	Bu raqam muhim.
finally	nihoyat	Nihoyat yomg'ir to'xtadi.
finger	barmoq	Uning barmog'i og'riyapti.
firstly	birinchidan	Birinchidan, qo'llaringizni yuving.
fishing	baliq ovlash	Baliq ovlash ertalab boshlandi.
fit	mos kelmoq; sog'lom	Bu ko'ylak sizga mos keladi.
fix	tuzatmoq	U stulni tuzatdi.
flu	gripp	Unda gripp bor.
flying	uchish	Uchish unga yoqadi.
focus	diqqatni jamlamoq	Darsga diqqatni jamlang.
following	quyidagi	Quyidagi qoidalarni o'qing.
foreign	chet el	Chet el tilini o'rganing.
forest	o'rmon	O'rmon yashil.
fork	sanchqi	Sanchqi stol ustida.
formal	rasmiy	Rasmiy kiyim kiying.
fortunately	baxtimizga	Baxtimizga, hech kim jarohat olmadi.
forward	oldinga	Iltimos, oldinga yuring.
fresh	yangi	Yangi non issiq.
