simplified	TE	example_TE
啊	నిశ్చయాన్ని చూపే వాక్యాంత కణం; ఆ	సరే, మనం ఇప్పుడు వెళ్దాం.
阿姨	అత్త; పిల్లల సంరక్షకురాలు	అత్త సూపర్‌మార్కెట్‌లో పని చేస్తుంది.
矮	తక్కువ ఎత్తు; పొట్టి	ఈ బల్ల కొంచెం తక్కువగా ఉంది.
爱好	అభిరుచి; ఆసక్తి	నా అభిరుచి సంగీతం వినడం.
安静	నిశ్శబ్దమైన; ప్రశాంతమైన	గ్రంథాలయంలో చాలా నిశ్శబ్దంగా ఉంది.
把	పట్టడం; కర్మను ముందుకు తెచ్చే కణం	దయచేసి తలుపు మూసేయండి.
搬	ఇల్లు మారడం; మోసుకెళ్లడం	మేము రేపు ఇల్లు మారుతున్నాం.
班	తరగతి; బృందం	మా తరగతిలో ఇరవై మంది విద్యార్థులు ఉన్నారు.
办法	పద్ధతి; మార్గం	ఈ పద్ధతి చాలా మంచిది.
办公室	కార్యాలయం	మేనేజర్ కార్యాలయంలో ఉన్నాడు.
半	సగం	నేను అరగంట వేచి ఉన్నాను.
帮忙	సహాయం చేయడం	మీరు సహాయం చేయగలరా?
包	బ్యాగ్; చుట్టడం	ఆమె కొత్త బ్యాగ్ కొనింది.
饱	కడుపు నిండిన; తృప్తి	నాకు ఇప్పటికే కడుపు నిండిపోయింది.
北方	ఉత్తరం; ఉత్తర ప్రాంతం	ఉత్తరంలో శీతాకాలం చాలా చల్లగా ఉంటుంది.
被	కర్మణి కణం; ద్వారా	నా సైకిల్‌ను నా స్నేహితుడు తీసుకెళ్లాడు.
鼻子	ముక్కు	అతని ముక్కు కొంచెం ఎర్రగా ఉంది.
比较	పోల్చడం; కొంచెం	ఈ రోజు కొంచెం వేడిగా ఉంది.
比赛	పోటీ	ఈ పోటీ చాలా ముఖ్యమైనది.
笔记本	నోట్‌బుక్	నేను నోట్‌బుక్‌ను బల్లపై పెట్టాను.
必须	తప్పనిసరిగా; కావాలి	నువ్వు తప్పనిసరిగా జాగ్రత్తగా పునశ్చరణ చేయాలి.
变化	మార్పు; మారడం	ఈ నగరం చాలా మారిపోయింది.
别人	ఇతరులు	ఇతరుల వస్తువులు తీసుకోకు.
冰箱	ఫ్రిజ్	పండ్లు ఫ్రిజ్‌లో ఉన్నాయి.
不但…而且…	మాత్రమే కాదు... అంతేకాక...	ఆమె తెలివైనదే కాదు, చాలా కష్టపడే వ్యక్తి కూడా.
菜单	మెనూ; భోజన పట్టిక	దయచేసి నాకు ఒక మెనూ ఇవ్వండి.
参加	పాల్గొనడం	నేను ఈ సమావేశంలో పాల్గొనాలనుకుంటున్నాను.
草	గడ్డి	చిన్న కుక్క గడ్డిపై పరుగెడుతోంది.
层	అంతస్తు; పొర	ఈ భవనానికి మూడు అంతస్తులు ఉన్నాయి.
差	చెడు; తేడా; తక్కువ	ఈ రోజు వాతావరణం చెడుగా ఉంది.
超市	సూపర్‌మార్కెట్	నేను రొట్టె కొనడానికి సూపర్‌మార్కెట్‌కు వెళ్తున్నాను.
衬衫	చొక్కా	ఈ చొక్కా చాలా శుభ్రంగా ఉంది.
城市	నగరం	బీజింగ్ పెద్ద నగరం.
成绩	మార్కులు; ఫలితం	అతని గణిత మార్కులు చాలా మంచివి.
迟到	ఆలస్యంగా రావడం	తరగతికి ఆలస్యంగా రాకు.
除了	తప్ప; అదనంగా	కాఫీతో పాటు నాకు టీ కూడా కావాలి.
船	పడవ; నౌక	మేము పడవలో ఆ నగరానికి వెళ్తున్నాం.
春	వసంతం	వసంతంలో చాలా పూలు ఉంటాయి.
词典	నిఘంటువు	ఈ నిఘంటువు చాలా ఉపయోగకరం.
聪明	తెలివైన	ఈ పిల్లవాడు చాలా తెలివైనవాడు.
打扫	శుభ్రం చేయడం	వారాంతంలో నేను గదిని శుభ్రం చేస్తాను.
打算	యోజన; ప్రణాళిక	రేపటికి నీ యోజన ఏమిటి?
带	తీసుకురావడం; వెంట తీసుకెళ్లడం	దయచేసి మీ పాస్‌పోర్ట్ తీసుకురండి.
担心	ఆందోళన చెందడం	ఆందోళన చెందకండి, నేను మీకు సహాయం చేస్తాను.
蛋糕	కేక్	ఈ కేక్ చాలా తీపిగా ఉంది.
当然	ఖచ్చితంగా	ఖచ్చితంగా చేయవచ్చు.
地	క్రియావిశేషణ కణం	ఆమె సంతోషంగా నవ్వింది.
灯	దీపం; లైట్	దయచేసి లైట్ ఆన్ చేయండి.
地方	స్థలం	ఈ స్థలం చాలా ప్రశాంతంగా ఉంది.
地铁	మెట్రో	నేను ప్రతిరోజూ మెట్రోలో పనికి వెళ్తాను.
地图	పటం	నేను పటంలో పాఠశాలను వెతుకుతున్నాను.
电梯	లిఫ్ట్	లిఫ్ట్ ఎడమ వైపున ఉంది.
电子邮件	ఇమెయిల్	నేను గురువుకి ఇమెయిల్ పంపుతున్నాను.
东	తూర్పు	సూర్యుడు తూర్పున ఉదయిస్తాడు.
冬	శీతాకాలం	శీతాకాలంలో నాకు వేడి టీ తాగడం ఇష్టం.
动物	జంతువు	పాండా చైనాలో ప్రసిద్ధ జంతువు.
短	చిన్న; పొట్టి	ఈ ప్యాంటు చాలా పొట్టిగా ఉంది.
