source_headword	ID	example_ID
institute	lembaga	Lembaga itu membuka program penelitian baru.
institution	institusi	Institusi itu mengubah aturan penerimaannya.
insurance	asuransi	Asuransinya menanggung biaya rumah sakit.
intended	yang dituju	Pesan tersebut sampai kepada audiens yang dituju.
intense	sengit	Perdebatan itu menjadi sengit dengan sangat cepat.
internal	internal	Perusahaan tersebut memulai tinjauan internal.
interpret	menafsirkan	Tolong tafsirkan hasilnya dengan hati-hati.
interrupt	menyela	Jangan menyela pembicara sekarang.
investigation	penyelidikan	Penyelidikan tersebut mengungkap kesalahan serius.
investment	investasi	Investasi tersebut menciptakan banyak lapangan kerja lokal.
joy	kegembiraan	Keberhasilan mereka membawa kegembiraan besar.
judgement	penilaian	Penilaiannya membaik seiring dengan pengalamannya.
junior	junior	Dia bergabung dengan tim sebagai analis junior.
justice	keadilan	Keluarga itu menuntut keadilan setelah persidangan.
justify	membenarkan	Anda harus membenarkan keputusan itu dengan jelas.
labour	tenaga kerja	Proyek ini membutuhkan tenaga kerja terampil.
landscape	lanskap	Lanskapnya berubah setelah badai.
largely	sebagian besar	Rencana itu sebagian besar berhasil.
launch	meluncurkan	Mereka akan meluncurkan produk itu besok.
leadership	kepemimpinan	Kepemimpinan yang kuat membantu tim bangkit.
league	liga	Klub kami bergabung dengan liga regional.
lean	bersandar	Jangan bersandar pada dinding yang basah itu.
licence	lisensi	Lisensi tersebut kedaluwarsa bulan depan.
limited	terbatas	Kami memiliki waktu terbatas hari ini.
lively	meriah	Pertemuan itu menjadi meriah setelah makan siang.
load	muatan	Truk itu membawa muatan yang berat.
loan	pinjaman	Bank menyetujui pinjaman tersebut.
logical	logis	Argumennya jelas dan logis.
long-term	jangka panjang	Ini adalah solusi jangka panjang.
loose	longgar	Gagangnya terasa longgar.
lord	penguasa	Penguasa itu memiliki beberapa desa.
lower	menurunkan	Mereka menurunkan harga selama musim dingin.
lung	paru-paru	Merokok dapat merusak paru-paru.
maintain	menjaga	Kami menjaga kontak secara teratur.
majority	mayoritas	Mayoritas mendukung usulan tersebut.
mass	massa	Massa awan menutupi langit.
massive	besar-besaran	Gempa bumi menyebabkan kerusakan besar-besaran.
master	ahli	Dia menjadi ahli negosiasi.
matching	serasi	Dia mengenakan sepatu dan ikat pinggang yang serasi.
maximum	maksimal	Ruangan itu mencapai kapasitas maksimal.
means	sarana	Email adalah sarana kontak utama kami.
measurement	pengukuran	Pengukuran tersebut sedikit salah.
melt	mencair	Salju itu akan mencair menjelang siang.
military	militer	Pangkalan militer itu ditutup tahun lalu.
mineral	mineral	Besi adalah mineral yang penting.
minimum	minimum	Usia minimum adalah delapan belas tahun.
minister	menteri	Menteri itu menjawab pertanyaan-pertanyaan sulit.
minor	ringan	Kecelakaan itu menyebabkan kerusakan ringan.
minority	minoritas	Sebuah minoritas menentang aturan baru tersebut.
mission	misi	Misi mereka berakhir dengan aman.
mixed	campuran	Berita tersebut mendapat reaksi campuran.
modify	memodifikasi	Kita bisa memodifikasi desainnya nanti.
monitor	memantau	Perawat akan memantau kondisinya.
moral	moral	Cerita ini memiliki pesan moral.
motor	motor	Motor itu berhenti tanpa peringatan.
mount	memasang	Mereka memasang kamera di dekat pintu masuk.
multiple	berbagai	Berbagai faktor menyebabkan penundaan tersebut.
multiply	mengalikan	Kalikan angka tersebut dengan sepuluh.
mysterious	misterius	Sebuah cahaya misterius muncul di luar.
neat	rapi	Mejanya selalu rapi.
nerve	saraf	Cedera itu merusak saraf.
nevertheless	namun demikian	Tugasnya sulit; namun demikian, kami menyelesaikannya.
nightmare	mimpi buruk	Perjalanan itu menjadi mimpi buruk.
notion	gagasan	Tolak gagasan bahwa perubahan itu mustahil.
numerous	banyak	Banyak penelitian mendukung gagasan ini.
obey	mematuhi	Pengemudi harus mematuhi rambu-rambu tersebut.
objective	tujuan	Tujuan kami adalah mengurangi limbah.
obligation	kewajiban	Orang tua memiliki kewajiban untuk melindungi anak-anak.
observation	pengamatan	Pengamatannya mengubah diskusi.
observe	mengamati	Para ilmuwan mengamati burung-burung setiap musim semi.
obtain	mendapatkan	Anda harus mendapatkan izin tertulis.
occasionally	sesekali	Dia sesekali bekerja dari rumah.
offence	ketersinggungan	Komentar itu menyebabkan ketersinggungan serius.
offend	menyinggung	Saya tidak bermaksud menyinggung siapa pun.
offensive	kasar	Poster itu mengandung bahasa yang menyinggung.
opening	lowongan	Lowongan pekerjaan itu menarik banyak pelamar.
operate	beroperasi	Mesin itu dapat beroperasi secara otomatis.
opponent	lawan	Lawannya mengkritik kebijakan tersebut.
oppose	menentang	Banyak penduduk menentang rencana tersebut.
opposed	bertentangan	Kelompok-kelompok itu memiliki pandangan yang bertentangan.
opposition	penolakan	Proposal tersebut menghadapi penolakan yang kuat.
organ	organ	Jantung adalah organ vital.
origin	asal	Asal mula api tersebut tidak diketahui.
otherwise	jika tidak	Pergi sekarang; jika tidak, Anda akan terlambat.
outcome	hasil	Hasilnya mengejutkan semua orang.
outer	luar	Dinding luar perlu diperbaiki.
outline	menguraikan	Tolong uraikan argumen utama Anda.
overall	keseluruhan	Hasil keseluruhannya positif.
owe	berutang	Saya berutang permintaan maaf kepada Anda.
pace	kecepatan	Berjalanlah dengan kecepatan yang stabil.
panel	panel	Panel tersebut membahas kebijakan iklim.
parliament	parlemen	Parlemen menyetujui undang-undang baru tersebut.
participant	peserta	Setiap peserta menandatangani formulir tersebut.
partly	sebagian	Keterlambatan itu sebagian adalah kesalahan kami.
passage	bacaan	Bacalah bacaan tersebut sebelum menjawab.
pension1	pensiun	Uang pensiunnya menghidupinya setelah purnatugas.
permanent	permanen	Mereka membutuhkan solusi yang permanen.
permit	mengizinkan	Aturan tersebut mengizinkan kunjungan singkat.
perspective	sudut pandang	Cobalah untuk melihat sudut pandangnya.
phase	fase	Proyek itu memasuki fase akhirnya.
phenomenon	fenomena	Fenomena ini terjadi di banyak budaya.
philosophy	filosofi	Filosofinya menghargai tindakan praktis.
pile	tumpukan	Tumpukan kertas menutupi meja.
pitch	lapangan	Tim menyiapkan lapangan dengan hati-hati.
plain	jelas	Instruksinya jelas dan langsung.
pointed	tajam	Dia melontarkan komentar tajam.
popularity	popularitas	Penyanyi itu mendapatkan popularitas secara daring.
pose	menimbulkan	Pertanyaan tersebut dapat menimbulkan masalah.
possess	memiliki	Hanya sedikit siswa yang memiliki keterampilan itu.
potential	potensial	Ide ini memiliki potensi nyata.
praise	pujian	Guru memberikan pujian yang jujur.
pregnant	hamil	Dia hamil enam bulan.
preparation	persiapan	Persiapan yang baik mengurangi stres.
presence	kehadiran	Kehadirannya mengubah suasana.
preserve	melestarikan	Kita harus melestarikan bangunan bersejarah ini.
prime	utama	Penyebab utamanya adalah perencanaan yang buruk.
principle	prinsip	Keputusan itu mengikuti prinsip yang jelas.
priority	prioritas	Keamanan adalah prioritas utama kami.
privacy	privasi	Pelanggan mengharapkan privasi daring.
procedure	prosedur	Prosedur ini memakan waktu tiga puluh menit.
proof	bukti	Kita butuh bukti sebelum bertindak.
proposal	proposal	Proposal tersebut butuh lebih banyak detail.
propose	mengusulkan	Saya mengusulkan solusi yang berbeda.
prospect	prospek	Prospek kegagalan mengkhawatirkan mereka.
protection	perlindungan	Helm itu memberikan perlindungan dasar.
psychologist	psikolog	Psikolog itu menjelaskan hasil tes tersebut.
psychology	psikologi	Dia belajar psikologi di universitas.
publication	publikasi	Publikasi itu menarik perhatian publik.
pupil	murid	Setiap murid menerima buku pelajaran baru.
purchase	pembelian	Mereka membeli persediaan setiap bulan.
pure	murni	Air itu murni dan dingin.
pursue	mengejar	Dia akan mengejar karier medis.
rank	pangkat	Dia memegang pangkat senior.
rapid	cepat	Negara itu mengalami pertumbuhan yang cepat.
rapidly	dengan cepat	Harga-harga naik dengan cepat tahun ini.
raw	mentah	Koki itu menyiapkan sayuran mentah.
realistic	realistis	Tetapkan tenggat waktu yang realistis.
reasonable	masuk akal	Itu sepertinya permintaan yang masuk akal.
recall	mengingat	Saya mengingat kata-kata persisnya.
recover	pulih	Dia akan pulih setelah perawatan.
reduction	pengurangan	Pengurangan itu menghemat uang.
regard	menganggap	Banyak orang menganggapnya jujur.
regional	regional	Kantor regional tutup hari ini.
register	mendaftar	Harap mendaftar sebelum konferensi.
regret	menyesali	Saya menyesali keputusan saya sebelumnya.
regulation	peraturan	Peraturan baru itu memengaruhi semua pengemudi.
relatively	relatif	Ujian itu relatif mudah.
relevant	relevan	Pilih hanya detail yang relevan.
relief	kelegaan	Berita itu membawa kelegaan besar.
rely	mengandalkan	Anak-anak mengandalkan dukungan orang dewasa.
remark	komentar	Ucapannya mengakhiri diskusi itu.
representative	perwakilan	Perwakilan itu bertemu dengan para pekerja lokal.
reputation	reputasi	Hotel ini memiliki reputasi yang baik.
requirement	persyaratan	Pengalaman adalah persyaratan dasar.
rescue	menyelamatkan	Mereka menyelamatkan orang-orang dari banjir.
reserve	cadangan	Kami memesan kursi untuk para tamu.
resident	penghuni	Setiap penghuni menerima pemberitahuan.
resist	menahan	Cobalah untuk menahan tekanan itu.
resolve	menyelesaikan	Mereka menyelesaikan perselisihan itu secara damai.
resort	resor	Resor pulau itu dibuka pada bulan Mei.
retain	mempertahankan	Perusahaan ingin mempertahankan staf.
reveal	mengungkapkan	Laporan itu akan mengungkapkan kebenarannya.
revolution	revolusi	Revolusi itu mengubah negara tersebut.
reward	penghargaan	Kerja keras pantas mendapat penghargaan.
rhythm	irama	Lagu itu memiliki irama yang stabil.
rid	menyingkirkan	Singkirkan berkas-berkas lama itu.
root	akar	Akar dari masalah ini adalah uang.
rub	menggosok	Gosok permukaannya dengan kain.
rubber	karet	Segel karet itu mencegah kebocoran.
rural	pedesaan	Banyak sekolah pedesaan membutuhkan dukungan.
rush	terburu-buru	Jangan terburu-buru mengambil keputusan ini.
satellite	satelit	Satelit itu mengirimkan gambar-gambar baru.
satisfied	puas	Pelanggan tersebut tampak puas.
satisfy	memuaskan	Jawaban itu tidak memuaskannya.
saving	penghematan	Penghematan energi mengurangi biaya bulanan.
scale	skala	Skala kerusakannya sangat besar.
scheme	program	Skema ini membantu pekerja muda.
scream	jeritan	Mereka mendengar jeritan di luar.
sector	sektor	Sektor teknologi sedang berkembang.
secure	mengamankan	Kunci pintu untuk mengamankannya.
seek	mencari	Mereka mencari saran dari para ahli.
select	memilih	Pilih opsi terbaik.
selection	pilihan	Toko itu menawarkan berbagai pilihan.
self	diri	Dia menunjukkan jati dirinya yang sebenarnya.
senior	senior	Seorang dokter senior memeriksa pasien itu.
