simplified	HI	example_HI
爱	प्यार करना; पसंद करना	मुझे माँ से प्यार है।
八	आठ	मेरे पास आठ किताबें हैं।
爸爸	पापा; पिता	पापा घर पर हैं।
杯子	कप; गिलास	यह कप बड़ा है।
北京	बीजिंग	मैं बीजिंग में काम करता हूँ।
本	किताबों के लिए माप शब्द; खंड	मेरे पास एक किताब है।
不	नहीं; मत	मैं चावल नहीं खाता हूँ।
不客气	कोई बात नहीं; आपका स्वागत है	धन्यवाद। कोई बात नहीं।
菜	व्यंजन; सब्ज़ी; खाना	यह व्यंजन स्वादिष्ट है।
茶	चाय	मैं चाय पीता हूँ।
吃	खाना	मैं सेब खाता हूँ।
出租车	टैक्सी	मैं टैक्सी से स्कूल जाता हूँ।
打电话	फ़ोन करना	मैं फ़ोन करता हूँ।
大	बड़ा; बड़ी; बड़े	यह स्कूल बड़ा है।
的	का; की; के	यह मेरी किताब है।
点	बजे; बिंदु; थोड़ा	अभी आठ बजे हैं।
电脑	कंप्यूटर	मेरा कंप्यूटर मेज़ पर है।
电视	टेलीविजन; टीवी	मैं टीवी देखता हूँ।
电影	फ़िल्म	मुझे फ़िल्में पसंद हैं।
东西	चीज़; सामान	यह क्या है?
都	सब; दोनों	हम सब विद्यार्थी हैं।
读	पढ़ना	मैं किताब पढ़ता हूँ।
对不起	माफ़ कीजिए; क्षमा करें	माफ़ कीजिए, मैं आपको नहीं जानता।
多	बहुत; ज़्यादा	मेरे बहुत से दोस्त हैं।
多少	कितना; कितने	यह कप कितने का है?
儿子	बेटा	मेरा बेटा विद्यार्थी है।
二	दो	फ़रवरी में ठंड होती है।
饭馆	रेस्तराँ; भोजनालय	रेस्तराँ स्कूल के सामने है।
飞机	हवाई जहाज़; विमान	मैं हवाई जहाज़ से बीजिंग जाता हूँ।
分钟	मिनट	मैं पाँच मिनट पढ़ता हूँ।
高兴	खुश; प्रसन्न	मैं आज बहुत खुश हूँ।
个	सामान्य माप शब्द	मेरा एक दोस्त है।
工作	काम करना; काम	मैं बीजिंग में काम करता हूँ।
狗	कुत्ता	मुझे कुत्ते पसंद हैं।
汉语	चीनी भाषा	मैं चीनी भाषा सीखता हूँ।
好	अच्छा; अच्छी; अच्छे; ठीक	आज मौसम अच्छा है।
喝	पीना	मैं पानी पीता हूँ।
和	और; के साथ	मैं दोस्त के साथ स्कूल जाता हूँ।
很	बहुत	वह बहुत सुंदर है।
后面	पीछे; के पीछे	स्कूल रेस्तराँ के पीछे है।
回	लौटना; वापस जाना	मैं घर वापस जाता हूँ।
会	सकना; आना	मैं चीनी बोल सकता हूँ।
火车站	रेलवे स्टेशन	रेलवे स्टेशन बड़ा है।
几	कितने; कुछ	तुम्हारे कितने दोस्त हैं?
家	घर; परिवार	मेरा घर बीजिंग में है।
叫	कहलाना; बुलाना	तुम्हारा नाम क्या है?
今天	आज	आज गर्मी है।
九	नौ	अभी नौ बजे हैं।
开	खोलना; चालू करना	मैं कंप्यूटर चालू करता हूँ।
看	देखना; पढ़ना	मैं किताब पढ़ता हूँ।
看见	देखना; दिखाई देना	मुझे शिक्षक दिखाई देते हैं।
块	टुकड़ा; युआन	यह किताब दस युआन की है।
来	आना	वह स्कूल आता है।
老师	शिक्षक; अध्यापक	शिक्षक स्कूल में हैं।
了	पूर्णता-सूचक कण	मैंने चावल खाया।
冷	ठंडा; ठंडी; ठंड	आज ठंड है।
里	में; अंदर	कप में पानी है।
零	शून्य	शून्य एक नहीं है।
六	छह	अभी छह बजे हैं।
妈妈	माँ; मम्मी	माँ चाय पीती हैं।
吗	हाँ/नहीं प्रश्न कण	क्या तुम विद्यार्थी हो?
买	खरीदना	मैं सेब खरीदता हूँ।
猫	बिल्ली	बिल्ली कुर्सी पर है।
没	नहीं है; नहीं	मेरे पास पैसे नहीं हैं।
没关系	कोई बात नहीं	कोई बात नहीं।
米饭	पका हुआ चावल; भात	मैं चावल खाता हूँ।
名字	नाम	तुम्हारा नाम क्या है?
明天	कल; आने वाला कल	कल मैं बीजिंग जाऊँगा।
哪	कौन-सा; कौन-सी; कौन-से; कहाँ	तुम कहाँ जा रहे हो?
那	वह; वे; वह वाला	वह मेरे शिक्षक हैं।
呢	प्रश्न कण; तो	और तुम?
能	सकना; कर पाना	क्या मैं जा सकता हूँ?
你	तुम; तुम्हें	तुम कैसे हो?
年	साल; वर्ष	एक साल में बारह महीने होते हैं।
女儿	बेटी	उसकी बेटी बहुत सुंदर है।
朋友	दोस्त; मित्र	वह मेरा दोस्त है।
漂亮	सुंदर; खूबसूरत	वह बहुत सुंदर है।
苹果	सेब	मुझे सेब पसंद हैं।
七	सात	अभी सात बजे हैं।
前面	सामने; के सामने	रेस्तराँ दुकान के सामने है।
钱	पैसा; पैसे	मेरे पास पैसे नहीं हैं।
请	कृपया; आमंत्रित करना; अनुरोध करना	कृपया चाय पीजिए।
去	जाना	मैं स्कूल जाता हूँ।
热	गर्म; गर्मी	आज गर्मी है।
人	व्यक्ति; लोग; आदमी	स्कूल में बहुत लोग हैं।
认识	जानना; पहचानना	मैं उसे जानता हूँ।
日	दिन; तारीख़	आज एक मार्च है।
三	तीन	मेरे पास तीन कप हैं।
商店	दुकान; स्टोर	दुकान स्कूल के सामने है।
上	ऊपर; पर	किताब मेज़ पर है।
上午	सुबह; पूर्वाह्न	सुबह मैं चीनी भाषा पढ़ता हूँ।
少	कम; थोड़े	विद्यार्थी कम हैं।
什么	क्या	यह क्या है?
十	दस	मेरे पास दस किताबें हैं।
时候	समय; वक्त	तुम कब आओगे?
是	होना; है	मैं विद्यार्थी हूँ।
书	किताब; पुस्तक	मैं किताब पढ़ता हूँ।
谁	कौन	वह कौन है?
水	पानी	मैं पानी पीता हूँ।
水果	फल	मैं फल खरीदता हूँ।
睡觉	सोना; सोने जाना	मैं सोने जा रहा हूँ।
说话	बोलना; बात करना	शिक्षक बोल रहे हैं।
四	चार	मेरे चार दोस्त हैं।
岁	साल का; वर्ष का	मेरी उम्र दस साल है।
他	वह; उसे	वह शिक्षक है।
她	वह; उसे	वह छात्रा है।
太	बहुत; बहुत ज़्यादा	यह कप बहुत ज़्यादा बड़ा है।
天气	मौसम	आज मौसम अच्छा है।
听	सुनना	मैं शिक्षक को बोलते हुए सुनता हूँ।
同学	सहपाठी	वह मेरा सहपाठी है।
喂	हैलो; सुनिए	हैलो?
我	मैं; मुझे	मैं डॉक्टर हूँ।
我们	हम; हमें	हम स्कूल जाते हैं।
五	पाँच	मेरे पास पाँच सेब हैं।
喜欢	पसंद करना	मुझे चाय पीना पसंद है।
下	नीचे; अगला	किताब मेज़ के नीचे है।
下午	दोपहर बाद; अपराह्न	दोपहर बाद मैं दुकान जाता हूँ।
下雨	बारिश होना	आज बारिश हो रही है।
先生	श्रीमान; पति	नमस्ते, श्रीमान।
现在	अभी; अब	मैं अभी स्कूल में हूँ।
想	चाहना; सोचना; याद करना	मैं पानी पीना चाहता हूँ।
小	छोटा; छोटी; छोटे	यह कप छोटा है।
小姐	मिस; युवती	नमस्ते, मिस।
些	कुछ; थोड़े	मेरे पास कुछ किताबें हैं।
写	लिखना	मैं चीनी अक्षर लिखता हूँ।
谢谢	धन्यवाद; शुक्रिया	धन्यवाद।
星期	सप्ताह; सप्ताह का दिन	आज सोमवार है।
学生	विद्यार्थी; छात्र; छात्रा	मैं विद्यार्थी हूँ।
学习	सीखना; पढ़ना	मैं चीनी भाषा सीखता हूँ।
学校	स्कूल; विद्यालय	स्कूल बड़ा है।
一	एक	मेरे पास एक कप है।
衣服	कपड़े	मैं कपड़े खरीदता हूँ।
医生	डॉक्टर; चिकित्सक	वह डॉक्टर है।
医院	अस्पताल	अस्पताल स्कूल के सामने है।
椅子	कुर्सी	कुर्सी मेज़ के पीछे है।
有	होना; रखना; पास होना	मेरे दोस्त हैं।
月	महीना; चाँद	आज चार मई है।
再见	अलविदा; फिर मिलेंगे	अलविदा, सर।
在	में होना; पर होना	मैं घर पर हूँ।
怎么	कैसे	यह अक्षर कैसे पढ़ते हैं?
怎么样	कैसा; कैसा है	आज तुम कैसे हो?
这	यह; ये	यह मेरी किताब है।
中国	चीन	मैं चीन जाता हूँ।
中午	दोपहर	मैं दोपहर में चावल खाता हूँ।
住	रहना; ठहरना	मैं बीजिंग में रहता हूँ।
桌子	मेज़; डेस्क	किताब मेज़ पर है।
字	अक्षर; चिन्ह; शब्द	यह अक्षर छोटा है।
昨天	कल; बीता हुआ कल	कल मैंने फ़िल्म देखी।
坐	बैठना; सवारी से जाना	मैं हवाई जहाज़ से बीजिंग जाता हूँ।
做	करना; बनाना	मैं खाना बनाता हूँ।
