source_headword	FR	example_FR
incur	entraîner	Les retards peuvent entraîner des frais supplémentaires.
indicator	un indicateur	Le chômage est un indicateur économique.
indictment	l'acte d'accusation	L'acte d'accusation comportait trois chefs d'inculpation.
indigenous	indigène	Les plantes indigènes poussent bien ici.
induce	provoquer	Le médicament peut provoquer le sommeil.
indulge	s'adonner à	Elle ne cède pas à des habitudes coûteuses.
inequality	l'inégalité	L'inégalité des revenus reste un problème majeur.
infamous	tristement célèbre	La prison est devenue tristement célèbre dans le monde entier.
infant	le nourrisson	Le nourrisson dormait dans le berceau.
infect	infecter	Le virus peut infecter des cellules saines.
inflict	infliger	N'infligez pas de douleur aux animaux.
influential	influent	Elle est une juriste influente.
inherent	inhérent	La conception comporte des risques inhérents.
inhibit	freiner	La peur peut freiner une discussion honnête.
initiate	initier	Le directeur va initier la révision.
inject	injecter	L'infirmière va injecter le vaccin.
injection	l'injection	L'injection a réduit la douleur.
injustice	l'injustice	La décision a révélé une injustice évidente.
inmate	le détenu	Le détenu a demandé des conseils juridiques.
insertion	l'insertion	Le formulaire nécessite une insertion de texte.
insider	l'initié	Un initié a fuité le rapport.
inspect	inspecter	Les fonctionnaires inspectent le pont chaque année.
inspection	l'inspection	L'inspection a révélé des dommages graves.
inspiration	l'inspiration	Son discours m'a donné de l'inspiration.
instinct	l'instinct	Son premier instinct a été d'aider.
institutional	institutionnel	Les règles institutionnelles ont façonné la décision.
instruct	instruire	Le manuel instruira le nouveau personnel.
instrumental	déterminant	Ses conseils ont été déterminants dans les négociations.
insufficient	insuffisant	Les preuves étaient insuffisantes pour une inculpation.
insult	l'insulte	Son insulte a mis fin à la conversation.
intact	intact	Le mur ancien est resté intact.
intake	la consommation	La consommation de sucre doit rester modérée.
integral	indispensable	La confiance est une partie intégrante de l'équipe.
integrated	intégré	L'école offre un soutien intégré.
integration	l'intégration	L'intégration a amélioré l'ensemble du système.
integrity	l'intégrité	Le juge a fait preuve d'une grande intégrité.
intensify	s'intensifier	La tempête pourrait s'intensifier pendant la nuit.
intensity	l'intensité	L'intensité de l'entraînement a augmenté.
intensive	intensif	Ils ont suivi une formation linguistique intensive.
intent	l'intention	Son intention était difficile à prouver.
interactive	interactif	Le musée propose des expositions interactives.
interface	l'interface	L'interface est facile à naviguer.
interfere	interférer	N'interférez pas avec l'enquête.
interference	l'interférence	Des interférences de signal ont interrompu l'appel.
interim	provisoire	Un rapport provisoire arrive demain.
interior	intérieur	Les murs intérieurs ont besoin de peinture.
intermediate	intermédiaire	Elle a rejoint la classe de niveau intermédiaire.
intervene	intervenir	La police a dû intervenir rapidement.
intervention	l'intervention	Une intervention précoce a aidé le patient.
intimate	intime	Ils ont organisé une cérémonie familiale intime.
intriguing	intrigant	Les données ont révélé un modèle intrigant.
investigator	l'enquêteur	L'enquêteur a interrogé chaque témoin.
invisible	invisible	Le gaz est invisible et dangereux.
invoke	invoquer	L'avocat a essayé d'invoquer la jurisprudence.
involvement	l'implication	Son implication est restée floue.
ironic	ironique	Le commentaire ironique a fait rire tout le monde.
ironically	ironiquement	Ironiquement, l'itinéraire a pris plus de temps.
irony	l'ironie	L'ironie était évidente pour tout le monde.
irrelevant	non pertinent	Ce détail n'est pas pertinent ici.
isolation	l'isolement	L'isolement peut nuire à la santé mentale.
judicial	judiciaire	L'examen judiciaire commence lundi.
junction	le carrefour	Tournez à gauche au carrefour.
jurisdiction	la juridiction	Le tribunal a une juridiction limitée.
just	juste	Le juge a pris une décision juste.
justification	la justification	Nous avons besoin d'une justification claire pour ces dépenses.
kidnap	enlever	Des criminels ont essayé d'enlever le diplomate.
kidney	le rein	Sa fonction rénale s'est améliorée.
kingdom	le royaume	Le royaume s'est étendu sous son règne.
lad	le garçon	Le jeune garçon a porté les sacs.
landlord	le propriétaire	Le propriétaire a réparé le chauffage.
landmark	le monument	La tour est devenue un monument de la ville.
lap	les genoux	L'enfant s'est assis sur ses genoux.
large-scale	à grande échelle	La ville a prévu des réparations à grande échelle.
laser	le laser	Le laser a mesuré la distance.
latter	ce dernier	Cette dernière option semble plus sûre.
lawn	la pelouse	Les enfants ont joué sur la pelouse.
lawsuit	le procès	L'entreprise a réglé le procès à l'amiable.
layout	la mise en page	La mise en page semble plus claire.
leak	la fuite	Une fuite de tuyau a inondé la cuisine.
leap	le bond	Les ventes ont fait un bond soudain.
legacy	l'héritage	Son héritage a façonné l'université.
legendary	légendaire	Le chanteur légendaire est retourné sur scène.
legislation	la législation	La nouvelle législation protège les locataires.
legislative	législatif	Le comité législatif s'est réuni aujourd'hui.
legislature	l'assemblée législative	L'assemblée législative a approuvé le budget.
legitimate	légitime	Ils ont soulevé des préoccupations légitimes.
lengthy	long	Le long débat a retardé le vote.
lesbian	lesbien	L'activiste lesbienne a pris la parole au forum.
lesser	moindre	Choisissez le risque moindre.
lethal	mortel	Le produit chimique peut être mortel.
liable	responsable	Les conducteurs sont responsables des dommages.
liberal	libéral	Il soutient des politiques sociales libérales.
liberation	la libération	La libération a changé l'avenir du pays.
liberty	la liberté	La loi protège la liberté personnelle.
license	autoriser	L'État peut accorder des licences à de nouvelles cliniques.
lifelong	de toute une vie	Elle s'y est fait des amis pour la vie.
likelihood	la probabilité	La probabilité de pluie a augmenté.
limb	le membre	Le membre blessé a guéri lentement.
linear	linéaire	Le graphique montre une tendance linéaire.
line-up	la programmation	La programmation du festival inclut des groupes locaux.
linger	persister	L'odeur peut persister pendant des heures.
listing	l'annonce	L'annonce de l'appartement semblait exacte.
literacy	l'alphabétisation	Les programmes d'alphabétisation des adultes se sont développés.
liver	le foie	Le foie filtre les substances nocives.
lobby	le hall	Le hall était bondé après midi.
log	le journal	Le système tient un journal quotidien.
logic	la logique	La logique de son argument a échoué.
long-standing	de longue date	Ils ont résolu un conflit de longue date.
long-time	de longue date	Elle est bénévole de longue date.
loom	menacer	De sombres nuages menacent sur la vallée.
loop	la boucle	Le sentier forme une boucle.
loyalty	la loyauté	Sa loyauté a impressionné l'équipe.
machinery	les machines	L'usine a installé de nouvelles machines.
magical	magique	Le jardin paraissait magique la nuit.
magistrate	le magistrat	Le magistrat a entendu l'affaire.
