simplified	FI	example_FI
啊	vahvistuspartikkeli; suostumuspartikkeli	Selvä, mennään nyt.
阿姨	täti; lastenhoitaja; vanhempi nainen	Täti työskentelee supermarketissa.
矮	matala; lyhyt	Tämä pöytä on vähän matala.
爱好	harrastus; kiinnostus	Harrastukseni on musiikin kuunteleminen.
安静	hiljainen; rauhallinen	Kirjastossa on hyvin hiljaista.
把	pitää; tarttua; objektipartikkeli	Sulje ovi, ole hyvä.
搬	muuttaa; siirtää	Muutamme huomenna.
班	luokka; ryhmä	Meidän luokassamme on kaksikymmentä oppilasta.
办法	menetelmä; tapa	Tämä menetelmä on erittäin hyvä.
办公室	toimisto; työhuone	Johtaja on toimistossa.
半	puoli	Odotin puoli tuntia.
帮忙	auttaa; tulla avuksi	Voitko auttaa?
包	pakata; kääriä; laukku	Hän osti uuden laukun.
饱	kylläinen	Olen jo kylläinen.
北方	pohjoinen; pohjoisosa	Pohjoisessa talvi on hyvin kylmä.
被	passiivipartikkeli; jonkun toimesta	Ystävä lainasi polkupyöräni.
鼻子	nenä	Hänen nenänsä on vähän punainen.
比较	verrata; melko	Tänään on melko kuuma.
比赛	ottelu; kilpailu	Tämä ottelu on hyvin tärkeä.
笔记本	muistikirja; vihko	Laitoin muistikirjan pöydälle.
必须	täytyä; olla pakko	Sinun täytyy kerrata huolellisesti.
变化	muutos; muuttua	Tämä kaupunki on muuttunut paljon.
别人	muut ihmiset	Älä ota muiden tavaroita.
冰箱	jääkaappi	Hedelmät ovat jääkaapissa.
不但…而且…	ei ainoastaan... vaan myös...	Hän ei ole ainoastaan älykäs vaan myös ahkera.
菜单	ruokalista	Anna minulle ruokalista, ole hyvä.
参加	osallistua; olla mukana	Haluan osallistua tähän kokoukseen.
草	ruoho	Pentu juoksee ruohikolla.
层	kerros; taso	Tässä rakennuksessa on kolme kerrosta.
差	erota; puuttua; huono	Sää on huono tänään.
超市	supermarketti; iso ruokakauppa	Menen supermarkettiin ostamaan leipää.
衬衫	paita; pusero	Tämä paita on hyvin puhdas.
城市	kaupunki	Peking on suuri kaupunki.
成绩	arvosana; tulos	Hänen matematiikan arvosanansa ovat erittäin hyviä.
迟到	myöhästyä	Älä myöhästy tunnilta.
除了	lisäksi; lukuun ottamatta	Kahvin lisäksi haluan myös teetä.
船	vene; laiva	Menemme siihen kaupunkiin veneellä.
春	kevät	Keväällä on paljon kukkia.
词典	sanakirja	Tämä sanakirja on hyvin hyödyllinen.
聪明	älykäs; fiksu	Tämä lapsi on hyvin älykäs.
打扫	siivota; lakaista	Siivoan huoneen viikonloppuna.
打算	suunnitella; aikoa	Mitä suunnitelmia sinulla on huomiseksi?
带	ottaa mukaan; tuoda	Ota passi mukaan, ole hyvä.
担心	huolestua; olla huolissaan	Älä huolehdi, minä autan sinua.
蛋糕	kakku	Tämä kakku on hyvin makea.
当然	tietenkin; luonnollisesti	Tietenkin voit.
地	adverbiaalipartikkeli	Hän hymyili iloisesti.
灯	lamppu; valo	Sytytä valo, ole hyvä.
地方	paikka; alue	Tämä paikka on hyvin rauhallinen.
地铁	metro	Kuljen metrolla töihin joka päivä.
地图	kartta	Etsin koulua kartalta.
电梯	hissi	Hissi on vasemmalla.
电子邮件	sähköposti	Lähetän opettajalle sähköpostin.
东	itä	Aurinko nousee idästä.
冬	talvi	Talvella tykkään juoda kuumaa teetä.
动物	eläin	Panda on kuuluisa eläin Kiinassa.
短	lyhyt	Nämä housut ovat liian lyhyet.
段	kappale; osio	Lue tämä kappale, ole hyvä.
锻炼	harjoitella; kuntoilla	Kuntoilen joka aamu.
多么	kuinka; miten	Kuinka hyvä ympäristö täällä on!
饿	nälkäinen	Minulla on nälkä ja haluan syödä leipää.
耳朵	korva	Korvaani särkee vähän.
发	lähettää; julkaista	Illalla lähetän sähköposteja.
发烧	olla kuumeessa	Hänellä on kuumetta eikä hän voi mennä kouluun.
发现	löytää; huomata	Huomasin, että tämä menetelmä on hyvä.
方便	kätevä; mukava	Metrolla kulkeminen on kätevää.
放	laittaa; päästää	Laita kirja pöydälle, ole hyvä.
放心	olla rauhallinen; lakata huolehtimasta	Älä huolehdi, tulen ajoissa.
分	jakaa; erottaa	Jaa kakku kaikille, ole hyvä.
复习	kerrata; kertaus	Minun täytyy kerrata ennen koetta.
附近	lähellä; lähialue	Lähellä on ravintola.
干净	puhdas	Tämä huone on hyvin puhdas.
感冒	olla vilustunut; flunssa	Olen vilustunut ja haluan levätä.
感兴趣	olla kiinnostunut	Olen hyvin kiinnostunut kiinan kielestä.
刚才	äsken; juuri	Kuka soitti sinulle äsken?
个子	pituus	Hän on pitkä.
根据	mukaan; perusteella	Kartan mukaan koulu on idässä.
跟	kanssa; seurata	Menen puistoon ystävän kanssa.
更	vielä enemmän; enemmän	Tänään on vielä kylmempää kuin eilen.
公斤	kilogramma	Nämä omenat painavat yhden kilogramman.
公园	puisto	Lapset leikkivät puistossa.
故事	tarina	Ukki kertoo minulle tarinan.
刮风	tuulla	Tänään tuulee; älä aja polkupyörällä.
关	sulkea; sammuttaa	Sulje ovi, ole hyvä.
关系	suhde; yhteys	Suhteeni kollegaan on hyvä.
关心	välittää; olla huolissaan	Äiti välittää paljon terveydestäni.
关于	aiheesta; koskien	Tämä kirja kertoo kiinalaisesta kulttuurista.
国家	maa; valtio	Kiina on hyvin suuri maa.
过	kokemuspartikkeli; olla tehnyt aiemmin	Olen käynyt Pekingissä.
过去	menneisyys; ennen	Ennen täällä ei ollut metroa.
还是	vai; yhä	Juotko teetä vai kahvia?
害怕	pelätä	En pelkää koetta.
黑板	liitutaulu	Opettaja kirjoittaa merkkejä taululle.
后来	myöhemmin; jälkeenpäin	Myöhemmin menimme puistoon.
护照	passi	Ota passi mukaan, ole hyvä.
96:花	kuluttaa; maksaa	Puhelimen ostaminen maksoi kaksi tuhatta yuania.
97:花	kukka	Pöydällä on kukka.
画	piirtää; kuva; maalaus	Pikkusiskoni tykkää piirtää pandoja.
坏	huono; rikki	Tietokoneeni meni rikki.
欢迎	toivottaa tervetulleeksi; tervetuloa	Tervetuloa kotiini.
环境	ympäristö; olosuhteet	Tämän koulun ympäristö on erittäin hyvä.
还	palauttaa	Palauta kirjani huomenna, ole hyvä.
换	vaihtaa	Haluan vaihtaa paidan.
黄河	Keltainenjoki	Keltainenjoki on hyvin pitkä.
回答	vastata; vastaus	Vastaa kysymykseeni, ole hyvä.
会议	kokous; konferenssi	Kokous alkaa yhdeksältä.
或者	tai; ehkä	Voit mennä metrolla tai bussilla.
几乎	melkein	Hän harjoittelee melkein joka päivä.
机会	mahdollisuus; tilaisuus	Tämä on hyvä mahdollisuus.
极	äärimmäisen; hyvin	Hän on äärimmäisen iloinen.
季节	vuodenaika	Syksy on lempivuodenaikani.
记得	muistaa	Muistatko ottaa luottokortin mukaan?
检查	tarkistaa; tutkia	Lääkäri tutkii minut.
简单	yksinkertainen; helppo	Tämä lause on hyvin yksinkertainen.
健康	terveys; terve	Liikunta on hyväksi terveydelle.
见面	tavata	Tapaamme koulussa huomenna.
讲	selittää; puhua	Opettaja selittää hyvin selvästi.
教	opettaa	Hän opettaa minua kirjoittamaan kiinalaisia merkkejä.
脚	jalka; jalkaterä	Jalkaani särkee vähän.
角	kulma	Kauppa on kadunkulmassa.
接	hakea; ottaa vastaan; vastata	Menen lentokentälle hakemaan ystävän.
街道	katu	Tämä katu on hyvin puhdas.
结婚	mennä naimisiin	He menevät naimisiin ensi vuonna.
结束	päättyä; lopettaa	Ottelu on jo päättynyt.
