source_headword	BG	example_BG
prey	плячка	Совите ловуват плячка през нощта.
privatization	приватизация	Приватизацията промени железопътната система.
privilege	привилегия	Образованието не трябва да бъде привилегия.
probe	разследване	Разследването разкри сериозни грешки.
problematic	проблематичен	Споразумението остава проблематично.
proceedings	процедури	Съдебните процедури започнаха в понеделник.
proceeds	приходи	Приходите ще подкрепят местните училища.
processing	обработка	Обработката на изображения отнема време.
processor	процесор	Процесорът се повреди по време на тестовете.
proclaim	провъзгласявам	Лидерите провъзгласяват победа твърде рано.
productive	продуктивен	Срещата беше продуктивна.
productivity	производителност	Производителността се подобри след обучението.
profitable	печеливш	Магазинът стана печеливш тази година.
profound	дълбок	Речта имаше дълбок ефект.
projection	проекция	Проекцията показва стабилен растеж.
prominent	виден	Тя стана виден учен.
pronounced	ясно изразен	Акцентът му стана по-ясно изразен.
propaganda	пропаганда	Кампанията използва пропаганда онлайн.
proposition	предложение	Предложението е рисковано начинание.
prosecute	преследвам съдебно	Длъжностните лица преследват съдебно сериозни случаи на измама.
prosecution	обвинение	Обвинението представи нови доказателства.
prosecutor	прокурор	Прокурорът разпита свидетеля.
prospective	бъдещ	Бъдещите студенти разгледаха кампуса.
prosperity	просперитет	Търговията донесе просперитет на региона.
protective	защитен	Тя носеше защитни ръкавици.
protocol	протокол	Протоколът изисква писмено одобрение.
province	провинция	Провинцията инвестира в транспорта.
provincial	провинциален	Провинциалните служители обявиха плана.
provision	разпоредба	Договорът включва разпоредба за безопасност.
provoke	провокирам	Речта може да провокира силни реакции.
psychiatric	психиатричен	Болницата отвори психиатрично отделение.
pulse	пулс	Медицинската сестра провери пулса му.
pump	помпа	Помпата изтласква водата нагоре.
punch	удар	Той нанесе удар в яростта си.
query	запитване	Изпратете своето запитване до поддръжката.
quest	търсене	Тяхното търсене на справедливост продължи.
quota	квота	Отборът изпълни своята квота за продажби.
radar	радар	Бурята се появи на радара.
radical	радикален	Групата предложи радикални реформи.
rage	ярост	Неговата ярост премина бързо.
raid	акция	Полицията проведе сутрешна акция.
rally	митинг	Поддръжниците се присъединиха към митинга в центъра.
ranking	класация	Университетът подобри своята класация.
rape	изнасилване	Случаите на изнасилване изискват внимателно разследване.
ratio	съотношение	Класът има ниско съотношение на учители.
rational	рационален	Нейното решение беше рационално.
ray	лъч	Един слънчев лъч влезе вътре.
readily	охотно	Той охотно прие предложението.
realization	осъзнаване	Осъзнаването промени плановете ѝ.
realm	сфера	Този въпрос принадлежи към друга сфера.
rear	заден	Използвайте задния вход днес.
reasoning	разсъждение	Неговото разсъждение беше ясно.
reassure	успокоявам	Лекарят се опита да я успокои.
rebel	бунтовник	Бунтовническият лидер избегна залавяне.
rebellion	бунт	Бунтът приключи след преговори.
recipient	получател	Получателят подписа формуляра.
reconstruction	реконструкция	Реконструкцията започна след наводнението.
recount1	разказвам	Тя може да разказва събитията ясно.
referendum	референдум	Референдумът раздели страната.
reflection	размисъл	Есето се нуждаеше от по-дълбок размисъл.
reform	реформа	Реформата подобри обществените услуги.
refuge	убежище	Семейството потърси убежище в чужбина.
refusal	отказ	Нейният отказ изненада комитета.
regain	възвръщам	Той работи упорито, за да си възвърне доверието.
regardless	независимо	Те продължиха независимо от критиките.
regime	режим	Режимът ограничи свободата на словото.
regulator	регулатор	Регулаторът глоби компанията.
regulatory	регулаторен	Регулаторното одобрение отне месеци.
rehabilitation	рехабилитация	Рехабилитацията му помогна да проходи отново.
reign	управление	Управлението на краля продължи десетилетия.
rejection	отхвърляне	Отхвърлянето нарани нейната увереност.
relevance	уместност	Данните имат ограничена уместност.
reliability	надеждност	Надеждността е важна при аварийните системи.
reluctant	неохотен	Той беше неохотен да говори.
remainder	остатък	Остатъкът отиде за благотворителност.
remains	останки	Останките бяха внимателно изследвани.
remedy	средство	Законът предоставя правно средство.
reminder	напомняне	Имейлът беше полезно напомняне.
removal	премахване	Премахването на бариерите помогна на търговията.
render	правя	Грешката направи договора невалиден.
renew	подновявам	Подновете паспорта си скоро.
renowned	известен	Тя е известна със своите изследвания.
rental	наем	Наемът включва застраховка.
replacement	подмяна	Частта за подмяна пристигна днес.
reportedly	според съобщенията	Според съобщенията министърът е подал оставка вчера.
representation	представителство	Честното представителство остава важно.
reproduce	размножавам	Тези растения се размножават бързо.
reproduction	възпроизвеждане	Цифровото възпроизвеждане подобри достъпа.
republic	република	Републиката проведе избори.
resemble	приличам	Двата дизайна си приличат много.
reside	живея	Те живеят близо до границата.
