source_headword	TH	example_TH
prey	เหยื่อ	นกเค้าแมวล่าเหยื่อในตอนกลางคืน.
privatization	การแปรรูปรัฐวิสาหกิจ	การแปรรูปรัฐวิสาหกิจเปลี่ยนระบบรถไฟ.
privilege	สิทธิพิเศษ	การศึกษาไม่ควรเป็นสิทธิพิเศษ.
probe	การตรวจสอบ	การตรวจสอบพบข้อผิดพลาดร้ายแรง.
problematic	ที่เป็นปัญหา	ข้อตกลงนี้ยังคงเป็นปัญหา.
proceedings	การพิจารณาคดี	การพิจารณาคดีเริ่มขึ้นในวันจันทร์.
proceeds	รายได้	รายได้จะสนับสนุนโรงเรียนในท้องถิ่น.
processing	การประมวลผล	การประมวลผลภาพต้องใช้เวลา.
processor	ตัวประมวลผล	ตัวประมวลผลล้มเหลวระหว่างการทดสอบ.
proclaim	ประกาศ	ผู้นำประกาศชัยชนะเร็วเกินไป.
productive	ที่มีประสิทธิผล	การประชุมนี้มีประสิทธิผล.
productivity	ผลผลิต	ผลผลิตดีขึ้นหลังจากการฝึกอบรม.
profitable	ที่ทำกำไรได้	ร้านนี้ทำกำไรได้ในปีนี้.
profound	อย่างลึกซึ้ง	สุนทรพจน์มีผลกระทบอย่างลึกซึ้ง.
projection	การคาดคะเน	การคาดคะเนแสดงการเติบโตอย่างต่อเนื่อง.
prominent	ที่โดดเด่น	เธอกลายเป็นนักวิทยาศาสตร์ที่โดดเด่น.
pronounced	ที่ชัดเจน	สำเนียงของเขาชัดเจนมากขึ้น.
propaganda	โฆษณาชวนเชื่อ	แคมเปญนี้ใช้โฆษณาชวนเชื่อทางออนไลน์.
proposition	ข้อเสนอ	ข้อเสนอนี้เป็นข้อเสนอที่เสี่ยง.
prosecute	ฟ้องร้อง	เจ้าหน้าที่ฟ้องร้องคดีฉ้อโกงร้ายแรง.
prosecution	การฟ้องร้อง	ฝ่ายโจทก์เสนอหลักฐานใหม่.
prosecutor	อัยการ	อัยการซักถามพยาน.
prospective	ที่คาดหวังไว้	นักศึกษาที่คาดหวังไว้เดินชมมหาวิทยาลัย.
prosperity	ความเจริญรุ่งเรือง	การค้าขายนำความเจริญรุ่งเรืองมาสู่ภูมิภาค.
protective	ที่ป้องกัน	เธอสวมถุงมือที่ป้องกัน.
protocol	โปรโตคอล	โปรโตคอลต้องมีการอนุมัติเป็นลายลักษณ์อักษร.
province	จังหวัด	จังหวัดลงทุนในการขนส่ง.
provincial	ระดับจังหวัด	เจ้าหน้าที่ระดับจังหวัดประกาศแผนดังกล่าว.
provision	ข้อกำหนด	สัญญารวมถึงข้อกำหนดด้านความปลอดภัย.
provoke	ยั่วยุ	คำปราศรัยอาจยั่วยุให้เกิดปฏิกิริยาที่รุนแรง.
psychiatric	ทางจิตเวช	โรงพยาบาลเปิดแผนกจิตเวช.
pulse	ชีพจร	พยาบาลตรวจชีพจรของเขา.
pump	ปั๊ม	ปั๊มสูบน้ำขึ้นไป.
punch	หมัด	เขาชกด้วยความโกรธ.
query	ข้อสงสัย	ส่งข้อสงสัยของคุณไปยังฝ่ายสนับสนุน.
quest	การแสวงหา	การแสวงหาความยุติธรรมของพวกเขายังคงดำเนินต่อไป.
quota	โควตา	ทีมทำยอดขายได้ตามโควตา.
radar	เรดาร์	พายุปรากฏขึ้นบนเรดาร์.
radical	รุนแรง	กลุ่มเสนอการปฏิรูปที่รุนแรง.
rage	ความโกรธแค้น	ความโกรธแค้นของเขาหายไปอย่างรวดเร็ว.
raid	การบุกรุก	ตำรวจดำเนินการบุกรุกในตอนเช้าตรู่.
rally	การชุมนุม	ผู้สนับสนุนเข้าร่วมการชุมนุมในเมือง.
ranking	การจัดอันดับ	มหาวิทยาลัยมีการจัดอันดับดีขึ้น.
rape	การข่มขืน	คดีข่มขืนต้องมีการสืบสวนอย่างรอบคอบ.
ratio	อัตราส่วน	ชั้นเรียนมีอัตราส่วนครูต่ำ.
rational	มีเหตุผล	การตัดสินใจของเธอมีเหตุผล.
ray	รังสี	รังสีของแสงแดดส่องเข้ามา.
readily	อย่างเต็มใจ	เขายอมรับข้อเสนออย่างเต็มใจ.
realization	ความตระหนัก	ความตระหนักทำให้แผนการของเธอเปลี่ยนไป.
realm	ขอบเขต	คำถามนี้อยู่ในขอบเขตอื่น.
rear	ด้านหลัง	ใช้ทางเข้าด้านหลังในวันนี้.
reasoning	การใช้เหตุผล	การใช้เหตุผลของเขานั้นชัดเจน.
reassure	ทำให้มั่นใจ	แพทย์พยายามทำให้เธอมั่นใจ.
rebel	กบฏ	ผู้นำกบฏหลบหนีการจับกุม.
rebellion	การกบฏ	การกบฏสิ้นสุดลงหลังจากการเจรจา.
recipient	ผู้รับ	ผู้รับเซ็นชื่อในแบบฟอร์ม.
reconstruction	การสร้างใหม่	การสร้างใหม่เริ่มขึ้นหลังจากน้ำท่วม.
recount1	เล่าเรื่อง	เธอสามารถเล่าเหตุการณ์ได้อย่างชัดเจน.
referendum	การลงประชามติ	การลงประชามติทำให้ประเทศแตกแยก.
reflection	การไตร่ตรอง	เรียงความนี้ต้องการการไตร่ตรองที่ลึกซึ้งยิ่งขึ้น.
reform	การปฏิรูป	การปฏิรูปทำให้บริการสาธารณะดีขึ้น.
refuge	ที่ลี้ภัย	ครอบครัวแสวงหาที่ลี้ภัยในต่างประเทศ.
refusal	การปฏิเสธ	การปฏิเสธของเธอทำให้คณะกรรมการประหลาดใจ.
regain	ได้กลับคืนมา	เขาทำงานหนักเพื่อให้ได้ความไว้วางใจกลับคืนมา.
regardless	ไม่ว่าอย่างไรก็ตาม	พวกเขาทำต่อไปไม่ว่าจะมีคำวิจารณ์ก็ตาม.
regime	ระบอบการปกครอง	ระบอบการปกครองจำกัดเสรีภาพในการพูด.
regulator	หน่วยงานกำกับดูแล	หน่วยงานกำกับดูแลสั่งปรับบริษัท.
regulatory	ที่เกี่ยวกับการกำกับดูแล	การอนุมัติเกี่ยวกับการกำกับดูแลใช้เวลาหลายเดือน.
rehabilitation	การฟื้นฟูสมรรถภาพ	การฟื้นฟูสมรรถภาพช่วยให้เขากลับมาเดินได้อีกครั้ง.
reign	รัชกาล	รัชกาลของกษัตริย์กินเวลานานหลายทศวรรษ.
rejection	การปฏิเสธ	การปฏิเสธทำลายความมั่นใจของเธอ.
relevance	ความเกี่ยวข้อง	ข้อมูลมีความเกี่ยวข้องอย่างจำกัด.
