source_headword	CS	example_CS
ability	schopnost; dovednost	Její schopnost plavat je jasná.
able	schopný; moci	Dnes může přijít.
abroad	v zahraničí; do zahraničí	Chce studovat v zahraničí.
accept	přijmout; akceptovat	Přijmi prosím tento malý dárek.
accident	nehoda	Nehoda se stala blízko školy.
according to	podle	Podle zprávy přijde déšť.
achieve	dosáhnout	Můžeš dosáhnout svého cíle.
act	jednat; hrát	Může hrát v divadle.
active	aktivní	Je aktivní každý den.
actually	vlastně; ve skutečnosti	Vlastně potřebuji více času.
advantage	výhoda	Tento plán má výhodu.
adventure	dobrodružství	Jejich cesta byla dobrodružstvím.
advertise	inzerovat; propagovat	Inzerují nové pracovní místo.
advertisement	reklama; inzerát	Viděl jsem reklamu.
advertising	reklama; propagace	Reklama pomáhá prodávat jídlo.
affect	ovlivnit	Spánek může ovlivnit tvé zdraví.
against	proti; o	Neopírej se o zeď.
ah	ach; aha	Aha, teď tomu rozumím.
airline	letecká společnost	Letecká společnost je velmi vytížená.
alive	živý	Malá ryba je živá.
all right	v pořádku; dobře	Všechno je teď v pořádku.
allow	dovolit	Tady dovolují psy.
almost	téměř; skoro	Jsme skoro připraveni.
alone	sám; o samotě	Žije sama.
along	podél; dále	Jdi po této silnici.
already	už	Už znám odpověď.
alternative	alternativa; náhradní	Tento vlak je alternativa.
although	ačkoli; přestože	Ačkoli je pozdě, můžeme zůstat.
among	mezi	Stál mezi stromy.
amount	množství; částka	Množství je příliš malé.
ancient	starověký	Tato starověká zeď je slavná.
ankle	kotník	Dnes mě bolí kotník.
anybody	někdo; kdokoli	Může na to někdo odpovědět?
any more	už; další	Už nepotřebuji víc.
anyway	každopádně	Každopádně můžeme začít hned.
anywhere	kdekoli; kamkoli	Sedni si, kam chceš.
app	aplikace	Tato aplikace je užitečná.
appear	objevit se; zdát se	Její jméno se zde objeví.
appearance	vzhled	Jeho vzhled je jiný.
apply	požádat; použít	Požádej o práci dnes.
architect	architekt	Architekt má plán.
architecture	architektura	Mám rád moderní architekturu.
argue	hádat se; tvrdit	Nehádej se se sestrou.
argument	hádka; argument	Hádka byla krátká.
army	armáda	Armáda je velká.
arrange	zařídit; uspořádat	Zařiď prosím schůzku.
arrangement	dohoda; uspořádání	Tato dohoda funguje dobře.
asleep	spící; usnutý	Dítě spí.
assistant	asistent; pomocník	Asistent mi pomohl.
athlete	sportovec	Sportovec běží rychle.
attack	útok; zaútočit	Pes může zaútočit.
attend	navštěvovat; zúčastnit se	Dnes se účastním hodiny.
attention	pozornost	Věnuj teď pozornost.
attractive	přitažlivý; hezký	Zahrada je hezká.
audience	publikum	Publikum bylo tiché.
author	autor	Autor napsal tuto knihu.
available	dostupný	Jídlo je teď dostupné.
average	průměrný; průměr	Průměrný výsledek byl dobrý.
avoid	vyhnout se	Vyhni se rušné silnici.
award	cena; ocenění	Vyhrála cenu.
awful	hrozný	Počasí bylo hrozné.
background	pozadí	Obrázek má tmavé pozadí.
badly	špatně	Dnes hrál špatně.
bar	bar; tyč	Sešli jsme se v hotelovém baru.
baseball	baseball	Baseball je tady populární.
based	založený	Film je založený na knize.
basketball	basketbal	Po škole hrajeme basketbal.
bean	fazole	Tato fazole je zelená.
bear (animal)	medvěd	Medvěd žije v lese.
beat	porazit; bít	Náš tým je může porazit.
beef	hovězí maso	K večeři jsem jedl hovězí.
behave	chovat se	Chovej se ve třídě slušně.
behaviour	chování	Jeho chování bylo zdvořilé.
belong	patřit	Tyto boty patří mně.
belt	pásek	Jeho pásek je černý.
benefit	výhoda; přínos	Cvičení má skutečný přínos.
billion	miliarda	Miliarda je obrovské číslo.
bin	odpadkový koš	Dej papír do koše.
