part_of_speech	source_lemma	display_ES	display_ES_419	article_ES	article_ES_419	gender	number_policy	verb_infinitive	verb_group	meaning_note	semantic_scene	topic_domain	example_ES	example_ES_419
conjunction	ni	ni	ni	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	neither nor	negative choice	grammar_function_words	No quiero ni café ni té.	No quiero ni café ni té.
conjunction	aunque	aunque	aunque	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	although	simple contrast	grammar_function_words	Salgo aunque hace frío.	Salgo aunque hace frío.
conjunction	mientras	mientras	mientras	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	while	two actions at the same time	grammar_function_words	Leo mientras espero.	Leo mientras espero.
adverb	entonces	entonces	entonces	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	then	next step in a plan	grammar_function_words	Entonces vamos a casa.	Entonces vamos a casa.
adverb	casi	casi	casi	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	almost	nearly complete	grammar_function_words	Casi termino la tarea.	Casi termino la tarea.
adverb	quizás	quizás	quizás	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	perhaps	uncertain plan	grammar_function_words	Quizás voy al cine.	Quizás voy al cine.
adverb	además	además	además	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	also or besides	adding information	grammar_function_words	Además, necesito agua.	Además, necesito agua.
adverb	solo	solo	solo	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	alone or only	doing something alone	grammar_function_words	Voy solo al parque.	Voy solo al parque.
adverb	bastante	bastante	bastante	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	quite or enough	moderate degree	grammar_function_words	La sopa está bastante caliente.	La sopa está bastante caliente.
adverb	demasiado	demasiado	demasiado	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	too much	excessive amount	grammar_function_words	El bolso pesa demasiado.	El bolso pesa demasiado.
adverb	así	así	así	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	like this	showing manner	grammar_function_words	Hazlo así, por favor.	Hazlo así, por favor.
adverb	adelante	adelante	adelante	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	forward or ahead	moving forward	location_direction	Camina adelante con cuidado.	Camina adelante con cuidado.
adverb	atrás	atrás	atrás	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	back or behind	moving back	location_direction	Da un paso atrás.	Da un paso atrás.
adverb	dentro	dentro	dentro	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	inside	inside a place	location_direction	El gato está dentro.	El gato está dentro.
adverb	fuera	fuera	fuera	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	outside	outside a place	location_direction	Los niños juegan fuera.	Los niños juegan fuera.
adverb	arriba	arriba	arriba	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	upstairs or above	place above	location_direction	La lámpara está arriba.	La lámpara está arriba.
adverb	abajo	abajo	abajo	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	downstairs or below	place below	location_direction	El baño está abajo.	El baño está abajo.
adverb	delante	delante	delante	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	in front	place in front	location_direction	El taxi está delante.	El taxi está delante.
adverb	detrás	detrás	detrás	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	behind	place behind	location_direction	La maleta está detrás.	La maleta está detrás.
adverb	junto	junto	junto	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	together or next to	near another thing	location_direction	Estoy junto a la puerta.	Estoy junto a la puerta.
adverb	alrededor	alrededor	alrededor	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	around	around a place	location_direction	Hay sillas alrededor.	Hay sillas alrededor.
adverb	enfrente	enfrente	enfrente	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	opposite or across	opposite location	location_direction	La farmacia está enfrente.	La farmacia está enfrente.
noun	derecha	derecha	derecha	la	la	feminine	singular_default	not_applicable	not_applicable	right side	turning right	location_direction	La derecha está al final.	La derecha está al final.
noun	izquierda	izquierda	izquierda	la	la	feminine	singular_default	not_applicable	not_applicable	left side	turning left	location_direction	La izquierda está cerca.	La izquierda está cerca.
noun	norte	norte	norte	el	el	masculine	singular_default	not_applicable	not_applicable	north	map direction	location_direction	El norte está en el mapa.	El norte está en el mapa.
noun	sur	sur	sur	el	el	masculine	singular_default	not_applicable	not_applicable	south	map direction	location_direction	El sur está abajo en el mapa.	El sur está abajo en el mapa.
noun	oeste	oeste	oeste	el	el	masculine	singular_default	not_applicable	not_applicable	west	map direction	location_direction	El oeste está a la izquierda.	El oeste está a la izquierda.
noun	centro	centro	centro	el	el	masculine	singular_default	not_applicable	not_applicable	center	city center	location_direction	El centro está cerca.	El centro está cerca.
adverb	ahí	ahí	ahí	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	there nearby	pointing nearby	location_direction	La bolsa está ahí.	La bolsa está ahí.
adverb	tampoco	tampoco	tampoco	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	neither or not either	negative addition	grammar_function_words	Yo tampoco tengo coche.	Yo tampoco tengo coche.
adverb	exactamente	exactamente	exactamente	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	exactly	exact answer	grammar_function_words	Exactamente, son diez euros.	Exactamente, son diez euros.
adverb	gratis	gratis	gratis	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	free of charge	free service	shopping_services	La entrada es gratis.	La entrada es gratis.
adjective	suficiente	suficiente	suficiente	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	sufficient	enough quantity	grammar_function_words	Tengo dinero suficiente.	Tengo dinero suficiente.
ordinal	tercero	tercero	tercero	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	third	order in a line	numbers_order	Soy el tercero en la fila.	Soy el tercero en la fila.
adjective	último	último	último	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	last	last item	numbers_order	El último tren sale tarde.	El último tren sale tarde.
adjective	próximo	próximo	próximo	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	next	next week	time_basics	La próxima clase es el lunes.	La próxima clase es el lunes.
adjective	anterior	anterior	anterior	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	previous	previous day	time_basics	El día anterior fue tranquilo.	El día anterior fue tranquilo.
pronoun	alguno	alguno	alguno	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	any or one	asking if one exists	grammar_function_words	¿Hay alguno libre?	¿Hay alguno libre?
