source_headword	SR	example_SR
toss	бацити	Бацила је кључеве на сто.
total	износити	Поправке износе више него што се очекивало.
toxic	отрован	Отровни дим је натерао све напоље.
trademark	заштитни знак	Лого је постао заштитни знак компаније.
trail	стаза	Стаза је водила кроз шуму.
trailer	трејлер	Трејлер је приказао крај филма.
transaction	трансакција	Трансакција се појавила на мом банковном изводу.
transcript	транскрипт	Студент је затражио званични транскрипт.
transformation	трансформација	Град је доживео велику трансформацију.
transit	транзит	Пакет је оштећен током транзита.
transmission	пренос	Пренос података је био безбедан.
transparency	транспарентност	Извештај је позивао на већу транспарентност.
transparent	транспарентан	Процес би требало да буде транспарентан свима.
trauma	траума	Несрећа је оставила дубоку трауму.
treaty	споразум	Земље су потписале мировни споразум.
tremendous	огроман	Тим је остварио огроман напредак.
tribal	племенски	Музеј је изложио племенску уметност.
tribunal	трибунал	Трибунал је слушао доказе целе недеље.
tribute	почаст	Концерт је био почаст њој.
trio	трио	Трио је наступио на фестивалу.
triumph	тријумф	Победа је била лични тријумф.
trophy	трофеј	Капитен је поносно подигао трофеј.
troubled	проблематичан	Проблематичној компанији је било потребно ново руководство.
trustee	повереник	Повереник управља фондом за стипендије.
tuition	школарина	Њена школарина је повећана ове године.
turnout	одзив	Одзив бирача је био већи него што се очекивало.
turnover	флуктуација	Флуктуација особља је опала након промена.
twist	заврнути	Заврнула је поклопац да га отвори.
undergraduate	студент основних студија	Студент основних студија се придружио истраживачком пројекту.
underlying	основни	Извештај је објаснио основне узроке.
undermine	поткопати	Скандал је поткопао поверење јавности.
undoubtedly	несумњиво	Она је несумњиво најбољи кандидат.
unify	ујединити	План има за циљ да уједини тимове.
unprecedented	без преседана	Олуја је изазвала штету без преседана.
unveil	открити	Компанија ће сутра открити дизајн.
upcoming	предстојећи	Предстојећи избори су привукли пажњу јавности.
upgrade	надоградити	Надоградили смо софтвер синоћ.
uphold	подржати	Подржавамо првобитну одлуку.
utility	комуналне услуге	Стан укључује све трошкове комуналних услуга.
utilize	искористити	Тим је искористио доступне податке.
utterly	потпуно	Објашњење је било потпуно збуњујуће.
vacuum	вакуум	Вакуум у руководству створио је напетост.
vague	нејасан	Његов одговор је био нејасан и слаб.
validity	валидност	Студија је довела у питање валидност теста.
vanish	нестати	Фајл је нестао из фасцикле.
variable	променљива	Цена је једна важна променљива.
varied	разноврстан	Курс нуди разноврсне задатке.
vein	вена	Медицинска сестра је брзо пронашла вену.
venture	подухват	Нови подухват је привукао инвеститоре.
verbal	усмени	Постигли су усмени договор.
verdict	пресуда	Порота је донела пресуду.
verify	потврдити	Молимо потврдите вашу адресу е-поште.
verse	стих	Цитирала је стих из песме.
versus	против	Дебата је била приватност против безбедности.
vessel	брод	Брод је носио жито преко мора.
veteran	ветеран	Ветеран је обучавао ново особље.
viable	одржив	Предлог је финансијски одржив.
vibrant	живописан	Град има живописну уметничку сцену.
vice	порок	Похлепа је била његов највећи порок.
vicious	бруталан	Бруталан напад је шокирао град.
villager	сељанин	Сељанин нас је одвео до реке.
violate	прекршити	Компанија може прекршити безбедносна правила.
violation	прекршај	Инспектор је пријавио озбиљан прекршај.
virtue	врлина	Стрпљење је важна врлина.
vocal	гласан	Била је гласна у вези са том одлуком.
vow	заклети се	Заклео се да ће завршити посао.
vulnerability	рањивост	Ревизија је открила безбедносну рањивост.
vulnerable	рањив	Деца су рањива током екстремних врућина.
ward	одељење	Пацијент је премештен на друго одељење.
warehouse	магацин	Магацин чува резервне делове.
warfare	ратовање	Модерно ратовање се ослања на технологију.
warrant	налог	Полиција је показала налог за претрес.
warrior	ратник	Ратник је штитио село.
weaken	ослабити	Повреда је ослабила његов стисак.
weave	плести	Научила је да плете корпе.
weed	коров	Коров је израстао између камења.
well	бунар	Сеоски бунар је пресушио.
well-being	благостање	Сан је виталан за благостање.
whatsoever	уопште	Није показао никакво интересовање уопште.
whereby	по ком	Закон је створио систем по ком су породице могле да уложе жалбу.
whilst	док	Она је радила док се он одмарао.
whip	шибати	Ветар може шибати заставе.
wholly	потпуно	Одлука је била потпуно неочекивана.
widen	проширити	Град планира да прошири пут.
widow	удовица	Удовица живи близу школе.
width	ширина	Измери ширину врата.
willingness	спремност	Њена спремност да помогне је импресионирала све.
wipe	обрисати	Обришите екран крпом.
wit	духовитост	Његова духовитост је учинила говор живахним.
withdrawal	повлачење	Повлачење средстава је одложило пројекат.
workout	тренинг	Тренинг је трајао четрдесет минута.
worship	богослужење	Људи су се окупили на богослужењу у зору.
worthwhile	вредан труда	Путовање је било вредно труда.
worthy	достојан	Хуманитарна организација је достојна подршке.
yell	викати	Не вичите на особље.
yield	принос	Принос фарме се побољшао ове сезоне.
youngster	омладинац	Омладинац је поставио многа питања.
