simplified	VI	example_VI
啊	trợ từ biểu thị đồng ý hoặc xác nhận	Được, bây giờ chúng ta đi nhé.
阿姨	cô; dì; người trông trẻ	Cô ấy làm việc ở siêu thị.
矮	thấp; lùn	Cái bàn này hơi thấp.
爱好	sở thích; niềm yêu thích	Sở thích của tôi là nghe nhạc.
安静	yên tĩnh; bình yên	Trong thư viện rất yên tĩnh.
把	cầm; nắm; trợ từ tân ngữ	Xin hãy đóng cửa lại.
搬	chuyển; dọn; chuyển đi	Ngày mai chúng tôi chuyển nhà.
班	lớp; nhóm	Lớp chúng tôi có hai mươi học sinh.
办法	cách; phương pháp; giải pháp	Cách này rất hay.
办公室	văn phòng	Giám đốc đang ở trong văn phòng.
半	một nửa; nửa	Tôi đã đợi nửa tiếng.
帮忙	giúp đỡ; giúp một tay	Bạn có thể giúp không?
包	túi; bọc; gói	Cô ấy mua một cái túi mới.
饱	no	Tôi đã no rồi.
北方	phía bắc; miền bắc	Mùa đông ở miền bắc rất lạnh.
被	trợ từ bị động; bị; bởi	Xe đạp của tôi bị một người bạn mượn đi.
鼻子	mũi	Mũi của anh ấy hơi đỏ.
比较	so sánh; khá	Hôm nay khá nóng.
比赛	trận đấu; cuộc thi	Trận đấu này rất quan trọng.
笔记本	vở ghi chép	Tôi đặt vở ghi chép lên bàn.
必须	phải; bắt buộc	Bạn phải ôn tập nghiêm túc.
变化	sự thay đổi; thay đổi	Thành phố này thay đổi rất nhiều.
别人	người khác	Đừng lấy đồ của người khác.
冰箱	tủ lạnh	Trái cây ở trong tủ lạnh.
不但…而且…	không những... mà còn...	Anh ấy không những thông minh mà còn rất chăm chỉ.
菜单	thực đơn	Xin đưa cho tôi thực đơn.
参加	tham gia; dự	Tôi muốn tham gia cuộc họp này.
草	cỏ	Chú chó con đang chạy trên cỏ.
层	tầng; lớp	Tòa nhà này có ba tầng.
差	kém; xấu; thiếu	Thời tiết hôm nay xấu.
超市	siêu thị	Tôi đi siêu thị để mua bánh mì.
衬衫	áo sơ mi; áo kiểu	Chiếc áo sơ mi này rất sạch.
城市	thành phố	Bắc Kinh là một thành phố lớn.
成绩	thành tích; điểm số	Điểm toán của anh ấy rất tốt.
迟到	đến muộn	Đừng đến lớp muộn.
除了	ngoài; ngoài ra	Ngoài cà phê, tôi cũng muốn uống trà.
船	thuyền; tàu	Chúng tôi đi đến thành phố đó bằng tàu.
春	mùa xuân	Mùa xuân có nhiều hoa.
词典	từ điển	Cuốn từ điển này rất hữu ích.
聪明	thông minh	Đứa trẻ này rất thông minh.
打扫	dọn dẹp; quét dọn	Cuối tuần tôi dọn phòng.
打算	dự định; kế hoạch	Ngày mai bạn có kế hoạch gì?
带	mang; đem theo	Xin hãy mang hộ chiếu của bạn.
担心	lo lắng	Đừng lo, tôi sẽ giúp bạn.
蛋糕	bánh ngọt	Cái bánh này rất ngọt.
当然	tất nhiên; đương nhiên	Tất nhiên là bạn có thể.
地	trợ từ trạng ngữ; một cách	Anh ấy cười một cách vui vẻ.
灯	đèn	Xin hãy bật đèn lên.
地方	nơi; địa điểm; khu vực	Nơi này rất yên tĩnh.
地铁	tàu điện ngầm	Hằng ngày tôi đi làm bằng tàu điện ngầm.
地图	bản đồ	Tôi tìm trường học trên bản đồ.
电梯	thang máy	Thang máy ở bên trái.
电子邮件	thư điện tử	Tôi gửi thư điện tử cho giáo viên.
东	đông; phía đông	Mặt trời mọc ở phía đông.
冬	mùa đông	Mùa đông tôi thích uống trà nóng.
动物	động vật	Gấu trúc là động vật nổi tiếng ở Trung Quốc.
短	ngắn	Cái quần này quá ngắn.
段	đoạn; phần	Xin hãy đọc đoạn này.
锻炼	tập luyện; rèn luyện	Sáng nào tôi cũng tập thể dục.
多么	biết bao; thật là	Môi trường ở đây tốt biết bao!
饿	đói	Tôi đói và muốn ăn bánh mì.
耳朵	tai	Tai tôi hơi đau.
发	gửi; phát hành	Buổi tối tôi gửi thư điện tử.
发烧	bị sốt	Anh ấy bị sốt nên không thể đi học.
发现	phát hiện; nhận ra	Tôi nhận ra cách này rất tốt.
方便	tiện; thuận tiện	Đi tàu điện ngầm rất thuận tiện.
放	đặt; để; thả	Xin hãy đặt sách lên bàn.
放心	yên tâm; hết lo	Đừng lo, tôi sẽ đến đúng giờ.
分	chia; phân chia	Xin hãy chia cái bánh này cho mọi người.
复习	ôn tập; xem lại	Trước kỳ thi tôi cần ôn tập.
附近	gần đây; khu vực gần đây	Gần đây có một nhà hàng.
干净	sạch sẽ	Căn phòng này rất sạch sẽ.
感冒	bị cảm; cảm lạnh	Tôi bị cảm và muốn nghỉ ngơi.
感兴趣	có hứng thú; quan tâm	Tôi rất có hứng thú với tiếng Trung.
刚才	vừa nãy; lúc nãy	Vừa nãy ai gọi điện cho bạn?
个子	vóc dáng; chiều cao	Anh ấy cao.
根据	theo; dựa vào	Theo bản đồ, trường học ở phía đông.
跟	với; theo	Tôi đi công viên với một người bạn.
更	hơn; càng	Hôm nay còn lạnh hơn hôm qua.
公斤	ki-lô-gam	Những quả táo này nặng một ki-lô-gam.
公园	công viên	Các em nhỏ đang chơi trong công viên.
故事	câu chuyện	Ông kể cho tôi một câu chuyện.
刮风	có gió; gió thổi	Hôm nay có gió, đừng đi xe đạp.
关	đóng; tắt	Xin hãy đóng cửa lại.
关系	quan hệ; mối quan hệ	Quan hệ của tôi với đồng nghiệp rất tốt.
关心	quan tâm; chăm lo	Mẹ rất quan tâm đến sức khỏe của tôi.
关于	về; liên quan đến	Cuốn sách này viết về văn hóa Trung Quốc.
国家	quốc gia; đất nước	Trung Quốc là một đất nước rất lớn.
过	trợ từ chỉ kinh nghiệm; đã từng	Tôi đã từng đến Bắc Kinh.
过去	quá khứ; trước đây	Trước đây ở đây không có tàu điện ngầm.
还是	hay là; vẫn	Bạn uống trà hay cà phê?
害怕	sợ	Tôi không sợ kỳ thi.
黑板	bảng đen	Giáo viên viết chữ lên bảng.
后来	sau đó; về sau	Sau đó chúng tôi đi công viên.
护照	hộ chiếu	Xin hãy mang hộ chiếu của bạn.
96:花	tiêu; tốn	Mua chiếc điện thoại này tốn hai nghìn nhân dân tệ.
97:花	hoa	Trên bàn có một bông hoa.
画	vẽ; tranh	Em gái tôi thích vẽ gấu trúc.
坏	hỏng; xấu	Máy tính của tôi bị hỏng.
欢迎	chào đón; hoan nghênh	Chào mừng bạn đến nhà tôi.
环境	môi trường	Môi trường của trường này rất tốt.
还	trả lại	Xin hãy trả sách cho tôi vào ngày mai.
换	đổi; thay	Tôi muốn đổi áo sơ mi.
黄河	sông Hoàng Hà	Sông Hoàng Hà rất dài.
回答	trả lời; câu trả lời	Xin hãy trả lời câu hỏi của tôi.
会议	cuộc họp; hội nghị	Cuộc họp bắt đầu lúc chín giờ.
或者	hoặc; hay	Bạn có thể đi tàu điện ngầm hoặc xe buýt.
几乎	hầu như; gần như	Anh ấy tập thể dục gần như mỗi ngày.
机会	cơ hội	Đây là một cơ hội tốt.
极	cực kỳ; rất	Cô ấy cực kỳ vui.
季节	mùa	Mùa thu là mùa tôi thích nhất.
记得	nhớ	Bạn có nhớ mang thẻ tín dụng không?
检查	kiểm tra; khám	Bác sĩ khám cho tôi.
简单	đơn giản; dễ	Câu này rất đơn giản.
健康	sức khỏe; khỏe mạnh	Tập thể dục tốt cho sức khỏe.
见面	gặp mặt	Ngày mai chúng tôi sẽ gặp nhau ở trường.
讲	giảng; nói	Giáo viên giảng rất rõ.
教	dạy	Anh ấy dạy tôi viết chữ Hán.
脚	chân	Chân tôi hơi đau.
角	góc	Cửa hàng ở góc phố.
接	đón; nhận; nghe	Tôi sẽ ra sân bay đón một người bạn.
街道	đường phố	Con phố này rất sạch.
结婚	kết hôn	Năm sau họ sẽ kết hôn.
结束	kết thúc	Trận đấu đã kết thúc.
节目	chương trình	Chương trình truyền hình này rất hay.
节日	ngày lễ; lễ hội	Tết Nguyên đán là ngày lễ quan trọng của Trung Quốc.
解决	giải quyết	Vấn đề này đã được giải quyết.
借	mượn; cho mượn	Tôi muốn mượn từ điển của bạn.
经常	thường xuyên	Tôi thường xuyên đi thư viện.
