hsk_key	source_word	simplified	HI	example_HI	BN	example_BN	TL	example_TL
303:白色	白色	白色	सफेद रंग	मुझे सफेद कप पसंद है।	সাদা রং	আমার সাদা কাপটি ভালো লাগে।	puting kulay	Gusto ko ang puting tasa.
305:帮	帮	帮	मदद करना	कृपया दरवाज़ा खोलने में मेरी मदद करो।	সাহায্য করা	দয়া করে দরজা খুলতে আমাকে সাহায্য করো।	tumulong	Tulungan mo akong buksan ang pinto.
308:本子	本子	本子	कॉपी; नोटबुक	यह कॉपी मेरी है।	খাতা; নোটবুক	এই খাতাটি আমার।	kuwaderno; notbuk	Akin ang kuwadernong ito.
310:笔	笔	笔	कलम; पेंसिल	मेरे पास एक कलम है।	কলম; পেন্সিল	আমার কাছে একটি কলম আছে।	panulat; lapis	May panulat ako.
312:不错	不错	不错	बुरा नहीं; काफ़ी अच्छा	यह रेस्तराँ काफ़ी अच्छा है।	মন্দ নয়; বেশ ভালো	এই রেস্তোরাঁটি বেশ ভালো।	hindi masama; medyo maganda	Medyo maganda ang restawrang ito.
313:不好意思	不好意思	不好意思	माफ़ कीजिए; संकोच होना	माफ़ कीजिए, मैं देर से आया।	দুঃখিত; অস্বস্তি লাগা	দুঃখিত, আমি দেরি করে এসেছি।	paumanhin; nahihiya	Paumanhin, nahuli ako.
315:车站	车站	车站	स्टेशन; स्टॉप	स्टॉप आगे है।	স্টেশন; স্টপ	স্টপটি সামনে।	istasyon; hintuan	Nasa unahan ang hintuan.
317:出国	出国	出国	विदेश जाना	वह अगले साल पढ़ने के लिए विदेश जाएगा।	বিদেশে যাওয়া	সে আগামী বছর পড়তে বিদেশে যাবে।	pumunta sa ibang bansa	Sa susunod na taon, pupunta siya sa ibang bansa para mag-aral.
318:出来	出来	出来	बाहर आना	कृपया थोड़ी देर के लिए बाहर आओ।	বেরিয়ে আসা	দয়া করে একটু বাইরে আসো।	lumabas	Lumabas ka sandali.
319:出门	出门	出门	घर से निकलना	मैं सुबह आठ बजे घर से निकलता हूँ।	বাড়ি থেকে বের হওয়া	আমি সকালে আটটায় বাড়ি থেকে বের হই।	umalis ng bahay	Umaalis ako ng bahay nang alas otso ng umaga.
