source_headword	ES	example_ES
stranger	el/la desconocido/a	Un desconocido pidió indicaciones.
strength	la fuerza	Su fuerza ayudó al equipo.
string	la cuerda	Ata la caja con cuerda.
strongly	firmemente	Estoy firmemente en desacuerdo con esa idea.
studio	el estudio	El artista trabaja en un pequeño estudio.
stuff	las cosas	Pon tus cosas en la estantería.
substance	la sustancia	La policía encontró una sustancia extraña.
successfully	con éxito	Terminaron el proyecto con éxito.
sudden	repentino	Un ruido repentino nos despertó.
suffer	sufrir	Muchas plantas sufren con el clima seco.
suitable	adecuado	Esta chaqueta es adecuada para el colegio.
summarize	resumir	¿Puedes resumir el artículo?
summary	el resumen	Escribe un breve resumen esta noche.
supply	el suministro	El pueblo necesita un suministro de agua limpia.
supporter	el/la seguidor/a	Cada seguidor animó fuertemente.
surely	seguramente	Seguramente podemos solucionar esto.
surface	la superficie	La superficie se sentía fría y lisa.
survive	sobrevivir	Estos animales sobreviven a los inviernos fríos.
switch	apagar / cambiar	Apaga la luz de la cocina.
symptom	el síntoma	La tos puede ser un síntoma.
tail	la cola	El perro tiene una cola larga.
talent	el talento	Ella tiene talento para la música.
talented	talentoso	Él es un joven actor talentoso.
tape	la cinta adhesiva	Usa cinta adhesiva para cerrar la caja.
tax	el impuesto	Todo el mundo debe pagar este impuesto.
technical	técnico	Tuvimos un problema técnico.
technique	la técnica	Esta técnica ahorra tiempo.
tend	tender a	Los niños tienden a aprender rápido.
tent	la tienda de campaña	Dormimos en una pequeña tienda de campaña.
theirs	suyo	Las bicicletas azules son suyas.
theme	el tema	La fiesta tenía un tema playero.
theory	la teoría	Su teoría explica el problema.
therefore	por lo tanto	Llovió, por lo tanto nos quedamos dentro.
though	aunque	Aunque estaba cansada, siguió trabajando.
throat	la garganta	Me duele la garganta esta mañana.
throughout	durante todo	La gente bailó durante toda la noche.
tight	ajustado	Estos zapatos se sienten demasiado ajustados.
till	hasta	Espera aquí hasta que vuelva.
tin	la lata	Abre una lata de alubias.
tiny	diminuto	Un pájaro diminuto aterrizó cerca.
toe	el dedo del pie	Ayer me hice daño en el dedo del pie.
tongue	la lengua	Ella se quemó la lengua con el té.
total	total	El coste total fue bajo.
totally	totalmente	Entiendo totalmente tu preocupación.
trade	el comercio	El comercio internacional crea puestos de trabajo.
translate	traducir	Por favor, traduce esta oración.
translation	la traducción	La traducción suena natural.
treat	tratar	Trata a todos con respeto.
treatment	el tratamiento	El paciente necesita tratamiento hoy.
trend	la tendencia	Esta tendencia está creciendo en todo el mundo.
trick	el truco	Ese truco de cartas me sorprendió.
truth	la verdad	Por favor, di la verdad.
tube	el tubo	Aprieta el tubo suavemente.
typically	normalmente	Los estudiantes normalmente llegan antes de las nueve.
tyre	el neumático	El coche necesita un neumático nuevo.
ugly	feo	Ese color de pared se ve feo.
unable	incapaz	Él fue incapaz de responder.
uncomfortable	incómodo	Esta silla es incómoda.
underwear	la ropa interior	Lleva ropa interior limpia para el viaje.
unemployed	en paro	Ella estuvo en paro durante dos meses.
unemployment	el paro	El paro aumentó durante el invierno.
unfair	injusto	La decisión pareció injusta.
union	el sindicato	El sindicato pidió un trabajo más seguro.
unless	a menos que	No te vayas a menos que yo llame.
unlike	a diferencia de	A diferencia de Tom, a Ana le encanta el invierno.
unlikely	improbable	Es improbable que nieve esta semana.
unnecessary	innecesario	Las bolsas extra son innecesarias.
unpleasant	desagradable	La habitación tenía un olor desagradable.
update	actualizar	Necesito actualizar mi teléfono.
upon	sobre / en	Érase una vez, un rey.
upset	disgustado	Ella se sintió disgustada después de la llamada.
used1	usado	Esta sala se usa para reuniones.
used2	acostumbrado	Estoy acostumbrado a madrugar.
valuable	valioso	Este reloj es valioso.
value	el valor	La casa perdió valor el año pasado.
various	varios	Probamos varios platos locales.
version	la versión	Esta versión funciona mejor.
victim	la víctima	La víctima llamó a la policía.
viewer	el/la espectador/a	Un espectador hizo una pregunta.
violent	violento	La película era demasiado violenta.
volunteer	el/la voluntario/a / ser voluntario	Soy voluntario en la biblioteca.
vote	el voto / votar	Recuerda votar mañana.
warn	advertir	Intenté advertirle.
warning	la advertencia	La advertencia apareció en la pantalla.
waste	el desperdicio / desperdiciar	No desperdicies agua limpia.
weapon	el arma	El cuchillo se convirtió en un arma.
weigh	pesar	Pesa la harina con cuidado.
western	del oeste / occidental	Vieron una película del oeste.
whatever	lo que sea	Elige lo que quieras.
whenever	siempre que	Llama siempre que necesites ayuda.
whether	si	No sé si ella está de acuerdo.
wing	el ala	El pájaro se hizo daño en un ala.
within	dentro de	Por favor, responde dentro de dos días.
wonder	preguntarse	Me pregunto qué pasó.
wool	la lana	Este abrigo está hecho de lana.
worldwide	en todo el mundo	La canción se hizo popular a nivel mundial.
worth	valer la pena	Vale la pena leer este libro.
written	escrito	Por favor, envía instrucciones escritas.
yard	el patio	Los niños jugaban en el patio.
youth	la juventud	Los clubes juveniles apoyan a los adolescentes locales.
