source_headword	BN	example_BN
clothes	পোশাক	আমার পোশাক পরিষ্কার।
club	ক্লাব	সে সঙ্গীত ক্লাবে যায়।
coat	কোট	আমার কোট গরম।
coffee	কফি	সকালে আমি কফি খাই।
cold	ঠান্ডা	পানি ঠান্ডা।
college	কলেজ; বিশ্ববিদ্যালয়	আমার বোন বিশ্ববিদ্যালয়ে পড়ে।
colour	রং	আমার প্রিয় রং নীল।
come	আসা	দয়া করে এখানে এসো।
common	সাধারণ; প্রচলিত	এই নামটি সাধারণ।
company	কোম্পানি	আমার মা একটি কোম্পানিতে কাজ করেন।
compare	তুলনা করা	এই দুটি ছবি তুলনা করো।
complete	সম্পূর্ণ; শেষ করা	ফর্মটি পূর্ণ হয়েছে।
computer	কম্পিউটার	এই কম্পিউটারটি নতুন।
concert	সঙ্গীতানুষ্ঠান	আজ সন্ধ্যায় আমরা সঙ্গীতানুষ্ঠানে যাচ্ছি।
conversation	কথোপকথন	আমাদের ছোট কথোপকথন হলো।
cook	রান্না করা; রাঁধুনি	আমি বাড়িতে রাতের খাবার রান্না করি।
cooking	রান্না	বাবার সঙ্গে রান্না করতে আমার ভালো লাগে।
cool	শীতল; দারুণ	ঘরটি শীতল।
correct	সঠিক; সংশোধন করা	তোমার উত্তর সঠিক।
cost	দাম; খরচ হওয়া	এটার দাম কত?
could modal	পারা; পারত	আমি তোমাকে সাহায্য করতে পারতাম।
country	দেশ	কানাডা বড় দেশ।
course	কোর্স	আমি ইংরেজি কোর্স করি।
cousin	চাচাতো ভাই; চাচাতো বোন	আমার চাচাতো ভাই কাছে থাকে।
cow	গরু	গরু ঘাস খায়।
cream	ক্রিম; দুধের সর	আমি কফিতে ক্রিম দিই।
create	তৈরি করা	তারা নতুন খেলা তৈরি করে।
culture	সংস্কৃতি	আমরা স্থানীয় সংস্কৃতি শিখি।
cup	কাপ	এই কাপটি খালি।
customer	গ্রাহক	গ্রাহক একটি প্রশ্ন করে।
cut	কাটা	আপেলটি অর্ধেক কাটো।
dad	বাবা	বাবা কাজে আছেন।
dance	নাচ; নাচা	রাতের খাবারের পরে আমরা নাচি।
dancer	নৃত্যশিল্পী	নৃত্যশিল্পী দ্রুত নড়ে।
dancing	নাচ	নাচা মজার।
dangerous	বিপজ্জনক	এই রাস্তা বিপজ্জনক।
dark	অন্ধকার; গাঢ়	ঘরটি অন্ধকার।
date	তারিখ	আজ কত তারিখ?
daughter	মেয়ে	তার মেয়ের বয়স ছয়।
day	দিন	তোমার দিন ভালো কাটুক।
dear	প্রিয়; দামী	প্রিয় বন্ধু, ধন্যবাদ।
December	ডিসেম্বর	আমার জন্মদিন ডিসেম্বরে।
decide	সিদ্ধান্ত নেওয়া	দয়া করে এখন সিদ্ধান্ত নাও।
delicious	সুস্বাদু	এই স্যুপ সুস্বাদু।
describe	বর্ণনা করা	তোমার ঘর বর্ণনা করো।
description	বর্ণনা	ছোট বর্ণনাটি পড়ো।
design	নকশা; নকশা করা	আমি সহজ কার্ড নকশা করি।
desk	ডেস্ক; লেখার টেবিল	বইটি আমার ডেস্কে আছে।
detail	বিস্তারিত	একটি বিস্তারিত নেই।
dialogue	সংলাপ	এখন সংলাপ পড়ো।
dictionary	অভিধান	ক্লাসে অভিধান ব্যবহার করো।
die	মরা	পানি ছাড়া ফুল মরে।
diet	খাদ্যাভ্যাস; ডায়েট	আমার খাদ্যাভ্যাসে ফল আছে।
difference	পার্থক্য	একটি পার্থক্য আছে।
different	ভিন্ন	আমাদের নাম ভিন্ন।
difficult	কঠিন	এই প্রশ্ন কঠিন।
dinner	রাতের খাবার	রাতের খাবার প্রস্তুত।
dirty	নোংরা	আমার জুতা নোংরা।
discuss	আলোচনা করা	আমরা পরিকল্পনা আলোচনা করি।
dish	থালা; পদ	এই থালাটি গরম।
do1	করা	তুমি কী করছ?
doctor	ডাক্তার	ডাক্তার ব্যস্ত।
dog	কুকুর	কুকুর বাইরে দৌড়ায়।
dollar	ডলার	এটার দাম এক ডলার।
door	দরজা	দয়া করে দরজা বন্ধ করো।
down	নিচে	এখানে নিচে বসো।
downstairs	নিচতলায়	রান্নাঘর নিচতলায়।
draw	আঁকা	একটি ছোট বাড়ি আঁকো।
dress	পোশাক; জামা পরা	সে লাল পোশাক পরে।
drink	পানীয়; পান করা	আমি পানি পান করি।
drive	গাড়ি চালানো	আমি গাড়িতে কাজে যাই।
driver	চালক	চালক এখানে থামে।
during	সময়; চলাকালীন	আমি উড়ানের সময় ঘুমাই।
DVD	ডিভিডি	এই ডিভিডিটি পুরোনো।
each	প্রত্যেক; প্রতিটি	প্রতিটি শিশুর একটি বই আছে।
ear	কান	আমার কান ঠান্ডা।
early	তাড়াতাড়ি; প্রথম দিকে	আমি সকালে তাড়াতাড়ি উঠি।
east	পূর্ব	সূর্য পূর্ব দিকে ওঠে।
easy	সহজ	এই কাজ সহজ।
eat	খাওয়া	আমরা দুপুরে ভাত খাই।
egg	ডিম	আমি সকালের নাশতায় ডিম খাই।
eight	আট	আমার কাছে আটটি কলম আছে।
eighteen	আঠারো	তার বয়স আঠারো।
eighty	আশি	আমার দাদুর বয়স আশি।
elephant	হাতি	হাতিটি বড়।
eleven	এগারো	ক্লাস শুরু হয় এগারোটায়।
else	আর; অন্য	তুমি আর কী চাও?
