hsk_key	source_word	simplified	gloss	example_zh	example_pinyin	example_en
2002:哎呀	哎呀	哎呀	oh no; hey	哎呀，我把钥匙忘在家里了。	Āiyā, wǒ bǎ yào shi wàng zài jiā lǐ le.	Oh no, I left my keys at home.
2005:安	安	安	calm; peaceful	孩子睡着后，屋里一下子安了。	Hái zi shuì zháo hòu, wū lǐ yí xià zi ān le.	After the child fell asleep, the room became quiet.
2006:安全带	安全带	安全带	seat belt	开车前请系好安全带。	Kāi chē qián qǐng jì hǎo ān quán dài.	Please fasten your seat belt before driving.
2013:半夜	半夜	半夜	midnight; late at night	半夜有人给他打电话。	Bàn yè yǒu rén gěi tā dǎ diàn huà.	Someone called him in the middle of the night.
2020:宝	宝	宝	treasure; darling	这块老玉是家里的宝。	Zhè kuài lǎo yù shì jiā lǐ de bǎo.	This old jade is the family treasure.
2021:保	保	保	to protect; to keep	我们要保住这片树林。	Wǒ men yào bǎo zhù zhè piàn shù lín.	We need to protect this piece of woodland.
2022:保安	保安	保安	security guard; security	门口的保安检查了我的证件。	Mén kǒu de bǎo ān jiǎn chá le wǒ de zhèng jiàn.	The security guard at the entrance checked my ID.
2029:保质期	保质期	保质期	shelf life; expiration period	买牛奶前要看保质期。	Mǎi niú nǎi qián yào kàn bǎo zhì qī.	Check the shelf life before buying milk.
2034:暴雨	暴雨	暴雨	heavy rainstorm	暴雨过后，路上积了很多水。	Bào yǔ guò hòu, lù shang jī le hěn duō shuǐ.	After the heavy rainstorm, a lot of water collected on the road.
2037:背后	背后	背后	behind; background	成功的背后有很多努力。	Chéng gōng de bèi hòu yǒu hěn duō nǔ lì.	Behind success there is a lot of effort.
2041:本地	本地	本地	local	这家店主要卖本地水果。	Zhè jiā diàn zhǔ yào mài běn dì shuǐ guǒ.	This shop mainly sells local fruit.
2046:比分	比分	比分	score	比赛结束时，比分是三比二。	Bǐ sài jié shù shí, bǐ fēn shì sān bǐ èr.	When the match ended, the score was three to two.
2049:必	必	必	must; certainly	重要文件必由本人签字。	Zhòng yào wén jiàn bì yóu běn rén qiān zì.	Important documents must be signed by the person concerned.
2052:闭幕式	闭幕式	闭幕式	closing ceremony	运动会的闭幕式在晚上举行。	Yùn dòng huì de bì mù shì zài wǎn shang jǔ xíng.	The sports meeting's closing ceremony is held in the evening.
2054:必需	必需	必需	to be essential; necessary	水和食物是旅行中必需的东西。	Shuǐ hé shí wù shì lǚ xíng zhōng bì xū de dōng xi.	Water and food are necessary things during travel.
2057:变动	变动	变动	change; alteration	这个月的工作安排有变动。	Zhè ge yuè de gōng zuò ān pái yǒu biàn dòng.	There are changes to this month's work schedule.
2059:便利店	便利店	便利店	convenience store	楼下的便利店二十四小时营业。	Lóu xià de biàn lì diàn èr shí sì xiǎo shí yíng yè.	The convenience store downstairs is open twenty-four hours.
2067:饼	饼	饼	flatbread; cake	妈妈早上给我做了鸡蛋饼。	Mā ma zǎo shang gěi wǒ zuò le jī dàn bǐng.	My mother made me an egg pancake in the morning.
2068:病房	病房	病房	hospital ward	护士把病人带到了病房。	Hù shi bǎ bìng rén dài dào le bìng fáng.	The nurse took the patient to the hospital ward.
2069:病情	病情	病情	condition of an illness	医生说他的病情已经好转。	Yī shēng shuō tā de bìng qíng yǐ jīng hǎo zhuǎn.	The doctor said his condition has already improved.
2070:拨打	拨打	拨打	to dial; to call	遇到火灾请拨打报警电话。	Yù dào huǒ zāi qǐng bō dǎ bào jǐng diàn huà.	If you encounter a fire, please dial the emergency number.
2073:不利	不利	不利	unfavorable	大风对比赛不利。	Dà fēng duì bǐ sài bù lì.	Strong wind is unfavorable for the match.
2074:不幸	不幸	不幸	unfortunate; misfortune	他童年有过一段不幸的经历。	Tā tóng nián yǒu guò yí duàn bù xìng de jīng lì.	He had an unfortunate experience in childhood.
2078:不符	不符	不符	not match; not conform	票上的名字和证件不符。	Piào shang de míng zi hé zhèng jiàn bù fú.	The name on the ticket does not match the ID.
2079:不良	不良	不良	bad; harmful	长期熬夜是一种不良习惯。	Cháng qī áo yè shì yì zhǒng bù liáng xí guàn.	Staying up late for a long time is a bad habit.
2081:步行	步行	步行	to walk	从这里到学校可以步行。	Cóng zhè lǐ dào xué xiào kě yǐ bù xíng.	You can walk from here to the school.
2083:才2	才2	才	talent; ability	他从小就表现出音乐才。	Tā cóng xiǎo jiù biǎo xiàn chū yīn yuè cái.	He showed musical talent from a young age.
2087:彩色	彩色	彩色	color; multicolored	孩子们画了一幅彩色的地图。	Hái zi men huà le yì fú cǎi sè de dì tú.	The children drew a colorful map.
2088:采用	采用	采用	to adopt; to use	公司决定采用新的管理办法。	Gōng sī jué dìng cǎi yòng xīn de guǎn lǐ bàn fǎ.	The company decided to adopt a new management method.
2090:餐饮	餐饮	餐饮	catering; food and drink services	这个商场的餐饮区在五楼。	Zhè ge shāng chǎng de cān yǐn qū zài wǔ lóu.	The mall's food and drink area is on the fifth floor.
2092:藏	藏	藏	to hide; to store	她把礼物藏在柜子里。	Tā bǎ lǐ wù cáng zài guì zi lǐ.	She hid the gift in the cabinet.
2095:测	测	测	to measure; to test	老师让我们测一下水温。	Lǎo shī ràng wǒ men cè yí xià shuǐ wēn.	The teacher asked us to measure the water temperature.
2096:测试	测试	测试	to test	新软件明天开始测试。	Xīn ruǎn jiàn míng tiān kāi shǐ cè shì.	The new software will start testing tomorrow.
2097:曾	曾	曾	once; previously	他曾在北京工作过三年。	Tā céng zài Běi jīng gōng zuò guò sān nián.	He once worked in Beijing for three years.
2104:产	产	产	to produce; to give birth	这片果园主要产苹果。	Zhè piàn guǒ yuán zhǔ yào chǎn píng guǒ.	This orchard mainly produces apples.
2105:产量	产量	产量	output; yield	今年的粮食产量提高了。	Jīn nián de liáng shi chǎn liàng tí gāo le.	This year's grain output has increased.
2108:长处	长处	长处	strong point	耐心是他的长处。	Nài xīn shì tā de cháng chù.	Patience is his strong point.
2109:长度	长度	长度	length	这条绳子的长度正好合适。	Zhè tiáo shéng zi de cháng dù zhèng hǎo hé shì.	The length of this rope is just right.
2110:长久	长久	长久	long-lasting	真正的友谊可以很长久。	Zhēn zhèng de yǒu yì kě yǐ hěn cháng jiǔ.	True friendship can last a long time.
2111:长期	长期	长期	long-term	长期运动对身体有好处。	Cháng qī yùn dòng duì shēn tǐ yǒu hǎo chu.	Long-term exercise is good for the body.
2115:长远	长远	长远	long-range; long-term	做决定要考虑长远影响。	Zuò jué dìng yào kǎo lǜ cháng yuǎn yǐng xiǎng.	When making a decision, consider the long-term impact.
2117:超	超	超	to exceed; surpass	这个月的花费超了预算。	Zhè ge yuè de huā fèi chāo le yù suàn.	This month's expenses exceeded the budget.
2118:超出	超出	超出	to exceed; go beyond	实际费用超出了我们的计划。	Shí jì fèi yòng chāo chū le wǒ men de jì huà.	The actual cost exceeded our plan.
2120:超速	超速	超速	to speed; exceed the speed limit	这辆车因为超速被罚了。	Zhè liàng chē yīn wèi chāo sù bèi fá le.	This car was fined for speeding.
2124:车祸	车祸	车祸	traffic accident	那场车祸没有造成重伤。	Nà chǎng chē huò méi yǒu zào chéng zhòng shāng.	That traffic accident did not cause serious injuries.
2126:车辆	车辆	车辆	vehicle	小区门口禁止外来车辆进入。	Xiǎo qū mén kǒu jìn zhǐ wài lái chē liàng jìn rù.	Outside vehicles are not allowed to enter at the community gate.
2128:车主	车主	车主	car owner	车主已经联系了保险公司。	Chē zhǔ yǐ jīng lián xì le bǎo xiǎn gōng sī.	The car owner has already contacted the insurance company.
2130:沉	沉	沉	to sink; heavy	石头掉进水里，很快就沉了。	Shí tou diào jìn shuǐ lǐ, hěn kuài jiù chén le.	The stone fell into the water and quickly sank.
2134:称为	称为	称为	to be called	这种茶在当地称为春茶。	Zhè zhǒng chá zài dāng dì chēng wéi chūn chá.	This kind of tea is called spring tea locally.
2143:成年1	成年1	成年	to become an adult	他今年刚成年，可以独自办理手续。	Tā jīn nián gāng chéng nián, kě yǐ dú zì bàn lǐ shǒu xù.	He just became an adult this year and can handle the procedures by himself.
2144:城区	城区	城区	urban district	老城区的街道比较窄。	Lǎo chéng qū de jiē dào bǐ jiào zhǎi.	The streets in the old urban district are relatively narrow.
2149:乘务员	乘务员	乘务员	attendant; crew member	乘务员提醒大家系好安全带。	Chéng wù yuán tí xǐng dà jiā jì hǎo ān quán dài.	The attendant reminded everyone to fasten their seat belts.
2153:橙子	橙子	橙子	orange	这个橙子很甜，也很多汁。	Zhè ge chéng zi hěn tián, yě hěn duō zhī.	This orange is sweet and juicy.
2154:池	池	池	pond; pool	院子里有一个小池。	Yuàn zi lǐ yǒu yí ge xiǎo chí.	There is a small pond in the yard.
2159:充电	充电	充电	to charge	手机快没电了，需要充电。	Shǒu jī kuài méi diàn le, xū yào chōng diàn.	The phone is almost out of power and needs charging.
2162:充值	充值	充值	to top up; recharge	我给公交卡充值了一百元。	Wǒ gěi gōng jiāo kǎ chōng zhí le yì bǎi yuán.	I topped up my bus card with one hundred yuan.
2165:虫子	虫子	虫子	insect; bug	花盆里有几只小虫子。	Huā pén lǐ yǒu jǐ zhī xiǎo chóng zi.	There are a few small bugs in the flowerpot.
2167:抽	抽	抽	to draw out; to smoke; to pump	他从盒子里抽出一张纸。	Tā cóng hé zi lǐ chōu chū yì zhāng zhǐ.	He drew a sheet of paper from the box.
2170:初	初	初	beginning; early	会议定在下月初举行。	Huì yì dìng zài xià yuè chū jǔ xíng.	The meeting is scheduled for the beginning of next month.
2173:初期	初期	初期	early stage	项目初期需要更多资金。	Xiàng mù chū qī xū yào gèng duō zī jīn.	The project needs more funding in the early stage.
2175:出售	出售	出售	to sell; offer for sale	这套房子正在出售。	Zhè tào fáng zi zhèng zài chū shòu.	This apartment is currently for sale.
2177:出自	出自	出自	to come from; originate from	这句话出自一本古书。	Zhè jù huà chū zì yì běn gǔ shū.	This sentence comes from an ancient book.
2179:处	处	处	to handle; deal with	他正在处这个复杂的问题。	Tā zhèng zài chǔ zhè ge fù zá de wèn tí.	He is handling this complicated problem.
2181:处于	处于	处于	to be in; be situated in	公司目前处于快速发展阶段。	Gōng sī mù qián chǔ yú kuài sù fā zhǎn jiē duàn.	The company is currently in a stage of rapid development.
2182:处	处	处	place; spot	这处老房子已经修好了。	Zhè chù lǎo fáng zi yǐ jīng xiū hǎo le.	This old house has already been repaired.
2183:传	传	传	to pass on; spread	请把这份材料传给大家。	Qǐng bǎ zhè fèn cái liào chuán gěi dà jiā.	Please pass this material to everyone.
2185:传递	传递	传递	to transmit; pass along	微笑可以传递友好的信息。	Wēi xiào kě yǐ chuán dì yǒu hǎo de xìn xī.	A smile can convey a friendly message.
2188:窗台	窗台	窗台	windowsill	窗台上放着两盆花。	Chuāng tái shang fàng zhe liǎng pén huā.	There are two pots of flowers on the windowsill.
2196:此后	此后	此后	after that; thereafter	此后，他再也没有迟到。	Cǐ hòu, tā zài yě méi yǒu chí dào.	After that, he was never late again.
2197:此前	此前	此前	before this	此前，我们已经讨论过这个问题。	Cǐ qián, wǒ men yǐ jīng tǎo lùn guò zhè ge wèn tí.	Before this, we had already discussed this issue.
2198:此时	此时	此时	at this moment	此时，外面的雨下得更大了。	Cǐ shí, wài miàn de yǔ xià de gèng dà le.	At this moment, the rain outside became heavier.
2200:从不	从不	从不	never	他从不在工作时玩手机。	Tā cóng bù zài gōng zuò shí wán shǒu jī.	He never plays with his phone while working.
2206:促销	促销	促销	promotion; sales promotion	超市周末有促销活动。	Chāo shì zhōu mò yǒu cù xiāo huó dòng.	The supermarket has a promotion this weekend.
2208:存放	存放	存放	to store; keep	请把行李存放在前台。	Qǐng bǎ xíng li cún fàng zài qián tái.	Please store your luggage at the front desk.
2209:存款	存款	存款	deposit; savings	她每个月都会存一笔存款。	Tā měi ge yuè dōu huì cún yì bǐ cún kuǎn.	She saves a sum of money every month.
2215:打断	打断	打断	to interrupt	请不要打断别人说话。	Qǐng bú yào dǎ duàn bié rén shuō huà.	Please do not interrupt others when they are speaking.
