source_headword	FI	example_FI
rock (music)	rockmusiikki	Rakastan rockmusiikkia.
role	rooli	Hänen roolinsa on tärkeä.
roof	katto	Katto tarvitsee korjausta.
round	pyöreä	Pöytä on pyöreä.
route	reitti	Tämä reitti on lyhyempi.
rubbish	roskat	Vie roskat ulos.
rude	töykeä	Tuo kommentti oli töykeä.
runner	juoksija	Juoksija näyttää väsyneeltä.
running	juokseminen	Juokseminen pitää minut terveenä.
sadly	valitettavasti	Valitettavasti myöhästyimme junasta.
safe	turvallinen	Tämä katu tuntuu turvalliselta.
sail	purjehtia	Purjehdimme lauantaina.
sailing	purjehdus	Purjehdus on suosittua täällä.
salary	palkka	Hänen palkkansa on nyt korkeampi.
sale	alennusmyynti	Alennusmyynti alkaa huomenna.
sauce	kastike	Lisää kastike riisiin.
save	tallentaa	Tallenna työsi nyt.
scared	peloissaan	Lapsi on peloissaan.
scary	pelottava	Tämä tarina on pelottava.
scene	kohtaus	Viimeinen kohtaus oli hauska.
schedule	aikataulu	Tarkista aikataulu tänään.
score	tulos; pistemäärä	Mikä on tulos?
screen	näyttö	Puhdista näyttö varovasti.
search	etsiä	Etsi kuvia verkosta.
season	vuodenaika	Kesä on kiireinen vuodenaika.
seat	istuin	Ota tämä istuin, kiitos.
second1 (next after the first)	toiseksi	Toiseksi, pese kätesi.
secondly	toiseksi	Toiseksi, tarkista vastauksesi.
secret	salaisuus	Pidä tämä salaisuus turvassa.
secretary	sihteeri	Sihteeri soitti tänään.
seem	vaikuttaa	Vaikutat väsyneeltä.
sense	järki; merkitys	Tässä suunnitelmassa on järkeä.
separate	erillinen	Pidä paperit erillään.
series	sarja	Tämä sarja on suosittu.
serious	vakava	Tämä ongelma on vakava.
serve	tarjoilla	He tarjoavat lounasta keskipäivällä.
service	palvelu	Palvelu oli nopeaa.
several	useita	Useita oppilaita saapui aikaisin.
shake	ravistaa	Ravista pulloa ensin.
shall modal	pitäisikö	Aloitetaanko nyt?
shape	muoto	Piirrä neliön muoto.
sheet	lakana	Laita lakana sängylle.
ship	laiva	Laiva lähti tänään.
shoulder	olkapää	Olkapäähäni sattuu.
shout	huutaa	Älä huuda luokassa.
shut	sulkea	Sulje ikkuna, kiitos.
side	puoli	Istu tälle puolelle.
sign	kyltti	Lue kyltti huolellisesti.
silver	hopea	Hopea on kirkas metalli.
simple	yksinkertainen	Tämä harjoitus on yksinkertainen.
since	lähtien	Olen odottanut keskipäivästä lähtien.
singing	laulaminen	Laulaminen auttaa minua rentoutumaan.
single	yksittäinen	Ostin yksittäisen lipun.
sir	herra	Herra, laukkusi on valmis.
site	verkkosivusto	Tämä verkkosivusto on turvallinen.
size	koko	Mitä kokoa tarvitset?
ski	hiihtää	Hiihdämme talvella.
skiing	hiihto	Hiihto on hauskaa talvella.
skin	iho	Hänen ihonsa tuntuu kuivalta.
sky	taivas	Taivas on kirkas.
slowly	hitaasti	Kävele hitaasti jäällä.
smartphone	älypuhelin	Älypuhelimeni on uusi.
smell	haju; haistaa	Keitto tuoksuu hyvältä.
smile	hymy; hymyillä	Hymyile kameralle.
smoke	savu	Savu täytti huoneen.
smoking	tupakointi	Tupakointi ei ole sallittua.
soap	saippua	Käytä saippuaa ja vettä.
soccer	jalkapallo	Jalkapallo on suosittua täällä.
social	sosiaalinen	Tämä on sosiaalinen tapahtuma.
