simplified	ES-419	example_ES-419
爱情	el amor romántico; el amor	Esta es una historia de amor conmovedora.
安排	organizar; planear; el plan	¿Qué planes tienes para este fin de semana?
安全	seguro; la seguridad	Por favor, ten cuidado.
按时	a tiempo; puntualmente	Terminé la tarea a tiempo.
按照	según; de acuerdo con	Este plan es muy bueno; simplemente síguelo.
百分之	el porcentaje; por ciento	El ochenta por ciento de la tarea está terminado.
棒	genial; estupendo	Tu letra es genial.
包子	el baozi; el bollo relleno al vapor	Los baozi de este restaurante están muy buenos.
保护	proteger; defender	La gente debe proteger el medio ambiente.
保证	garantizar; prometer; la garantía	Prometo que no volveré a llegar tarde.
报名	inscribirse; registrarse	¿Qué materiales hacen falta para la inscripción?
抱	abrazar; llevar en brazos	Él tomó al niño en brazos.
抱歉	lo siento; disculparse	Siento mucho haberte hecho esperar tanto.
倍	la vez; el doble	El número de estudiantes internacionales de nuestra escuela se duplicó respecto al año pasado.
本来	originalmente; en principio	Yo iba a ver la actuación, pero surgió algo de repente.
笨	tonto; torpe	No eres tonto, solo necesitas esforzarte más.
比如	por ejemplo; como	Tengo muchas aficiones, por ejemplo nadar y leer.
毕业	graduarse; la graduación	Este año estoy en tercero y me graduaré el año que viene.
遍	la vez; una pasada	Él repitió el asunto una vez más.
标准	el estándar; estándar	Tu mandarín es muy estándar.
表格	el formulario; la tabla	Por favor, escribe tu nombre en el formulario.
表示	expresar; mostrar; significar	Por favor, dale las gracias.
表演	la actuación; actuar	¿Qué actuación vas a presentar?
表扬	elogiar; el elogio	El director lo elogia a menudo.
饼干	la galleta; la galleta salada	Compré galletas; comamos un poco.
并且	y además; además	Ella es muy inteligente y además trabaja muy duro.
博士	el doctor; el doctorado	Permítanme presentarles: este es el doctor Li.
不过	pero; sin embargo; solo	Él es excelente, pero no cumple los requisitos de contratación de la empresa.
不得不	tener que; no tener más remedio que	Afuera llueve mucho, así que tengo que quedarme en casa.
不管	no importa; independientemente de	No importa cómo esté el clima, tengo que subir la montaña.
不仅	no solo	No solo he estado en esa ciudad, sino que he estado muchas veces.
部分	la parte; la sección	La parte más importante del artículo es el tercer párrafo.
擦	limpiar; frotar; borrar	Ya limpié las ventanas.
猜	adivinar	Adivina qué regalo de cumpleaños preparé para ti.
材料	el material; los datos	¿Qué materiales hacen falta para la inscripción?
参观	visitar; recorrer	Quiero visitar la Gran Muralla el fin de semana.
餐厅	el restaurante; el comedor	Abrió un restaurante nuevo cerca de la escuela.
厕所	el baño; el sanitario	El baño de hombres está en el primer piso.
差不多	casi; aproximadamente; más o menos	Me levanto aproximadamente a las siete todos los días.
尝	probar; degustar	Ven a probar los platos que preparé. ¿Qué tal saben?
长城	la Gran Muralla	Quiero visitar la Gran Muralla el fin de semana.
长江	el río Yangtsé	El Yangtsé es el río más largo de China.
场	el evento; el lugar; el clasificador para eventos	Esta lluvia llegó justo a tiempo.
超过	superar; exceder	Más de trescientos vuelos salen de aquí cada día.
乘坐	tomar; viajar en	Bienvenido a este vuelo.
成功	el éxito; tener éxito	El esfuerzo es la garantía del éxito.
成为	convertirse en	Desde pequeño quería ser policía.
诚实	honesto; la honestidad	Las personas honestas merecen nuestro respeto.
吃惊	sorprenderse; asombrarse	Se sorprendió mucho al oír la noticia.
重新	de nuevo; otra vez	Él repitió el asunto una vez más.
抽烟	fumar	Lo siento, no se permite fumar en el hospital.
出差	ir de viaje de negocios	Papá lleva más de un mes de viaje de negocios.
出发	partir; salir	Salí de Pekín rumbo a Shanghái.
出生	nacer	Nací en una ciudad pequeña.
出现	aparecer; surgir	Han aparecido muchos problemas en nuestro trabajo.
厨房	la cocina	El cuchillo de fruta está en la cocina.
传真	el fax	Por favor, envíame un fax.
窗户	la ventana	Ya limpié las ventanas.
词语	la palabra; la expresión	Por favor, usa estas palabras para decir algunas frases.
从来	siempre; nunca antes	Nunca lo he visto.
粗心	descuidado; distraído	Eres muy descuidado.
存	guardar; depositar; existir	Deposité el dinero en el banco.
错误	el error; equivocado	Gracias por señalar mi error.
答案	la respuesta; la solución	Tu respuesta es correcta.
打扮	arreglarse; vestirse	Ella se arregló de forma sencilla y salió.
打扰	molestar; interrumpir	Disculpa que te moleste un momento.
打印	imprimir	Estos materiales ya están impresos.
打招呼	saludar	Él me saludó con una sonrisa.
打折	hacer descuento	Antes de la Fiesta de la Primavera, los centros comerciales hacen descuentos.
打针	poner una inyección; recibir una inyección	El hijo tiene mucho miedo a las inyecciones.
大概	probablemente; aproximadamente	Probablemente no vendrá.
大使馆	la embajada	Mañana voy a la embajada a solicitar una visa.
大约	aproximadamente; alrededor de	Tiene unos treinta años.
大夫	el médico; médica	Doctor Li, ¿estará en el hospital mañana por la mañana?
戴	ponerse; llevar puesto	Él usa estos anteojos negros.
当	ser; servir como	Quiero ser médico.
当时	en aquel momento; entonces	No recuerdo la situación de aquel momento.
刀	el cuchillo	El cuchillo de fruta está en la cocina.
导游	el guía; la guía turística	Mi hermana mayor es guía turística.
倒	caer; derribar	El fuerte viento derribó el árbol.
到处	en todas partes	En el parque hay flores por todas partes.
到底	al final; exactamente	¿Qué significa esta frase?
道歉	disculparse; pedir perdón	Ya me disculpé con él.
得	tener que; deber	Mañana tengo examen, así que tengo que acostarme temprano.
得意	orgulloso de sí mismo; satisfecho	Todos están muy orgullosos del éxito del trabajo.
登机牌	la tarjeta de embarque	Por favor, toma tu tarjeta de embarque y prepárate para subir al avión.
等	etcétera; y demás	En la mesa hay frutas como manzanas, plátanos, etcétera.
低	bajo	Más alto, ahora está demasiado bajo.
底	el fondo; la base	El fondo del vaso está limpio.
地点	el lugar; la ubicación	El lugar de la reunión está en la sala de reuniones del tercer piso.
地球	la Tierra; el planeta	La mayor parte de la superficie de la Tierra es océano.
地址	la dirección	Por favor, anota tu dirección.
掉	caer; soltar; perder	La llave cayó al suelo.
调查	investigar; la investigación	La policía está investigando.
丢	perder; tirar	¿Perdiste la mochila?
动作	el movimiento; la acción	Te enseñaré a bailar; los movimientos son muy sencillos.
堵车	el embotellamiento; el tráfico	Estaba en la carretera y volvió a haber embotellamiento.
肚子	el vientre; el estómago	Me duele el estómago.
短信	el mensaje de texto; el SMS	Si pasa algo, mándame un mensaje o llámame.
对话	el diálogo	Este diálogo es bastante sencillo; puedo entenderlo.
对面	enfrente; el lado opuesto	Vivo justo enfrente de la escuela.
对于	respecto a; en cuanto a	Tengo una opinión diferente sobre esta cuestión.
儿童	el niño; la niña; los niños	Los niños que miden menos de un metro veinte pueden comprar boleto infantil.
而	y; pero; mientras que	Esta prenda es barata y bonita.
发生	ocurrir; suceder	La situación ha cambiado mucho.
发展	desarrollarse; el desarrollo	La economía se ha desarrollado rápidamente en los últimos años.
法律	la ley; el derecho	En la universidad estudio derecho.
翻译	traducir; el traductor	Por favor, traduce este artículo al chino.
烦恼	la preocupación; preocuparse	No te preocupes más por esto.
反对	oponerse; estar en contra	Todos se oponen a este plan.
方法	el método; la manera	Seguro que encontraremos una solución al problema.
方面	el aspecto; el campo	A papá le gusta leer libros de historia.
方向	la dirección	¿Es esta la dirección? Creo que nos hemos perdido.
房东	el arrendador; la arrendadora	Mi arrendador es muy amable y me ayuda a menudo.
放弃	renunciar; abandonar	Renuncié a la oportunidad de estudiar en el extranjero.
放暑假	tener vacaciones de verano	Mañana empiezan las vacaciones de verano.
放松	relajarse; relajar	El examen terminó; necesitamos relajarnos.
份	la copia; la porción; el ejemplar	Por favor, envíame un fax.
丰富	rico; abundante	Leer puede enriquecer nuestra vida.
否则	de lo contrario; si no	Vámonos ahora; de lo contrario llegaremos tarde.
符合	cumplir con; ajustarse a	Ella cumple muy bien nuestros criterios de contratación.
付款	pagar; el pago	Las compras se pueden pagar por internet.
复印	fotocopiar	Por favor, haz dos copias de este material.
复杂	complicado; complejo	Este es un problema técnico complejo.
富	rico	La vida de la gente se está volviendo más rica.
父亲	el padre	Mi padre tiene ochenta y tres años este año.
负责	encargarse de; ser responsable	Xiao Li es muy responsable.
改变	cambiar; modificar	Cambié mi plan.
干杯	brindar; ¡salud!	Felices fiestas a todos, ¡salud!
感动	conmover; emocionado	Sus palabras me conmovieron mucho.
感觉	sentir; la sensación	Hoy siento un poco de frío.
感情	el sentimiento; la relación	La relación entre ellos es muy buena.
感谢	agradecer; el agradecimiento	Gracias por tu ayuda.
敢	atreverse	No me atrevo a ir sin compañía.
赶	darse prisa; alcanzar	Gracias por venir a ayudarme a tiempo.
干	hacer; trabajar	¿Qué estás haciendo?
刚	acabar de; justo	Por favor, perdona lo que acabo de decir.
高速公路	la autopista; la vía rápida	Aquí se construyó una autopista nueva.
胳膊	el brazo	Le duele un poco el brazo.
各	cada; todo	En el supermercado hay frutas de todo tipo.
公里	el kilómetro	La distancia entre las dos ciudades es de trescientos kilómetros.
功夫	el kung-fu; la habilidad	Últimamente estoy aprendiendo kung-fu chino.
工资	el salario; el sueldo	Su nuevo trabajo está bien pagado.
共同	común; conjunto	Tenemos un objetivo común.
够	ser suficiente; bastante	Hoy hace bastante frío.
购物	las compras; comprar	Las compras se pueden pagar por internet.
估计	calcular; suponer	Supongo que ya han llegado al aeropuerto.
