source_headword	KM	example_KM
ability	សមត្ថភាព	សមត្ថភាពហែលទឹករបស់នាងច្បាស់។
able	អាច	គាត់អាចមកថ្ងៃនេះ។
abroad	នៅបរទេស	នាងចង់សិក្សានៅបរទេស។
accept	ទទួលយក	សូមទទួលយកអំណោយតូចនេះ។
accident	គ្រោះថ្នាក់	គ្រោះថ្នាក់បានកើតឡើងជិតសាលា។
according to	យោងតាម	យោងតាមរបាយការណ៍ភ្លៀងនឹងមក។
achieve	សម្រេចបាន	អ្នកអាចសម្រេចគោលដៅរបស់អ្នក។
act	សម្ដែង;ប្រព្រឹត្ត	គាត់អាចសម្ដែងក្នុងល្ខោន។
active	សកម្ម	នាងសកម្មរាល់ថ្ងៃ។
actually	តាមពិត	តាមពិតខ្ញុំត្រូវការពេលបន្ថែម។
advantage	អត្ថប្រយោជន៍;គុណសម្បត្តិ	ផែនការនេះមានអត្ថប្រយោជន៍។
adventure	ការផ្សងព្រេង	ដំណើររបស់ពួកគេជាការផ្សងព្រេង។
advertise	ផ្សាយពាណិជ្ជកម្ម	ពួកគេផ្សាយពាណិជ្ជកម្មការងារថ្មី។
advertisement	ពាណិជ្ជកម្ម	ខ្ញុំបានឃើញពាណិជ្ជកម្មមួយ។
advertising	ការផ្សាយពាណិជ្ជកម្ម	ការផ្សាយពាណិជ្ជកម្មជួយលក់អាហារ។
affect	ប៉ះពាល់	ការគេងអាចប៉ះពាល់សុខភាពអ្នក។
against	ប្រឆាំងនឹង;ទល់នឹង	កុំផ្អែកលើជញ្ជាំង។
ah	អា	អាខ្ញុំយល់ហើយ។
airline	ក្រុមហ៊ុនអាកាសចរណ៍	ក្រុមហ៊ុនអាកាសចរណ៍មមាញឹកណាស់។
alive	នៅរស់	ត្រីតូចនេះនៅរស់។
all right	មិនអីទេ;ល្អហើយ	អ្វីៗមិនអីទេឥឡូវនេះ។
allow	អនុញ្ញាត	ពួកគេអនុញ្ញាតឱ្យមានឆ្កែនៅទីនេះ។
almost	ស្ទើរតែ	យើងស្ទើរតែរួចរាល់ហើយ។
alone	ម្នាក់ឯង	នាងរស់នៅម្នាក់ឯង។
along	តាមបណ្តោយ	ដើរតាមបណ្តោយផ្លូវនេះ។
already	រួចហើយ	ខ្ញុំដឹងចម្លើយរួចហើយ។
alternative	ជម្រើសផ្សេង	រថភ្លើងនេះជាជម្រើសផ្សេង។
although	ទោះបីជា	ទោះបីជាយប់ហើយយើងអាចនៅបាន។
among	ក្នុងចំណោម	គាត់ឈរក្នុងចំណោមដើមឈើ។
amount	បរិមាណ	បរិមាណតិចពេក។
ancient	បុរាណ	ជញ្ជាំងបុរាណនេះល្បី។
ankle	កជើង	ថ្ងៃនេះកជើងខ្ញុំឈឺ។
anybody	នរណាក៏បាន	មាននរណាអាចឆ្លើយបានទេ?
any more	ទៀត;បន្ថែមទៀត	ខ្ញុំមិនត្រូវការទៀតទេ។
anyway	យ៉ាងណាក៏ដោយ	យ៉ាងណាក៏ដោយយើងអាចចាប់ផ្តើមឥឡូវ។
anywhere	កន្លែងណាក៏បាន	អង្គុយកន្លែងណាដែលអ្នកចូលចិត្ត។
app	កម្មវិធី	កម្មវិធីនេះមានប្រយោជន៍។
appear	លេចឡើង	ឈ្មោះនាងនឹងលេចឡើងនៅទីនេះ។
appearance	រូបរាង	រូបរាងរបស់គាត់ខុសគ្នា។
apply	ដាក់ពាក្យ;អនុវត្ត	ដាក់ពាក្យសុំការងារថ្ងៃនេះ។
architect	ស្ថាបត្យករ	ស្ថាបត្យករមានផែនការ។
architecture	ស្ថាបត្យកម្ម	ខ្ញុំចូលចិត្តស្ថាបត្យកម្មទំនើប។
argue	ជជែកតវ៉ា	កុំជជែកតវ៉ាជាមួយប្អូនស្រីអ្នក។
argument	ការជជែកតវ៉ា	ការឈ្លោះនេះខ្លី។
army	កងទ័ព	កងទ័ពធំ។
arrange	រៀបចំ	សូមរៀបចំកិច្ចប្រជុំ។
arrangement	ការរៀបចំ	ការរៀបចំនេះដំណើរការល្អ។
asleep	កំពុងដេក	ទារកកំពុងដេក។
assistant	ជំនួយការ	ជំនួយការបានជួយខ្ញុំ។
athlete	កីឡាករ	កីឡាកររត់លឿន។
attack	ការវាយប្រហារ;វាយប្រហារ	ឆ្កែអាចវាយប្រហារ។
attend	ចូលរួម	ខ្ញុំចូលរួមថ្នាក់ថ្ងៃនេះ។
attention	ការយកចិត្តទុកដាក់	សូមយកចិត្តទុកដាក់ឥឡូវ។
attractive	គួរឱ្យទាក់ទាញ	សួនច្បារគួរឱ្យទាក់ទាញ។
audience	ទស្សនិកជន	ទស្សនិកជនស្ងាត់។
author	អ្នកនិពន្ធ	អ្នកនិពន្ធបានសរសេរសៀវភៅនេះ។
available	អាចរកបាន	អាហារអាចរកបានឥឡូវ។
average	មធ្យម	ពិន្ទុមធ្យមល្អ។
avoid	ជៀសវាង	ជៀសវាងផ្លូវមមាញឹក។
award	រង្វាន់	នាងឈ្នះរង្វាន់មួយ។
awful	អាក្រក់ខ្លាំង	អាកាសធាតុអាក្រក់ខ្លាំង។
background	ផ្ទៃខាងក្រោយ	រូបភាពមានផ្ទៃខាងក្រោយងងឹត។
badly	យ៉ាងអាក្រក់	គាត់លេងយ៉ាងអាក្រក់ថ្ងៃនេះ។
bar	បារ	យើងជួបគ្នានៅបារសណ្ឋាគារ។
baseball	បេសបល	បេសបលពេញនិយមនៅទីនេះ។
based	ផ្អែកលើ	ភាពយន្តផ្អែកលើសៀវភៅមួយ។
basketball	បាល់បោះ	យើងលេងបាល់បោះបន្ទាប់ពីសាលា។
bean	សណ្តែក	សណ្តែកនេះពណ៌បៃតង។
bear (animal)	ខ្លាឃ្មុំ	ខ្លាឃ្មុំរស់នៅក្នុងព្រៃ។
beat	ឈ្នះ;វាយ	ក្រុមយើងអាចឈ្នះពួកគេ។
beef	សាច់គោ	ខ្ញុំញ៉ាំសាច់គោពេលល្ងាច។
behave	ប្រព្រឹត្តល្អ	សូមប្រព្រឹត្តល្អក្នុងថ្នាក់។
behaviour	អាកប្បកិរិយា	អាកប្បកិរិយារបស់គាត់គួរសម។
