simplified	ET	example_ET
哎	hei; oi	Hei, miks sa tulid?
唉	oh; ohkama	Oh, ma jäin jälle hiljaks.
爱护	hoolitsema; hoidma	Me peame keskkonda hoidma.
爱惜	väärtustama; säästma	Palun väärtusta oma aega.
爱心	hoolivus	Ta on väga hooliv.
安慰	lohutama	Sõber lohutas mind.
安装	paigaldama	Tööline paigaldab konditsioneeri.
岸	kallas	Paat läheneb aeglaselt kaldale.
暗	pime; hämar	Tuba on väga pime.
熬夜	öösel kaua üleval olema	Hiline ülevalolek ei ole tervisele hea.
把握	kindlus; haarama	Ma ei ole kindel, et saan selle hästi tehtud.
摆	paigutama; seadma	Palun paiguta toolid korralikult.
办理	asju ajama; korraldama	Ma lähen panka asju ajama.
傍晚	õhtu eel	Õhtu eel läheme jalutama.
包裹	pakk	Sain ühe paki.
包含	sisaldama	Hind sisaldab hommikusööki.
包括	sisaldama; hõlmama	Tasu sisaldab lõunasööki.
薄	õhuke	See raamat on väga õhuke.
保持	hoidma	Palun hoia vaikust.
保存	salvestama; säilitama	Palun salvesta see fail.
保留	alles hoidma; reserveerima	Palun reserveeri mulle üks istekoht.
保险	kindlustus	Ostsin reisikindlustuse.
宝贝	aare	See on minu aare.
宝贵	väärtuslik	Aeg on väga väärtuslik.
报到	registreeruma; kohale ilmuma	Uued õpilased tulevad täna kooli registreeruma.
报道	uudis; kajastama	Uudised kajastasid seda juhtumit.
报告	aruanne; ettekanne	Ta peab praegu ettekannet.
报社	ajalehetoimetus	Ta töötab ajalehetoimetuses.
抱怨	kaebama	Ta kaebab alati, et tööd on liiga palju.
悲观	pessimistlik	Ära ole liiga pessimistlik.
背	selg	Ta istub seljaga ukse poole.
背景	taust	Palun tutvusta lühidalt oma tausta.
被子	tekk	Tekk on väga soe.
本科	bakalaureuseõpe	Ta on bakalaureuseõppe tudeng.
本领	oskus	Ta õppis uue oskuse.
本质	olemus	Probleemi olemus on väga lihtne.
彼此	teineteist	Me peaksime teineteist austama.
比例	suhe	Meeste ja naiste suhe on enam-vähem sama.
必然	paratamatu	Pingutus toob paratamatult tulemuse.
必要	vajalik	Pole vaja muretseda.
毕竟	lõppude lõpuks	Lõppude lõpuks on ta veel laps.
避免	vältima	Palun väldi hilinemist.
