simplified	MY	example_MY	KM	example_KM	LO	example_LO
吧	အကြံပြုအမှုန်; မဟုတ်လား	သွားကြစို့။	ភាគល្អិតសម្រាប់ស្នើ; មែនទេ	តោះទៅគ្នា។	ຄຳຊ່ວຍແນະນຳ; ແມ່ນບໍ	ໄປກັນເຖາະ.
白	ဖြူသည်	ဤအဝတ်အစားသည် ဖြူသည်။	ស	សម្លៀកបំពាក់នេះពណ៌ស។	ຂາວ	ເຄື່ອງນຸ່ງນີ້ສີຂາວ.
百	တစ်ရာ	ဤဖုန်းသည် ယွမ်တစ်ရာ ကျသည်။	មួយរយ	ទូរស័ព្ទនេះតម្លៃមួយរយយ័ន។	ໜຶ່ງຮ້ອຍ	ໂທລະສັບນີ້ລາຄາໜຶ່ງຮ້ອຍຢວນ.
帮助	ကူညီသည်; အကူအညီ	ကျွန်ုပ်ကို ကူညီပါ။	ជួយ; ជំនួយ	សូមជួយខ្ញុំ។	ຊ່ວຍ; ຄວາມຊ່ວຍເຫຼືອ	ກະລຸນາຊ່ວຍຂ້ອຍ.
报纸	သတင်းစာ	အဖေ သတင်းစာ ဖတ်သည်။	កាសែត	ប៉ាអានកាសែត។	ໜັງສືພິມ	ພໍ່ອ່ານໜັງສືພິມ.
比	ထက်; နှိုင်းယှဉ်သည်	ယနေ့သည် မနေ့ကထက် ပိုပူသည်။	ជាង; ប្រៀបធៀប	ថ្ងៃនេះក្តៅជាងម្សិលមិញ។	ກວ່າ; ປຽບທຽບ	ມື້ນີ້ຮ້ອນກວ່າມື້ວານ.
别	မ...နှင့်; အခြား	မသွားနှင့်။	កុំ; ផ្សេង	កុំទៅ។	ຢ່າ; ອື່ນ	ຢ່າໄປ.
长	ရှည်သည်	ဤလမ်းသည် ရှည်သည်။	វែង	ផ្លូវនេះវែង។	ຍາວ	ທາງນີ້ຍາວ.
唱歌	သီချင်းဆိုသည်	ကျွန်ုပ်၏ ညီမလေးသည် သီချင်းဆိုရတာ ကြိုက်သည်။	ច្រៀង	ប្អូនស្រីរបស់ខ្ញុំចូលចិត្តច្រៀង។	ຮ້ອງເພງ	ນ້ອງສາວຂ້ອຍມັກຮ້ອງເພງ.
出	ထွက်သည်; ထွက်လာသည်	သူ အပြင်သို့ ထွက်သွားသည်။	ចេញ; ចេញមក	គាត់ចេញទៅក្រៅហើយ។	ອອກ; ອອກມາ	ລາວອອກໄປແລ້ວ.
穿	ဝတ်သည်	ကျွန်ုပ် အဖြူရောင်အဝတ် ဝတ်သည်။	ពាក់; ស្លៀក	ខ្ញុំពាក់សម្លៀកបំពាក់ពណ៌ស។	ນຸ່ງ; ສວມ	ຂ້ອຍນຸ່ງເຄື່ອງສີຂາວ.
船	လှေ; သင်္ဘော	လှေသည် ရေပေါ်တွင် ရှိသည်။	ទូក; កប៉ាល់	ទូកនៅលើទឹក។	ເຮືອ	ເຮືອຢູ່ເທິງນ້ຳ.
次	ကြိမ်; အခါ	ကျွန်ုပ် ပေကျင်းသို့ တစ်ကြိမ် သွားဖူးသည်။	ដង; លើក	ខ្ញុំធ្លាប់ទៅប៉េកាំងម្តង។	ຄັ້ງ; ເທື່ອ	ຂ້ອຍເຄີຍໄປປັກກິ່ງໜຶ່ງຄັ້ງ.
从	မှ	ကျွန်ုပ် အိမ်မှ ကျောင်းသို့ သွားသည်။	ពី; ចាប់ពី	ខ្ញុំទៅសាលារៀនពីផ្ទះ។	ຈາກ; ແຕ່	ຂ້ອຍໄປໂຮງຮຽນຈາກເຮືອນ.
错	မှားသည်; အမှား	သင် မှားနေသည်။	ខុស; កំហុស	អ្នកខុសហើយ។	ຜິດ; ຄວາມຜິດ	ເຈົ້າຜິດ.
打篮球	ဘတ်စကက်ဘောကစားသည်	ကျွန်ုပ်၏ အစ်ကိုသည် ဘတ်စကက်ဘော ကစားသည်။	លេងបាល់បោះ	បងប្រុសរបស់ខ្ញុំលេងបាល់បោះ។	ຫຼິ້ນບານບ້ວງ	ອ້າຍຂ້ອຍຫຼິ້ນບານບ້ວງ.
大家	အားလုံး	အားလုံး ရောက်လာပြီ။	អ្នកទាំងអស់គ្នា	អ្នកទាំងអស់គ្នាមកហើយ។	ທຸກຄົນ	ທຸກຄົນມາແລ້ວ.
但是	သို့သော်; ဒါပေမဲ့	ကျွန်ုပ် အလုပ်များသော်လည်း အလွန်ပျော်သည်။	ប៉ុន្តែ; ទោះយ៉ាងណា	ខ្ញុំរវល់ ប៉ុន្តែសប្បាយចិត្តណាស់។	ແຕ່; ຢ່າງໃດກໍຕາມ	ຂ້ອຍຫຍຸ້ງແຕ່ດີໃຈຫຼາຍ.
到	ရောက်သည်	ကျွန်ုပ် ကျောင်းသို့ ရောက်ပြီ။	ដល់; ទៅដល់	ខ្ញុំទៅដល់សាលារៀនហើយ។	ຮອດ; ໄປເຖິງ	ຂ້ອຍຮອດໂຮງຮຽນແລ້ວ.
得	အဆင့်ဖြည့်အမှုန်	သူ မြန်မြန် ပြေးသည်။	ភាគល្អិតបន្ថែមកម្រិត	គាត់រត់លឿន។	ຄຳຊ່ວຍບອກລະດັບ	ລາວແລ່ນໄວ.
等	စောင့်သည်	ကျွန်ုပ် သင့်ကို စောင့်နေသည်။	រង់ចាំ	ខ្ញុំកំពុងរង់ចាំអ្នក។	ລໍຖ້າ	ຂ້ອຍລໍຖ້າເຈົ້າ.
弟弟	ညီလေး; မောင်လေး	ကျွန်ုပ်၏ ညီလေး အိမ်တွင် ရှိသည်။	ប្អូនប្រុស	ប្អូនប្រុសរបស់ខ្ញុំនៅផ្ទះ។	ນ້ອງຊາຍ	ນ້ອງຊາຍຂ້ອຍຢູ່ເຮືອນ.
第一	ပထမ	သူသည် ပထမ ဖြစ်သည်။	ទីមួយ	គាត់ជាទីមួយ។	ທີໜຶ່ງ	ລາວເປັນທີໜຶ່ງ.
懂	နားလည်သည်	ယခု ကျွန်ုပ် နားလည်ပြီ။	យល់	ឥឡូវខ្ញុំយល់ហើយ។	ເຂົ້າໃຈ	ດຽວນີ້ຂ້ອຍເຂົ້າໃຈແລ້ວ.
对	မှန်သည်; ဆီသို့	သင်ပြောသောအရာသည် မှန်သည်။	ត្រឹមត្រូវ; ទៅកាន់	អ្វីដែលអ្នកនិយាយត្រឹមត្រូវ។	ຖືກ; ໄປຫາ	ສິ່ງທີ່ເຈົ້າເວົ້າແມ່ນຖືກ.
房间	အခန်း	ဤအခန်းသည် ကြီးသည်။	បន្ទប់	បន្ទប់នេះធំ។	ຫ້ອງ	ຫ້ອງນີ້ໃຫຍ່.
非常	အလွန်; အထူး	ယနေ့ အလွန်အေးသည်။	ណាស់; ខ្លាំងណាស់	ថ្ងៃនេះត្រជាក់ណាស់។	ຫຼາຍ; ຢ່າງຫຼາຍ	ມື້ນີ້ໜາວຫຼາຍ.
服务员	စားပွဲထိုး; ဝန်ထမ်း	စားပွဲထိုးသည် စားသောက်ဆိုင်တွင် ရှိသည်။	អ្នកបម្រើ; បុគ្គលិកសេវា	អ្នកបម្រើនៅក្នុងភោជនីយដ្ឋាន។	ພະນັກງານບໍລິການ; ພະນັກງານເສີບ	ພະນັກງານເສີບຢູ່ຮ້ານອາຫານ.
高	မြင့်သည်; အရပ်ရှည်သည်	သူ အရပ်ရှည်သည်။	ខ្ពស់	គាត់ខ្ពស់។	ສູງ	ລາວສູງ.
告诉	ပြောပြသည်	ကျွန်ုပ်ကို ပြောပြပါ။	ប្រាប់	សូមប្រាប់ខ្ញុំ។	ບອກ	ກະລຸນາບອກຂ້ອຍ.
哥哥	အစ်ကို	ကျွန်ုပ်၏ အစ်ကို အလုပ်လုပ်နေသည်။	បងប្រុស	បងប្រុសរបស់ខ្ញុំកំពុងធ្វើការ។	ອ້າຍ	ອ້າຍຂ້ອຍກຳລັງເຮັດວຽກ.
