source_headword	DA	example_DA
stranger	en fremmed	En fremmed spurgte om vej.
strength	en styrke	Hendes styrke hjalp holdet.
string	en snor	Bind kassen med snor.
strongly	stærkt	Jeg er stærkt uenig i den idé.
studio	et atelier	Kunstneren arbejder i et lille atelier.
stuff	ting	Læg dine ting på hylden.
substance	et stof	Politiet fandt et mærkeligt stof.
successfully	med succes	De afsluttede projektet med succes.
sudden	pludselig	En pludselig lyd vækkede os.
suffer	at lide	Mange planter lider i tørt vejr.
suitable	passende	Denne jakke er velegnet til skolen.
summarize	at opsummere	Kan du opsummere artiklen?
summary	et resumé	Skriv et kort resumé i aften.
supply	en forsyning	Byen har brug for en ren vandforsyning.
supporter	en tilhænger	Hver tilhænger jublede højt.
surely	sikkert	Vi kan sikkert løse dette.
surface	en overflade	Overfladen føltes kold og glat.
survive	at overleve	Disse dyr overlever kolde vintre.
switch	at slukke	Sluk lyset i køkkenet.
symptom	et symptom	En hoste kan være et symptom.
tail	en hale	Hunden har en lang hale.
talent	et talent	Hun har et talent for musik.
talented	talentfuld	Han er en talentfuld ung skuespiller.
tape	tape	Brug tape til at lukke kassen.
tax	en skat	Alle skal betale denne skat.
technical	teknisk	Vi havde et teknisk problem.
technique	en teknik	Denne teknik sparer tid.
tend	at have tendens til	Børn har tendens til at lære hurtigt.
tent	et telt	Vi sov i et lille telt.
theirs	deres	De blå cykler er deres.
theme	et tema	Festen havde et strandtema.
theory	en teori	Hans teori forklarer problemet.
therefore	derfor	Det regnede, derfor blev vi indenfor.
though	selvom	Selvom hun var træt, fortsatte hun med at arbejde.
throat	en hals	Min hals gør ondt i morges.
throughout	igennem	Folk dansede hele aftenen igennem.
tight	stram	Disse sko føles for stramme.
till	indtil	Vent her, indtil jeg vender tilbage.
tin	en dåse	Åbn en dåse bønner.
tiny	lillebitte	En lillebitte fugl landede i nærheden.
toe	en tå	Jeg slog min tå i går.
tongue	en tunge	Hun brændte sin tunge på te.
total	samlet	De samlede omkostninger var lave.
totally	helt	Jeg forstår helt din bekymring.
trade	en handel	International handel skaber arbejdspladser.
translate	at oversætte	Oversæt venligst denne sætning.
translation	en oversættelse	Oversættelsen lyder naturlig.
treat	at behandle	Behandl alle med respekt.
treatment	en behandling	Patienten har brug for behandling i dag.
trend	en tendens	Denne tendens vokser verden over.
trick	et trick	Det korttrick overraskede mig.
truth	en sandhed	Fortæl venligst sandheden.
tube	en tube	Klem forsigtigt på tuben.
typically	typisk	Elever ankommer typisk inden klokken ni.
tyre	et dæk	Bilen har brug for et nyt dæk.
ugly	grim	Den vægfarve ser grim ud.
unable	ude af stand til	Han var ude af stand til at svare.
uncomfortable	ubehagelig	Denne stol er ubehagelig.
underwear	undertøj	Pak rent undertøj til turen.
unemployed	arbejdsløs	Hun var arbejdsløs i to måneder.
unemployment	arbejdsløshed	Arbejdsløsheden steg i løbet af vinteren.
unfair	uretfærdig	Beslutningen virkede uretfærdig.
union	en fagforening	Fagforeningen bad om sikrere arbejde.
unless	medmindre	Gå ikke, medmindre jeg ringer.
unlike	i modsætning til	I modsætning til Tom elsker Ana vinteren.
unlikely	usandsynlig	Sne er usandsynligt i denne uge.
unnecessary	unødvendig	Ekstra tasker er unødvendige.
unpleasant	ubehagelig	Rummet havde en ubehagelig lugt.
update	at opdatere	Jeg har brug for at opdatere min telefon.
upon	på	Der var engang en konge.
upset	ked af det	Hun følte sig ked af det efter opkaldet.
used1	brugt	Dette rum bruges til møder.
used2	vant til	Jeg er vant til tidlige morgener.
valuable	værdifuld	Dette ur er værdifuldt.
value	en værdi	Huset mistede værdi sidste år.
various	forskellige	Vi prøvede forskellige lokale retter.
version	en version	Denne version fungerer bedre.
victim	et offer	Offeret ringede til politiet.
viewer	en seer	En seer stillede et spørgsmål.
violent	voldelig	Filmen var for voldelig.
volunteer	en frivillig	Jeg arbejder frivilligt på biblioteket.
vote	en stemme	Husk at stemme i morgen.
warn	at advare	Jeg prøvede at advare ham.
warning	en advarsel	Advarslen dukkede op på skærmen.
waste	et spild	Spild ikke rent vand.
weapon	et våben	Kniven blev et våben.
weigh	at veje	Vej melet forsigtigt.
western	vestlig	De så en westernfilm.
whatever	hvad som helst	Vælg hvad som helst du har lyst til.
whenever	når som helst	Ring, når som helst du har brug for hjælp.
whether	om	Jeg ved ikke, om hun er enig.
wing	en vinge	Fuglen skadede en vinge.
within	inden for	Svar venligst inden for to dage.
wonder	at undre sig over	Jeg undrer mig over, hvad der skete.
wool	uld	Denne frakke er lavet af uld.
worldwide	verdensomspændende	Sangen blev populær over hele verden.
worth	værd	Denne bog er værd at læse.
written	skriftlig	Send venligst skriftlige instruktioner.
yard	en gård	Børnene legede i gården.
youth	en ungdom	Ungdomsklubber støtter lokale teenagere.
