source_headword	LV	example_LV
fridge	ledusskapis	Piens ir ledusskapī.
frog	varde	Varde ielēca dīķī.
furniture	mēbeles	Šīs mēbeles ir vecas, bet stipras.
further	turpmāks; papildu	Mums vajag papildu informāciju.
gallery	galerija	Galerija šodien ir atvērta.
gap	sprauga; plaisa	Sienā ir sprauga.
gas	benzīns	Automašīnai vajag benzīnu.
gate	vārti	Lūdzu, aizver vārtus.
general	vispārīgs	Šis ir vispārīgs noteikums.
gift	dāvana	Viņa nopirka dāvanu.
goal	mērķis	Mūsu mērķis ir vienkāršs.
god	Dievs	Daudzi cilvēki lūdz Dievu.
gold	zelts; zelta	Gredzens ir no zelta.
golf	golfs	Viņš šodien spēlē golfu.
government	valdība	Valdība mainīja likumu.
grass	zāle	Zāle ir slapja.
greet	sveicināt	Sveicini katru viesi pieklājīgi.
ground	zeme	Sēdi uz zemes.
guest	viesis	Mūsu viesis ieradās agri.
guide	gids; ceļvedis	Gids parādīja mums muzeju.
gun	ierocis	Policija atrada ieroci.
guy	puisis	Tas puisis ir mans brālis.
habit	ieradums	Ikdienas lasīšana ir labs ieradums.
hall	gaitenis; zāle	Gaidi gaitenī.
happily	laimīgi	Viņi dzīvoja laimīgi kopā.
headache	galvassāpes	Man ir galvassāpes.
heart	sirds	Viņas sirds pukst ātri.
heat	sildīt; karstums	Sildi zupu lēnām.
heavy	smags	Šī soma ir smaga.
height	augstums	Izmēri galda augstumu.
helpful	noderīgs	Tavs padoms bija noderīgs.
hero	varonis	Viņš ir mans varonis.
hers	viņas	Zilais mētelis ir viņas.
herself	pati	Viņa pati pagatavoja vakariņas.
hide	paslēpt	Paslēp atslēgu zem kastes.
hill	kalns	Mēs uzkāpām kalnā.
himself	pats	Viņš pats to salaboja.
hit	sist	Nesit pa durvīm.
hockey	hokejs	Mēs vakar vakarā skatījāmies hokeju.
hold	turēt	Turi manu roku.
hole	caurums	Manā zeķē ir caurums.
huge	milzīgs	Istaba ir milzīga.
human	cilvēks	Katram cilvēkam vajag ūdeni.
hurt	sāpēt	Man sāp celis.
ideal	ideāls	Šī istaba ir ideāla mācībām.
identify	atpazīt; noteikt	Vai vari atpazīt šo putnu?
ill	slima; slims	Viņa šodien jūtas slima.
illness	slimība	Slimība ilga nedēļu.
image	attēls	Attēls ir skaidrs.
immediately	nekavējoties	Nāc šurp nekavējoties.
impossible	neiespējams	Šī mīkla šķiet neiespējama.
included	iekļauts	Brokastis ir iekļautas.
including	ieskaitot	Atnāca desmit cilvēki, ieskaitot mani.
increase	palielināties	Cenas vasarā palielinās.
incredible	neticams	Skats bija neticams.
independent	neatkarīgs	Mana māsa ir neatkarīga.
individual	indivīds; atsevišķs	Katram cilvēkam ir numurs.
industry	rūpniecība	Vietējā rūpniecība aug.
informal	neformāls	Šis e-pasts ir neformāls.
injury	trauma	Viņa trauma nav nopietna.
insect	kukainis	Kukainis nolaidās uz krūzes.
inside	iekšā	Gaidi mājas iekšā.
instead	tā vietā	Dzer ūdeni tā vietā.
instruction	norādījums; instrukcija	Rūpīgi izlasi katru norādījumu.
instructor	instruktors	Instruktors paskaidroja vingrinājumu.
instrument	instruments	Viņa spēlē instrumentu.
intelligent	gudrs	Viņš ir gudrs students.
international	starptautisks	Šī ir starptautiska lidosta.
introduction	ievads	Ievads bija īss.
invent	izgudrot	Bērni var izgudrot jaunas spēles.
invention	izgudrojums	Izgudrojums ietaupīja laiku.
invitation	ielūgums	Es saņēmu ielūgumu.
invite	uzaicināt	Uzaicini arī savu draugu.
involve	ietvert; prasīt	Darbs prasīs ceļošanu.
item	priekšmets	Izvēlies vienu priekšmetu.
itself	pats; pati	Iekārta pati izslēdzas.
jam	ievārījums	Uzsmērē ievārījumu uz maizes.
jazz	džezs	Džezs šovakar skan lieliski.
jewellery	rotaslietas	Viņa glabā rotaslietas kastē.
joke	joks	Pastāsti man joku.
journalist	žurnālists	Žurnālists uzdeva jautājumus.
jump	lēkt	Pārlec pāri līnijai.
kid	bērns	Bērns smejas.
kill	nogalināt	Nenogalini kukaini.
king	karalis	Karalis dzīvoja pilī.
knee	celis	Man sāp celis.
knife	nazis	Izmanto asu nazi.
knock	klauvēt	Pieklauvē pirms ienāc.
knowledge	zināšanas	Zināšanas aug ar praksi.
lab	laboratorija	Laboratorija ir slēgta.
lady	dāma	Dāma mums uzsmaidīja.
lake	ezers	Ezers ir mierīgs.
lamp	lampa	Ieslēdz lampu.
laptop	klēpjdators	Mans klēpjdators ir jauns.
last1 (taking time)	ilgt	Filma ilgst divas stundas.
laughter	smiekli	Mēs dzirdējām smieklus ārā.
law	likums	Likums vakar mainījās.
lawyer	advokāts	Advokāts man piezvanīja.
lazy	slinks	Neesi slinks.
lead1	vadīt	Labi vadītāji rāda piemēru.
leader	vadītājs	Viņa ir komandas vadītāja.
learning	mācīšanās	Mācīšanās prasa laiku.
least	vismazākais	Izvēlies vislētāko.
lecture	lekcija	Lekcija sākas desmitos.
lemon	citrons	Pievieno citronu tējai.
lend	aizdot	Vai vari man aizdot piecus dolārus?
less	mazāk	Ēd mazāk cukura.
level	līmenis	Šis līmenis ir viegls.
lifestyle	dzīvesveids	Viņam ir veselīgs dzīvesveids.
lift	pacelt	Pacel kasti uzmanīgi.
light	aizdegt	Aizdedz sveci uzmanīgi.
light (not heavy)	viegls	Šī soma ir viegla.
likely	iespējams	Rīt iespējams lietus.
link	saite	Atsūti man saiti.
listener	klausītājs	Esi labs klausītājs.
lock	aizslēgt	Aizslēdz durvis.
lorry	kravas automašīna	Kravas automašīna veda kastes.
lost	apmaldījies	Mēs esam apmaldījušies.
loud	skaļš	Mūzika ir skaļa.
loudly	skaļi	Lūdzu, nerunā skaļi.
lovely	jauks	Kāds jauks dārzs!
low	zems	Krēsls ir zems.
luck	veiksme	Lai tev veicas pārbaudījumā.
lucky	laimīgs; veiksmīgs	Tev šodien veicas.
mail	pasts	Es šorīt saņēmu pastu.
major	liels; nozīmīgs	Šī ir liela problēma.
male	tēviņš; vīriešu	Putna tēviņš ir košs.
manage	tikt galā; vadīt	Vai vari tikt galā ar šo uzdevumu?
manager	vadītājs	Vadītājs ir aizņemts.
manner	maniere; veids	Runā pieklājīgā veidā.
mark	atzīmēt	Atzīmē savu atbildi skaidri.
marry	precēties	Viņi precēsies jūnijā.
material	materiāls	Šis materiāls šķiet mīksts.
