source_headword	LT	example_LT
prey	grobis	Pelėdos naktį medžioja grobį.
privatization	privatizacija	Privatizacija pakeitė geležinkelių sistemą.
privilege	privilegija	Išsilavinimas neturėtų būti privilegija.
probe	tyrimas	Tyrimas atskleidė rimtų klaidų.
problematic	problemiškas	Susitarimas išlieka problemiškas.
proceedings	procesas	Teismo procesas prasidėjo pirmadienį.
proceeds	pajamos	Pajamos parems vietos mokyklas.
processing	apdorojimas	Vaizdų apdorojimas užima laiko.
processor	procesorius	Procesorius sugedo per bandymus.
proclaim	paskelbti	Lyderiai per anksti paskelbia pergalę.
productive	produktyvus	Susitikimas buvo produktyvus.
productivity	produktyvumas	Produktyvumas pagerėjo po mokymų.
profitable	pelningas	Šiais metais parduotuvė tapo pelninga.
profound	gilus	Kalba padarė gilų poveikį.
projection	prognozė	Prognozė rodo stabilų augimą.
prominent	iškilus	Ji tapo iškilia mokslininke.
pronounced	ryškus	Jo akcentas tapo ryškesnis.
propaganda	propaganda	Kampanija naudojo propagandą internete.
proposition	pasiūlymas	Pasiūlymas yra rizikingas dalykas.
prosecute	iškelti bylą	Pareigūnai iškelia baudžiamąsias bylas dėl rimtų sukčiavimo atvejų.
prosecution	kaltinimas	Kaltinimas pateikė naujų įrodymų.
prosecutor	prokuroras	Prokuroras apklausė liudytoją.
prospective	būsimas	Būsimi studentai apžiūrėjo miestelį.
prosperity	klestėjimas	Prekyba atnešė regionui klestėjimą.
protective	apsauginis	Ji mūvėjo apsaugines pirštines.
protocol	protokolas	Protokolas reikalauja rašytinio patvirtinimo.
province	provincija	Provincija investavo į transportą.
provincial	provincijos	Provincijos pareigūnai paskelbė planą.
provision	nuostata	Į sutartį įtraukta saugumo nuostata.
provoke	išprovokuoti	Kalba gali išprovokuoti stiprias reakcijas.
psychiatric	psichiatrinis	Ligoninė atidarė psichiatrijos skyrių.
pulse	pulsas	Slaugytoja patikrino jo pulsą.
pump	siurblys	Siurblys pumpuoja vandenį į viršų.
punch	smūgis	Iš pykčio jis sudavė smūgį.
query	užklausa	Siųskite savo užklausą pagalbos tarnybai.
quest	paieška	Jų teisingumo paieškos tęsėsi.
quota	kvota	Komanda įvykdė pardavimų kvotą.
radar	radaras	Audra pasirodė radare.
radical	radikalus	Grupė pasiūlė radikalias reformas.
rage	įniršis	Jo įniršis greitai išblėso.
raid	reidas	Policija surengė reidą auštant.
rally	mitingas	Rėmėjai prisijungė prie mitingo miesto centre.
ranking	reitingas	Universitetas pagerino savo reitingą.
rape	išžaginimas	Išžaginimo bylos reikalauja atidaus tyrimo.
ratio	santykis	Klasėje yra mažas mokytojų ir mokinių santykis.
rational	racionalus	Jos sprendimas buvo racionalus.
ray	spindulys	Įėjo saulės spindulys.
readily	noriai	Jis noriai priėmė pasiūlymą.
realization	suvokimas	Suvokimas pakeitė jos planus.
realm	sritis	Šis klausimas priklauso kitai sritiai.
rear	galinis	Šiandien naudokitės galiniu įėjimu.
reasoning	samprotavimas	Jo samprotavimas buvo aiškus.
reassure	nuraminti	Gydytojas bandė ją nuraminti.
rebel	sukilėlis	Sukilėlių lyderis išvengė nelaisvės.
rebellion	sukilimas	Sukilimas baigėsi po derybų.
recipient	gavėjas	Gavėjas pasirašė formą.
reconstruction	atstatymas	Atstatymas prasidėjo po potvynio.
recount1	atpasakoti	Ji gali aiškiai atpasakoti įvykius.
referendum	referendumas	Referendumas padalijo šalį.
reflection	apmąstymas	Esė reikalavo gilesnio apmąstymo.
reform	reforma	Reforma pagerino viešąsias paslaugas.
refuge	prieglobstis	Šeima ieškojo prieglobsčio užsienyje.
refusal	atsisakymas	Jos atsisakymas nustebino komitetą.
regain	atgauti	Jis sunkiai dirbo, kad atgautų pasitikėjimą.
regardless	nepaisant to	Jie tęsė nepaisant kritikos.
regime	režimas	Režimas apribojo žodžio laisvę.
