source_headword	SW	example_SW
strengthen	kuimarisha	Sera mpya itaimarisha usalama mtandaoni.
strictly	madhubuti	Tiketi zimezuiwa madhubuti mbili kwa kila mtu.
striking	-a kuvutia	Mchoro huo una rangi za kuvutia.
stroke	pigo	Alipaka pigo moja kwenye karatasi.
stunning	-a kupendeza	Mwonekano wa mlima ulikuwa wa kupendeza.
subsequent	-a baadaye	Mkutano wa baadaye ulithibitisha bajeti.
subsequently	baadaye	Barabara ilifungwa; baadaye, magari yalisonga polepole.
suburb	kitongoji	Wanaishi katika kitongoji tulivu.
suffering	mateso	Dawa hiyo ilipunguza mateso yake.
sufficient	-a kutosha	Timu ina wakati wa kutosha.
sufficiently	kwa kutosha	Chumba kina joto la kutosha.
super	bora	Tableti mpya ni ya haraka sana.
surgeon	daktari mpasuaji	Daktari mpasuaji alitibu goti lililoumia.
survival	kuishi	Maji safi ni muhimu kwa kuishi.
survivor	manusura	Manusura alielezea mafuriko.
suspend	kusimamisha	Shule inaweza kusimamisha safari.
sustainable	-a kudumu	Shamba linatumia mbinu endelevu.
swallow	kumeza	Meza tableti hiyo na maji.
sympathetic	-enye huruma	Meneja alikuwa na huruma na tatizo lake.
tackle	kukabiliana na	Tunahitaji kukabiliana na tatizo la makazi.
tag	lebo	Begi lilikuwa na lebo ya bei.
tap	bomba	Alifunga bomba.
technological	-a kiteknolojia	Mabadiliko ya kiteknolojia huathiri kila sehemu ya kazi.
teens	vijana	Vijana wengi hutumia mitandao ya kijamii kila siku.
temple	hekalu	Hekalu lilisimama karibu na mto.
temporarily	kwa muda	Ofisi imefungwa kwa muda.
tendency	mwelekeo	Ana mwelekeo wa kufika amechelewa.
tension	mvutano	Mvutano uliongezeka wakati wa majadiliano.
terms	masharti	Masharti ya mkataba yalikuwa wazi.
terribly	vibaya sana	Mtoto alikuwa amekasirika sana.
terrify	kutisha	Sauti kubwa zinatisha mbwa.
territory	eneo	Ramani inaonyesha eneo jipya.
terror	ugaidi	Hofu ilienea baada ya shambulio.
terrorism	ugaidi	Ugaidi unatishia usalama wa umma.
terrorist	gaidi	Polisi walimkamata gaidi huyo jana.
testing	upimaji	Upimaji wa bidhaa unaanza Jumatatu.
textbook	kitabu cha kiada	Alisahau kitabu chake cha kiada cha biolojia.
theft	wizi	Wizi uliongezeka katika eneo hilo.
therapist	mtaalamu wa tiba	Mtaalamu wa tiba alimsaidia kudhibiti wasiwasi.
thesis	nadharia	Nadharia yake inachunguza kujifunza mtandaoni.
thorough	-a kina	Ukaguzi wa kina haukupata makosa.
thoroughly	kwa kina	Safisha kidonda kikamilifu.
thumb	kidole gumba	Aliinua kidole gumba kuashiria kukubali.
timing	majira	Majira ya simu yalikuwa kamili.
tissue	tishu	Alifuta glasi kwa tishu.
ton	tani	Lori lilibeba tani moja ya mchanga.
tonne	tani	Mzigo ulikuwa na uzito wa tani moja.
tournament	mashindano	Mashindano ya tenisi yanaanza kesho.
trace	kufuatilia	Wanasayansi wanaweza kufuatilia chanzo cha virusi.
trading	biashara	Biashara ya hisa ilisimama mchana.
tragedy	janga	Ajali hiyo ilikuwa janga baya.
tragic	-a kutisha	Ajali hiyo ilikuwa na matokeo ya janga.
trait	sifa	Uvumilivu ni sifa muhimu.
transmit	kusambaza	Mbu wanaweza kusambaza magonjwa.
transportation	usafiri	Usafiri wa umma umejaa leo.
trap	kunasa	Sanduku linaweza kunasa wadudu kwa usalama.
treasure	hazina	Sanduku la zamani lilikuwa na hazina.
tribe	kabila	Kabila lililinda mila zake.
trigger	kuchochea	Moshi unaweza kuchochea kengele.
trillion	trilioni	Deni lilifikia dola trilioni moja.
troop	kikosi	Kikosi kilisonga kuelekea mpakani.
tsunami	tsunami	Tsunami iliharibu nyumba za pwani.
