simplified	TH	example_TH	MS	example_MS	ID	example_ID
吧	คำช่วยเสนอแนะ; เถอะ; กันเถอะ	ไปกันเถอะ	partikel cadangan; marilah; kan	Ayuh pergi.	partikel ajakan; ayo; ya	Ayo pergi.
白	ขาว	เสื้อผ้าชุดนี้สีขาว	putih	Pakaian ini berwarna putih.	putih	Pakaian ini berwarna putih.
百	ร้อย	โทรศัพท์เครื่องนี้ราคาหนึ่งร้อยหยวน	seratus	Telefon ini berharga seratus yuan.	seratus	Ponsel ini harganya seratus yuan.
帮助	ช่วย; ความช่วยเหลือ	กรุณาช่วยฉัน	bantu; bantuan	Tolong bantu saya.	membantu; bantuan	Tolong bantu saya.
报纸	หนังสือพิมพ์	พ่ออ่านหนังสือพิมพ์	surat khabar	Ayah membaca surat khabar.	koran	Ayah membaca koran.
比	กว่า; เปรียบเทียบ	วันนี้ร้อนกว่าเมื่อวาน	lebih daripada; membandingkan	Hari ini lebih panas daripada semalam.	daripada; membandingkan	Hari ini lebih panas daripada kemarin.
别	อย่า; อื่น	อย่าไป	jangan; lain	Jangan pergi.	jangan; lain	Jangan pergi.
长	ยาว	ถนนเส้นนี้ยาว	panjang	Jalan ini panjang.	panjang	Jalan ini panjang.
唱歌	ร้องเพลง	น้องสาวชอบร้องเพลง	menyanyi	Adik perempuan suka menyanyi.	bernyanyi	Adik perempuan suka bernyanyi.
出	ออก; ออกมา	เขาออกไปแล้ว	keluar	Dia sudah keluar.	keluar	Dia sudah keluar.
穿	สวม; ใส่	ฉันใส่เสื้อผ้าสีขาว	memakai	Saya memakai pakaian putih.	memakai	Saya memakai pakaian putih.
船	เรือ	เรือลอยอยู่บนน้ำ	kapal; bot	Kapal itu terapung di atas air.	perahu; kapal	Perahu itu mengapung di atas air.
次	ครั้ง	ฉันเคยไปปักกิ่งหนึ่งครั้ง	kali	Saya pernah pergi ke Beijing sekali.	kali	Saya pernah ke Beijing sekali.
从	จาก; ตั้งแต่	ฉันออกจากบ้านไปโรงเรียน	dari	Saya pergi dari rumah ke sekolah.	dari	Saya pergi dari rumah ke sekolah.
错	ผิด; ความผิด	คุณผิด	salah; kesilapan	Kamu salah.	salah; kesalahan	Kamu salah.
打篮球	เล่นบาสเกตบอล	พี่ชายกำลังเล่นบาสเกตบอล	bermain bola keranjang	Abang sedang bermain bola keranjang.	bermain bola basket	Kakak laki-laki sedang bermain bola basket.
大家	ทุกคน	ทุกคนมาแล้ว	semua orang	Semua orang sudah datang.	semua orang	Semua orang sudah datang.
但是	แต่; อย่างไรก็ตาม	ฉันยุ่งมากแต่ดีใจมาก	tetapi; namun	Saya sangat sibuk, tetapi sangat gembira.	tetapi; namun	Saya sangat sibuk, tetapi sangat senang.
到	ถึง; มาถึง	ฉันมาถึงโรงเรียนแล้ว	sampai; tiba	Saya sudah sampai di sekolah.	sampai; tiba	Saya sudah tiba di sekolah.
得	คำช่วยส่วนเสริมบอกระดับ	เขาวิ่งเร็วมาก	partikel pelengkap darjah	Dia berlari sangat laju.	partikel pelengkap derajat	Dia berlari sangat cepat.
等	รอ	ฉันรอคุณ	tunggu	Saya menunggu kamu.	menunggu	Saya menunggumu.
弟弟	น้องชาย	น้องชายอยู่บ้าน	adik lelaki	Adik lelaki berada di rumah.	adik laki-laki	Adik laki-laki ada di rumah.
第一	ที่หนึ่ง; แรก	เขาเป็นที่หนึ่ง	pertama	Dia yang pertama.	pertama	Dia yang pertama.
懂	เข้าใจ	ตอนนี้ฉันเข้าใจแล้ว	faham; mengerti	Sekarang saya faham.	mengerti; paham	Sekarang saya paham.
对	ถูก; ไปทาง	คุณพูดถูก	betul; ke arah	Kata-kata kamu betul.	benar; ke arah	Kata-katamu benar.
房间	ห้อง	ห้องนี้ใหญ่	bilik	Bilik ini besar.	kamar; ruangan	Kamar ini besar.
非常	มาก; อย่างยิ่ง	วันนี้หนาวมาก	sangat; amat	Hari ini sangat sejuk.	sangat; amat	Hari ini sangat dingin.
服务员	พนักงานเสิร์ฟ; บริกร	พนักงานเสิร์ฟอยู่ในร้านอาหาร	pelayan; kakitangan perkhidmatan	Pelayan ada di restoran.	pelayan; petugas layanan	Pelayan ada di restoran.
高	สูง	เขาสูง	tinggi	Dia tinggi.	tinggi	Dia tinggi.
告诉	บอก	กรุณาบอกฉัน	beritahu; memberitahu	Tolong beritahu saya.	memberi tahu; mengatakan	Tolong beri tahu saya.
哥哥	พี่ชาย	พี่ชายกำลังทำงาน	abang; kakak lelaki	Abang sedang bekerja.	kakak laki-laki	Kakak laki-laki sedang bekerja.
给	ให้; แก่	ฉันให้หนังสือคุณหนึ่งเล่ม	memberi; kepada	Saya beri kamu sebuah buku.	memberi; kepada	Saya memberimu sebuah buku.
公共汽车	รถประจำทาง	ฉันนั่งรถประจำทางไปทำงาน	bas	Saya naik bas ke tempat kerja.	bus	Saya naik bus ke tempat kerja.
公斤	กิโลกรัม	ฉันซื้อแอปเปิลหนึ่งกิโลกรัม	kilogram	Saya membeli satu kilogram epal.	kilogram	Saya membeli satu kilogram apel.
公司	บริษัท	ฉันทำงานที่บริษัท	syarikat	Saya bekerja di syarikat.	perusahaan; kantor	Saya bekerja di perusahaan.
贵	แพง	นาฬิกาข้อมือนี้แพง	mahal	Jam tangan ini mahal.	mahal	Jam tangan ini mahal.
过	คำช่วยแสดงประสบการณ์ในอดีต	ฉันเคยไปจีน	partikel pengalaman lalu	Saya pernah pergi ke China.	partikel pengalaman lampau	Saya pernah ke Tiongkok.
还	ยัง; อีกด้วย	เขายังอยู่ที่โรงเรียน	masih; juga	Dia masih di sekolah.	masih; juga	Dia masih di sekolah.
孩子	เด็ก; ลูก	เด็กคนนี้ดีใจมาก	anak; kanak-kanak	Anak ini sangat gembira.	anak; anak kecil	Anak ini sangat senang.
好吃	อร่อย	อาหารจานนี้อร่อยมาก	sedap; enak	Hidangan ini sangat sedap.	enak; lezat	Hidangan ini sangat enak.
号	หมายเลข; วันที่	วันนี้วันที่แปด	nombor; tarikh	Hari ini lapan hari bulan.	nomor; tanggal	Hari ini tanggal delapan.
黑	ดำ	แมวตัวนี้สีดำ	hitam	Kucing ini berwarna hitam.	hitam	Kucing ini berwarna hitam.
红	แดง	ฉันชอบแอปเปิลสีแดง	merah	Saya suka epal merah.	merah	Saya suka apel merah.
欢迎	ต้อนรับ; ยินดีต้อนรับ	ยินดีต้อนรับสู่ปักกิ่ง	mengalu-alukan; selamat datang	Selamat datang ke Beijing.	menyambut; selamat datang	Selamat datang di Beijing.
回答	ตอบ; คำตอบ	กรุณาตอบคำถามนี้	jawab; jawapan	Tolong jawab soalan ini.	menjawab; jawaban	Tolong jawab pertanyaan ini.
机场	สนามบิน	สนามบินอยู่ไกลจากที่นี่	lapangan terbang	Lapangan terbang jauh dari sini.	bandara	Bandara jauh dari sini.
鸡蛋	ไข่ไก่	ฉันกินไข่ไก่	telur	Saya makan telur.	telur ayam	Saya makan telur ayam.
件	ลักษณนามสำหรับเสื้อผ้าและสิ่งของ	ฉันซื้อเสื้อผ้ามาหนึ่งชิ้น	penjodoh bilangan untuk pakaian dan barang	Saya membeli sehelai pakaian.	kata bantu bilangan untuk pakaian dan benda	Saya membeli satu potong pakaian.
教室	ห้องเรียน	นักเรียนอยู่ในห้องเรียน	bilik darjah	Pelajar berada di bilik darjah.	ruang kelas	Siswa berada di ruang kelas.
姐姐	พี่สาว	พี่สาวเป็นหมอ	kakak perempuan	Kakak perempuan ialah doktor.	kakak perempuan	Kakak perempuan adalah dokter.
介绍	แนะนำ; นำเสนอ	ฉันแนะนำเพื่อนของฉัน	memperkenalkan; memperkenal	Saya memperkenalkan kawan saya.	memperkenalkan	Saya memperkenalkan teman saya.
进	เข้า; เข้ามา	เชิญเข้ามา	masuk	Sila masuk.	masuk	Silakan masuk.
近	ใกล้	โรงเรียนอยู่ใกล้บ้าน	dekat	Sekolah dekat dengan rumah.	dekat	Sekolah dekat dengan rumah.
就	ก็; ทันที; พอดี	ฉันจะไปเดี๋ยวนี้	segera; maka; tepat	Saya pergi sekarang juga.	segera; maka; tepat	Saya pergi sekarang juga.
觉得	คิดว่า; รู้สึก	ฉันคิดว่าอาหารจานนี้อร่อย	rasa; fikir	Saya rasa hidangan ini sedap.	merasa; berpikir	Saya merasa hidangan ini enak.
咖啡	กาแฟ	ฉันดื่มกาแฟ	kopi	Saya minum kopi.	kopi	Saya minum kopi.
开始	เริ่ม; การเริ่มต้น	การสอบเริ่มแล้ว	mula; permulaan	Peperiksaan sudah bermula.	mulai; permulaan	Ujian sudah dimulai.
考试	สอบ; การสอบ	พรุ่งนี้มีสอบ	peperiksaan; ujian	Esok ada peperiksaan.	ujian; tes	Besok ada ujian.
可能	อาจจะ; เป็นไปได้	เขาอาจอยู่บ้าน	mungkin; boleh jadi	Dia mungkin berada di rumah.	mungkin; bisa jadi	Dia mungkin ada di rumah.
可以	ได้; สามารถ	ฉันไปได้ไหม	boleh; dapat	Boleh saya pergi?	bisa; boleh	Boleh saya pergi?
课	คาบเรียน; บทเรียน	วันนี้มีคาบภาษาจีน	kelas; pelajaran	Hari ini ada kelas bahasa Cina.	kelas; pelajaran	Hari ini ada kelas bahasa Mandarin.
快	เร็ว; ใกล้จะ	เขาเดินเร็วมาก	laju; cepat; tidak lama lagi	Dia berjalan sangat laju.	cepat; segera	Dia berjalan sangat cepat.
快乐	มีความสุข; สนุก	สุขสันต์วันเกิด	gembira; bahagia	Selamat hari jadi.	senang; bahagia	Selamat ulang tahun.
累	เหนื่อย	ฉันเหนื่อยมาก	penat; letih	Saya sangat penat.	lelah; capek	Saya sangat lelah.
离	ห่างจาก; จาก	โรงเรียนไม่ไกลจากบ้าน	jauh dari; dari	Sekolah tidak jauh dari rumah.	berjarak dari; dari	Sekolah tidak jauh dari rumah.
两	สอง	ฉันมีลูกสองคน	dua	Saya ada dua orang anak.	dua	Saya punya dua anak.
路	ถนน; ทาง	ถนนเส้นนี้ยาว	jalan	Jalan ini panjang.	jalan	Jalan ini panjang.
旅游	ท่องเที่ยว; เที่ยว	ฉันอยากไปเที่ยวจีน	melancong; pelancongan	Saya mahu melancong ke China.	berwisata; bepergian	Saya ingin berwisata ke Tiongkok.
卖	ขาย	ร้านนี้ขายแอปเปิล	menjual	Kedai ini menjual epal.	menjual	Toko ini menjual apel.
慢	ช้า	กรุณาพูดช้าลงหน่อย	perlahan; lambat	Tolong perlahan sedikit.	lambat; pelan	Tolong lebih pelan sedikit.
忙	ยุ่ง	วันนี้ฉันยุ่ง	sibuk	Hari ini saya sibuk.	sibuk	Hari ini saya sibuk.
每	ทุก; แต่ละ	ฉันเรียนภาษาจีนทุกวัน	setiap	Saya belajar bahasa Cina setiap hari.	setiap	Saya belajar bahasa Mandarin setiap hari.
妹妹	น้องสาว	น้องสาวกำลังดูทีวี	adik perempuan	Adik perempuan sedang menonton TV.	adik perempuan	Adik perempuan sedang menonton TV.
门	ประตู	ประตูเปิดแล้ว	pintu	Pintu sudah terbuka.	pintu	Pintu sudah terbuka.
男人	ผู้ชาย	ผู้ชายคนนี้เป็นครู	lelaki; pria	Lelaki ini guru.	pria; laki-laki	Pria ini guru.
您	คุณ; ท่าน	สวัสดี	tuan; puan	Selamat sejahtera.	Anda; Bapak/Ibu	Halo.
牛奶	นม	ฉันดื่มนม	susu	Saya minum susu.	susu	Saya minum susu.
女人	ผู้หญิง	ผู้หญิงคนนั้นเป็นหมอ	wanita; perempuan	Wanita itu doktor.	wanita; perempuan	Wanita itu dokter.
旁边	ข้างๆ; ด้านข้าง	มีร้านค้าอยู่ข้างโรงเรียน	sebelah; di sebelah	Ada sebuah kedai di sebelah sekolah.	di sebelah; samping	Ada toko di sebelah sekolah.
跑步	วิ่ง; วิ่งออกกำลังกาย	ฉันวิ่งตอนเช้า	berlari; berjoging	Saya berlari pada waktu pagi.	berlari; joging	Saya berlari pagi.
便宜	ถูก; ราคาไม่แพง	แอปเปิลลูกนี้ราคาถูก	murah	Epal ini murah.	murah	Apel ini murah.
票	ตั๋ว	ฉันซื้อตั๋ว	tiket	Saya membeli tiket.	tiket	Saya membeli tiket.
妻子	ภรรยา	ภรรยาของฉันเป็นครู	isteri	Isteri saya guru.	istri	Istri saya guru.
起床	ตื่นนอน; ลุกจากเตียง	ฉันตื่นนอนตอนหกโมงเช้า	bangun tidur	Saya bangun pada pukul enam pagi.	bangun tidur	Saya bangun jam enam pagi.
千	พัน	จักรยานคันนี้ราคาหนึ่งพันหยวน	seribu	Basikal ini berharga seribu yuan.	seribu	Sepeda ini harganya seribu yuan.
晴	แดดออก; ท้องฟ้าแจ่มใส	วันนี้แดดออก	cerah	Hari ini cerah.	cerah	Hari ini cerah.
去年	ปีที่แล้ว	ปีที่แล้วฉันอยู่ปักกิ่ง	tahun lepas	Tahun lepas saya berada di Beijing.	tahun lalu	Tahun lalu saya berada di Beijing.
让	ให้; อนุญาต	แม่ให้ฉันเรียน	membiarkan; membenarkan	Ibu membenarkan saya belajar.	mengizinkan; membiarkan	Ibu mengizinkan saya belajar.
上班	ไปทำงาน; เข้างาน	ฉันไปทำงานตอนแปดโมง	pergi kerja	Saya pergi kerja pada pukul lapan.	pergi bekerja	Saya pergi bekerja jam delapan.
身体	ร่างกาย; สุขภาพ	เขาสุขภาพดี	badan; kesihatan	Dia sihat.	tubuh; kesehatan	Dia sehat.
生病	ป่วย	เขาป่วย	sakit	Dia sakit.	sakit	Dia sakit.
生日	วันเกิด	วันนี้เป็นวันเกิดของฉัน	hari jadi	Hari ini hari jadi saya.	ulang tahun	Hari ini ulang tahun saya.
时间	เวลา	ฉันไม่มีเวลา	masa	Saya tiada masa.	waktu	Saya tidak punya waktu.
事情	เรื่อง; ธุระ	ฉันมีธุระต้องทำ	hal; urusan	Saya ada sesuatu yang perlu dibuat.	urusan; hal	Saya punya urusan yang harus dikerjakan.
手表	นาฬิกาข้อมือ	นาฬิกาข้อมือนี้ใหม่	jam tangan	Jam tangan ini baharu.	jam tangan	Jam tangan ini baru.
手机	โทรศัพท์มือถือ	โทรศัพท์มือถือของฉันอยู่บนโต๊ะ	telefon bimbit	Telefon bimbit saya di atas meja.	ponsel; telepon genggam	Ponsel saya ada di atas meja.
送	ให้เป็นของขวัญ; ส่ง	ฉันให้หนังสือคุณหนึ่งเล่ม	memberi; menghantar	Saya menghadiahkan sebuah buku kepada kamu.	memberi hadiah; mengirim	Saya memberimu sebuah buku.
所以	ดังนั้น; เพราะฉะนั้น	วันนี้ฝนตกฉันเลยไม่ไป	jadi; oleh itu	Hari ini hujan, jadi saya tidak pergi.	jadi; oleh karena itu	Hari ini hujan, jadi saya tidak pergi.
它	มัน	มันคือแมวของฉัน	ia; itu	Itu kucing saya.	itu; ia	Itu kucing saya.
踢足球	เล่นฟุตบอล	พวกเขาเล่นฟุตบอล	bermain bola sepak	Mereka bermain bola sepak.	bermain sepak bola	Mereka bermain sepak bola.
题	คำถาม; โจทย์	โจทย์ข้อนี้ไม่ถูกต้อง	soalan; latihan	Soalan ini tidak betul.	soal; pertanyaan	Soal ini tidak benar.
跳舞	เต้นรำ	เธอชอบเต้นรำ	menari	Dia suka menari.	menari	Dia suka menari.
外	ข้างนอก; ภายนอก	เขาอยู่ข้างนอกหน้าประตู	luar; di luar	Dia di luar, di depan pintu.	luar; di luar	Dia di luar, di depan pintu.
完	เสร็จ; จบ	ฉันทำเสร็จแล้ว	selesai; habis	Saya sudah selesai.	selesai; habis	Saya sudah selesai.
玩	เล่น; สนุก	เด็กกำลังเล่น	bermain; berseronok	Anak itu sedang bermain.	bermain; bersenang-senang	Anak itu sedang bermain.
晚上	ตอนเย็น; กลางคืน	ตอนเย็นฉันดูหนัง	malam; waktu malam	Pada waktu malam, saya menonton filem.	malam; malam hari	Pada malam hari, saya menonton film.
为什么	ทำไม	ทำไมคุณไม่ไป	mengapa	Kenapa kamu tidak pergi?	mengapa; kenapa	Kenapa kamu tidak pergi?
问	ถาม	ฉันถามครู	bertanya; tanya	Saya bertanya kepada guru.	bertanya; menanyakan	Saya bertanya kepada guru.
问题	คำถาม; ปัญหา	ฉันมีคำถาม	soalan; masalah	Saya ada soalan.	pertanyaan; masalah	Saya punya pertanyaan.
西瓜	แตงโม	ฉันกินแตงโม	tembikai	Saya makan tembikai.	semangka	Saya makan semangka.
希望	หวัง; ความหวัง	ฉันหวังว่าคุณจะมา	harap; harapan	Saya harap kamu datang.	berharap; harapan	Saya berharap kamu datang.
洗	ล้าง; ซัก	ฉันซักเสื้อผ้า	mencuci	Saya membasuh pakaian.	mencuci	Saya mencuci pakaian.
向	ไปทาง; มุ่งไปยัง	เขาเดินมาทางฉัน	ke arah; kepada	Dia berjalan ke arah saya.	ke arah; kepada	Dia berjalan ke arah saya.
小时	ชั่วโมง	ฉันเรียนสองชั่วโมง	jam	Saya belajar selama dua jam.	jam	Saya belajar selama dua jam.
