source_headword	CS	example_CS
heal	léčit	Odpočinek pomáhá tělu se léčit.
healthcare	zdravotnictví	Náklady na zdravotnictví letos vzrostly.
helmet	helma	Na kole noste helmu.
hence	proto	Proto jsme změnili rozvrh.
herb	bylina	Bazalka je užitečná bylina.
hidden	skrytý	Klíč byl skrytý pod rohožkou.
highway	dálnice	Dálnice byla po sněžení uzavřena.
hilarious	k popukání	Ten film byl k popukání.
hip	kyčel	Při tréninku si zranila kyčel.
historian	historik	Historik studoval staré dopisy.
homeless	bezdomovec	Útulna pomáhá rodinám bezdomovců.
honesty	upřímnost	Upřímnost buduje důvěru.
hook	háček	Pověste kabát na háček.
hopefully	doufejme	Doufejme, že vlak brzy dorazí.
hunger	hlad	Hlad může ovlivnit soustředění.
hypothesis	hypotéza	Experiment testoval hypotézu.
icon	ikona	Ikona aplikace se dnes změnila.
ID	průkaz totožnosti	Ukažte svůj průkaz totožnosti na recepci.
identical	identický	Dvojčata měla identické bundy.
illusion	iluze	Zrcadlo vytváří iluzi.
immigration	imigrace	Imigrační politika se loni změnila.
immune	imunní	Očkování může lidi učinit imunními.
implement	zavést	Škola tuto politiku zavede.
implication	důsledek	Důsledek byl jasný.
incentive	pobídka	Bonus poskytl pracovníkům pobídku.
incorporate	zahrnout	Zahrňte do jídel více zeleniny.
incorrect	nesprávný	Odpověď byla nesprávná.
independence	nezávislost	Země slavila nezávislost.
index	rejstřík	Zkontrolujte téma v rejstříku.
indication	náznak	Úsměv byl náznakem úlevy.
inevitable	nevyhnutelný	Určité zpoždění bylo nevyhnutelné.
inevitably	nevyhnutelně	Ceny po nedostatku nevyhnutelně vzrostly.
infer	odvodit	Odpověď můžeme odvodit z kontextu.
inflation	inflace	Inflace zvýšila ceny potravin.
info	informace	Webová stránka uvádí užitečné informace.
infrastructure	infrastruktura	Bouře poškodila místní infrastrukturu.
inhabitant	obyvatel	Každý obyvatel dostal čistou vodu.
inherit	zdědit	Ona zdědí rodinný dům.
ink	inkoust	Tiskárna potřebuje černý inkoust.
innovation	inovace	Inovace posouvá průmysl vpřed.
innovative	inovativní	Společnost uvedla na trh inovativní produkt.
input	příspěvek	Manažer požádal o příspěvek.
insert	vložit	Vložte kartu do přístroje.
inspector	inspektor	Inspektor zkontroloval budovu.
installation	instalace	Instalace trvala dvě hodiny.
instant	okamžitý	Aplikace odeslala okamžitou odpověď.
instantly	okamžitě	Obrazovka se okamžitě zapnula.
integrate	integrovat	Software může integrovat nové nástroje.
intellectual	intelektuální	Debata byla intelektuální, ale přátelská.
interact	komunikovat	Studenti při skupinové práci komunikují.
interaction	interakce	Interakce byla zdvořilá.
interpretation	výklad	Její výklad básně byl originální.
interval	přestávka	Mezi dějstvími byla krátká přestávka.
