source_headword	ML	example_ML
hunt	വേട്ടയാടുക	അവർ ശരത്കാലത്തിൽ കൂൺ തേടിപ്പോകുന്നു.
hurricane	ചുഴലിക്കാറ്റ്	ചുഴലിക്കാറ്റ് പല വീടുകൾക്കും നാശം വരുത്തി.
hurry	തിടുക്കം	ഇന്ന് ഒരു തിടുക്കവും ഇല്ല.
identity	തിരിച്ചറിയൽ	അവളുടെ തിരിച്ചറിയൽ രഹസ്യമായി തന്നെ തുടർന്നു.
ignore	അവഗണിക്കുക	ഈ മുന്നറിയിപ്പ് അവഗണിക്കരുത്.
illegal	നിയമവിരുദ്ധം	ഇവിടെ വാഹനം നിർത്തുന്നത് നിയമവിരുദ്ധമാണ്.
imaginary	കൽപ്പിതമായ	കഥയിൽ ഒരു കൽപ്പിത ദ്വീപുണ്ട്.
immediate	ഉടൻ വേണ്ട	നമുക്ക് ഉടൻ വേണ്ട മറുപടി വേണം.
immigrant	കുടിയേറ്റക്കാരൻ	കുടിയേറ്റക്കാരൻ ഇംഗ്ലീഷ് വേഗത്തിൽ പഠിച്ചു.
impact	പ്രഭാവം	വാർത്തയ്ക്ക് ശക്തമായ പ്രഭാവം ഉണ്ടായിരുന്നു.
import	ഇറക്കുമതി ചെയ്യുക	രാജ്യം കൂടുതൽ അരി ഇറക്കുമതി ചെയ്യും.
importance	പ്രാധാന്യം	അവൾ ഉറക്കത്തിന്റെ പ്രാധാന്യം മനസ്സിലാക്കി.
impression	അഭിപ്രായമുദ്ര	അവന്റെ ആദ്യ അഭിപ്രായമുദ്ര സാനുകൂലമായിരുന്നു.
impressive	ആകർഷകമായ	മ്യൂസിയത്തിന് ആകർഷകമായ പ്രവേശനവാതിൽ ഉണ്ട്.
improvement	മെച്ചപ്പെടുത്തൽ	ഈ മാസം വ്യക്തമായ മെച്ചപ്പെടുത്തൽ ഉണ്ടായിരുന്നു.
incredibly	അവിശ്വസനീയമായി	പരീക്ഷ അവിശ്വസനീയമായി ബുദ്ധിമുട്ടായിരുന്നു.
indeed	തീർച്ചയായും	അത് തീർച്ചയായും വിചിത്രമായ ദിവസമായിരുന്നു.
