simplified	SI	example_SI
爱	ආදරය කරනවා; කැමති වෙනවා	මම අම්මාට ආදරෙයි.
八	අට	මට පොත් අටක් තියෙනවා.
爸爸	තාත්තා; පියා	තාත්තා ගෙදර ඉන්නවා.
杯子	කෝප්පය; වීදුරුව	මේ කෝප්පය ලොකුයි.
北京	බෙයිජිං	මම බෙයිජිංවල වැඩ කරනවා.
本	පොත් සඳහා මිනුම් පදය; වෙළුම	මට එක පොතක් තියෙනවා.
不	නැහැ; නො-	මම බත් කන්නේ නැහැ.
不客气	කමක් නැහැ; ස්තුතියි කියන්න දෙයක් නැහැ	ස්තුතියි. කමක් නැහැ.
菜	කෑම වර්ගය; එළවළු; ආහාරය	මේ කෑම වර්ගය රසයි.
茶	තේ	මම තේ බොනවා.
吃	කන්න	මම ඇපල් ගෙඩියක් කනවා.
出租车	ටැක්සිය	මම ටැක්සියෙන් පාසලට යනවා.
打电话	දුරකථන ඇමතුමක් දෙනවා	මම දුරකථන ඇමතුමක් දෙනවා.
大	ලොකු; විශාල	මේ පාසල ලොකුයි.
的	ගේ; අයිති පදය	මේක මගේ පොතයි.
点	වෙලාව; ලක්ෂ්‍යය; ටිකක්	දැන් අටයි.
电脑	පරිගණකය	මගේ පරිගණකය මේසය උඩ තියෙනවා.
电视	රූපවාහිනිය	මම රූපවාහිනිය බලනවා.
电影	චිත්‍රපටය	මම චිත්‍රපටවලට කැමතියි.
东西	දෙය; බඩුව	මේක මොන දෙයක්ද?
都	හැමෝම; සියල්ල; දෙකම	අපි හැමෝම සිසුන්.
读	කියවන්න; ඉගෙන ගන්න	මම පොතක් කියවනවා.
对不起	සමාවෙන්න; සමාවන්න	සමාවෙන්න, මම ඔබව හඳුනන්නේ නැහැ.
多	බොහෝ; වැඩි	මට මිතුරන් බොහෝ දෙනෙක් ඉන්නවා.
多少	කීයක්; කොච්චර	මේ කෝප්පය යුවාන් කීයක්ද?
儿子	පුතා	මගේ පුතා සිසුවෙක්.
二	දෙක	පෙබරවාරි සීතලයි.
饭馆	ආපනශාලාව; කෑමහල	ආපනශාලාව පාසල ඉදිරිපිට තියෙනවා.
飞机	ගුවන් යානය	මම ගුවන් යානයෙන් බෙයිජිංට යනවා.
分钟	මිනිත්තුව	මම මිනිත්තු පහක් ඉගෙන ගන්නවා.
高兴	සතුටු; ප්‍රීතිමත්	අද මම ඉතා සතුටුයි.
个	සාමාන්‍ය මිනුම් පදය	මට මිතුරෙක් ඉන්නවා.
工作	වැඩ කරනවා; රැකියාව	මම බෙයිජිංවල වැඩ කරනවා.
狗	බල්ලා	මම බල්ලන්ට කැමතියි.
汉语	චීන භාෂාව	මම චීන භාෂාව ඉගෙන ගන්නවා.
好	හොඳ	අද කාලගුණය හොඳයි.
喝	බොන්න	මම වතුර බොනවා.
和	සහ; සමඟ	මම මිතුරෙකු සමඟ පාසලට යනවා.
很	ඉතා; ගොඩක්	ඇය ඉතා ලස්සනයි.
后面	පිටුපස	පාසල ආපනශාලාවට පිටුපසින් තියෙනවා.
回	ආපසු යනවා; නැවත එනවා	මම ගෙදරට ආපසු යනවා.
会	පුළුවන්; දන්නවා	මට චීන භාෂාව කතා කරන්න පුළුවන්.
火车站	දුම්රිය ස්ථානය	දුම්රිය ස්ථානය ලොකුයි.
几	කීයක්; කිහිපයක්	ඔයාට මිතුරන් කී දෙනෙක් ඉන්නවද?
家	ගෙදර; පවුල	මගේ ගෙදර බෙයිජිංවල තියෙනවා.
叫	නමින් හඳුන්වනවා; අමතනවා	ඔයාගේ නම මොකක්ද?
今天	අද	අද දවස රස්නෙයි.
九	නවය	දැන් නවයයි.
开	විවෘත කරනවා; ක්‍රියාත්මක කරනවා	මම පරිගණකය ක්‍රියාත්මක කරනවා.
看	බලනවා; කියවනවා	මම පොතක් කියවනවා.
看见	දකිනවා	මම ගුරුවරයා දකිනවා.
块	කැබැල්ල; යුවාන්	මේ පොත යුවාන් දහයයි.
来	එනවා	ඔහු පාසලට එනවා.
老师	ගුරුතුමා; ගුරුතුමිය; ගුරුවරයා; ගුරුවරිය	ගුරුතුමා පාසලේ ඉන්නවා.
了	සම්පූර්ණ ක්‍රියාව දක්වන පදය	මම බත් කෑවා.
