simplified	TA	example_TA
挨	தாங்குதல்	அவன் முழு இரவும் தாங்கி, இறுதியில் விடியலைக் காத்திருந்தான்.
癌症	புற்றுநோய்	புற்றுநோயை ஆரம்பத்திலேயே கண்டறிவது மிகவும் முக்கியம்.
暧昧	தெளிவற்ற	அவனுடைய பதில் மிகவும் தெளிவற்றதாக இருந்தது.
爱不释手	கைவிட முடியாத அளவு விரும்புதல்	அவள் அந்தப் புத்தகத்தை கைவிட முடியாத அளவு விரும்பினாள்.
爱戴	அன்பும் மரியாதையும் செலுத்துதல்	இந்த ஆசிரியரை மாணவர்கள் ஆழமாக அன்பும் மரியாதையும் செலுத்துகிறார்கள்.
安宁	அமைதியான	இங்குள்ள இரவுகள் மிகவும் அமைதியானவை.
安详	சாந்தமான	முதியவரின் முகபாவம் மிகவும் சாந்தமாக இருந்தது.
安置	இடமளித்து குடியமர்த்துதல்	அரசு பேரிடரால் பாதிக்கப்பட்ட மக்களை இடமளித்து குடியமர்த்தியது.
按摩	மசாஜ்	நான் ஒரு மசாஜுக்கான நேரத்தை முன்பதிவு செய்தேன்.
暗示	சுட்டிக்காட்டுதல்	அவள் இனி கேட்க வேண்டாம் என்று எனக்குச் சுட்டிக்காட்டினாள்.
案件	வழக்கு	போலீசார் இந்த வழக்கை விசாரித்து வருகின்றனர்.
案例	உதாரண வழக்கு	இந்த உதாரண வழக்கு மிகவும் பிரதிநிதித்துவமானது.
昂贵	மிக விலையுயர்ந்த	இந்த உபகரணம் மிகவும் விலையுயர்ந்தது.
凹凸	மேடு பள்ளமான	இந்த சாலையின் மேற்பரப்பு மேடு பள்ளமாக உள்ளது.
熬	கஷ்டப்பட்டு தாங்குதல்	அவன் மூன்று நாட்கள் கஷ்டப்பட்டு தாங்கி அறிக்கையை முடித்தான்.
奥秘	ஆழமான மர்மம்	அறிவியலாளர் இந்த ஆழமான மர்மத்தை வெளிக்கொணர விரும்புகிறார்.
