simplified	RU	example_RU
挨	терпеть; переносить	Он продержался всю ночь и наконец дождался рассвета.
癌症	рак; онкологическое заболевание	Раннее выявление рака очень важно.
暧昧	неясный; двусмысленный	Его ответ был очень двусмысленным.
爱不释手	не мочь оторваться; очень нравиться	Книга ей так понравилась, что она не могла выпустить ее из рук.
爱戴	любить и уважать	Этого учителя глубоко любят и уважают ученики.
安宁	спокойный; мирный	Ночи здесь очень спокойные.
安详	безмятежный; спокойный	Выражение лица старика было безмятежным.
安置	разместить; устроить	Правительство расселило пострадавших жителей.
按摩	массаж	Я записался на массаж.
暗示	намекать; намек	Она намекнула мне больше не спрашивать.
案件	дело; судебное дело	Полиция расследует это дело.
案例	пример; случай	Этот случай очень показательный.
昂贵	дорогой; дорогостоящий	Это оборудование очень дорогое.
凹凸	неровный; бугристый	Поверхность этой дороги неровная.
熬	варить долго; терпеть	Он три дня терпел трудности и только потом закончил отчет.
奥秘	тайна; загадка	Ученый хочет раскрыть эту тайну.
巴不得	страстно хотеть; с нетерпением ждать	Я прямо не могу дождаться, чтобы сразу отправиться.
巴结	заискивать; подлизываться	Он не хочет заискивать перед руководством.
扒	держаться; цепляться; раскапывать	Ребенок держался за дверь и смотрел наружу.
疤	шрам	У него на руке есть шрам.
拔苗助长	портить дело чрезмерной поспешностью	Так заставлять ребенка учиться значит только вредить поспешностью.
把关	проверять; контролировать	Этот договор должен проверить юрист.
把手	ручка; рукоятка	Ручка двери сломалась.
罢工	забастовка; бастовать	Рабочие решили завтра бастовать.
霸道	властный; деспотичный	Он говорит слишком властно.
掰	разламывать руками	Она разломила хлеб на две половины.
摆脱	избавиться; освободиться	Он наконец избавился от плохой привычки.
拜访	навещать; наносить визит	В выходные мы навестим учителя.
拜年	поздравлять с Новым годом	На Праздник весны мы идем поздравлять дедушку и бабушку с Новым годом.
拜托	просить; поручать	Поручаю это дело тебе.
败坏	портить; подрывать	Такое поведение повредит репутации компании.
斑	пятно; крапинка	У кошки есть черное пятно.
颁布	издавать; обнародовать	Новые правила будут объявлены на следующей неделе.
颁发	выдавать; вручать	Школа вручила грамоты отличившимся ученикам.
版本	версия; издание	У этой программы есть новая версия.
伴侣	спутник; партнер	Она считает собаку своим спутником.
伴随	сопровождать; сопутствовать	Успех часто сопровождается давлением.
半途而废	бросить на полпути	В исследовании нельзя бросать дело на полпути.
扮演	играть роль	В фильме он играет врача.
榜样	пример; образец	Родители являются примером для детей.
绑架	похищать; захватывать	Полиция предотвратила дело о похищении.
磅	фунт	Этот ящик весит двадцать фунтов.
包庇	покрывать; укрывать	Никому нельзя покрывать преступление.
包袱	узел; ноша; бремя	Сбросив это бремя, он почувствовал себя гораздо легче.
包围	окружать	Журналисты окружили актера.
包装	упаковка; упаковывать	Упаковка этого подарка очень красивая.
保管	хранить; отвечать за сохранность	Эти документы хранятся у меня.
保密	сохранять в тайне	Содержание встречи должно сохраняться в тайне.
保姆	няня; домработница	Они наняли няню.
保守	консервативный; хранить	Его взгляды довольно консервативны.
保卫	защищать; охранять	Солдаты охраняют границу.
保养	ухаживать; обслуживать	Эту машину нужно регулярно обслуживать.
保障	обеспечивать; гарантировать	Закон защищает права граждан.
保重	беречь себя	Пожалуйста, береги себя, когда будешь далеко от дома.
饱和	насыщение; насыщенный	Этот рынок уже близок к насыщению.
饱经沧桑	пережить много перемен и испытаний	Этот старик пережил много перемен и испытаний.
报酬	вознаграждение; оплата	Он получил справедливое вознаграждение.
报仇	мстить; отомстить	Он не хочет мстить, а хочет начать заново.
报答	отплатить; отблагодарить	Я отблагодарю тебя за помощь делом.
报复	мстить; месть	Месть только углубит конфликт.
报警	сообщить в полицию; поднять тревогу	Обнаружив пожар, нужно сразу позвонить в полицию.
报销	возмещать расходы; подать на компенсацию	Командировочные расходы можно возместить.
抱负	стремление; амбиция	У него с детства были большие стремления.
暴力	насилие; силовой	Мы выступаем против любой формы насилия.
暴露	выявлять; раскрывать; обнажать	Эта проблема постепенно выявилась.
曝光	разоблачение; публикация; экспозиция	После публикации эта фотография привлекла внимание.
爆发	вспыхнуть; извергнуться; разразиться	Вулкан внезапно извергся.
爆炸	взрыв; взрываться	В лаборатории произошел взрыв.
卑鄙	подлый; низкий	Такой подлый способ вызывает возмущение.
悲哀	печальный; скорбный	Услышав эту новость, он почувствовал глубокую печаль.
悲惨	трагический; жалкий	Это был трагический период истории.
北极	Северный полюс; Арктика	Ученые проводят исследования в Арктике.
备份	резервная копия; делать резервную копию	Сначала сделайте резервную копию важных файлов.
备忘录	памятка; меморандум	Она записала основные пункты в памятке.
背叛	предавать; предательство	Он не мог принять предательство друга.
背诵	читать наизусть; заучивать	Ученики читают текст наизусть.
被动	пассивный	На переговорах нам нельзя быть слишком пассивными.
被告	ответчик; обвиняемый	Обвиняемый отрицал все обвинения.
贝壳	ракушка	Ребенок собирал ракушки на берегу моря.
奔波	мотаться; бегать по делам	Он мотается повсюду из-за работы.
奔驰	мчаться; быстро ехать	Машина мчалась по скоростной дороге.
本能	инстинкт	Защищать детей - родительский инстинкт.
本钱	капитал; средства	Для бизнеса нужен капитал.
本人	сам; лично я	Я лично готов взять на себя ответственность.
本身	сам по себе; само	В самом плане нет проблемы.
本事	умение; способность	Он очень способный.
笨拙	неуклюжий; неловкий	Его движения немного неуклюжи.
崩溃	рушиться; сломаться; потерпеть крах	Система внезапно дала сбой.
甭	не нужно	Об этом тебе не нужно беспокоиться.
蹦	прыгать; скакать	Щенок скакал по траве туда-сюда.
迸发	вырваться; хлынуть	Аплодисменты вырвались из толпы.
逼迫	заставлять; принуждать	Они заставили его подписать договор.
鼻涕	сопли; носовая слизь	Ребенок простудился, и у него постоянно течет из носа.
比方	пример; например	Например, мы можем сначала попробовать один месяц.
比喻	метафора; сравнение	Эта метафора очень наглядная.
比重	доля; удельный вес	Доля сферы услуг становится все выше.
鄙视	презирать; смотреть свысока	Не смотри свысока на усилия других людей.
弊病	недостаток; порок	У этой системы немало недостатков.
弊端	изъян; злоупотребление; недостаток	Новый план устранил недостатки старой системы.
臂	рука; плечо	Его правая рука была ранена.
闭塞	изолированный; труднодоступный	Раньше транспорт в этой горной деревне был очень труднодоступным.
编织	вязать; плести	Бабушка вяжет свитер.
边疆	пограничный край; окраина	Многие солдаты охраняют границы родины.
边界	граница	Две страны заново определили границу.
边境	приграничье; граница	В приграничных районах усилили проверки безопасности.
边缘	край; кромка	Чашка стоит на краю стола.
鞭策	подстегивать; побуждать	Слова учителя всегда подстегивали меня.
扁	плоский	Эта коробка широкая и плоская.
贬低	принижать; умалять	Не принижай чужие усилия без причины.
贬义	уничижительный смысл; негативная окраска	Это слово здесь имеет негативную окраску.
便利	удобный; облегчать	Метро делает поездки удобнее.
便条	записка	Он оставил записку на столе.
便于	удобный для; облегчать	Эта конструкция удобна для пожилых людей.
变故	неожиданное несчастье; происшествие	В семье внезапно случилось несчастье.
变迁	изменения; перемены	Перемены в городе глубоко его тронули.
变质	портиться; ухудшаться	Молоко испортится, если оставить его надолго.
辨认	узнавать; опознавать	Полиция попросила его опознать человека на фотографии.
辩护	защищать; выступать в защиту	Адвокат защищал обвиняемого.
辩解	оправдываться; объяснять	Он пытался оправдать свою ошибку.
辩证	диалектический; диалектически рассматривать	Мы должны смотреть на эту проблему диалектически.
辫子	коса; косичка	У маленькой девочки заплетены две косички.
遍布	быть распространенным повсюду; покрывать всю территорию	Это растение распространено по всей стране.
标本	образец; экземпляр	В музее выставлены образцы животных.
标记	метка; знак; символ	Поставьте отметки рядом с важными абзацами.
标题	заголовок; название	Заголовок этой статьи очень привлекателен.
表决	голосовать; решать голосованием	Представители будут голосовать по предложению.
表态	заявить позицию; высказаться	Он пока не заявил свою позицию публично.
表彰	отмечать заслуги; награждать	Компания отметила заслуги отличных сотрудников.
憋	сдерживать; подавлять	Он сдерживал смех и ничего не говорил.
别墅	вилла; загородный дом	Они купили виллу в пригороде.
别致	оригинальный; своеобразный	Оформление этой кофейни очень оригинальное.
别扭	неловкий; неудобный; странный	Эта фраза звучит немного неуклюже.
濒临	быть на грани; приближаться к	Это животное находится на грани вымирания.
冰雹	град; градина	Вчера днем прошел сильный град.
丙	третий; группа С	Соревнование группы С начнется днем.
并非	вовсе не; не является	Дело вовсе не такое, как ты думаешь.
