source_headword	PT	example_PT
rock (music)	o rock	Adoro música rock.
role	o papel	O papel dela é importante.
roof	o telhado	O telhado precisa de reparação.
round	redondo	A mesa é redonda.
route	a rota	Esta rota é mais curta.
rubbish	o lixo	Põe o lixo lá fora.
rude	mal-educado	Esse comentário foi mal-educado.
runner	o corredor	O corredor parece cansado.
running	a corrida	Correr mantém-me saudável.
sadly	infelizmente	Infelizmente, perdemos o comboio.
safe	seguro	Esta rua parece segura.
sail	velejar	Velejamos no sábado.
sailing	a vela	A vela é popular aqui.
salary	o salário	O salário dele é agora mais alto.
sale	os saldos	Os saldos começam amanhã.
sauce	o molho	Adiciona molho ao arroz.
save	guardar	Guarda o teu trabalho agora.
scared	assustado	A criança está assustada.
scary	assustador	Esta história é assustadora.
scene	a cena	A cena final foi engraçada.
schedule	o horário	Consulta o horário hoje.
score	o resultado	Qual é o resultado?
screen	o ecrã	Limpa o ecrã com cuidado.
search	procurar	Procura fotografias na web.
season	a estação	O verão é uma estação movimentada.
seat	o lugar	Ocupa este lugar, por favor.
second1 (next after the first)	segundo	Segundo, lava as mãos.
secondly	em segundo lugar	Em segundo lugar, verifica a tua resposta.
secret	secreto	Guarda este segredo em segurança.
secretary	o secretário/a secretária	A secretária telefonou hoje.
seem	parecer	Pareces cansado.
sense	o sentido	Este plano faz sentido.
separate	separado	Mantém os papéis separados.
series	a série	Esta série é popular.
serious	sério	Este problema é sério.
serve	servir	Servem almoço ao meio-dia.
service	o serviço	O serviço foi rápido.
several	vários	Vários estudantes chegaram cedo.
shake	agitar	Agita primeiro a garrafa.
shall modal	deveríamos	Deveríamos começar agora?
shape	a forma	Desenha uma forma quadrada.
sheet	o lençol	Põe o lençol na cama.
ship	o navio	O navio partiu hoje.
shoulder	o ombro	Dói-me o ombro.
shout	gritar	Não grites na aula.
shut	fechar	Fecha a janela, por favor.
side	o lado	Senta-te deste lado.
sign	o sinal	Lê o sinal com atenção.
silver	a prata	A prata é um metal brilhante.
simple	simples	Este exercício é simples.
since	desde	Espero desde o meio-dia.
singing	o canto	Cantar ajuda-me a relaxar.
single	simples	Comprei um bilhete simples.
sir	senhor	Senhor, a sua mala está pronta.
site	o site	Este site é seguro.
size	o tamanho	De que tamanho precisas?
ski	esquiar	Esquiamos no inverno.
skiing	o esqui	Esquiar é divertido no inverno.
skin	a pele	A pele dela parece seca.
sky	o céu	O céu está limpo.
slowly	devagar	Anda devagar no gelo.
smartphone	o smartphone	O meu smartphone é novo.
smell	cheirar	A sopa cheira bem.
smile	sorrir	Sorri para a câmara.
smoke	o fumo	O fumo encheu a sala.
smoking	fumar	Fumar não é permitido.
soap	o sabão	Usa sabão e água.
soccer	o futebol	O futebol é popular aqui.
social	social	Este é um evento social.
society	a sociedade	A sociedade muda com o tempo.
sock	a meia	Falta uma meia.
soft	macio	Esta manta é macia.
soldier	o soldado	O soldado voltou para casa.
solution	a solução	Encontrámos uma solução.
solve	resolver	Resolve este puzzle.
somewhere	algures	Põe isso algures seguro.
sort	o tipo	Que tipo queres?
source	a fonte	Verifica primeiro a fonte.
speaker	o altifalante	O altifalante estava alto.
specific	específico	Preciso de uma resposta específica.
speech	o discurso	O discurso dela foi curto.
speed	a velocidade	Reduz a velocidade aqui.
spider	a aranha	Há uma aranha na parede.
spoon	a colher	Usa uma colher para a sopa.
square	quadrado	Desenha uma caixa quadrada.
stage	o palco	A banda está no palco.
stair	o degrau	O degrau está partido.
stamp	o selo	Põe um selo na carta.
state	indicar	Indica claramente o teu nome.
steal	roubar	Não roubes dinheiro.
step	o passo	Dá um passo em frente.
stomach	o estômago	Dói-me o estômago.
stone	a pedra	A pedra é pesada.
store	a loja	A loja fecha cedo.
storm	a tempestade	Vem aí uma tempestade.
straight	diretamente	Vai diretamente para casa.
strange	estranho	Esse som é estranho.
strategy	a estratégia	Precisamos de uma estratégia.
stress	o stress	O trabalho pode causar stress.
structure	a estrutura	Esta estrutura é forte.
stupid	estúpido	Foi um erro estúpido.
succeed	ter sucesso	Podes ter sucesso aqui.
successful	bem-sucedido	Ela tornou-se bem-sucedida.
such	tal	Tal ajuda é útil.
suddenly	de repente	De repente, o cão fugiu.
suggest	sugerir	Sugiro uma pequena pausa.
suggestion	a sugestão	A tua sugestão é útil.
suit	o fato	Este fato é caro.
support	apoiar	Apoiamos a nossa equipa.
suppose	supor	Suponho que tens razão.
surprise	a surpresa	A surpresa deixou-a feliz.
surprised	surpreendido	Ela ficou surpreendida hoje.
surprising	surpreendente	O resultado foi surpreendente.
survey	o inquérito	Por favor, completa o inquérito.
sweet	doce	Este chá é doce.
symbol	o símbolo	Este símbolo significa perigo.
system	o sistema	O sistema funciona bem.
tablet	o tablet	O meu tablet está na secretária.
target	o alvo	Atinge o alvo com cuidado.
task	a tarefa	Esta tarefa é fácil.
taste	provar	Prova primeiro a sopa.
teaching	o ensino	Ensinar é um trabalho difícil.
technology	a tecnologia	A tecnologia muda rapidamente.
teenage	adolescente	O meu irmão adolescente estuda muito.
temperature	a temperatura	A temperatura está baixa.
term	o período	Este período acaba em breve.
themselves	eles próprios	Eles cozinharam o jantar sozinhos.
thick	grosso	Este livro é grosso.
thief	o ladrão	O ladrão fugiu.
thin	fino	O papel é fino.
thinking	o pensamento	Pensar leva tempo.
thought	o pensamento	Tive um pensamento estranho.
throw	atirar	Atira a bola suavemente.
tidy	arrumado	Mantém o teu quarto arrumado.
tie	apertar	Aperta os sapatos agora.
tip	a gorjeta	Deixa uma gorjeta pelo serviço.
tool	a ferramenta	Usa a ferramenta certa.
top	o topo	A prateleira de cima está cheia.
touch	tocar	Não toques no vidro.
tour	a visita	Fizemos uma visita pela cidade.
tourism	o turismo	O turismo ajuda esta cidade.
towards	em direção a	Caminha em direção à estação.
towel	a toalha	Traz uma toalha limpa.
tower	a torre	A torre é muito antiga.
toy	o brinquedo	O carro de brinquedo é vermelho.
track	a pista	A pista segue para norte.
tradition	a tradição	Esta tradição é antiga.
traditional	tradicional	Ela usou roupas tradicionais.
trainer	o treinador	O meu treinador é prestável.
training	o treino	O treino começa amanhã.
transport	o transporte	O transporte público está atrasado.
traveller	o viajante	O viajante pediu ajuda.
trouble	o problema	Tivemos um problema ontem.
truck	o camião	O camião está lá fora.
twin	o gémeo/a gémea	A minha irmã gémea é mais alta.
typical	típico	Este é um dia típico.
underground	subterrâneo	O comboio passa debaixo da terra.
understanding	a compreensão	A tua compreensão está correta.
unfortunately	infelizmente	Infelizmente, a loja está fechada.
unhappy	infeliz	Ele parece infeliz.
uniform	o uniforme	Ela usa um uniforme escolar.
unit	a unidade	Esta unidade é pequena.
united	unido	A equipa manteve-se unida.
unusual	incomum	Esse som é incomum.
used to modal	costumava	Costumávamos viver aqui.
user	o utilizador	Cada utilizador tem um número.
usual	habitual	Ocupei o meu lugar habitual.
valley	o vale	O vale é verde.
van	a carrinha	A carrinha está cheia.
variety	a variedade	Precisamos de mais variedade.
vehicle	o veículo	Este veículo é lento.
view	a vista	A vista é bonita.
virus	o vírus	Um vírus deixou-o doente.
voice	a voz	A voz dela é baixa.
war	a guerra	A guerra acabou há anos.
washing	a roupa lavada	A roupa lavada está lá fora.
wave	a onda	Uma onda atingiu o barco.
weak	fraco	As minhas pernas parecem fracas.
web	a web	A página web está aberta.
wedding	o casamento	O casamento começa em breve.
